lon,lat,mean
-9.7179,38.6000,0.1335
-9.7179,38.7000,0.1315
-9.7179,38.8000,0.1300
-9.7179,38.9000,0.1274
-9.7179,39.0000,0.1244
-9.6179,38.5000,0.1368
-9.6179,38.6000,0.1344
-9.6179,38.7000,0.1320
-9.6179,38.8000,0.1297
-9.6179,38.9000,0.1270
-9.6179,39.0000,0.1230
-9.6179,39.1000,0.1163
-9.6179,39.2000,0.1112
-9.6179,39.3000,0.1084
-9.6179,39.4000,0.1049
-9.6179,39.5000,0.1031
-9.5179,38.5000,0.1374
-9.5179,38.6000,0.1357
-9.5179,38.7000,0.1331
-9.5179,38.8000,0.1313
-9.5179,38.9000,0.1286
-9.5179,39.0000,0.1240
-9.5179,39.1000,0.1155
-9.5179,39.2000,0.1090
-9.5179,39.3000,0.1052
-9.5179,39.4000,0.1015
-9.5179,39.5000,0.0979
-9.5179,39.6000,0.0944
-9.4179,38.2000,0.1361
-9.4179,38.3000,0.1384
-9.4179,38.4000,0.1394
-9.4179,38.5000,0.1387
-9.4179,38.6000,0.1378
-9.4179,38.7000,0.1359
-9.4179,38.8000,0.1345
-9.4179,38.9000,0.1318
-9.4179,39.0000,0.1271
-9.4179,39.1000,0.1182
-9.4179,39.2000,0.1119
-9.4179,39.3000,0.1076
-9.4179,39.4000,0.1034
-9.4179,39.5000,0.0975
-9.4179,39.6000,0.0915
-9.3179,38.2000,0.1349
-9.3179,38.3000,0.1389
-9.3179,38.4000,0.1404
-9.3179,38.5000,0.1408
-9.3179,38.6000,0.1409
-9.3179,38.7000,0.1397
-9.3179,38.8000,0.1392
-9.3179,38.9000,0.1369
-9.3179,39.0000,0.1326
-9.3179,39.1000,0.1242
-9.3179,39.2000,0.1181
-9.3179,39.3000,0.1132
-9.3179,39.4000,0.1080
-9.3179,39.5000,0.0999
-9.3179,39.6000,0.0917
-9.3179,39.7000,0.0861
-9.3179,39.8000,0.0823
-9.2179,36.9000,0.2177
-9.2179,37.0000,0.1931
-9.2179,37.1000,0.1807
-9.2179,37.2000,0.1692
-9.2179,38.2000,0.1338
-9.2179,38.3000,0.1388
-9.2179,38.4000,0.1407
-9.2179,38.5000,0.1422
-9.2179,38.6000,0.1424
-9.2179,38.7000,0.1425
-9.2179,38.8000,0.1424
-9.2179,38.9000,0.1411
-9.2179,39.0000,0.1372
-9.2179,39.1000,0.1291
-9.2179,39.2000,0.1228
-9.2179,39.3000,0.1177
-9.2179,39.4000,0.1116
-9.2179,39.5000,0.1021
-9.2179,39.6000,0.0927
-9.2179,39.7000,0.0865
-9.2179,39.8000,0.0824
-9.2179,39.9000,0.0784
-9.2179,40.0000,0.0748
-9.1179,36.9000,0.2050
-9.1179,37.0000,0.1895
-9.1179,37.1000,0.1761
-9.1179,37.2000,0.1667
-9.1179,37.3000,0.1563
-9.1179,37.4000,0.1472
-9.1179,37.8000,0.1223
-9.1179,37.9000,0.1210
-9.1179,38.0000,0.1219
-9.1179,38.1000,0.1250
-9.1179,38.2000,0.1329
-9.1179,38.3000,0.1381
-9.1179,38.4000,0.1405
-9.1179,38.5000,0.1424
-9.1179,38.6000,0.1433
-9.1179,38.7000,0.1442
-9.1179,38.8000,0.1450
-9.1179,38.9000,0.1443
-9.1179,39.0000,0.1405
-9.1179,39.1000,0.1327
-9.1179,39.2000,0.1258
-9.1179,39.3000,0.1209
-9.1179,39.4000,0.1144
-9.1179,39.5000,0.1044
-9.1179,39.6000,0.0937
-9.1179,39.7000,0.0873
-9.1179,39.8000,0.0829
-9.1179,39.9000,0.0787
-9.1179,40.0000,0.0751
-9.1179,40.1000,0.0721
-9.1179,40.2000,0.0702
-9.1179,40.3000,0.0686
-9.1179,40.4000,0.0670
-9.1179,41.6000,0.0512
-9.1179,41.7000,0.0501
-9.1179,41.8000,0.0492
-9.1179,41.9000,0.0484
-9.1179,42.0000,0.0477
-9.1179,42.1000,0.0470
-9.1179,42.2000,0.0464
-9.0179,36.9000,0.1965
-9.0179,37.0000,0.1843
-9.0179,37.1000,0.1735
-9.0179,37.2000,0.1650
-9.0179,37.3000,0.1549
-9.0179,37.4000,0.1462
-9.0179,37.5000,0.1355
-9.0179,37.6000,0.1280
-9.0179,37.7000,0.1232
-9.0179,37.8000,0.1205
-9.0179,37.9000,0.1191
-9.0179,38.0000,0.1201
-9.0179,38.1000,0.1236
-9.0179,38.2000,0.1312
-9.0179,38.3000,0.1368
-9.0179,38.4000,0.1395
-9.0179,38.5000,0.1410
-9.0179,38.6000,0.1427
-9.0179,38.7000,0.1447
-9.0179,38.8000,0.1458
-9.0179,38.9000,0.1462
-9.0179,39.0000,0.1432
-9.0179,39.1000,0.1354
-9.0179,39.2000,0.1280
-9.0179,39.3000,0.1234
-9.0179,39.4000,0.1168
-9.0179,39.5000,0.1063
-9.0179,39.6000,0.0952
-9.0179,39.7000,0.0886
-9.0179,39.8000,0.0840
-9.0179,39.9000,0.0795
-9.0179,40.0000,0.0757
-9.0179,40.1000,0.0728
-9.0179,40.2000,0.0705
-9.0179,40.3000,0.0688
-9.0179,40.4000,0.0671
-9.0179,40.5000,0.0651
-9.0179,40.6000,0.0636
-9.0179,40.7000,0.0623
-9.0179,41.2000,0.0566
-9.0179,41.3000,0.0549
-9.0179,41.4000,0.0535
-9.0179,41.5000,0.0523
-9.0179,41.6000,0.0511
-9.0179,41.7000,0.0500
-9.0179,41.8000,0.0491
-9.0179,41.9000,0.0485
-9.0179,42.0000,0.0478
-9.0179,42.1000,0.0471
-9.0179,42.2000,0.0466
-8.9179,36.9000,0.1913
-8.9179,37.0000,0.1820
-8.9179,37.1000,0.1723
-8.9179,37.2000,0.1644
-8.9179,37.3000,0.1551
-8.9179,37.4000,0.1460
-8.9179,37.5000,0.1354
-8.9179,37.6000,0.1273
-8.9179,37.7000,0.1217
-8.9179,37.8000,0.1195
-8.9179,37.9000,0.1174
-8.9179,38.0000,0.1180
-8.9179,38.1000,0.1209
-8.9179,38.2000,0.1286
-8.9179,38.3000,0.1336
-8.9179,38.4000,0.1366
-8.9179,38.5000,0.1385
-8.9179,38.6000,0.1408
-8.9179,38.7000,0.1430
-8.9179,38.8000,0.1452
-8.9179,38.9000,0.1462
-8.9179,39.0000,0.1447
-8.9179,39.1000,0.1376
-8.9179,39.2000,0.1304
-8.9179,39.3000,0.1254
-8.9179,39.4000,0.1190
-8.9179,39.5000,0.1083
-8.9179,39.6000,0.0972
-8.9179,39.7000,0.0902
-8.9179,39.8000,0.0853
-8.9179,39.9000,0.0805
-8.9179,40.0000,0.0765
-8.9179,40.1000,0.0734
-8.9179,40.2000,0.0710
-8.9179,40.3000,0.0693
-8.9179,40.4000,0.0675
-8.9179,40.5000,0.0655
-8.9179,40.6000,0.0639
-8.9179,40.7000,0.0626
-8.9179,40.8000,0.0612
-8.9179,40.9000,0.0597
-8.9179,41.0000,0.0586
-8.9179,41.1000,0.0576
-8.9179,41.2000,0.0563
-8.9179,41.3000,0.0547
-8.9179,41.4000,0.0534
-8.9179,41.5000,0.0522
-8.9179,41.6000,0.0511
-8.9179,41.7000,0.0500
-8.9179,41.8000,0.0492
-8.9179,41.9000,0.0485
-8.9179,42.0000,0.0479
-8.9179,42.1000,0.0473
-8.9179,42.2000,0.0469
-8.8179,36.9000,0.1916
-8.8179,37.0000,0.1819
-8.8179,37.1000,0.1729
-8.8179,37.2000,0.1656
-8.8179,37.3000,0.1564
