lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.718,38.600,0.128,0.267,0.078,0.156
-9.718,38.700,0.124,0.252,0.078,0.157
-9.718,38.800,0.123,0.251,0.077,0.157
-9.718,38.900,0.122,0.250,0.076,0.154
-9.718,39.000,0.121,0.251,0.073,0.149
-9.618,38.500,0.128,0.260,0.082,0.165
-9.618,38.600,0.125,0.252,0.083,0.168
-9.618,38.700,0.123,0.249,0.083,0.169
-9.618,38.800,0.122,0.248,0.082,0.169
-9.618,38.900,0.120,0.245,0.081,0.166
-9.618,39.000,0.117,0.240,0.078,0.160
-9.618,39.100,0.114,0.234,0.074,0.150
-9.618,39.200,0.110,0.227,0.070,0.142
-9.618,39.300,0.107,0.221,0.067,0.136
-9.618,39.400,0.105,0.218,0.064,0.130
-9.618,39.500,0.103,0.224,0.061,0.124
-9.518,38.500,0.127,0.257,0.086,0.175
-9.518,38.600,0.127,0.257,0.087,0.177
-9.518,38.700,0.126,0.257,0.087,0.178
-9.518,38.800,0.125,0.257,0.087,0.178
-9.518,38.900,0.123,0.254,0.085,0.176
-9.518,39.000,0.120,0.247,0.082,0.170
-9.518,39.100,0.113,0.234,0.078,0.161
-9.518,39.200,0.108,0.222,0.074,0.152
-9.518,39.300,0.104,0.214,0.071,0.145
-9.518,39.400,0.100,0.206,0.067,0.138
-9.518,39.500,0.097,0.199,0.064,0.130
-9.518,39.600,0.094,0.195,0.060,0.123
-9.418,38.200,0.125,0.251,0.083,0.163
-9.418,38.300,0.127,0.255,0.086,0.172
-9.418,38.400,0.128,0.259,0.088,0.178
-9.418,38.500,0.130,0.263,0.090,0.182
-9.418,38.600,0.130,0.266,0.090,0.185
-9.418,38.700,0.130,0.269,0.091,0.187
-9.418,38.800,0.130,0.270,0.090,0.188
-9.418,38.900,0.128,0.268,0.089,0.186
-9.418,39.000,0.124,0.261,0.086,0.181
-9.418,39.100,0.117,0.247,0.082,0.172
-9.418,39.200,0.111,0.236,0.078,0.164
-9.418,39.300,0.107,0.225,0.075,0.156
-9.418,39.400,0.102,0.215,0.071,0.148
-9.418,39.500,0.096,0.201,0.066,0.138
-9.418,39.600,0.091,0.189,0.063,0.129
-9.318,38.200,0.123,0.247,0.085,0.169
-9.318,38.300,0.128,0.257,0.088,0.177
-9.318,38.400,0.131,0.264,0.090,0.183
-9.318,38.500,0.133,0.270,0.092,0.188
-9.318,38.600,0.134,0.277,0.093,0.192
