lon,lat,mean
-9.71787,38.6,0.109
-9.71787,38.7,0.113
-9.71787,38.8,0.105
-9.71787,38.9,0.093
-9.71787,39,0.085
-9.61787,38.5,0.119
-9.61787,38.6,0.124
-9.61787,38.7,0.125
-9.61787,38.8,0.12
-9.61787,38.9,0.107
-9.61787,39,0.095
-9.61787,39.1,0.086
-9.61787,39.2,0.081
-9.61787,39.3,0.076
-9.61787,39.4,0.072
-9.61787,39.5,0.068
-9.51787,38.5,0.129
-9.51787,38.6,0.13
-9.51787,38.7,0.13
-9.51787,38.8,0.128
-9.51787,38.9,0.122
-9.51787,39,0.11
-9.51787,39.1,0.095
-9.51787,39.2,0.087
-9.51787,39.3,0.081
-9.51787,39.4,0.076
-9.51787,39.5,0.071
-9.51787,39.6,0.068
-9.41787,38.2,0.126
-9.41787,38.3,0.13
-9.41787,38.4,0.132
-9.41787,38.5,0.133
-9.41787,38.6,0.133
-9.41787,38.7,0.133
-9.41787,38.8,0.132
-9.41787,38.9,0.129
-9.41787,39,0.122
-9.41787,39.1,0.108
-9.41787,39.2,0.095
-9.41787,39.3,0.086
-9.41787,39.4,0.079
-9.41787,39.5,0.074
-9.41787,39.6,0.07
-9.31787,38.2,0.132
-9.31787,38.3,0.133
-9.31787,38.4,0.134
-9.31787,38.5,0.134
-9.31787,38.6,0.134
-9.31787,38.7,0.135
-9.31787,38.8,0.134
-9.31787,38.9,0.133
-9.31787,39,0.13
-9.31787,39.1,0.122
-9.31787,39.2,0.109
-9.31787,39.3,0.093
-9.31787,39.4,0.084
-9.31787,39.5,0.077
-9.31787,39.6,0.072
-9.31787,39.7,0.069
-9.31787,39.8,0.066
-9.21787,36.9,0.219
-9.21787,37,0.202
-9.21787,37.1,0.188
-9.21787,37.2,0.177
-9.21787,38.2,0.133
-9.21787,38.3,0.135
-9.21787,38.4,0.135
-9.21787,38.5,0.135
-9.21787,38.6,0.136
-9.21787,38.7,0.136
-9.21787,38.8,0.137
-9.21787,38.9,0.137
-9.21787,39,0.135
-9.21787,39.1,0.131
-9.21787,39.2,0.123
-9.21787,39.3,0.104
-9.21787,39.4,0.088
-9.21787,39.5,0.08
-9.21787,39.6,0.074
-9.21787,39.7,0.07
-9.21787,39.8,0.067
-9.21787,39.9,0.064
-9.21787,40,0.062
-9.11787,36.9,0.206
-9.11787,37,0.194
-9.11787,37.1,0.184
-9.11787,37.2,0.175
-9.11787,37.3,0.166
-9.11787,37.4,0.153
-9.11787,37.8,0.099
-9.11787,37.9,0.101
-9.11787,38,0.117
-9.11787,38.1,0.13
-9.11787,38.2,0.134
-9.11787,38.3,0.135
-9.11787,38.4,0.135
-9.11787,38.5,0.136
-9.11787,38.6,0.137
-9.11787,38.7,0.138
-9.11787,38.8,0.139
-9.11787,38.9,0.14
-9.11787,39,0.139
-9.11787,39.1,0.136
-9.11787,39.2,0.13
-9.11787,39.3,0.115
-9.11787,39.4,0.093
-9.11787,39.5,0.082
-9.11787,39.6,0.076
-9.11787,39.7,0.072
-9.11787,39.8,0.069
-9.11787,39.9,0.066
-9.11787,40,0.063
-9.11787,40.1,0.061
-9.11787,40.2,0.059
-9.11787,40.3,0.057
-9.11787,40.4,0.056
-9.11787,41.6,0.038
-9.11787,41.7,0.038
-9.11787,41.8,0.039
-9.11787,41.9,0.04
-9.11787,42,0.04
-9.11787,42.1,0.04
-9.11787,42.2,0.04
-9.01787,36.9,0.197
-9.01787,37,0.189
-9.01787,37.1,0.182
-9.01787,37.2,0.173
-9.01787,37.3,0.165
-9.01787,37.4,0.152
-9.01787,37.5,0.13
-9.01787,37.6,0.113
-9.01787,37.7,0.103
-9.01787,37.8,0.098
-9.01787,37.9,0.099
-9.01787,38,0.112
-9.01787,38.1,0.126
-9.01787,38.2,0.132
-9.01787,38.3,0.134
-9.01787,38.4,0.135
-9.01787,38.5,0.136
-9.01787,38.6,0.137
-9.01787,38.7,0.139
-9.01787,38.8,0.141
-9.01787,38.9,0.143
-9.01787,39,0.143
-9.01787,39.1,0.139
-9.01787,39.2,0.134
-9.01787,39.3,0.12
-9.01787,39.4,0.097
-9.01787,39.5,0.085
-9.01787,39.6,0.078
-9.01787,39.7,0.073
-9.01787,39.8,0.07
-9.01787,39.9,0.067
-9.01787,40,0.064
-9.01787,40.1,0.062
-9.01787,40.2,0.06
-9.01787,40.3,0.059
-9.01787,40.4,0.057
-9.01787,40.5,0.056
-9.01787,40.6,0.054
-9.01787,40.7,0.052
-9.01787,41.2,0.043
-9.01787,41.3,0.042
-9.01787,41.4,0.041
-9.01787,41.5,0.04
-9.01787,41.6,0.04
-9.01787,41.7,0.041
-9.01787,41.8,0.041
-9.01787,41.9,0.041
-9.01787,42,0.041
-9.01787,42.1,0.041
-9.01787,42.2,0.041
-8.91787,36.9,0.193
-8.91787,37,0.187
-8.91787,37.1,0.18
-8.91787,37.2,0.172
-8.91787,37.3,0.164
-8.91787,37.4,0.151
-8.91787,37.5,0.129
-8.91787,37.6,0.112
-8.91787,37.7,0.102
-8.91787,37.8,0.097
-8.91787,37.9,0.096
-8.91787,38,0.102
-8.91787,38.1,0.117
-8.91787,38.2,0.129
-8.91787,38.3,0.133
-8.91787,38.4,0.135
-8.91787,38.5,0.136
-8.91787,38.6,0.137
-8.91787,38.7,0.139
-8.91787,38.8,0.141
-8.91787,38.9,0.144
-8.91787,39,0.145
-8.91787,39.1,0.142
-8.91787,39.2,0.136
-8.91787,39.3,0.124
-8.91787,39.4,0.1
-8.91787,39.5,0.087
-8.91787,39.6,0.08
-8.91787,39.7,0.075
-8.91787,39.8,0.071
-8.91787,39.9,0.068
-8.91787,40,0.065
-8.91787,40.1,0.063
-8.91787,40.2,0.061
-8.91787,40.3,0.06
-8.91787,40.4,0.058
-8.91787,40.5,0.057
-8.91787,40.6,0.055
-8.91787,40.7,0.054
-8.91787,40.8,0.052
-8.91787,40.9,0.051
-8.91787,41,0.049
-8.91787,41.1,0.048
-8.91787,41.2,0.046
-8.91787,41.3,0.044
-8.91787,41.4,0.043
-8.91787,41.5,0.043
-8.91787,41.6,0.042
-8.91787,41.7,0.042
-8.91787,41.8,0.042
-8.91787,41.9,0.042
-8.91787,42,0.042
-8.91787,42.1,0.042
-8.91787,42.2,0.042
-8.81787,36.9,0.19
-8.81787,37,0.185
-8.81787,37.1,0.18
-8.81787,37.2,0.172
-8.81787,37.3,0.163
-8.81787,37.4,0.15
-8.81787,37.5,0.129
-8.81787,37.6,0.111
-8.81787,37.7,0.101
-8.81787,37.8,0.095
-8.81787,37.9,0.094
-8.81787,38,0.096
-8.81787,38.1,0.105
-8.81787,38.2,0.12
-8.81787,38.3,0.13
-8.81787,38.4,0.133
-8.81787,38.5,0.135
-8.81787,38.6,0.136
-8.81787,38.7,0.138
-8.81787,38.8,0.14
-8.81787,38.9,0.144
-8.81787,39,0.145
-8.81787,39.1,0.143
-8.81787,39.2,0.138
-8.81787,39.3,0.128
-8.81787,39.4,0.106
-8.81787,39.5,0.09
-8.81787,39.6,0.082
-8.81787,39.7,0.076
-8.81787,39.8,0.072
-8.81787,39.9,0.069
-8.81787,40,0.066
-8.81787,40.1,0.064
-8.81787,40.2,0.062
-8.81787,40.3,0.061
-8.81787,40.4,0.059
-8.81787,40.5,0.058
-8.81787,40.6,0.057
-8.81787,40.7,0.055
-8.81787,40.8,0.054
-8.81787,40.9,0.052
-8.81787,41,0.051
-8.81787,41.1,0.049
-8.81787,41.2,0.048
-8.81787,41.3,0.046
-8.81787,41.4,0.045
-8.81787,41.5,0.044
-8.81787,41.6,0.044
-8.81787,41.7,0.043
-8.81787,41.8,0.043
-8.81787,41.9,0.043
-8.81787,42,0.043
-8.81787,42.1,0.042
-8.81787,42.2,0.042
-8.71787,36.9,0.189
-8.71787,37,0.184
-8.71787,37.1,0.179
-8.71787,37.2,0.171
-8.71787,37.3,0.162
-8.71787,37.4,0.15
-8.71787,37.5,0.128
-8.71787,37.6,0.11
-8.71787,37.7,0.1
-8.71787,37.8,0.094
-8.71787,37.9,0.092
-8.71787,38,0.092
-8.71787,38.1,0.097
-8.71787,38.2,0.107
-8.71787,38.3,0.122
-8.71787,38.4,0.129
-8.71787,38.5,0.132
-8.71787,38.6,0.134
-8.71787,38.7,0.136
-8.71787,38.8,0.139
-8.71787,38.9,0.142
-8.71787,39,0.143
-8.71787,39.1,0.143
-8.71787,39.2,0.14
-8.71787,39.3,0.132
-8.71787,39.4,0.114
-8.71787,39.5,0.095
-8.71787,39.6,0.084
-8.71787,39.7,0.077
-8.71787,39.8,0.073
-8.71787,39.9,0.069
-8.71787,40,0.067
-8.71787,40.1,0.065
-8.71787,40.2,0.063
-8.71787,40.3,0.061
-8.71787,40.4,0.06
-8.71787,40.5,0.059
-8.71787,40.6,0.057
-8.71787,40.7,0.056
-8.71787,40.8,0.055
-8.71787,40.9,0.053
-8.71787,41,0.052
-8.71787,41.1,0.05
-8.71787,41.2,0.049
-8.71787,41.3,0.047
-8.71787,41.4,0.046
-8.71787,41.5,0.045
-8.71787,41.6,0.045
-8.71787,41.7,0.044
-8.71787,41.8,0.044
-8.71787,41.9,0.043
-8.71787,42,0.043
-8.71787,42.1,0.043
-8.71787,42.2,0.043
-8.61787,36.9,0.189
-8.61787,37,0.184
-8.61787,37.1,0.178
-8.61787,37.2,0.171
-8.61787,37.3,0.162
-8.61787,37.4,0.149
-8.61787,37.5,0.127
-8.61787,37.6,0.109
-8.61787,37.7,0.099
-8.61787,37.8,0.093
-8.61787,37.9,0.09
-8.61787,38,0.09
-8.61787,38.1,0.092
-8.61787,38.2,0.097
-8.61787,38.3,0.109
-8.61787,38.4,0.12
-8.61787,38.5,0.125
-8.61787,38.6,0.129
-8.61787,38.7,0.132
-8.61787,38.8,0.135
-8.61787,38.9,0.139
-8.61787,39,0.14
-8.61787,39.1,0.14
-8.61787,39.2,0.139
-8.61787,39.3,0.135
-8.61787,39.4,0.124
-8.61787,39.5,0.103
-8.61787,39.6,0.087
-8.61787,39.7,0.078
-8.61787,39.8,0.073
-8.61787,39.9,0.07
-8.61787,40,0.067
-8.61787,40.1,0.065
-8.61787,40.2,0.064
-8.61787,40.3,0.062
-8.61787,40.4,0.061
-8.61787,40.5,0.059
-8.61787,40.6,0.058
-8.61787,40.7,0.057
-8.61787,40.8,0.055
-8.61787,40.9,0.054
-8.61787,41,0.052
-8.61787,41.1,0.051
-8.61787,41.2,0.049
-8.61787,41.3,0.048
-8.61787,41.4,0.047
-8.61787,41.5,0.046
-8.61787,41.6,0.045
-8.61787,41.7,0.045
-8.61787,41.8,0.044
-8.61787,41.9,0.044
-8.61787,42,0.044
-8.61787,42.1,0.043
-8.61787,42.2,0.043
-8.51787,36.9,0.191
-8.51787,37,0.185
-8.51787,37.1,0.178
-8.51787,37.2,0.17
-8.51787,37.3,0.161
-8.51787,37.4,0.148
-8.51787,37.5,0.126
-8.51787,37.6,0.108
-8.51787,37.7,0.098
-8.51787,37.8,0.092
-8.51787,37.9,0.088
-8.51787,38,0.087
-8.51787,38.1,0.088
-8.51787,38.2,0.09
-8.51787,38.3,0.096
-8.51787,38.4,0.103
-8.51787,38.5,0.109
