lon,lat,mean
-9.71787,38.6,0.192
-9.71787,38.7,0.191
-9.71787,38.8,0.186
-9.71787,38.9,0.177
-9.71787,39,0.168
-9.61787,38.5,0.198
-9.61787,38.6,0.203
-9.61787,38.7,0.203
-9.61787,38.8,0.197
-9.61787,38.9,0.188
-9.61787,39,0.176
-9.61787,39.1,0.166
-9.61787,39.2,0.159
-9.61787,39.3,0.152
-9.61787,39.4,0.147
-9.61787,39.5,0.144
-9.51787,38.5,0.208
-9.51787,38.6,0.209
-9.51787,38.7,0.209
-9.51787,38.8,0.206
-9.51787,38.9,0.199
-9.51787,39,0.188
-9.51787,39.1,0.174
-9.51787,39.2,0.163
-9.51787,39.3,0.155
-9.51787,39.4,0.148
-9.51787,39.5,0.143
-9.51787,39.6,0.139
-9.41787,38.2,0.207
-9.41787,38.3,0.211
-9.41787,38.4,0.212
-9.41787,38.5,0.213
-9.41787,38.6,0.213
-9.41787,38.7,0.212
-9.41787,38.8,0.21
-9.41787,38.9,0.206
-9.41787,39,0.199
-9.41787,39.1,0.184
-9.41787,39.2,0.17
-9.41787,39.3,0.159
-9.41787,39.4,0.15
-9.41787,39.5,0.143
-9.41787,39.6,0.139
-9.31787,38.2,0.212
-9.31787,38.3,0.214
-9.31787,38.4,0.215
-9.31787,38.5,0.216
-9.31787,38.6,0.216
-9.31787,38.7,0.215
-9.31787,38.8,0.213
-9.31787,38.9,0.21
-9.31787,39,0.205
-9.31787,39.1,0.197
-9.31787,39.2,0.18
-9.31787,39.3,0.165
-9.31787,39.4,0.154
-9.31787,39.5,0.145
-9.31787,39.6,0.137
-9.31787,39.7,0.131
-9.31787,39.8,0.124
-9.21787,36.9,0.255
-9.21787,37,0.232
-9.21787,37.1,0.237
-9.21787,37.2,0.228
-9.21787,38.2,0.214
-9.21787,38.3,0.216
-9.21787,38.4,0.217
-9.21787,38.5,0.218
-9.21787,38.6,0.218
-9.21787,38.7,0.216
-9.21787,38.8,0.216
-9.21787,38.9,0.214
-9.21787,39,0.209
-9.21787,39.1,0.204
-9.21787,39.2,0.193
-9.21787,39.3,0.175
-9.21787,39.4,0.158
-9.21787,39.5,0.148
-9.21787,39.6,0.138
-9.21787,39.7,0.132
-9.21787,39.8,0.123
-9.21787,39.9,0.118
-9.21787,40,0.114
-9.11787,36.9,0.244
-9.11787,37,0.246
-9.11787,37.1,0.236
-9.11787,37.2,0.228
-9.11787,37.3,0.219
-9.11787,37.4,0.211
-9.11787,37.8,0.179
-9.11787,37.9,0.182
-9.11787,38,0.196
-9.11787,38.1,0.21
-9.11787,38.2,0.215
-9.11787,38.3,0.217
-9.11787,38.4,0.218
-9.11787,38.5,0.219
-9.11787,38.6,0.219
-9.11787,38.7,0.219
-9.11787,38.8,0.219
-9.11787,38.9,0.218
-9.11787,39,0.215
-9.11787,39.1,0.21
-9.11787,39.2,0.201
-9.11787,39.3,0.188
-9.11787,39.4,0.165
-9.11787,39.5,0.151
-9.11787,39.6,0.14
-9.11787,39.7,0.131
-9.11787,39.8,0.125
-9.11787,39.9,0.119
-9.11787,40,0.114
-9.11787,40.1,0.111
-9.11787,40.2,0.104
-9.11787,40.3,0.1
-9.11787,40.4,0.097
-9.11787,41.6,0.073
-9.11787,41.7,0.073
-9.11787,41.8,0.073
-9.11787,41.9,0.072
-9.11787,42,0.072
-9.11787,42.1,0.072
-9.11787,42.2,0.071
-9.01787,36.9,0.235
-9.01787,37,0.244
-9.01787,37.1,0.237
-9.01787,37.2,0.228
-9.01787,37.3,0.22
-9.01787,37.4,0.211
-9.01787,37.5,0.199
-9.01787,37.6,0.187
-9.01787,37.7,0.182
-9.01787,37.8,0.18
-9.01787,37.9,0.182
-9.01787,38,0.194
-9.01787,38.1,0.208
-9.01787,38.2,0.214
-9.01787,38.3,0.217
-9.01787,38.4,0.218
-9.01787,38.5,0.22
-9.01787,38.6,0.218
-9.01787,38.7,0.22
-9.01787,38.8,0.222
-9.01787,38.9,0.221
-9.01787,39,0.22
-9.01787,39.1,0.214
-9.01787,39.2,0.206
-9.01787,39.3,0.192
-9.01787,39.4,0.169
-9.01787,39.5,0.153
-9.01787,39.6,0.141
-9.01787,39.7,0.133
-9.01787,39.8,0.126
-9.01787,39.9,0.12
-9.01787,40,0.115
-9.01787,40.1,0.112
-9.01787,40.2,0.105
-9.01787,40.3,0.101
-9.01787,40.4,0.098
-9.01787,40.5,0.096
-9.01787,40.6,0.091
-9.01787,40.7,0.089
-9.01787,41.2,0.08
-9.01787,41.3,0.078
-9.01787,41.4,0.077
-9.01787,41.5,0.075
-9.01787,41.6,0.075
-9.01787,41.7,0.074
-9.01787,41.8,0.074
-9.01787,41.9,0.073
-9.01787,42,0.073
-9.01787,42.1,0.072
-9.01787,42.2,0.072
-8.91787,36.9,0.234
-8.91787,37,0.244
-8.91787,37.1,0.239
-8.91787,37.2,0.23
-8.91787,37.3,0.221
-8.91787,37.4,0.212
-8.91787,37.5,0.2
-8.91787,37.6,0.188
-8.91787,37.7,0.182
-8.91787,37.8,0.179
-8.91787,37.9,0.181
-8.91787,38,0.188
-8.91787,38.1,0.202
-8.91787,38.2,0.211
-8.91787,38.3,0.216
-8.91787,38.4,0.218
-8.91787,38.5,0.217
-8.91787,38.6,0.218
-8.91787,38.7,0.219
-8.91787,38.8,0.221
-8.91787,38.9,0.223
-8.91787,39,0.223
-8.91787,39.1,0.216
-8.91787,39.2,0.209
-8.91787,39.3,0.194
-8.91787,39.4,0.171
-8.91787,39.5,0.152
-8.91787,39.6,0.143
-8.91787,39.7,0.134
-8.91787,39.8,0.127
-8.91787,39.9,0.121
-8.91787,40,0.116
-8.91787,40.1,0.109
-8.91787,40.2,0.106
-8.91787,40.3,0.102
-8.91787,40.4,0.099
-8.91787,40.5,0.096
-8.91787,40.6,0.092
-8.91787,40.7,0.09
-8.91787,40.8,0.088
-8.91787,40.9,0.087
-8.91787,41,0.085
-8.91787,41.1,0.083
-8.91787,41.2,0.081
-8.91787,41.3,0.08
-8.91787,41.4,0.078
-8.91787,41.5,0.077
-8.91787,41.6,0.076
-8.91787,41.7,0.075
-8.91787,41.8,0.075
-8.91787,41.9,0.074
-8.91787,42,0.073
-8.91787,42.1,0.073
-8.91787,42.2,0.072
-8.81787,36.9,0.233
-8.81787,37,0.245
-8.81787,37.1,0.24
-8.81787,37.2,0.232
-8.81787,37.3,0.223
-8.81787,37.4,0.214
-8.81787,37.5,0.201
-8.81787,37.6,0.189
-8.81787,37.7,0.182
-8.81787,37.8,0.179
-8.81787,37.9,0.179
-8.81787,38,0.182
-8.81787,38.1,0.192
-8.81787,38.2,0.205
-8.81787,38.3,0.213
-8.81787,38.4,0.215
-8.81787,38.5,0.216
-8.81787,38.6,0.217
-8.81787,38.7,0.218
-8.81787,38.8,0.217
-8.81787,38.9,0.221
-8.81787,39,0.223
-8.81787,39.1,0.219
-8.81787,39.2,0.21
-8.81787,39.3,0.196
-8.81787,39.4,0.172
-8.81787,39.5,0.153
-8.81787,39.6,0.144
-8.81787,39.7,0.133
-8.81787,39.8,0.128
-8.81787,39.9,0.12
-8.81787,40,0.117
-8.81787,40.1,0.111
-8.81787,40.2,0.105
-8.81787,40.3,0.103
-8.81787,40.4,0.1
-8.81787,40.5,0.096
-8.81787,40.6,0.093
