lon,lat,mean
-9.71787,38.6,0.164
-9.71787,38.7,0.162
-9.71787,38.8,0.158
-9.71787,38.9,0.153
-9.71787,39,0.145
-9.61787,38.5,0.165
-9.61787,38.6,0.165
-9.61787,38.7,0.163
-9.61787,38.8,0.159
-9.61787,38.9,0.152
-9.61787,39,0.144
-9.61787,39.1,0.138
-9.61787,39.2,0.134
-9.61787,39.3,0.13
-9.61787,39.4,0.127
-9.61787,39.5,0.125
-9.51787,38.5,0.166
-9.51787,38.6,0.164
-9.51787,38.7,0.163
-9.51787,38.8,0.16
-9.51787,38.9,0.155
-9.51787,39,0.147
-9.51787,39.1,0.139
-9.51787,39.2,0.133
-9.51787,39.3,0.127
-9.51787,39.4,0.123
-9.51787,39.5,0.119
-9.51787,39.6,0.117
-9.41787,38.2,0.17
-9.41787,38.3,0.169
-9.41787,38.4,0.167
-9.41787,38.5,0.166
-9.41787,38.6,0.165
-9.41787,38.7,0.163
-9.41787,38.8,0.161
-9.41787,38.9,0.156
-9.41787,39,0.151
-9.41787,39.1,0.141
-9.41787,39.2,0.133
-9.41787,39.3,0.127
-9.41787,39.4,0.121
-9.41787,39.5,0.116
-9.41787,39.6,0.114
-9.31787,38.2,0.169
-9.31787,38.3,0.168
-9.31787,38.4,0.167
-9.31787,38.5,0.165
-9.31787,38.6,0.165
-9.31787,38.7,0.163
-9.31787,38.8,0.159
-9.31787,38.9,0.157
-9.31787,39,0.152
-9.31787,39.1,0.147
-9.31787,39.2,0.137
-9.31787,39.3,0.128
-9.31787,39.4,0.121
-9.31787,39.5,0.115
-9.31787,39.6,0.108
-9.31787,39.7,0.103
-9.31787,39.8,0.097
-9.21787,36.9,0.187
-9.21787,37,0.171
-9.21787,37.1,0.189
-9.21787,37.2,0.184
-9.21787,38.2,0.168
-9.21787,38.3,0.167
-9.21787,38.4,0.166
-9.21787,38.5,0.166
-9.21787,38.6,0.165
-9.21787,38.7,0.161
-9.21787,38.8,0.159
-9.21787,38.9,0.157
-9.21787,39,0.153
-9.21787,39.1,0.15
-9.21787,39.2,0.142
-9.21787,39.3,0.132
-9.21787,39.4,0.121
-9.21787,39.5,0.115
-9.21787,39.6,0.107
-9.21787,39.7,0.102
-9.21787,39.8,0.094
-9.21787,39.9,0.089
-9.21787,40,0.087
-9.11787,36.9,0.175
-9.11787,37,0.193
-9.11787,37.1,0.187
-9.11787,37.2,0.182
-9.11787,37.3,0.177
-9.11787,37.4,0.172
-9.11787,37.8,0.153
-9.11787,37.9,0.153
-9.11787,38,0.159
-9.11787,38.1,0.166
-9.11787,38.2,0.166
-9.11787,38.3,0.166
-9.11787,38.4,0.166
-9.11787,38.5,0.165
-9.11787,38.6,0.163
-9.11787,38.7,0.162
-9.11787,38.8,0.161
-9.11787,38.9,0.158
-9.11787,39,0.155
-9.11787,39.1,0.151
-9.11787,39.2,0.146
-9.11787,39.3,0.139
-9.11787,39.4,0.123
-9.11787,39.5,0.115
-9.11787,39.6,0.107
-9.11787,39.7,0.098
-9.11787,39.8,0.093
-9.11787,39.9,0.088
-9.11787,40,0.085
-9.11787,40.1,0.083
-9.11787,40.2,0.077
-9.11787,40.3,0.074
-9.11787,40.4,0.072
-9.11787,41.6,0.055
-9.11787,41.7,0.055
-9.11787,41.8,0.054
-9.11787,41.9,0.053
-9.11787,42,0.052
-9.11787,42.1,0.051
-9.11787,42.2,0.051
-9.01787,36.9,0.168
-9.01787,37,0.19
-9.01787,37.1,0.186
-9.01787,37.2,0.181
-9.01787,37.3,0.176
-9.01787,37.4,0.171
-9.01787,37.5,0.165
-9.01787,37.6,0.158
-9.01787,37.7,0.154
-9.01787,37.8,0.152
-9.01787,37.9,0.152
-9.01787,38,0.157
-9.01787,38.1,0.163
-9.01787,38.2,0.165
-9.01787,38.3,0.165
-9.01787,38.4,0.165
-9.01787,38.5,0.165
-9.01787,38.6,0.162
-9.01787,38.7,0.163
-9.01787,38.8,0.162
-9.01787,38.9,0.159
-9.01787,39,0.158
-9.01787,39.1,0.153
-9.01787,39.2,0.148
-9.01787,39.3,0.138
-9.01787,39.4,0.125
-9.01787,39.5,0.116
-9.01787,39.6,0.105
-9.01787,39.7,0.099
-9.01787,39.8,0.093
-9.01787,39.9,0.088
-9.01787,40,0.084
-9.01787,40.1,0.083
-9.01787,40.2,0.077
-9.01787,40.3,0.073
-9.01787,40.4,0.072
-9.01787,40.5,0.07
-9.01787,40.6,0.066
-9.01787,40.7,0.065
-9.01787,41.2,0.06
-9.01787,41.3,0.058
-9.01787,41.4,0.057
-9.01787,41.5,0.056
-9.01787,41.6,0.055
-9.01787,41.7,0.054
-9.01787,41.8,0.054
-9.01787,41.9,0.053
-9.01787,42,0.052
-9.01787,42.1,0.051
-9.01787,42.2,0.051
-8.91787,36.9,0.165
