lon,lat,mean
-9.71787,38.6,0.17
-9.71787,38.7,0.16
-9.71787,38.8,0.15
-9.71787,38.9,0.15
-9.71787,39,0.15
-9.61787,38.5,0.17
-9.61787,38.6,0.16
-9.61787,38.7,0.16
-9.61787,38.8,0.15
-9.61787,38.9,0.15
-9.61787,39,0.14
-9.61787,39.1,0.14
-9.61787,39.2,0.13
-9.61787,39.3,0.13
-9.61787,39.4,0.12
-9.61787,39.5,0.12
-9.51787,38.5,0.17
-9.51787,38.6,0.16
-9.51787,38.7,0.16
-9.51787,38.8,0.16
-9.51787,38.9,0.15
-9.51787,39,0.14
-9.51787,39.1,0.14
-9.51787,39.2,0.13
-9.51787,39.3,0.12
-9.51787,39.4,0.12
-9.51787,39.5,0.11
-9.51787,39.6,0.11
-9.41787,38.2,0.17
-9.41787,38.3,0.17
-9.41787,38.4,0.17
-9.41787,38.5,0.17
-9.41787,38.6,0.16
-9.41787,38.7,0.16
-9.41787,38.8,0.16
-9.41787,38.9,0.15
-9.41787,39,0.15
-9.41787,39.1,0.14
-9.41787,39.2,0.13
-9.41787,39.3,0.12
-9.41787,39.4,0.12
-9.41787,39.5,0.11
-9.41787,39.6,0.11
-9.31787,38.2,0.17
-9.31787,38.3,0.17
-9.31787,38.4,0.17
-9.31787,38.5,0.17
-9.31787,38.6,0.17
-9.31787,38.7,0.16
-9.31787,38.8,0.16
-9.31787,38.9,0.16
-9.31787,39,0.15
-9.31787,39.1,0.15
-9.31787,39.2,0.14
-9.31787,39.3,0.13
-9.31787,39.4,0.12
-9.31787,39.5,0.11
-9.31787,39.6,0.11
-9.31787,39.7,0.1
-9.31787,39.8,0.1
-9.21787,36.9,0.3
-9.21787,37,0.28
-9.21787,37.1,0.26
-9.21787,37.2,0.25
-9.21787,38.2,0.17
-9.21787,38.3,0.17
-9.21787,38.4,0.17
-9.21787,38.5,0.17
-9.21787,38.6,0.17
-9.21787,38.7,0.17
-9.21787,38.8,0.17
-9.21787,38.9,0.16
-9.21787,39,0.16
-9.21787,39.1,0.15
-9.21787,39.2,0.14
-9.21787,39.3,0.13
-9.21787,39.4,0.12
-9.21787,39.5,0.11
-9.21787,39.6,0.11
-9.21787,39.7,0.1
-9.21787,39.8,0.1
-9.21787,39.9,0.09
-9.21787,40,0.09
-9.11787,36.9,0.28
-9.11787,37,0.27
-9.11787,37.1,0.25
-9.11787,37.2,0.24
-9.11787,37.3,0.22
-9.11787,37.4,0.21
-9.11787,37.8,0.16
-9.11787,37.9,0.16
-9.11787,38,0.16
-9.11787,38.1,0.17
-9.11787,38.2,0.17
-9.11787,38.3,0.17
-9.11787,38.4,0.17
-9.11787,38.5,0.17
-9.11787,38.6,0.17
-9.11787,38.7,0.17
-9.11787,38.8,0.17
-9.11787,38.9,0.17
-9.11787,39,0.16
-9.11787,39.1,0.16
-9.11787,39.2,0.15
-9.11787,39.3,0.14
-9.11787,39.4,0.13
-9.11787,39.5,0.12
-9.11787,39.6,0.11
-9.11787,39.7,0.1
-9.11787,39.8,0.1
-9.11787,39.9,0.09
-9.11787,40,0.09
-9.11787,40.1,0.09
-9.11787,40.2,0.08
-9.11787,40.3,0.08
-9.11787,40.4,0.08
-9.11787,41.6,0.06
-9.11787,41.7,0.05
-9.11787,41.8,0.05
-9.11787,41.9,0.05
-9.11787,42,0.05
-9.11787,42.1,0.05
-9.11787,42.2,0.05
-9.01787,36.9,0.27
-9.01787,37,0.26
-9.01787,37.1,0.24
-9.01787,37.2,0.23
-9.01787,37.3,0.22
-9.01787,37.4,0.2
-9.01787,37.5,0.19
-9.01787,37.6,0.18
-9.01787,37.7,0.17
-9.01787,37.8,0.16
-9.01787,37.9,0.16
-9.01787,38,0.16
-9.01787,38.1,0.16
-9.01787,38.2,0.16
-9.01787,38.3,0.17
-9.01787,38.4,0.17
-9.01787,38.5,0.17
-9.01787,38.6,0.17
-9.01787,38.7,0.17
-9.01787,38.8,0.17
-9.01787,38.9,0.17
-9.01787,39,0.16
-9.01787,39.1,0.16
-9.01787,39.2,0.15
-9.01787,39.3,0.14
-9.01787,39.4,0.13
-9.01787,39.5,0.12
-9.01787,39.6,0.11
-9.01787,39.7,0.1
-9.01787,39.8,0.1
-9.01787,39.9,0.09
-9.01787,40,0.09
-9.01787,40.1,0.09
-9.01787,40.2,0.08
-9.01787,40.3,0.08
-9.01787,40.4,0.08
-9.01787,40.5,0.07
-9.01787,40.6,0.07
-9.01787,40.7,0.07
-9.01787,41.2,0.06
-9.01787,41.3,0.06
-9.01787,41.4,0.06
-9.01787,41.5,0.06
-9.01787,41.6,0.05
-9.01787,41.7,0.05
-9.01787,41.8,0.05
-9.01787,41.9,0.05
-9.01787,42,0.05
-9.01787,42.1,0.05
-9.01787,42.2,0.05
-8.91787,36.9,0.25
-8.91787,37,0.25
-8.91787,37.1,0.24
-8.91787,37.2,0.22
-8.91787,37.3,0.21
-8.91787,37.4,0.2
-8.91787,37.5,0.18
-8.91787,37.6,0.17
-8.91787,37.7,0.16
-8.91787,37.8,0.16
-8.91787,37.9,0.15
-8.91787,38,0.15
-8.91787,38.1,0.16
-8.91787,38.2,0.16
-8.91787,38.3,0.16
-8.91787,38.4,0.16
-8.91787,38.5,0.17
-8.91787,38.6,0.17
-8.91787,38.7,0.17
-8.91787,38.8,0.17
-8.91787,38.9,0.17
-8.91787,39,0.17
-8.91787,39.1,0.16
-8.91787,39.2,0.15
-8.91787,39.3,0.14
-8.91787,39.4,0.13
-8.91787,39.5,0.12
-8.91787,39.6,0.11
-8.91787,39.7,0.1
-8.91787,39.8,0.1
-8.91787,39.9,0.09
-8.91787,40,0.09
-8.91787,40.1,0.09
-8.91787,40.2,0.08
-8.91787,40.3,0.08
-8.91787,40.4,0.08
-8.91787,40.5,0.08
-8.91787,40.6,0.07
-8.91787,40.7,0.07
-8.91787,40.8,0.07
-8.91787,40.9,0.07
-8.91787,41,0.06
-8.91787,41.1,0.06
-8.91787,41.2,0.06
-8.91787,41.3,0.06
-8.91787,41.4,0.06
-8.91787,41.5,0.06
-8.91787,41.6,0.05
-8.91787,41.7,0.05
-8.91787,41.8,0.05
-8.91787,41.9,0.05
-8.91787,42,0.05
-8.91787,42.1,0.05
-8.91787,42.2,0.05
-8.81787,36.9,0.24
-8.81787,37,0.24
-8.81787,37.1,0.23
-8.81787,37.2,0.22
-8.81787,37.3,0.21
-8.81787,37.4,0.19
-8.81787,37.5,0.18
-8.81787,37.6,0.17
-8.81787,37.7,0.16
-8.81787,37.8,0.15
-8.81787,37.9,0.15
-8.81787,38,0.15
-8.81787,38.1,0.15
-8.81787,38.2,0.15
-8.81787,38.3,0.16
-8.81787,38.4,0.16
-8.81787,38.5,0.16
-8.81787,38.6,0.16
-8.81787,38.7,0.17
-8.81787,38.8,0.17
-8.81787,38.9,0.17
-8.81787,39,0.16
-8.81787,39.1,0.16
-8.81787,39.2,0.15
-8.81787,39.3,0.15
-8.81787,39.4,0.13
-8.81787,39.5,0.12
-8.81787,39.6,0.11
-8.81787,39.7,0.11
-8.81787,39.8,0.1
-8.81787,39.9,0.1
-8.81787,40,0.09
-8.81787,40.1,0.09
-8.81787,40.2,0.08
-8.81787,40.3,0.08
