lon,lat,mean
-9.71787,38.6,0.117
-9.71787,38.7,0.114
-9.71787,38.8,0.112
-9.71787,38.9,0.112
-9.71787,39,0.112
-9.61787,38.5,0.114
-9.61787,38.6,0.11
-9.61787,38.7,0.106
-9.61787,38.8,0.104
-9.61787,38.9,0.103
-9.61787,39,0.103
-9.61787,39.1,0.1
-9.61787,39.2,0.099
-9.61787,39.3,0.099
-9.61787,39.4,0.1
-9.61787,39.5,0.1
-9.51787,38.5,0.107
-9.51787,38.6,0.104
-9.51787,38.7,0.101
-9.51787,38.8,0.099
-9.51787,38.9,0.098
-9.51787,39,0.097
-9.51787,39.1,0.093
-9.51787,39.2,0.091
-9.51787,39.3,0.09
-9.51787,39.4,0.09
-9.51787,39.5,0.089
-9.51787,39.6,0.087
-9.41787,38.2,0.111
-9.41787,38.3,0.108
-9.41787,38.4,0.105
-9.41787,38.5,0.102
-9.41787,38.6,0.1
-9.41787,38.7,0.098
-9.41787,38.8,0.097
-9.41787,38.9,0.096
-9.41787,39,0.094
-9.41787,39.1,0.09
-9.41787,39.2,0.087
-9.41787,39.3,0.086
-9.41787,39.4,0.085
-9.41787,39.5,0.083
-9.41787,39.6,0.08
-9.31787,38.2,0.103
-9.31787,38.3,0.103
-9.31787,38.4,0.102
-9.31787,38.5,0.1
-9.31787,38.6,0.099
-9.31787,38.7,0.098
-9.31787,38.8,0.097
-9.31787,38.9,0.097
-9.31787,39,0.095
-9.31787,39.1,0.091
-9.31787,39.2,0.087
-9.31787,39.3,0.086
-9.31787,39.4,0.084
-9.31787,39.5,0.08
-9.31787,39.6,0.075
-9.31787,39.7,0.072
-9.31787,39.8,0.07
-9.21787,36.9,0.183
-9.21787,37,0.157
-9.21787,37.1,0.139
-9.21787,37.2,0.128
-9.21787,38.2,0.098
-9.21787,38.3,0.099
-9.21787,38.4,0.099
-9.21787,38.5,0.099
-9.21787,38.6,0.098
-9.21787,38.7,0.098
-9.21787,38.8,0.098
-9.21787,38.9,0.097
-9.21787,39,0.096
-9.21787,39.1,0.092
-9.21787,39.2,0.088
-9.21787,39.3,0.086
-9.21787,39.4,0.083
-9.21787,39.5,0.078
-9.21787,39.6,0.072
-9.21787,39.7,0.069
-9.21787,39.8,0.067
-9.21787,39.9,0.065
-9.21787,40,0.062
-9.11787,36.9,0.171
-9.11787,37,0.146
-9.11787,37.1,0.13
-9.11787,37.2,0.122
-9.11787,37.3,0.116
-9.11787,37.4,0.109
-9.11787,37.8,0.09
-9.11787,37.9,0.089
-9.11787,38,0.089
-9.11787,38.1,0.09
-9.11787,38.2,0.094
-9.11787,38.3,0.096
-9.11787,38.4,0.097
-9.11787,38.5,0.097
-9.11787,38.6,0.097
-9.11787,38.7,0.098
-9.11787,38.8,0.098
-9.11787,38.9,0.098
-9.11787,39,0.097
-9.11787,39.1,0.092
-9.11787,39.2,0.088
-9.11787,39.3,0.086
-9.11787,39.4,0.083
-9.11787,39.5,0.077
-9.11787,39.6,0.071
-9.11787,39.7,0.067
-9.11787,39.8,0.064
-9.11787,39.9,0.062
-9.11787,40,0.06
-9.11787,40.1,0.058
-9.11787,40.2,0.058
-9.11787,40.3,0.057
-9.11787,40.4,0.057
-9.11787,41.6,0.047
-9.11787,41.7,0.046
-9.11787,41.8,0.045
-9.11787,41.9,0.043
-9.11787,42,0.042
-9.11787,42.1,0.041
-9.11787,42.2,0.04
-9.01787,36.9,0.159
-9.01787,37,0.137
-9.01787,37.1,0.124
-9.01787,37.2,0.118
-9.01787,37.3,0.112
-9.01787,37.4,0.106
-9.01787,37.5,0.097
-9.01787,37.6,0.091
-9.01787,37.7,0.088
-9.01787,37.8,0.086
-9.01787,37.9,0.085
-9.01787,38,0.085
-9.01787,38.1,0.087
-9.01787,38.2,0.091
-9.01787,38.3,0.094
-9.01787,38.4,0.095
-9.01787,38.5,0.096
-9.01787,38.6,0.096
-9.01787,38.7,0.097
-9.01787,38.8,0.098
-9.01787,38.9,0.099
-9.01787,39,0.098
-9.01787,39.1,0.093
-9.01787,39.2,0.089
-9.01787,39.3,0.086
-9.01787,39.4,0.083
-9.01787,39.5,0.077
-9.01787,39.6,0.07
-9.01787,39.7,0.066
-9.01787,39.8,0.063
-9.01787,39.9,0.061
-9.01787,40,0.058
-9.01787,40.1,0.057
-9.01787,40.2,0.056
-9.01787,40.3,0.056
-9.01787,40.4,0.055
-9.01787,40.5,0.054
-9.01787,40.6,0.053
-9.01787,40.7,0.053
-9.01787,41.2,0.05
-9.01787,41.3,0.049
-9.01787,41.4,0.047
-9.01787,41.5,0.047
-9.01787,41.6,0.045
-9.01787,41.7,0.044
-9.01787,41.8,0.043
-9.01787,41.9,0.042
-9.01787,42,0.041
-9.01787,42.1,0.04
-9.01787,42.2,0.039
-8.91787,36.9,0.149
-8.91787,37,0.131
-8.91787,37.1,0.121
-8.91787,37.2,0.116
-8.91787,37.3,0.111
-8.91787,37.4,0.105
-8.91787,37.5,0.096
-8.91787,37.6,0.089
-8.91787,37.7,0.085
-8.91787,37.8,0.084
-8.91787,37.9,0.082
-8.91787,38,0.082
-8.91787,38.1,0.084
-8.91787,38.2,0.089
-8.91787,38.3,0.091
-8.91787,38.4,0.093
-8.91787,38.5,0.094
-8.91787,38.6,0.095
-8.91787,38.7,0.096
-8.91787,38.8,0.097
-8.91787,38.9,0.099
-8.91787,39,0.098
-8.91787,39.1,0.094
-8.91787,39.2,0.09
-8.91787,39.3,0.087
-8.91787,39.4,0.084
-8.91787,39.5,0.077
-8.91787,39.6,0.07
-8.91787,39.7,0.066
-8.91787,39.8,0.063
-8.91787,39.9,0.06
-8.91787,40,0.058
-8.91787,40.1,0.056
-8.91787,40.2,0.055
-8.91787,40.3,0.054
-8.91787,40.4,0.053
-8.91787,40.5,0.052
-8.91787,40.6,0.051
-8.91787,40.7,0.051
-8.91787,40.8,0.051
-8.91787,40.9,0.05
-8.91787,41,0.05
-8.91787,41.1,0.049
-8.91787,41.2,0.049
-8.91787,41.3,0.047
-8.91787,41.4,0.046
-8.91787,41.5,0.045
-8.91787,41.6,0.044
-8.91787,41.7,0.043
-8.91787,41.8,0.042
-8.91787,41.9,0.041
-8.91787,42,0.04
