lon,lat,mean
-9.71787,38.6,0.1460102
-9.71787,38.7,0.1437433
-9.71787,38.8,0.1424115
-9.71787,38.9,0.1403953
-9.71787,39,0.1382063
-9.61787,38.5,0.1484667
-9.61787,38.6,0.1462873
-9.61787,38.7,0.1436964
-9.61787,38.8,0.1421251
-9.61787,38.9,0.1395561
-9.61787,39,0.1361829
-9.61787,39.1,0.1303381
-9.61787,39.2,0.1259262
-9.61787,39.3,0.1229757
-9.61787,39.4,0.1201685
-9.61787,39.5,0.1178639
-9.51787,38.5,0.148985
-9.51787,38.6,0.1475239
-9.51787,38.7,0.1455005
-9.51787,38.8,0.1438723
-9.51787,38.9,0.1416173
-9.51787,39,0.1370441
-9.51787,39.1,0.1292607
-9.51787,39.2,0.1234005
-9.51787,39.3,0.1193928
-9.51787,39.4,0.1161464
-9.51787,39.5,0.1119202
-9.51787,39.6,0.1075827
-9.41787,38.2,0.1463264
-9.41787,38.3,0.1491317
-9.41787,38.4,0.1502602
-9.41787,38.5,0.150585
-9.41787,38.6,0.1500604
-9.41787,38.7,0.1488272
-9.41787,38.8,0.147777
-9.41787,38.9,0.1455193
-9.41787,39,0.1406213
-9.41787,39.1,0.1324373
-9.41787,39.2,0.1256835
-9.41787,39.3,0.121222
-9.41787,39.4,0.1167062
-9.41787,39.5,0.1102359
-9.41787,39.6,0.1037192
-9.31787,38.2,0.1446626
-9.31787,38.3,0.1494488
-9.31787,38.4,0.1519618
-9.31787,38.5,0.1532302
-9.31787,38.6,0.1537361
-9.31787,38.7,0.1536126
-9.31787,38.8,0.1531411
-9.31787,38.9,0.1513548
-9.31787,39,0.1469125
-9.31787,39.1,0.1387444
-9.31787,39.2,0.1316436
-9.31787,39.3,0.1259424
-9.31787,39.4,0.1204644
-9.31787,39.5,0.1123766
-9.31787,39.6,0.1035465
-9.31787,39.7,0.0972668
-9.31787,39.8,0.09248056
-9.21787,36.9,0.2708063
-9.21787,37,0.2328165
-9.21787,37.1,0.2048371
-9.21787,37.2,0.1871096
-9.21787,38.2,0.1433632
-9.21787,38.3,0.1493588
-9.21787,38.4,0.1528805
-9.21787,38.5,0.1550396
-9.21787,38.6,0.1562382
-9.21787,38.7,0.1570475
-9.21787,38.8,0.1574181
-9.21787,38.9,0.1565799
-9.21787,39,0.1524082
-9.21787,39.1,0.1443891
-9.21787,39.2,0.1368641
-9.21787,39.3,0.1309066
-9.21787,39.4,0.124083
-9.21787,39.5,0.1147728
-9.21787,39.6,0.1045066
-9.21787,39.7,0.09753145
-9.21787,39.8,0.09232362
-9.21787,39.9,0.08732588
-9.21787,40,0.08329079
-9.11787,36.9,0.2559566
-9.11787,37,0.221857
-9.11787,37.1,0.1978761
-9.11787,37.2,0.1835142
-9.11787,37.3,0.1713794
-9.11787,37.4,0.1605098
-9.11787,37.8,0.1285343
-9.11787,37.9,0.1276217
-9.11787,38,0.1293346
-9.11787,38.1,0.1335654
-9.11787,38.2,0.1420314
-9.11787,38.3,0.1487036
-9.11787,38.4,0.1526793
-9.11787,38.5,0.1553249
-9.11787,38.6,0.1573557
-9.11787,38.7,0.1591285
-9.11787,38.8,0.1605372
-9.11787,38.9,0.1602857
-9.11787,39,0.1569256
-9.11787,39.1,0.1490455
-9.11787,39.2,0.1411446
-9.11787,39.3,0.1349483
-9.11787,39.4,0.1273803
-9.11787,39.5,0.1173978
-9.11787,39.6,0.1060146
-9.11787,39.7,0.09853621
-9.11787,39.8,0.09282678
-9.11787,39.9,0.08751141
-9.11787,40,0.0833815
-9.11787,40.1,0.07998197
-9.11787,40.2,0.07781307
-9.11787,40.3,0.0759758
-9.11787,40.4,0.07434773
-9.11787,41.6,0.05737096
-9.11787,41.7,0.05598145
-9.11787,41.8,0.05481618
-9.11787,41.9,0.05365669
-9.11787,42,0.05272056
-9.11787,42.1,0.05168945
-9.11787,42.2,0.05110281
-9.01787,36.9,0.2450821
-9.01787,37,0.2138789
-9.01787,37.1,0.1938233
-9.01787,37.2,0.1810312
-9.01787,37.3,0.169902
-9.01787,37.4,0.159013
-9.01787,37.5,0.1455313
-9.01787,37.6,0.1358044
-9.01787,37.7,0.1299527
-9.01787,37.8,0.1266303
-9.01787,37.9,0.1254223
-9.01787,38,0.1269298
-9.01787,38.1,0.1316646
-9.01787,38.2,0.1403317
-9.01787,38.3,0.1469547
-9.01787,38.4,0.1512398
-9.01787,38.5,0.1544015
-9.01787,38.6,0.1571741
-9.01787,38.7,0.1598556
-9.01787,38.8,0.1622855
-9.01787,38.9,0.1630493
-9.01787,39,0.1602773
-9.01787,39.1,0.1525673
-9.01787,39.2,0.1447288
-9.01787,39.3,0.1383636
-9.01787,39.4,0.1305996
-9.01787,39.5,0.1197866
-9.01787,39.6,0.108099
-9.01787,39.7,0.1000978
-9.01787,39.8,0.09430917
-9.01787,39.9,0.08844636
-9.01787,40,0.0839901
-9.01787,40.1,0.08078575
-9.01787,40.2,0.07803787
-9.01787,40.3,0.0762367
-9.01787,40.4,0.07424684
-9.01787,40.5,0.0719144
-9.01787,40.6,0.07029381
-9.01787,40.7,0.06898445
-9.01787,41.2,0.06312298
-9.01787,41.3,0.06117439
-9.01787,41.4,0.05956428
-9.01787,41.5,0.05829633
-9.01787,41.6,0.05690323
-9.01787,41.7,0.05545449
-9.01787,41.8,0.05419457
-9.01787,41.9,0.05323586
-9.01787,42,0.05239655
-9.01787,42.1,0.05160054
-9.01787,42.2,0.05094261
-8.91787,36.9,0.2351102
-8.91787,37,0.2091633
-8.91787,37.1,0.1920577
-8.91787,37.2,0.1805334
-8.91787,37.3,0.1700437
-8.91787,37.4,0.1590268
-8.91787,37.5,0.1454216
-8.91787,37.6,0.1351373
-8.91787,37.7,0.1286852
-8.91787,37.8,0.1255933
-8.91787,37.9,0.1234545
-8.91787,38,0.1248805
-8.91787,38.1,0.1291013
-8.91787,38.2,0.1373652
-8.91787,38.3,0.143931
-8.91787,38.4,0.1482776
-8.91787,38.5,0.1518547
-8.91787,38.6,0.1553377
-8.91787,38.7,0.1587145
-8.91787,38.8,0.1619723
-8.91787,38.9,0.1640867
-8.91787,39,0.1623315
-8.91787,39.1,0.1550707
-8.91787,39.2,0.1475759
-8.91787,39.3,0.1414311
-8.91787,39.4,0.1335177
-8.91787,39.5,0.1222977
-8.91787,39.6,0.1106632
-8.91787,39.7,0.1021205
-8.91787,39.8,0.09586158
-8.91787,39.9,0.08967589
-8.91787,40,0.08498892
-8.91787,40.1,0.0815469
-8.91787,40.2,0.07873959
-8.91787,40.3,0.0768315
-8.91787,40.4,0.07473531
-8.91787,40.5,0.07238622
-8.91787,40.6,0.07050208
-8.91787,40.7,0.06910723
-8.91787,40.8,0.06760659
-8.91787,40.9,0.06590826
-8.91787,41,0.06484797
-8.91787,41.1,0.0638634
-8.91787,41.2,0.06244471
-8.91787,41.3,0.06059857
-8.91787,41.4,0.0590746
-8.91787,41.5,0.05778059
-8.91787,41.6,0.05644343
-8.91787,41.7,0.05496247
-8.91787,41.8,0.05393049
-8.91787,41.9,0.05308934
-8.91787,42,0.05236999
-8.91787,42.1,0.05164956
-8.91787,42.2,0.05125247
-8.81787,36.9,0.2347055
-8.81787,37,0.2088107
-8.81787,37.1,0.1927755
-8.81787,37.2,0.1822065
-8.81787,37.3,0.1720224
-8.81787,37.4,0.1613115
-8.81787,37.5,0.1464481
-8.81787,37.6,0.1354852
-8.81787,37.7,0.1283423
-8.81787,37.8,0.1243105
-8.81787,37.9,0.1212804
-8.81787,38,0.1221191
-8.81787,38.1,0.1259381
-8.81787,38.2,0.1332699
-8.81787,38.3,0.1392223
-8.81787,38.4,0.1433422
-8.81787,38.5,0.1471858
-8.81787,38.6,0.1515571
-8.81787,38.7,0.1560681
-8.81787,38.8,0.1598244
-8.81787,38.9,0.1625267
-8.81787,39,0.1622676
-8.81787,39.1,0.1573777
-8.81787,39.2,0.1506874
-8.81787,39.3,0.1445588
-8.81787,39.4,0.1366172
-8.81787,39.5,0.1252799
-8.81787,39.6,0.1134915
-8.81787,39.7,0.104582
-8.81787,39.8,0.09808186
-8.81787,39.9,0.09187575
-8.81787,40,0.08631537
-8.81787,40.1,0.08260661
-8.81787,40.2,0.08021099
-8.81787,40.3,0.07776493
-8.81787,40.4,0.0757876
-8.81787,40.5,0.07326406
-8.81787,40.6,0.0711206
-8.81787,40.7,0.06955242
-8.81787,40.8,0.06793135
-8.81787,40.9,0.06602197
-8.81787,41,0.06460208
-8.81787,41.1,0.06332987
-8.81787,41.2,0.06197779
-8.81787,41.3,0.06018716
-8.81787,41.4,0.05861681
-8.81787,41.5,0.05734523
-8.81787,41.6,0.05614773
-8.81787,41.7,0.05510041
-8.81787,41.8,0.05411456
-8.81787,41.9,0.05319613
-8.81787,42,0.05252061
-8.81787,42.1,0.0520625
-8.81787,42.2,0.05165375
-8.71787,36.9,0.2340564
-8.71787,37,0.2081051
-8.71787,37.1,0.1928257
-8.71787,37.2,0.182695
-8.71787,37.3,0.1728963
-8.71787,37.4,0.1621912
-8.71787,37.5,0.146824
-8.71787,37.6,0.1350965
-8.71787,37.7,0.1276178
-8.71787,37.8,0.1220507
-8.71787,37.9,0.1187904
-8.71787,38,0.1192019
-8.71787,38.1,0.1224251
-8.71787,38.2,0.1291837
-8.71787,38.3,0.1345675
-8.71787,38.4,0.138501
-8.71787,38.5,0.142389
-8.71787,38.6,0.1474039
-8.71787,38.7,0.1524044
-8.71787,38.8,0.1566108
-8.71787,38.9,0.1597868
-8.71787,39,0.1601736
-8.71787,39.1,0.1579113
-8.71787,39.2,0.1525734
-8.71787,39.3,0.146288
-8.71787,39.4,0.138398
-8.71787,39.5,0.127304
-8.71787,39.6,0.1151759
-8.71787,39.7,0.1063193
-8.71787,39.8,0.09975827
-8.71787,39.9,0.0933418
-8.71787,40,0.08739727
-8.71787,40.1,0.08354136
-8.71787,40.2,0.08104029
-8.71787,40.3,0.07862768
-8.71787,40.4,0.07669895
-8.71787,40.5,0.07407289
-8.71787,40.6,0.07188874
-8.71787,40.7,0.07017507
-8.71787,40.8,0.06830867
-8.71787,40.9,0.06624036
-8.71787,41,0.06463492
-8.71787,41.1,0.06327965
-8.71787,41.2,0.06172882
-8.71787,41.3,0.05994159
-8.71787,41.4,0.05851141
-8.71787,41.5,0.05727681
-8.71787,41.6,0.05624696
-8.71787,41.7,0.05515106
-8.71787,41.8,0.05427498
-8.71787,41.9,0.053442
-8.71787,42,0.05288466
-8.71787,42.1,0.0523756
-8.71787,42.2,0.05188271
-8.61787,36.9,0.2336316
-8.61787,37,0.2077032
-8.61787,37.1,0.1924668
-8.61787,37.2,0.1828542
-8.61787,37.3,0.1728444
-8.61787,37.4,0.1622579
-8.61787,37.5,0.1463448
-8.61787,37.6,0.1347381
-8.61787,37.7,0.1264389
-8.61787,37.8,0.1205073
-8.61787,37.9,0.11658
-8.61787,38,0.1164403
-8.61787,38.1,0.1195409
-8.61787,38.2,0.1257059
-8.61787,38.3,0.1308671
-8.61787,38.4,0.1345242
-8.61787,38.5,0.138238
-8.61787,38.6,0.1434436
-8.61787,38.7,0.1486151
-8.61787,38.8,0.1526908
-8.61787,38.9,0.1561134
-8.61787,39,0.1566836
-8.61787,39.1,0.1551079
-8.61787,39.2,0.1512781
-8.61787,39.3,0.1461301
-8.61787,39.4,0.1384063
-8.61787,39.5,0.1270051
-8.61787,39.6,0.1152497
-8.61787,39.7,0.1066971
-8.61787,39.8,0.0998302
-8.61787,39.9,0.09399108
-8.61787,40,0.08794253
-8.61787,40.1,0.0840586
-8.61787,40.2,0.08164146
-8.61787,40.3,0.07913845
-8.61787,40.4,0.07722001
-8.61787,40.5,0.07458111
-8.61787,40.6,0.07245986
-8.61787,40.7,0.07060086
-8.61787,40.8,0.06849465
-8.61787,40.9,0.06636496
-8.61787,41,0.06475599
-8.61787,41.1,0.06330682
-8.61787,41.2,0.06165915
-8.61787,41.3,0.05991166
-8.61787,41.4,0.05846403
-8.61787,41.5,0.05739317
-8.61787,41.6,0.05632921
-8.61787,41.7,0.05533531
-8.61787,41.8,0.05440987
-8.61787,41.9,0.0537725
-8.61787,42,0.0531914
-8.61787,42.1,0.05259477
-8.61787,42.2,0.05204913
-8.51787,36.9,0.2345846
-8.51787,37,0.208045
-8.51787,37.1,0.1925776
-8.51787,37.2,0.1826374
-8.51787,37.3,0.1727291
-8.51787,37.4,0.1618069
-8.51787,37.5,0.1458109
-8.51787,37.6,0.1339533
-8.51787,37.7,0.1255912
-8.51787,37.8,0.1191024
-8.51787,37.9,0.1149221
-8.51787,38,0.1141402
-8.51787,38.1,0.1167914
-8.51787,38.2,0.122547
-8.51787,38.3,0.1269607
-8.51787,38.4,0.1305304
-8.51787,38.5,0.1339993
-8.51787,38.6,0.1389217
-8.51787,38.7,0.1440008
-8.51787,38.8,0.1476235
-8.51787,38.9,0.1500261
-8.51787,39,0.1509669
-8.51787,39.1,0.1496587
-8.51787,39.2,0.1465274
-8.51787,39.3,0.1430141
-8.51787,39.4,0.1361122
-8.51787,39.5,0.1244637
-8.51787,39.6,0.1134562
-8.51787,39.7,0.1055843
-8.51787,39.8,0.09929709
-8.51787,39.9,0.09372076
-8.51787,40,0.0877938
-8.51787,40.1,0.08404565
-8.51787,40.2,0.08160248
-8.51787,40.3,0.07919899
-8.51787,40.4,0.0773487
-8.51787,40.5,0.07476167
-8.51787,40.6,0.07258593
-8.51787,40.7,0.07072128
-8.51787,40.8,0.0685773
-8.51787,40.9,0.06636126
-8.51787,41,0.0647629
-8.51787,41.1,0.06326505
-8.51787,41.2,0.06161911
-8.51787,41.3,0.05982026
-8.51787,41.4,0.05847127
-8.51787,41.5,0.05740898
-8.51787,41.6,0.05636989
-8.51787,41.7,0.05542457
-8.51787,41.8,0.05455401
-8.51787,41.9,0.05392865
-8.51787,42,0.05336246
-8.51787,42.1,0.05272918
-8.51787,42.2,0.05223438
-8.41787,36.9,0.2375062
-8.41787,37,0.2096987
-8.41787,37.1,0.1932459
-8.41787,37.2,0.1828367
-8.41787,37.3,0.1727329
-8.41787,37.4,0.1611921
-8.41787,37.5,0.1448932
-8.41787,37.6,0.1326692
-8.41787,37.7,0.1245377
-8.41787,37.8,0.1174942
-8.41787,37.9,0.1126019
-8.41787,38,0.1118295
-8.41787,38.1,0.1137079
-8.41787,38.2,0.1189837
-8.41787,38.3,0.1227597
-8.41787,38.4,0.1257017
-8.41787,38.5,0.1289369
