lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.6,1.64E-01,3.05E-01,2.41E-01,4.70E-01,3.69E-01,7.16E-01,3.79E-01,7.23E-01,3.42E-01,6.44E-01,3.26E-01,6.05E-01,3.04E-01,5.56E-01,2.89E-01,5.29E-01,2.76E-01,4.99E-01,2.29E-01,4.20E-01,2.07E-01,3.86E-01,1.57E-01,2.97E-01,1.52E-01,3.01E-01,1.02E-01,2.31E-01,1.36E-01,3.31E-01,9.97E-02,2.52E-01
-9.71787,38.7,1.61E-01,3.00E-01,2.37E-01,4.60E-01,3.64E-01,7.00E-01,3.74E-01,7.09E-01,3.39E-01,6.36E-01,3.23E-01,5.98E-01,3.00E-01,5.50E-01,2.85E-01,5.24E-01,2.73E-01,4.94E-01,2.26E-01,4.15E-01,2.04E-01,3.81E-01,1.54E-01,2.93E-01,1.49E-01,2.97E-01,9.95E-02,2.28E-01,1.33E-01,3.31E-01,9.75E-02,2.51E-01
-9.71787,38.8,1.60E-01,2.99E-01,2.37E-01,4.61E-01,3.62E-01,6.98E-01,3.71E-01,7.06E-01,3.36E-01,6.33E-01,3.20E-01,5.95E-01,2.98E-01,5.48E-01,2.84E-01,5.23E-01,2.72E-01,4.94E-01,2.25E-01,4.14E-01,2.03E-01,3.80E-01,1.53E-01,2.92E-01,1.48E-01,2.96E-01,9.93E-02,2.29E-01,1.35E-01,3.37E-01,9.80E-02,2.54E-01
-9.71787,38.9,1.58E-01,2.96E-01,2.33E-01,4.56E-01,3.56E-01,6.90E-01,3.64E-01,6.95E-01,3.29E-01,6.23E-01,3.14E-01,5.86E-01,2.93E-01,5.41E-01,2.80E-01,5.17E-01,2.68E-01,4.89E-01,2.22E-01,4.10E-01,2.00E-01,3.75E-01,1.51E-01,2.88E-01,1.46E-01,2.93E-01,9.81E-02,2.28E-01,1.34E-01,3.38E-01,9.69E-02,2.54E-01
-9.71787,39,1.48E-01,2.83E-01,2.19E-01,4.36E-01,3.37E-01,6.62E-01,3.47E-01,6.68E-01,3.13E-01,5.97E-01,2.98E-01,5.61E-01,2.78E-01,5.17E-01,2.64E-01,4.93E-01,2.53E-01,4.66E-01,2.10E-01,3.89E-01,1.88E-01,3.56E-01,1.42E-01,2.72E-01,1.36E-01,2.76E-01,8.89E-02,2.11E-01,1.18E-01,3.12E-01,8.47E-02,2.34E-01
-9.61787,38.5,1.65E-01,3.02E-01,2.40E-01,4.61E-01,3.69E-01,7.02E-01,3.81E-01,7.14E-01,3.46E-01,6.42E-01,3.31E-01,6.05E-01,3.07E-01,5.57E-01,2.92E-01,5.31E-01,2.79E-01,5.00E-01,2.31E-01,4.21E-01,2.09E-01,3.87E-01,1.58E-01,2.98E-01,1.53E-01,3.02E-01,1.02E-01,2.31E-01,1.35E-01,3.29E-01,9.99E-02,2.51E-01
-9.61787,38.6,1.64E-01,3.00E-01,2.39E-01,4.57E-01,3.66E-01,6.91E-01,3.79E-01,7.07E-01,3.46E-01,6.41E-01,3.30E-01,6.04E-01,3.06E-01,5.55E-01,2.90E-01,5.29E-01,2.77E-01,4.98E-01,2.29E-01,4.18E-01,2.07E-01,3.84E-01,1.56E-01,2.95E-01,1.51E-01,2.99E-01,1.00E-01,2.29E-01,1.34E-01,3.30E-01,9.81E-02,2.51E-01
-9.61787,38.7,1.62E-01,2.97E-01,2.37E-01,4.51E-01,3.62E-01,6.81E-01,3.75E-01,6.97E-01,3.44E-01,6.35E-01,3.27E-01,5.99E-01,3.04E-01,5.51E-01,2.88E-01,5.26E-01,2.75E-01,4.96E-01,2.28E-01,4.16E-01,2.06E-01,3.81E-01,1.55E-01,2.93E-01,1.50E-01,2.97E-01,9.98E-02,2.29E-01,1.34E-01,3.33E-01,9.79E-02,2.52E-01
-9.61787,38.8,1.60E-01,2.95E-01,2.35E-01,4.48E-01,3.57E-01,6.75E-01,3.70E-01,6.90E-01,3.40E-01,6.30E-01,3.23E-01,5.94E-01,3.00E-01,5.47E-01,2.85E-01,5.22E-01,2.72E-01,4.91E-01,2.25E-01,4.12E-01,2.03E-01,3.77E-01,1.53E-01,2.90E-01,1.47E-01,2.93E-01,9.78E-02,2.26E-01,1.32E-01,3.32E-01,9.58E-02,2.51E-01
-9.61787,38.9,1.55E-01,2.89E-01,2.29E-01,4.40E-01,3.49E-01,6.62E-01,3.61E-01,6.76E-01,3.31E-01,6.17E-01,3.14E-01,5.81E-01,2.92E-01,5.36E-01,2.78E-01,5.12E-01,2.65E-01,4.82E-01,2.20E-01,4.03E-01,1.97E-01,3.68E-01,1.49E-01,2.83E-01,1.43E-01,2.86E-01,9.42E-02,2.21E-01,1.26E-01,3.26E-01,9.13E-02,2.45E-01
