#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-02-24T08:47:19', checksum=154019166, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,1.553189E-01,2.890722E-01,2.256565E-01,4.306464E-01,3.451208E-01,6.553474E-01,3.526563E-01,6.604011E-01,3.170228E-01,5.899273E-01,3.031937E-01,5.657833E-01,2.841887E-01,5.313185E-01,2.710813E-01,5.087624E-01,2.601739E-01,4.796886E-01,2.161456E-01,4.007491E-01,1.946254E-01,3.677985E-01,1.466338E-01,2.820653E-01,1.425494E-01,2.863472E-01,9.482572E-02,2.178178E-01,1.249938E-01,3.104593E-01,9.149069E-02,2.360166E-01
-9.71787,38.70000,1.505278E-01,2.872188E-01,2.229124E-01,4.292895E-01,3.424953E-01,6.516103E-01,3.475685E-01,6.574982E-01,3.089372E-01,5.900651E-01,2.953922E-01,5.607606E-01,2.772826E-01,5.204891E-01,2.646311E-01,4.974751E-01,2.539712E-01,4.692976E-01,2.110986E-01,3.914421E-01,1.893765E-01,3.593095E-01,1.428546E-01,2.749123E-01,1.384099E-01,2.803226E-01,9.183447E-02,2.142468E-01,1.210530E-01,3.079774E-01,8.832190E-02,2.338220E-01
-9.71787,38.80000,1.484714E-01,2.863228E-01,2.200064E-01,4.320508E-01,3.374971E-01,6.530952E-01,3.424325E-01,6.565096E-01,3.042697E-01,5.869526E-01,2.911085E-01,5.562063E-01,2.738798E-01,5.158004E-01,2.617881E-01,4.929217E-01,2.515236E-01,4.660497E-01,2.091154E-01,3.884101E-01,1.871725E-01,3.561354E-01,1.410802E-01,2.717941E-01,1.368311E-01,2.780746E-01,9.098884E-02,2.134240E-01,1.209561E-01,3.100795E-01,8.775862E-02,2.343897E-01
-9.71787,38.90000,1.478946E-01,2.825325E-01,2.189827E-01,4.240240E-01,3.336494E-01,6.401098E-01,3.397206E-01,6.418449E-01,3.017511E-01,5.756118E-01,2.888350E-01,5.509200E-01,2.724642E-01,5.139772E-01,2.610230E-01,4.926413E-01,2.512033E-01,4.666685E-01,2.088483E-01,3.888910E-01,1.867505E-01,3.561572E-01,1.405041E-01,2.711350E-01,1.367807E-01,2.786225E-01,9.156828E-02,2.154100E-01,1.235348E-01,3.174488E-01,8.911404E-02,2.386606E-01
-9.71787,39.00000,1.361808E-01,2.613396E-01,1.963287E-01,3.889159E-01,3.020103E-01,5.917709E-01,3.118733E-01,5.968223E-01,2.821063E-01,5.350212E-01,2.717573E-01,5.134652E-01,2.568904E-01,4.817916E-01,2.471815E-01,4.672711E-01,2.362852E-01,4.471057E-01,1.976608E-01,3.733975E-01,1.771788E-01,3.458250E-01,1.342770E-01,2.641475E-01,1.295300E-01,2.703209E-01,8.375510E-02,2.078278E-01,1.099519E-01,3.056225E-01,7.941243E-02,2.298540E-01
-9.61787,38.50000,1.537495E-01,2.899991E-01,2.266717E-01,4.297625E-01,3.479442E-01,6.544349E-01,3.546040E-01,6.643293E-01,3.162339E-01,5.973362E-01,3.027733E-01,5.687131E-01,2.838586E-01,5.275778E-01,2.708630E-01,5.046415E-01,2.598126E-01,4.754589E-01,2.158749E-01,3.972367E-01,1.945245E-01,3.654150E-01,1.467955E-01,2.806056E-01,1.424887E-01,2.853670E-01,9.453069E-02,2.168468E-01,1.236439E-01,3.066320E-01,9.078018E-02,2.337632E-01
-9.61787,38.60000,1.490437E-01,2.866762E-01,2.185159E-01,4.315774E-01,3.362353E-01,6.537716E-01,3.441111E-01,6.628535E-01,3.075967E-01,5.895131E-01,2.949189E-01,5.562492E-01,2.770499E-01,5.149608E-01,2.646061E-01,4.931265E-01,2.537985E-01,4.654456E-01,2.110332E-01,3.881708E-01,1.894348E-01,3.570711E-01,1.430994E-01,2.734939E-01,1.385081E-01,2.793649E-01,9.160140E-02,2.131778E-01,1.197496E-01,3.038444E-01,8.761925E-02,2.313877E-01
-9.61787,38.70000,1.467023E-01,2.818161E-01,2.144299E-01,4.268438E-01,3.288572E-01,6.452971E-01,3.367834E-01,6.447106E-01,3.016990E-01,5.753768E-01,2.900548E-01,5.450597E-01,2.737429E-01,5.075681E-01,2.624510E-01,4.880610E-01,2.523028E-01,4.624341E-01,2.098902E-01,3.855253E-01,1.881982E-01,3.546331E-01,1.419530E-01,2.708005E-01,1.380539E-01,2.788059E-01,9.201383E-02,2.147545E-01,1.221048E-01,3.105011E-01,8.885188E-02,2.352590E-01
-9.61787,38.80000,1.445013E-01,2.790483E-01,2.112981E-01,4.233650E-01,3.232354E-01,6.383573E-01,3.307422E-01,6.356891E-01,2.968707E-01,5.682020E-01,2.854908E-01,5.384225E-01,2.698368E-01,5.023534E-01,2.589599E-01,4.832499E-01,2.489739E-01,4.587637E-01,2.071851E-01,3.820977E-01,1.853409E-01,3.511631E-01,1.397791E-01,2.675090E-01,1.358875E-01,2.762697E-01,9.079140E-02,2.137685E-01,1.214149E-01,3.124058E-01,8.797101E-02,2.357397E-01
-9.61787,38.90000,1.417224E-01,2.754425E-01,2.076371E-01,4.155548E-01,3.174630E-01,6.249024E-01,3.250580E-01,6.291042E-01,2.923265E-01,5.632694E-01,2.807120E-01,5.326710E-01,2.651751E-01,4.960357E-01,2.541288E-01,4.759257E-01,2.442237E-01,4.523201E-01,2.032944E-01,3.761014E-01,1.810814E-01,3.449911E-01,1.365864E-01,2.623248E-01,1.321906E-01,2.704782E-01,8.743345E-02,2.088374E-01,1.167827E-01,3.068496E-01,8.413438E-02,2.309441E-01
-9.61787,39.00000,1.369327E-01,2.594242E-01,1.969967E-01,3.827713E-01,3.017074E-01,5.792891E-01,3.136989E-01,5.895926E-01,2.865303E-01,5.367138E-01,2.754272E-01,5.154493E-01,2.596619E-01,4.836600E-01,2.493738E-01,4.688072E-01,2.377758E-01,4.475482E-01,1.988162E-01,3.730100E-01,1.769626E-01,3.415468E-01,1.337363E-01,2.592168E-01,1.293792E-01,2.671457E-01,8.355781E-02,2.065214E-01,1.103385E-01,3.062442E-01,7.959048E-02,2.296632E-01
-9.61787,39.10000,1.303572E-01,2.498336E-01,1.856156E-01,3.660679E-01,2.845817E-01,5.526021E-01,2.948737E-01,5.561178E-01,2.689408E-01,5.020958E-01,2.609781E-01,4.858224E-01,2.488495E-01,4.608820E-01,2.411176E-01,4.530253E-01,2.310532E-01,4.374267E-01,1.927057E-01,3.638127E-01,1.708054E-01,3.325067E-01,1.284375E-01,2.520618E-01,1.230261E-01,2.573447E-01,7.858335E-02,1.965829E-01,1.040414E-01,2.913800E-01,7.387164E-02,2.181128E-01
