lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
38.6,-9.71787,5,800,TRUE,150,31.07,0.57
38.7,-9.71787,5,800,TRUE,150,31.07,0.57
38.8,-9.71787,5,800,TRUE,150,31.07,0.57
38.9,-9.71787,5,800,TRUE,150,31.07,0.57
39,-9.71787,5,800,TRUE,150,31.07,0.57
38.5,-9.61787,5,800,TRUE,150,31.07,0.57
38.6,-9.61787,5,800,TRUE,150,31.07,0.57
38.7,-9.61787,5,800,TRUE,150,31.07,0.57
38.8,-9.61787,5,800,TRUE,150,31.07,0.57
38.9,-9.61787,5,800,TRUE,150,31.07,0.57
39,-9.61787,5,800,TRUE,150,31.07,0.57
39.1,-9.61787,5,800,TRUE,150,31.07,0.57
39.2,-9.61787,5,800,TRUE,150,31.07,0.57
39.3,-9.61787,5,800,TRUE,150,31.07,0.57
39.4,-9.61787,5,800,TRUE,150,31.07,0.57
39.5,-9.61787,5,800,TRUE,150,31.07,0.57
38.5,-9.51787,5,800,TRUE,150,31.07,0.57
38.6,-9.51787,5,800,TRUE,150,31.07,0.57
38.7,-9.51787,5,800,TRUE,150,31.07,0.57
38.8,-9.51787,5,800,TRUE,150,31.07,0.57
38.9,-9.51787,5,800,TRUE,150,31.07,0.57
39,-9.51787,5,800,TRUE,150,31.07,0.57
39.1,-9.51787,5,800,TRUE,150,31.07,0.57
39.2,-9.51787,5,800,TRUE,150,31.07,0.57
39.3,-9.51787,5,800,TRUE,150,31.07,0.57
39.4,-9.51787,5,800,TRUE,150,31.07,0.57
39.5,-9.51787,5,800,TRUE,150,31.07,0.57
39.6,-9.51787,5,800,TRUE,150,31.07,0.57
38.2,-9.41787,5,800,TRUE,150,31.07,0.57
38.3,-9.41787,5,800,TRUE,150,31.07,0.57
38.4,-9.41787,5,800,TRUE,150,31.07,0.57
38.5,-9.41787,5,800,TRUE,150,31.07,0.57
38.6,-9.41787,5,800,TRUE,150,31.07,0.57
38.7,-9.41787,5,800,TRUE,150,31.07,0.57
38.8,-9.41787,5,800,TRUE,150,31.07,0.57
38.9,-9.41787,5,800,TRUE,150,31.07,0.57
39,-9.41787,5,800,TRUE,150,31.07,0.57
39.1,-9.41787,5,800,TRUE,150,31.07,0.57
