#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,6.146175E-01,5.361904E-01,4.567604E-01,3.801327E-01,3.093387E-01,2.462379E-01,1.915457E-01,1.452257E-01,1.069037E-01,7.606830E-02,5.208816E-02,3.416962E-02,2.136400E-02,1.264890E-02,7.034082E-03,3.637754E-03,1.728223E-03,7.425836E-04,2.831057E-04,9.370373E-05,2.632661E-05,6.146423E-06,1.170199E-06,1.784269E-07,2.116113E-08
-9.71787,38.70000,0.00000,5.996224E-01,5.218433E-01,4.441633E-01,3.700096E-01,3.018875E-01,2.411672E-01,1.882896E-01,1.431964E-01,1.056505E-01,7.531204E-02,5.167457E-02,3.399926E-02,2.134805E-02,1.270582E-02,7.104401E-03,3.691718E-03,1.759674E-03,7.570712E-04,2.883394E-04,9.512911E-05,2.659199E-05,6.168650E-06,1.165837E-06,1.762963E-07,2.067259E-08
-9.71787,38.80000,0.00000,5.846192E-01,5.076702E-01,4.317413E-01,3.598490E-01,2.940207E-01,2.352588E-01,1.838627E-01,1.398323E-01,1.030752E-01,7.337981E-02,5.030083E-02,3.309929E-02,2.081473E-02,1.242327E-02,6.971801E-03,3.637175E-03,1.740310E-03,7.512586E-04,2.868843E-04,9.481108E-05,2.652105E-05,6.150805E-06,1.161610E-06,1.755455E-07,2.057998E-08
-9.71787,38.90000,0.00000,5.696767E-01,4.938189E-01,4.197890E-01,3.501528E-01,2.864500E-01,2.293492E-01,1.790785E-01,1.357831E-01,9.959181E-02,7.046054E-02,4.799810E-02,3.142345E-02,1.969989E-02,1.174803E-02,6.600144E-03,3.451486E-03,1.656083E-03,7.165098E-04,2.738372E-04,9.039471E-05,2.520723E-05,5.820474E-06,1.094280E-06,1.648144E-07,1.927297E-08
-9.71787,39.00000,0.00000,5.549754E-01,4.802841E-01,4.080271E-01,3.403339E-01,2.783642E-01,2.226038E-01,1.733130E-01,1.307839E-01,9.528745E-02,6.685898E-02,4.511404E-02,2.923479E-02,1.813888E-02,1.071232E-02,5.969584E-03,3.104722E-03,1.486694E-03,6.442943E-04,2.474788E-04,8.232977E-05,2.318504E-05,5.414698E-06,1.030851E-06,1.574378E-07,1.873896E-08
-9.61787,38.50000,0.00000,6.313558E-01,5.529416E-01,4.724119E-01,3.939078E-01,3.209321E-01,2.557892E-01,1.994547E-01,1.519125E-01,1.126456E-01,8.096763E-02,5.613703E-02,3.734590E-02,2.369894E-02,1.424295E-02,8.034907E-03,4.208144E-03,2.018587E-03,8.722165E-04,3.328707E-04,1.097945E-04,3.061782E-05,7.071100E-06,1.327929E-06,1.991098E-07,2.306768E-08
-9.61787,38.60000,0.00000,6.163769E-01,5.383295E-01,4.594330E-01,3.835206E-01,3.135554E-01,2.512510E-01,1.971611E-01,1.511227E-01,1.127019E-01,8.140457E-02,5.668274E-02,3.786469E-02,2.412791E-02,1.455685E-02,8.236010E-03,4.319410E-03,2.071128E-03,8.931470E-04,3.397918E-04,1.116456E-04,3.100236E-05,7.128825E-06,1.333040E-06,1.990270E-07,2.293596E-08
-9.61787,38.70000,0.00000,6.013705E-01,5.239692E-01,4.468490E-01,3.734490E-01,3.061800E-01,2.462555E-01,1.939585E-01,1.491137E-01,1.114302E-01,8.058736E-02,5.616593E-02,3.755666E-02,2.395651E-02,1.446173E-02,8.176428E-03,4.276480E-03,2.040171E-03,8.735168E-04,3.295093E-04,1.073088E-04,2.954880E-05,6.745013E-06,1.253689E-06,1.862648E-07,2.135787E-08
-9.61787,38.80000,0.00000,5.863395E-01,5.098215E-01,4.345665E-01,3.635774E-01,2.987370E-01,2.408397E-01,1.899978E-01,1.461043E-01,1.090532E-01,7.870079E-02,5.472587E-02,3.653290E-02,2.328985E-02,1.406609E-02,7.961906E-03,4.169661E-03,1.991294E-03,8.531847E-04,3.219744E-04,1.048843E-04,2.888972E-05,6.598120E-06,1.227692E-06,1.827454E-07,2.102939E-08
-9.61787,38.90000,0.00000,5.714346E-01,4.959582E-01,4.225454E-01,3.537500E-01,2.909885E-01,2.347451E-01,1.850626E-01,1.419519E-01,1.054965E-01,7.570808E-02,5.233080E-02,3.474825E-02,2.206712E-02,1.330222E-02,7.529337E-03,3.948325E-03,1.888849E-03,8.101257E-04,3.055061E-04,9.920906E-05,2.717297E-05,6.159478E-06,1.136726E-06,1.679379E-07,1.917819E-08
