#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='mean', investigation_time=1.0, imt='SA(0.25)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,7.062849E-01,6.329737E-01,5.535278E-01,4.719583E-01,3.922790E-01,3.179477E-01,2.513835E-01,1.937739E-01,1.453084E-01,1.056107E-01,7.404141E-02,4.980925E-02,3.197533E-02,1.946761E-02,1.115631E-02,5.962027E-03,2.939013E-03,1.319304E-03,5.306119E-04,1.872917E-04,5.659903E-05,1.425093E-05,2.908393E-06,4.682275E-07,5.767385E-08
-9.71787,38.70000,0.00000,6.925262E-01,6.183873E-01,5.393320E-01,4.592772E-01,3.818975E-01,3.101580E-01,2.459862E-01,1.902554E-01,1.430907E-01,1.042280E-01,7.319325E-02,4.932517E-02,3.174817E-02,1.940572E-02,1.117589E-02,6.002572E-03,2.970962E-03,1.336586E-03,5.375029E-04,1.892446E-04,5.692148E-05,1.424114E-05,2.884369E-06,4.603195E-07,5.608878E-08
-9.71787,38.80000,0.00000,6.784419E-01,6.037326E-01,5.252466E-01,4.467128E-01,3.714350E-01,3.019340E-01,2.397598E-01,1.855991E-01,1.395912E-01,1.015919E-01,7.124811E-02,4.796457E-02,3.087312E-02,1.889904E-02,1.091493E-02,5.883637E-03,2.922991E-03,1.319330E-03,5.318358E-04,1.874540E-04,5.634828E-05,1.406218E-05,2.836006E-06,4.501176E-07,5.450928E-08
-9.71787,38.90000,0.00000,6.640238E-01,5.890484E-01,5.113904E-01,4.345371E-01,3.613827E-01,2.939779E-01,2.335138E-01,1.805658E-01,1.353927E-01,9.805612E-02,6.835921E-02,4.575042E-02,2.931380E-02,1.789945E-02,1.033328E-02,5.576620E-03,2.775982E-03,1.255445E-03,5.066005E-04,1.783983E-04,5.343214E-05,1.324632E-05,2.646934E-06,4.155695E-07,4.972458E-08
-9.71787,39.00000,0.00000,6.495763E-01,5.745525E-01,4.978041E-01,4.225185E-01,3.511968E-01,2.855231E-01,2.264754E-01,1.746149E-01,1.303099E-01,9.374885E-02,6.481585E-02,4.297298E-02,2.726597E-02,1.649247E-02,9.441495E-03,5.061775E-03,2.509225E-03,1.133256E-03,4.578847E-04,1.617979E-04,4.870783E-05,1.215472E-05,2.448676E-06,3.883140E-07,4.706407E-08
-9.61787,38.50000,0.00000,7.210166E-01,6.491594E-01,5.699812E-01,4.875434E-01,4.061721E-01,3.297713E-01,2.611919E-01,2.018929E-01,1.521126E-01,1.113601E-01,7.884505E-02,5.368027E-02,3.492143E-02,2.155549E-02,1.252133E-02,6.777286E-03,3.377640E-03,1.528089E-03,6.167721E-04,2.174628E-04,6.536028E-05,1.630857E-05,3.288582E-06,5.216821E-07,6.307750E-08
-9.61787,38.60000,0.00000,7.076523E-01,6.346526E-01,5.555853E-01,4.745418E-01,3.955793E-01,3.220939E-01,2.563438E-01,1.993267E-01,1.510929E-01,1.112157E-01,7.909635E-02,5.405314E-02,3.528844E-02,2.186301E-02,1.274680E-02,6.919236E-03,3.452720E-03,1.560898E-03,6.284268E-04,2.207391E-04,6.604764E-05,1.639915E-05,3.289503E-06,5.188648E-07,6.231853E-08
-9.61787,38.70000,0.00000,6.939151E-01,6.200594E-01,5.413747E-01,4.618707E-01,3.852489E-01,3.143827E-01,2.510224E-01,1.958584E-01,1.488892E-01,1.098059E-01,7.817710E-02,5.345636E-02,3.491879E-02,2.164932E-02,1.262795E-02,6.850553E-03,3.409906E-03,1.534148E-03,6.134310E-04,2.137340E-04,6.342367E-05,1.562774E-05,3.114194E-06,4.885016E-07,5.836925E-08
-9.61787,38.80000,0.00000,6.797962E-01,6.053681E-01,5.272999E-01,4.494311E-01,3.750682E-01,3.065785E-01,2.452757E-01,1.916392E-01,1.457037E-01,1.073285E-01,7.625129E-02,5.202120E-02,3.392725E-02,2.102617E-02,1.227384E-02,6.667840E-03,3.323471E-03,1.496405E-03,5.983163E-04,2.082976E-04,6.171912E-05,1.517853E-05,3.018658E-06,4.727390E-07,5.644435E-08
-9.61787,38.90000,0.00000,6.654834E-01,5.907398E-01,5.134474E-01,4.372017E-01,3.649014E-01,2.984636E-01,2.388654E-01,1.864730E-01,1.414104E-01,1.037159E-01,7.327877E-02,4.970758E-02,3.226119E-02,1.992954E-02,1.161854E-02,6.313890E-03,3.150768E-03,1.419991E-03,5.675081E-04,1.970032E-04,5.801939E-05,1.413328E-05,2.775305E-06,4.281087E-07,5.022363E-08
