#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.499763E-01,1.954963E-01,3.005706E-01,3.284868E-01,3.125184E-01,2.723237E-01,2.263204E-01,1.971368E-01,1.780627E-01,1.546559E-01,1.291573E-01,1.053884E-01,7.539748E-02,3.502331E-02,2.123112E-02,1.557289E-02,2.982175E-01,3.910360E-01,6.079191E-01,6.720144E-01,6.375672E-01,5.528423E-01,4.538221E-01,3.903709E-01,3.463636E-01,2.982523E-01,2.486697E-01,2.060392E-01,1.486316E-01,7.050494E-02,4.332051E-02,3.197404E-02
-9.71787,38.70000,1.512404E-01,1.973328E-01,3.038507E-01,3.320669E-01,3.153048E-01,2.738627E-01,2.268710E-01,1.966617E-01,1.768210E-01,1.528406E-01,1.271393E-01,1.036066E-01,7.387623E-02,3.432498E-02,2.076608E-02,1.525148E-02,3.003176E-01,3.940658E-01,6.131210E-01,6.775137E-01,6.418257E-01,5.553358E-01,4.547609E-01,3.896591E-01,3.441545E-01,2.945806E-01,2.445279E-01,2.022343E-01,1.453650E-01,6.894692E-02,4.238812E-02,3.133617E-02
-9.71787,38.80000,1.503515E-01,1.962933E-01,3.023931E-01,3.303495E-01,3.134402E-01,2.719062E-01,2.246942E-01,1.943021E-01,1.741829E-01,1.502291E-01,1.245773E-01,1.015415E-01,7.218369E-02,3.359443E-02,2.029432E-02,1.493032E-02,2.996417E-01,3.933755E-01,6.122079E-01,6.761792E-01,6.400527E-01,5.532346E-01,4.521697E-01,3.865656E-01,3.402808E-01,2.899670E-01,2.398872E-01,1.979293E-01,1.419958E-01,6.739521E-02,4.137301E-02,3.071604E-02
-9.71787,38.90000,1.466623E-01,1.915435E-01,2.948854E-01,3.218432E-01,3.055206E-01,2.653086E-01,2.188490E-01,1.893426E-01,1.695775E-01,1.464385E-01,1.211688E-01,9.898592E-02,7.017256E-02,3.276899E-02,1.977125E-02,1.456936E-02,2.943995E-01,3.867984E-01,6.017180E-01,6.638504E-01,6.283664E-01,5.433862E-01,4.433369E-01,3.789887E-01,3.330165E-01,2.826193E-01,2.338977E-01,1.924423E-01,1.381605E-01,6.573252E-02,4.027486E-02,2.996777E-02
-9.71787,39.00000,1.391209E-01,1.816624E-01,2.789114E-01,3.039371E-01,2.894617E-01,2.526201E-01,2.083059E-01,1.810879E-01,1.625143E-01,1.412186E-01,1.167932E-01,9.592381E-02,6.785708E-02,3.189377E-02,1.924693E-02,1.422554E-02,2.831074E-01,3.722234E-01,5.781380E-01,6.367890E-01,6.037202E-01,5.236357E-01,4.267921E-01,3.659512E-01,3.216910E-01,2.727371E-01,2.264230E-01,1.861121E-01,1.338723E-01,6.400055E-02,3.918287E-02,2.924478E-02
-9.61787,38.50000,1.617168E-01,2.108766E-01,3.256279E-01,3.545645E-01,3.375780E-01,2.917421E-01,2.410792E-01,2.092058E-01,1.880002E-01,1.614407E-01,1.346278E-01,1.089670E-01,7.803231E-02,3.593135E-02,2.174812E-02,1.589957E-02,3.169092E-01,4.151906E-01,6.473217E-01,7.170875E-01,6.777856E-01,5.842669E-01,4.797296E-01,4.100360E-01,3.626750E-01,3.096403E-01,2.579337E-01,2.123526E-01,1.534518E-01,7.226285E-02,4.423594E-02,3.255115E-02
-9.61787,38.60000,1.637809E-01,2.137542E-01,3.305506E-01,3.592760E-01,3.420024E-01,2.947961E-01,2.426991E-01,2.097291E-01,1.875604E-01,1.601468E-01,1.330134E-01,1.074304E-01,7.668272E-02,3.527481E-02,2.129548E-02,1.557733E-02,3.194402E-01,4.187233E-01,6.532677E-01,7.235721E-01,6.832430E-01,5.879629E-01,4.819144E-01,4.103909E-01,3.614002E-01,3.066470E-01,2.543160E-01,2.088903E-01,1.504169E-01,7.076418E-02,4.331970E-02,3.191329E-02
-9.61787,38.70000,1.625862E-01,2.123330E-01,3.283855E-01,3.571122E-01,3.398443E-01,2.926123E-01,2.407072E-01,2.073440E-01,1.849118E-01,1.575455E-01,1.304757E-01,1.054039E-01,7.503096E-02,3.456387E-02,2.083492E-02,1.526308E-02,3.159903E-01,4.145062E-01,6.464343E-01,7.154230E-01,6.759282E-01,5.820919E-01,4.766040E-01,4.055682E-01,3.563207E-01,3.015651E-01,2.493403E-01,2.047590E-01,1.470046E-01,6.922077E-02,4.241316E-02,3.129725E-02
-9.61787,38.80000,1.606605E-01,2.099096E-01,3.246085E-01,3.533905E-01,3.357753E-01,2.890856E-01,2.377816E-01,2.042261E-01,1.817340E-01,1.546515E-01,1.277318E-01,1.032578E-01,7.329904E-02,3.382831E-02,2.036129E-02,1.493759E-02,3.132728E-01,4.111661E-01,6.411429E-01,7.090681E-01,6.697955E-01,5.767661E-01,4.715728E-01,4.008877E-01,3.513704E-01,2.965743E-01,2.444282E-01,2.006553E-01,1.436209E-01,6.769417E-02,4.142454E-02,3.068753E-02
-9.61787,38.90000,1.565325E-01,2.045780E-01,3.161153E-01,3.450705E-01,3.269010E-01,2.818258E-01,2.322168E-01,1.989335E-01,1.768830E-01,1.507385E-01,1.242473E-01,1.006914E-01,7.129287E-02,3.303040E-02,1.986862E-02,1.460969E-02,3.072377E-01,4.035782E-01,6.289840E-01,6.947706E-01,6.563476E-01,5.655920E-01,4.617088E-01,3.926477E-01,3.436584E-01,2.897930E-01,2.383282E-01,1.952421E-01,1.397985E-01,6.606947E-02,4.036474E-02,2.997356E-02
