#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='quantile-0.05', investigation_time=1.0, imt='SA(0.75)'"
lon,lat,depth,poe-0.0005000,poe-0.0007271,poe-0.0010574,poe-0.0015376,poe-0.0022361,poe-0.0032517,poe-0.0047287,poe-0.0068766,poe-0.0100000,poe-0.0145422,poe-0.0211474,poe-0.0307529,poe-0.0447214,poe-0.0650345,poe-0.0945742,poe-0.1375312,poe-0.2000000,poe-0.2908431,poe-0.4229485,poe-0.6150582,poe-0.8944272,poe-1.3006898,poe-1.8914832,poe-2.7506241,poe-4.0000000
-9.71787,38.60000,0.00000,4.949332E-01,4.183892E-01,3.440230E-01,2.749611E-01,2.136305E-01,1.614654E-01,1.178382E-01,7.855377E-02,5.077844E-02,3.184887E-02,1.930493E-02,1.120719E-02,6.137120E-03,3.111048E-03,1.428005E-03,5.780235E-04,2.030218E-04,6.144043E-05,1.601479E-05,3.591909E-06,6.854248E-07,1.089478E-07,1.393326E-08,1.375447E-09,9.415657E-11
-9.71787,38.70000,0.00000,4.883510E-01,4.125548E-01,3.391637E-01,2.711198E-01,2.107383E-01,1.593859E-01,1.141264E-01,7.599259E-02,4.911543E-02,3.078486E-02,1.862847E-02,1.078239E-02,5.878167E-03,2.959231E-03,1.346236E-03,5.389256E-04,1.868665E-04,5.574699E-05,1.430669E-05,3.156699E-06,5.930161E-07,9.269495E-08,1.169081E-08,1.143674E-09,7.714529E-11
-9.71787,38.80000,0.00000,4.813550E-01,4.059771E-01,3.332336E-01,2.659758E-01,2.064549E-01,1.559687E-01,1.104321E-01,7.350619E-02,4.749155E-02,2.974253E-02,1.796858E-02,1.037420E-02,5.636115E-03,2.822930E-03,1.276845E-03,5.082200E-04,1.754894E-04,5.232018E-05,1.348518E-05,3.002280E-06,5.707889E-07,9.023702E-08,1.149626E-08,1.135851E-09,7.714995E-11
-9.71787,38.90000,0.00000,4.735548E-01,3.986001E-01,3.263669E-01,2.596792E-01,2.008331E-01,1.511436E-01,1.067975E-01,7.106142E-02,4.590024E-02,2.872917E-02,1.733505E-02,9.988003E-03,5.410458E-03,2.698284E-03,1.214884E-03,4.817467E-04,1.661374E-04,4.966528E-05,1.289068E-05,2.898368E-06,5.567173E-07,8.883403E-08,1.140051E-08,1.132284E-09,7.725176E-11
-9.71787,39.00000,0.00000,4.659592E-01,3.911307E-01,3.192239E-01,2.530496E-01,1.948740E-01,1.459685E-01,1.030971E-01,6.854116E-02,4.424372E-02,2.767053E-02,1.667597E-02,9.590548E-03,5.181893E-03,2.575747E-03,1.156125E-03,4.578920E-04,1.582711E-04,4.758841E-05,1.242601E-05,2.793156E-06,5.295772E-07,8.212817E-08,1.006986E-08,9.336680E-10,5.503675E-11
-9.61787,38.50000,0.00000,5.014884E-01,4.250129E-01,3.505876E-01,2.813570E-01,2.196991E-01,1.670097E-01,1.226822E-01,8.252446E-02,5.335176E-02,3.343837E-02,2.024090E-02,1.173231E-02,6.416466E-03,3.249281E-03,1.490540E-03,6.021349E-04,2.101873E-04,6.273591E-05,1.596703E-05,3.465838E-06,6.374868E-07,9.792815E-08,1.216790E-08,1.173080E-09,7.969136E-11
-9.61787,38.60000,0.00000,4.949705E-01,4.194954E-01,3.463603E-01,2.784210E-01,2.178567E-01,1.659720E-01,1.198488E-01,7.988957E-02,5.164116E-02,3.234448E-02,1.954707E-02,1.129885E-02,6.154208E-03,3.095755E-03,1.408145E-03,5.627648E-04,1.939544E-04,5.708599E-05,1.432686E-05,3.071428E-06,5.606867E-07,8.557562E-08,1.061581E-08,1.031897E-09,7.074452E-11
-9.61787,38.70000,0.00000,4.885241E-01,4.138359E-01,3.417100E-01,2.747943E-01,2.151466E-01,1.640074E-01,1.159355E-01,7.723766E-02,4.989695E-02,3.121733E-02,1.882875E-02,1.085150E-02,5.886941E-03,2.942387E-03,1.328492E-03,5.263063E-04,1.796733E-04,5.239469E-05,1.304843E-05,2.784000E-06,5.077041E-07,7.775212E-08,9.682484E-09,9.516296E-10,6.608036E-11
-9.61787,38.80000,0.00000,4.815255E-01,4.074382E-01,3.360468E-01,2.698876E-01,2.109917E-01,1.605902E-01,1.121598E-01,7.469454E-02,4.823593E-02,3.015347E-02,1.815940E-02,1.044228E-02,5.648772E-03,2.813257E-03,1.262809E-03,4.979118E-04,1.693659E-04,4.934343E-05,1.232805E-05,2.650564E-06,4.885375E-07,7.573401E-08,9.517796E-09,9.453839E-10,6.602974E-11
-9.61787,38.90000,0.00000,4.744200E-01,4.006483E-01,3.297023E-01,2.640664E-01,2.057785E-01,1.560819E-01,1.084845E-01,7.222012E-02,4.662465E-02,2.912876E-02,1.752106E-02,1.005545E-02,5.424675E-03,2.692499E-03,1.202259E-03,4.724140E-04,1.605053E-04,4.687542E-05,1.178856E-05,2.559422E-06,4.768089E-07,7.465328E-08,9.460114E-09,9.444315E-10,6.607981E-11
