#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='quantile-0.95', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,7.330769E-01,6.725978E-01,6.068913E-01,5.375714E-01,4.661825E-01,3.943618E-01,3.240615E-01,2.575537E-01,1.971545E-01,1.448026E-01,1.016672E-01,6.797266E-02,4.307352E-02,2.571378E-02,1.434625E-02,7.403496E-03,3.487056E-03,1.473824E-03,5.477120E-04,1.749446E-04,4.690389E-05,1.031330E-05,1.818315E-06,2.503093E-07,2.543118E-08
-9.71787,38.70000,0.00000,7.248825E-01,6.645032E-01,5.996368E-01,5.316857E-01,4.618393E-01,3.914034E-01,3.221430E-01,2.563190E-01,1.963505E-01,1.443037E-01,1.014232E-01,6.794532E-02,4.319894E-02,2.591116E-02,1.454367E-02,7.557584E-03,3.585389E-03,1.525551E-03,5.699825E-04,1.826814E-04,4.903506E-05,1.076931E-05,1.892359E-06,2.590938E-07,2.606290E-08
-9.71787,38.80000,0.00000,7.164034E-01,6.560250E-01,5.916580E-01,5.244465E-01,4.553216E-01,3.854564E-01,3.166530E-01,2.512958E-01,1.919253E-01,1.406419E-01,9.862930E-02,6.600589E-02,4.198765E-02,2.523979E-02,1.422038E-02,7.426881E-03,3.543742E-03,1.516785E-03,5.698979E-04,1.835699E-04,4.948875E-05,1.091091E-05,1.924395E-06,2.646013E-07,2.678518E-08
-9.71787,38.90000,0.00000,7.077764E-01,6.475730E-01,5.838431E-01,5.174132E-01,4.488821E-01,3.792407E-01,3.103476E-01,2.448386E-01,1.855564E-01,1.347810E-01,9.368614E-02,6.221424E-02,3.935191E-02,2.358306E-02,1.328179E-02,6.949648E-03,3.326894E-03,1.428921E-03,5.381931E-04,1.734439E-04,4.667068E-05,1.024714E-05,1.796658E-06,2.452055E-07,2.451041E-08
-9.71787,39.00000,0.00000,6.990501E-01,6.388438E-01,5.753278E-01,5.090687E-01,4.405209E-01,3.707190E-01,3.017006E-01,2.362997E-01,1.774772E-01,1.275274E-01,8.754204E-02,5.732761E-02,3.572622E-02,2.109734E-02,1.172659E-02,6.074651E-03,2.891585E-03,1.241150E-03,4.695581E-04,1.527235E-04,4.164572E-05,9.297264E-06,1.661901E-06,2.319486E-07,2.395525E-08
-9.61787,38.50000,0.00000,7.407062E-01,6.804994E-01,6.146317E-01,5.449535E-01,4.733249E-01,4.015929E-01,3.317029E-01,2.657098E-01,2.056193E-01,1.531146E-01,1.092772E-01,7.442156E-02,4.811056E-02,2.932501E-02,1.670742E-02,8.797445E-03,4.219875E-03,1.811115E-03,6.809975E-04,2.192123E-04,5.899481E-05,1.297255E-05,2.280026E-06,3.119968E-07,3.132251E-08
-9.61787,38.60000,0.00000,7.327365E-01,6.726437E-01,6.078575E-01,5.401189E-01,4.708990E-01,4.015231E-01,3.334781E-01,2.685789E-01,2.088422E-01,1.561408E-01,1.118039E-01,7.635400E-02,4.948193E-02,3.022750E-02,1.725312E-02,9.096352E-03,4.365775E-03,1.873222E-03,7.034561E-04,2.259074E-04,6.058806E-05,1.326500E-05,2.319626E-06,3.155838E-07,3.141143E-08
-9.61787,38.70000,0.00000,7.244412E-01,6.643078E-01,6.001406E-01,5.334762E-01,4.654873E-01,3.972526E-01,3.301596E-01,2.660245E-01,2.069210E-01,1.547620E-01,1.108791E-01,7.577816E-02,4.914021E-02,3.002222E-02,1.712041E-02,9.004839E-03,4.303519E-03,1.834920E-03,6.834166E-04,2.173344E-04,5.766436E-05,1.248390E-05,2.158195E-06,2.900723E-07,2.836713E-08
-9.61787,38.80000,0.00000,7.160113E-01,6.560249E-01,5.926353E-01,5.270991E-01,4.602191E-01,3.928017E-01,3.261538E-01,2.622223E-01,2.032899E-01,1.514466E-01,1.080778E-01,7.362228E-02,4.763870E-02,2.907823E-02,1.658612E-02,8.734039E-03,4.181505E-03,1.786501E-03,6.667046E-04,2.124044E-04,5.644998E-05,1.224164E-05,2.120441E-06,2.856949E-07,2.807229E-08
-9.61787,38.90000,0.00000,7.074405E-01,6.475397E-01,5.846678E-01,5.197884E-01,4.534233E-01,3.862398E-01,3.195937E-01,2.556216E-01,1.968357E-01,1.454834E-01,1.029663E-01,6.960072E-02,4.475396E-02,2.720340E-02,1.548955E-02,8.160241E-03,3.913959E-03,1.675426E-03,6.256397E-04,1.989409E-04,5.259543E-05,1.130445E-05,1.933597E-06,2.561491E-07,2.444822E-08
-9.61787,39.00000,0.00000,6.988104E-01,6.390143E-01,5.765258E-01,5.119850E-01,4.456528E-01,3.781335E-01,3.109499E-01,2.465361E-01,1.877046E-01,1.368554E-01,9.537269E-02,6.340431E-02,4.008589E-02,2.397591E-02,1.346130E-02,7.017323E-03,3.346252E-03,1.431852E-03,5.373841E-04,1.725875E-04,4.627957E-05,1.012477E-05,1.768732E-06,2.405110E-07,2.393920E-08
-9.61787,39.10000,0.00000,6.900210E-01,6.301429E-01,5.676182E-01,5.028279E-01,4.359533E-01,3.677432E-01,3.000008E-01,2.354378E-01,1.769995E-01,1.270663E-01,8.687820E-02,5.640647E-02,3.462792E-02,1.997623E-02,1.073944E-02,5.322748E-03,2.398029E-03,9.646223E-04,3.391905E-04,1.018885E-04,2.554444E-05,5.226296E-06,8.817290E-07,1.522690E-07,2.108717E-08
-9.61787,39.20000,0.00000,6.810054E-01,6.208397E-01,5.578883E-01,4.923701E-01,4.245524E-01,3.554829E-01,2.873110E-01,2.229734E-01,1.654442E-01,1.169593E-01,7.852809E-02,4.989440E-02,2.985676E-02,1.672162E-02,8.697547E-03,4.161964E-03,1.810634E-03,7.054908E-04,2.417928E-04,7.141945E-05,1.778717E-05,3.830303E-06,7.984088E-07,1.362854E-07,1.866347E-08
-9.61787,39.30000,0.00000,6.718098E-01,6.111129E-01,5.473464E-01,4.806698E-01,4.115728E-01,3.415047E-01,2.730190E-01,2.092728E-01,1.532138E-01,1.068275E-01,7.075635E-02,4.439067E-02,2.627695E-02,1.460162E-02,7.567996E-03,3.628366E-03,1.590932E-03,6.282659E-04,2.192173E-04,6.610950E-05,1.682622E-05,3.700184E-06,7.709960E-07,1.316100E-07,1.805836E-08
-9.61787,39.40000,0.00000,6.625229E-01,6.011461E-01,5.363889E-01,4.684190E-01,3.979433E-01,3.267876E-01,2.579047E-01,1.947404E-01,1.402803E-01,9.625640E-02,6.286807E-02,3.904608E-02,2.301128E-02,1.281724E-02,6.705590E-03,3.265313E-03,1.461116E-03,5.905575E-04,2.111000E-04,6.517214E-05,1.695234E-05,3.640245E-06,7.611833E-07,1.303503E-07,1.794372E-08
-9.61787,39.50000,0.00000,6.529278E-01,5.905110E-01,5.242729E-01,4.544853E-01,3.822292E-01,3.098704E-01,2.408538E-01,1.788531E-01,1.266945E-01,8.563156E-02,5.528217E-02,3.411233E-02,2.010062E-02,1.127212E-02,5.978893E-03,2.971704E-03,1.365832E-03,5.702420E-04,2.116088E-04,6.812720E-05,1.856123E-05,4.176175E-06,7.577805E-07,1.297410E-07,1.789125E-08
-9.51787,38.50000,0.00000,7.399659E-01,6.798608E-01,6.143974E-01,5.455537E-01,4.752273E-01,4.051931E-01,3.371658E-01,2.728582E-01,2.139249E-01,1.618034E-01,1.175245E-01,8.155016E-02,5.372407E-02,3.334147E-02,1.930331E-02,1.029830E-02,4.985720E-03,2.150308E-03,8.089390E-04,2.594756E-04,6.935019E-05,1.510669E-05,2.625515E-06,3.546016E-07,3.488416E-08
-9.51787,38.60000,0.00000,7.320304E-01,6.720948E-01,6.078613E-01,5.412105E-01,4.736290E-01,4.062663E-01,3.402676E-01,2.770358E-01,2.182345E-01,1.655535E-01,1.203693E-01,8.344693E-02,5.482182E-02,3.386680E-02,1.948070E-02,1.030726E-02,4.941909E-03,2.109110E-03,7.849579E-04,2.491709E-04,6.595481E-05,1.424378E-05,2.457006E-06,3.295623E-07,3.218528E-08
-9.51787,38.70000,0.00000,7.237853E-01,6.639051E-01,6.005076E-01,5.352803E-01,4.693451E-01,4.034866E-01,3.386156E-01,2.760791E-01,2.176154E-01,1.650478E-01,1.198725E-01,8.293574E-02,5.431475E-02,3.339960E-02,1.909133E-02,1.001965E-02,4.757338E-03,2.008022E-03,7.385865E-04,2.316962E-04,6.064379E-05,1.296326E-05,2.215534E-06,2.944835E-07,2.849361E-08
-9.51787,38.80000,0.00000,7.153299E-01,6.555912E-01,5.929924E-01,5.289409E-01,4.641714E-01,3.991602E-01,3.347180E-01,2.723095E-01,2.139063E-01,1.615426E-01,1.168032E-01,8.048528E-02,5.254184E-02,3.224015E-02,1.840807E-02,9.659345E-03,4.589012E-03,1.939272E-03,7.144606E-04,2.245731E-04,5.891892E-05,1.262926E-05,2.165180E-06,2.888513E-07,2.810889E-08
