#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='quantile-0.95', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,2.041748E-01,3.754585E-01,2.668515E-01,4.941353E-01,4.115124E-01,7.675775E-01,4.519875E-01,8.491295E-01,4.308014E-01,8.112701E-01,3.757979E-01,7.077527E-01,3.081599E-01,5.766496E-01,2.656655E-01,4.959646E-01,2.360224E-01,4.351618E-01,2.019233E-01,3.652878E-01,1.653958E-01,3.040137E-01,1.340064E-01,2.464602E-01,9.390213E-02,1.770918E-01,4.186747E-02,8.116614E-02,2.450160E-02,4.853012E-02,1.756325E-02,3.507647E-02
-9.71787,38.70000,2.069413E-01,3.803664E-01,2.706279E-01,5.015965E-01,4.179561E-01,7.786370E-01,4.591440E-01,8.613651E-01,4.366883E-01,8.214935E-01,3.796660E-01,7.159471E-01,3.104961E-01,5.812947E-01,2.664285E-01,4.983517E-01,2.356387E-01,4.350872E-01,2.004577E-01,3.624445E-01,1.635698E-01,3.005750E-01,1.319711E-01,2.424914E-01,9.240831E-02,1.739651E-01,4.107878E-02,7.947265E-02,2.404979E-02,4.755181E-02,1.725039E-02,3.442540E-02
-9.71787,38.80000,2.062359E-01,3.805325E-01,2.698632E-01,5.020277E-01,4.169662E-01,7.795534E-01,4.578472E-01,8.620526E-01,4.350142E-01,8.213571E-01,3.776957E-01,7.148120E-01,3.081402E-01,5.794233E-01,2.638067E-01,4.953398E-01,2.326487E-01,4.314415E-01,1.970078E-01,3.572853E-01,1.605879E-01,2.956926E-01,1.291655E-01,2.376356E-01,9.046396E-02,1.702956E-01,4.015503E-02,7.767318E-02,2.354765E-02,4.654057E-02,1.691257E-02,3.376226E-02
-9.71787,38.90000,2.009089E-01,3.736416E-01,2.630871E-01,4.923381E-01,4.061809E-01,7.657791E-01,4.453762E-01,8.457369E-01,4.232822E-01,8.058878E-01,3.678994E-01,6.997289E-01,2.994658E-01,5.676560E-01,2.565944E-01,4.839438E-01,2.261166E-01,4.219475E-01,1.910221E-01,3.482619E-01,1.560328E-01,2.879847E-01,1.253011E-01,2.312177E-01,8.789960E-02,1.656282E-01,3.902234E-02,7.565284E-02,2.294369E-02,4.543531E-02,1.653381E-02,3.303633E-02
-9.71787,39.00000,1.891612E-01,3.578165E-01,2.478239E-01,4.687212E-01,3.814462E-01,7.326646E-01,4.172457E-01,8.077271E-01,3.978626E-01,7.708871E-01,3.477254E-01,6.671309E-01,2.827805E-01,5.436134E-01,2.436583E-01,4.622850E-01,2.152718E-01,4.033687E-01,1.821899E-01,3.346359E-01,1.497246E-01,2.763221E-01,1.203491E-01,2.232656E-01,8.472687E-02,1.595016E-01,3.774423E-02,7.342527E-02,2.228868E-02,4.427016E-02,1.615450E-02,3.230138E-02
-9.61787,38.50000,2.224204E-01,4.028086E-01,2.904713E-01,5.300931E-01,4.500813E-01,8.248783E-01,4.960228E-01,9.151263E-01,4.700884E-01,8.705421E-01,4.063016E-01,7.579737E-01,3.332776E-01,6.151742E-01,2.844830E-01,5.259765E-01,2.513689E-01,4.595220E-01,2.122524E-01,3.842260E-01,1.735290E-01,3.173425E-01,1.397442E-01,2.566038E-01,9.766767E-02,1.835939E-01,4.327235E-02,8.357544E-02,2.512204E-02,4.970434E-02,1.794915E-02,3.579645E-02
-9.61787,38.60000,2.256611E-01,4.068598E-01,2.948300E-01,5.355334E-01,4.573876E-01,8.339333E-01,5.036601E-01,9.252359E-01,4.772102E-01,8.792844E-01,4.113571E-01,7.643399E-01,3.368249E-01,6.196592E-01,2.862595E-01,5.281708E-01,2.518637E-01,4.597316E-01,2.114164E-01,3.817409E-01,1.722060E-01,3.142366E-01,1.383163E-01,2.528613E-01,9.641158E-02,1.807025E-01,4.255286E-02,8.192559E-02,2.469327E-02,4.872925E-02,1.763672E-02,3.513462E-02
-9.61787,38.70000,2.237700E-01,4.025474E-01,2.925512E-01,5.302612E-01,4.537984E-01,8.254045E-01,5.000314E-01,9.150221E-01,4.732623E-01,8.700576E-01,4.079514E-01,7.569221E-01,3.335130E-01,6.131068E-01,2.830830E-01,5.224193E-01,2.484996E-01,4.538594E-01,2.081947E-01,3.752099E-01,1.691324E-01,3.086349E-01,1.356047E-01,2.475690E-01,9.447809E-02,1.769377E-01,4.163972E-02,8.007734E-02,2.420830E-02,4.770666E-02,1.730576E-02,3.446150E-02
-9.61787,38.80000,2.212032E-01,3.995068E-01,2.893668E-01,5.265725E-01,4.487990E-01,8.195654E-01,4.941387E-01,9.079058E-01,4.675634E-01,8.630030E-01,4.029887E-01,7.506345E-01,3.287987E-01,6.070328E-01,2.788517E-01,5.168057E-01,2.443055E-01,4.480108E-01,2.044383E-01,3.686399E-01,1.656456E-01,3.029190E-01,1.324599E-01,2.421848E-01,9.234730E-02,1.730221E-01,4.065187E-02,7.818024E-02,2.368116E-02,4.666564E-02,1.694420E-02,3.377537E-02
-9.61787,38.90000,2.151853E-01,3.914485E-01,2.817076E-01,5.165718E-01,4.365340E-01,8.034448E-01,4.799150E-01,8.887239E-01,4.542820E-01,8.448852E-01,3.920601E-01,7.355115E-01,3.191681E-01,5.935112E-01,2.709973E-01,5.055984E-01,2.372678E-01,4.377002E-01,1.987327E-01,3.589463E-01,1.608503E-01,2.951642E-01,1.284379E-01,2.354819E-01,8.970065E-02,1.682549E-01,3.951703E-02,7.614022E-02,2.310113E-02,4.556697E-02,1.657550E-02,3.307031E-02
