#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,6.092541E-01,5.300564E-01,4.470174E-01,3.648078E-01,2.880850E-01,2.203539E-01,1.633838E-01,1.173811E-01,8.155444E-02,5.464540E-02,3.521729E-02,2.177327E-02,1.286812E-02,7.233773E-03,3.844426E-03,1.916818E-03,8.860208E-04,3.723109E-04,1.381983E-04,4.374593E-05,1.138478E-05,2.356217E-06,3.769549E-07,4.535484E-08,3.889744E-09
-9.71787,38.70000,0.00000,5.944567E-01,5.152397E-01,4.333130E-01,3.531718E-01,2.790339E-01,2.138980E-01,1.591672E-01,1.148796E-01,8.022978E-02,5.404659E-02,3.502592E-02,2.178871E-02,1.296694E-02,7.342831E-03,3.929277E-03,1.970172E-03,9.142149E-04,3.849788E-04,1.430376E-04,4.528329E-05,1.176676E-05,2.422448E-06,3.830346E-07,4.512350E-08,3.718085E-09
-9.71787,38.80000,0.00000,5.792585E-01,5.001053E-01,4.192948E-01,3.411247E-01,2.693996E-01,2.066751E-01,1.540451E-01,1.114100E-01,7.796572E-02,5.262380E-02,3.417907E-02,2.132634E-02,1.274612E-02,7.257601E-03,3.908352E-03,1.973555E-03,9.236091E-04,3.932143E-04,1.480825E-04,4.760570E-05,1.257805E-05,2.637041E-06,4.256960E-07,5.139337E-08,4.387101E-09
-9.71787,38.90000,0.00000,5.639506E-01,4.851376E-01,4.056330E-01,3.294373E-01,2.599210E-01,1.992793E-01,1.484287E-01,1.072346E-01,7.492238E-02,5.045579E-02,3.268528E-02,2.034879E-02,1.215068E-02,6.924448E-03,3.736652E-03,1.889821E-03,8.833717E-04,3.740999E-04,1.396558E-04,4.443413E-05,1.161915E-05,2.412203E-06,3.856668E-07,4.608301E-08,3.879768E-09
-9.71787,39.00000,0.00000,5.483742E-01,4.699463E-01,3.917283E-01,3.174339E-01,2.500369E-01,1.913980E-01,1.422497E-01,1.024165E-01,7.118585E-02,4.761527E-02,3.061036E-02,1.891343E-02,1.121882E-02,6.363292E-03,3.429993E-03,1.742958E-03,8.246208E-04,3.556775E-04,1.355443E-04,4.390866E-05,1.161687E-05,2.421064E-06,3.855805E-07,4.557806E-08,3.758636E-09
-9.61787,38.50000,0.00000,6.257451E-01,5.474229E-01,4.641354E-01,3.805930E-01,3.017779E-01,2.316556E-01,1.723808E-01,1.243681E-01,8.689097E-02,5.867136E-02,3.820767E-02,2.393253E-02,1.435751E-02,8.199665E-03,4.426072E-03,2.238324E-03,1.046983E-03,4.441817E-04,1.663714E-04,5.327682E-05,1.410510E-05,2.990813E-06,4.935245E-07,6.157782E-08,5.529322E-09
-9.61787,38.60000,0.00000,6.113106E-01,5.328024E-01,4.505535E-01,3.691510E-01,2.931192E-01,2.258297E-01,1.689733E-01,1.227507E-01,8.642065E-02,5.880718E-02,3.856940E-02,2.430426E-02,1.464602E-02,8.384241E-03,4.523425E-03,2.278909E-03,1.058734E-03,4.451294E-04,1.649826E-04,5.220982E-05,1.363259E-05,2.842010E-06,4.591332E-07,5.577814E-08,4.819363E-09
-9.61787,38.70000,0.00000,5.965185E-01,5.180017E-01,4.368989E-01,3.575974E-01,2.841563E-01,2.194354E-01,1.647736E-01,1.202171E-01,8.501013E-02,5.805954E-02,3.816673E-02,2.406811E-02,1.448946E-02,8.266270E-03,4.427261E-03,2.202429E-03,1.004852E-03,4.134606E-04,1.499548E-04,4.654951E-05,1.195671E-05,2.455301E-06,3.904058E-07,4.654633E-08,3.918398E-09
-9.61787,38.80000,0.00000,5.814443E-01,5.031052E-01,4.232439E-01,3.459875E-01,2.749429E-01,2.125402E-01,1.598600E-01,1.168497E-01,8.275989E-02,5.657437E-02,3.720290E-02,2.346984E-02,1.414597E-02,8.086903E-03,4.341479E-03,2.164666E-03,9.902532E-04,4.090784E-04,1.492114E-04,4.665542E-05,1.209166E-05,2.511704E-06,4.055026E-07,4.933738E-08,4.283454E-09
-9.61787,38.90000,0.00000,5.660866E-01,4.880271E-01,4.094342E-01,3.341472E-01,2.653342E-01,2.050425E-01,1.541508E-01,1.125673E-01,7.959326E-02,5.428500E-02,3.560327E-02,2.239986E-02,1.346747E-02,7.683566E-03,4.116766E-03,2.043938E-03,9.248328E-04,3.733968E-04,1.310387E-04,3.878063E-05,9.376231E-06,1.796430E-06,2.651407E-07,2.916656E-08,2.224790E-09
