#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='mean', investigation_time=1.0, imt='SA(0.15)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,7.389966E-01,6.741515E-01,5.993200E-01,5.171912E-01,4.318696E-01,3.482606E-01,2.710140E-01,2.035251E-01,1.475078E-01,1.031445E-01,6.951314E-02,4.506013E-02,2.800693E-02,1.662193E-02,9.370938E-03,4.987354E-03,2.487803E-03,1.152745E-03,4.898348E-04,1.872516E-04,6.273529E-05,1.786452E-05,4.191411E-06,7.876336E-07,1.155702E-07
-9.71787,38.70000,0.00000,7.263060E-01,6.596363E-01,5.838794E-01,5.020159E-01,4.181716E-01,3.369395E-01,2.624347E-01,1.975494E-01,1.436985E-01,1.009640E-01,6.843956E-02,4.465129E-02,2.793830E-02,1.668985E-02,9.466425E-03,5.063818E-03,2.534728E-03,1.176050E-03,4.991182E-04,1.900257E-04,6.322433E-05,1.782668E-05,4.126279E-06,7.609401E-07,1.087161E-07
-9.71787,38.80000,0.00000,7.129628E-01,6.446037E-01,5.680777E-01,4.865812E-01,4.041990E-01,3.252045E-01,2.532406E-01,1.907829E-01,1.390032E-01,9.789295E-02,6.654736E-02,4.355399E-02,2.734346E-02,1.639459E-02,9.337441E-03,5.017802E-03,2.524243E-03,1.177770E-03,5.033517E-04,1.934189E-04,6.512091E-05,1.862213E-05,4.379113E-06,8.217711E-07,1.197337E-07
-9.71787,38.90000,0.00000,6.990433E-01,6.292453E-01,5.522717E-01,4.714454E-01,3.906896E-01,3.138653E-01,2.441576E-01,1.837532E-01,1.337325E-01,9.408237E-02,6.389990E-02,4.178350E-02,2.620142E-02,1.568907E-02,8.927459E-03,4.797895E-03,2.416008E-03,1.128159E-03,4.816065E-04,1.842775E-04,6.159815E-05,1.745967E-05,4.068525E-06,7.568959E-07,1.093663E-07
-9.71787,39.00000,0.00000,6.846318E-01,6.135466E-01,5.362579E-01,4.561481E-01,3.769559E-01,3.021755E-01,2.346155E-01,1.762069E-01,1.279066E-01,8.966649E-02,6.061185E-02,3.940168E-02,2.455311E-02,1.461802E-02,8.281811E-03,4.440977E-03,2.238757E-03,1.051819E-03,4.545598E-04,1.770079E-04,6.034973E-05,1.741854E-05,4.113896E-06,7.709664E-07,1.115134E-07
-9.61787,38.50000,0.00000,7.520641E-01,6.896685E-01,6.165674E-01,5.350753E-01,4.491492E-01,3.638651E-01,2.843042E-01,2.143378E-01,1.559995E-01,1.096111E-01,7.429323E-02,4.849583E-02,3.040910E-02,1.824539E-02,1.041559E-02,5.615434E-03,2.834612E-03,1.326098E-03,5.671897E-04,2.176139E-04,7.305908E-05,2.085742E-05,4.917371E-06,9.313786E-07,1.381120E-07
-9.61787,38.60000,0.00000,7.401021E-01,6.757200E-01,6.014614E-01,5.200340E-01,4.355212E-01,3.527328E-01,2.761581E-01,2.090378E-01,1.530015E-01,1.082455E-01,7.393771E-02,4.865190E-02,3.073276E-02,1.854611E-02,1.062214E-02,5.727459E-03,2.880985E-03,1.338198E-03,5.665724E-04,2.147396E-04,7.114478E-05,2.003451E-05,4.656763E-06,8.685614E-07,1.265376E-07
-9.61787,38.70000,0.00000,7.274600E-01,6.612235E-01,5.860192E-01,5.048690E-01,4.218754E-01,3.415029E-01,2.676757E-01,2.031233E-01,1.491936E-01,1.059993E-01,7.273158E-02,4.804861E-02,3.042552E-02,1.836430E-02,1.049319E-02,5.627774E-03,2.805163E-03,1.285281E-03,5.344261E-04,1.983891E-04,6.437310E-05,1.779283E-05,4.070776E-06,7.487096E-07,1.075551E-07
-9.61787,38.80000,0.00000,7.141736E-01,6.462668E-01,5.703590E-01,4.896923E-01,4.082857E-01,3.302149E-01,2.588921E-01,1.966512E-01,1.446533E-01,1.029649E-01,7.079358E-02,4.685418E-02,2.971026E-02,1.795240E-02,1.027015E-02,5.515873E-03,2.753071E-03,1.262987E-03,5.261096E-04,1.959646E-04,6.393618E-05,1.780413E-05,4.110873E-06,7.645053E-07,1.113519E-07
-9.61787,38.90000,0.00000,7.003126E-01,6.308997E-01,5.544715E-01,4.744115E-01,3.945962E-01,3.187021E-01,2.496775E-01,1.895335E-01,1.393059E-01,9.905891E-02,6.803080E-02,4.496931E-02,2.847159E-02,1.716862E-02,9.794965E-03,5.242924E-03,2.605682E-03,1.187437E-03,4.885920E-04,1.779999E-04,5.605754E-05,1.485727E-05,3.223828E-06,5.576721E-07,7.488816E-08
-9.61787,39.00000,0.00000,6.859619E-01,6.152714E-01,5.385719E-01,4.592896E-01,3.810583E-01,3.071314E-01,2.400769E-01,1.817161E-01,1.330440E-01,9.413190E-02,6.423721E-02,4.213936E-02,2.646391E-02,1.584391E-02,8.997877E-03,4.812935E-03,2.402867E-03,1.108222E-03,4.663446E-04,1.760051E-04,5.819021E-05,1.637409E-05,3.801927E-06,7.069184E-07,1.023203E-07
-9.61787,39.10000,0.00000,6.711538E-01,5.993564E-01,5.225093E-01,4.440132E-01,3.672507E-01,2.951261E-01,2.299337E-01,1.733433E-01,1.262626E-01,8.870299E-02,5.991625E-02,3.873562E-02,2.385088E-02,1.392272E-02,7.662181E-03,3.943028E-03,1.877469E-03,8.177860E-04,3.219401E-04,1.128918E-04,3.461560E-05,9.074668E-06,1.982730E-06,3.513771E-07,4.908342E-08
-9.61787,39.20000,0.00000,6.559345E-01,5.832034E-01,5.063213E-01,4.286176E-01,3.532470E-01,2.828458E-01,2.195028E-01,1.647399E-01,1.193421E-01,8.324700E-02,5.570824E-02,3.560151E-02,2.163586E-02,1.245508E-02,6.755994E-03,3.425778E-03,1.609025E-03,6.942086E-04,2.728696E-04,9.650950E-05,3.010231E-05,8.058724E-06,1.796818E-06,3.239995E-07,4.593923E-08
