#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,1.094288E-01,2.292603E-01,1.726662E-01,3.764109E-01,2.488784E-01,5.409145E-01,2.522535E-01,5.399588E-01,2.234763E-01,4.729021E-01,1.889211E-01,3.982577E-01,1.609749E-01,3.393129E-01,1.407291E-01,2.963008E-01,1.246260E-01,2.625841E-01,1.028197E-01,2.170486E-01,8.666935E-02,1.825642E-01,7.020020E-02,1.479270E-01,5.105981E-02,1.069183E-01,2.362180E-02,4.787271E-02,1.610577E-02,3.343806E-02,1.291873E-02,2.758266E-02
-9.71787,38.70000,1.109736E-01,2.324783E-01,1.755986E-01,3.838677E-01,2.518254E-01,5.467820E-01,2.546569E-01,5.438264E-01,2.258146E-01,4.770412E-01,1.906449E-01,4.014406E-01,1.621758E-01,3.417540E-01,1.415590E-01,2.980700E-01,1.251444E-01,2.638950E-01,1.029074E-01,2.177074E-01,8.652264E-02,1.828659E-01,6.989107E-02,1.479275E-01,5.068931E-02,1.066924E-01,2.333984E-02,4.738347E-02,1.585476E-02,3.295028E-02,1.270024E-02,2.704506E-02
-9.71787,38.80000,1.110348E-01,2.345157E-01,1.758231E-01,3.876930E-01,2.517316E-01,5.504618E-01,2.542996E-01,5.461162E-01,2.254190E-01,4.786896E-01,1.902300E-01,4.023852E-01,1.617173E-01,3.421812E-01,1.409722E-01,2.981918E-01,1.244896E-01,2.637835E-01,1.021688E-01,2.172869E-01,8.571672E-02,1.822257E-01,6.911979E-02,1.471690E-01,5.001668E-02,1.058988E-01,2.298241E-02,4.674094E-02,1.555548E-02,3.236469E-02,1.245958E-02,2.647144E-02
-9.71787,38.90000,1.084959E-01,2.296533E-01,1.715672E-01,3.792838E-01,2.460475E-01,5.399355E-01,2.487686E-01,5.363570E-01,2.201689E-01,4.692824E-01,1.860434E-01,3.947963E-01,1.583467E-01,3.356057E-01,1.378607E-01,2.925352E-01,1.217279E-01,2.587701E-01,9.994441E-02,2.133028E-01,8.374072E-02,1.786694E-01,6.755177E-02,1.443136E-01,4.883819E-02,1.036940E-01,2.248076E-02,4.572495E-02,1.516558E-02,3.157689E-02,1.216022E-02,2.577873E-02
-9.71787,39.00000,1.038549E-01,2.245494E-01,1.637023E-01,3.693829E-01,2.361953E-01,5.278401E-01,2.394577E-01,5.245746E-01,2.114214E-01,4.570338E-01,1.791984E-01,3.846418E-01,1.524212E-01,3.262631E-01,1.329908E-01,2.847025E-01,1.174880E-01,2.517345E-01,9.664340E-02,2.075867E-01,8.090238E-02,1.735505E-01,6.537574E-02,1.401685E-01,4.726464E-02,1.005445E-01,2.184621E-02,4.445420E-02,1.473403E-02,3.067722E-02,1.184396E-02,2.505312E-02
-9.61787,38.50000,1.183146E-01,2.456748E-01,1.884335E-01,4.087621E-01,2.680390E-01,5.784128E-01,2.697282E-01,5.727925E-01,2.391127E-01,5.039374E-01,2.016293E-01,4.229048E-01,1.708192E-01,3.587628E-01,1.493790E-01,3.136616E-01,1.319561E-01,2.776018E-01,1.082193E-01,2.283611E-01,9.111231E-02,1.921646E-01,7.341447E-02,1.551505E-01,5.324930E-02,1.120435E-01,2.433582E-02,4.951077E-02,1.659095E-02,3.455784E-02,1.327306E-02,2.842178E-02
-9.61787,38.60000,1.192930E-01,2.457750E-01,1.907545E-01,4.107807E-01,2.700963E-01,5.778490E-01,2.715471E-01,5.715676E-01,2.410388E-01,5.039951E-01,2.033924E-01,4.234014E-01,1.721587E-01,3.592986E-01,1.504528E-01,3.141163E-01,1.327422E-01,2.779572E-01,1.085571E-01,2.285233E-01,9.123723E-02,1.922333E-01,7.333504E-02,1.551224E-01,5.306003E-02,1.119199E-01,2.410356E-02,4.909116E-02,1.638908E-02,3.410862E-02,1.306551E-02,2.789326E-02
-9.61787,38.70000,1.173252E-01,2.391956E-01,1.874605E-01,3.992081E-01,2.654083E-01,5.620459E-01,2.672727E-01,5.572178E-01,2.378671E-01,4.922030E-01,2.007500E-01,4.143977E-01,1.701386E-01,3.525780E-01,1.486057E-01,3.081048E-01,1.311072E-01,2.728091E-01,1.072111E-01,2.246922E-01,9.003671E-02,1.890111E-01,7.236192E-02,1.527383E-01,5.231469E-02,1.102156E-01,2.375156E-02,4.831566E-02,1.611258E-02,3.348526E-02,1.283007E-02,2.729064E-02
-9.61787,38.80000,1.163967E-01,2.382925E-01,1.858300E-01,3.977145E-01,2.630124E-01,5.593169E-01,2.648766E-01,5.540379E-01,2.358847E-01,4.889634E-01,1.989886E-01,4.117366E-01,1.687002E-01,3.503421E-01,1.472016E-01,3.059247E-01,1.297968E-01,2.707874E-01,1.060398E-01,2.229528E-01,8.890885E-02,1.873318E-01,7.139338E-02,1.512911E-01,5.152662E-02,1.089961E-01,2.336708E-02,4.759554E-02,1.579550E-02,3.286180E-02,1.257836E-02,2.670109E-02
-9.61787,38.90000,1.131609E-01,2.298729E-01,1.801069E-01,3.827893E-01,2.553190E-01,5.405070E-01,2.575659E-01,5.374644E-01,2.295118E-01,4.738335E-01,1.936387E-01,3.999827E-01,1.644953E-01,3.413141E-01,1.433450E-01,2.976962E-01,1.264258E-01,2.636671E-01,1.034169E-01,2.175582E-01,8.662030E-02,1.826778E-01,6.963480E-02,1.477292E-01,5.023367E-02,1.063545E-01,2.286026E-02,4.652118E-02,1.541205E-02,3.205722E-02,1.229301E-02,2.601250E-02
