#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='quantile-0.05', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,4.522817E-01,3.918491E-01,3.323604E-01,2.752259E-01,2.218454E-01,1.735877E-01,1.315497E-01,9.130743E-02,5.989886E-02,3.819326E-02,2.369031E-02,1.427829E-02,8.324923E-03,4.661479E-03,2.486661E-03,1.251879E-03,5.856977E-04,2.494515E-04,9.396741E-05,3.022037E-05,7.991983E-06,1.677934E-06,2.711800E-07,3.276504E-08,2.786711E-09
-9.71787,38.70000,0.00000,4.421163E-01,3.829895E-01,3.250768E-01,2.695201E-01,2.175673E-01,1.705453E-01,1.285944E-01,8.741459E-02,5.775883E-02,3.711547E-02,2.319159E-02,1.406260E-02,8.228748E-03,4.605318E-03,2.440257E-03,1.212826E-03,5.563832E-04,2.311002E-04,8.485952E-05,2.675803E-05,7.006165E-06,1.470490E-06,2.391975E-07,2.919384E-08,2.513389E-09
-9.71787,38.80000,0.00000,4.317236E-01,3.736736E-01,3.169749E-01,2.626171E-01,2.118099E-01,1.658870E-01,1.227238E-01,8.390385E-02,5.580902E-02,3.610294E-02,2.269639E-02,1.383411E-02,8.127434E-03,4.558015E-03,2.414079E-03,1.196597E-03,5.479702E-04,2.276312E-04,8.378377E-05,2.651382E-05,6.966578E-06,1.466081E-06,2.389168E-07,2.919674E-08,2.515989E-09
-9.71787,38.90000,0.00000,4.215057E-01,3.646128E-01,3.090779E-01,2.557140E-01,2.057175E-01,1.605176E-01,1.173148E-01,8.064076E-02,5.396077E-02,3.512318E-02,2.221415E-02,1.361539E-02,8.037664E-03,4.526712E-03,2.406392E-03,1.195808E-03,5.487552E-04,2.281384E-04,8.396059E-05,2.655811E-05,6.975694E-06,1.467624E-06,2.391351E-07,2.922091E-08,2.518274E-09
-9.71787,39.00000,0.00000,4.110458E-01,3.549682E-01,3.002461E-01,2.476687E-01,1.984810E-01,1.541296E-01,1.121494E-01,7.739858E-02,5.200922E-02,3.398969E-02,2.157971E-02,1.328059E-02,7.879958E-03,4.467742E-03,2.395409E-03,1.201932E-03,5.570705E-04,2.332199E-04,8.594809E-05,2.705426E-05,7.039380E-06,1.464282E-06,2.358589E-07,2.850287E-08,2.422706E-09
-9.61787,38.50000,0.00000,4.618284E-01,4.008821E-01,3.407423E-01,2.829870E-01,2.290631E-01,1.802773E-01,1.376462E-01,9.844539E-02,6.436806E-02,4.082207E-02,2.514589E-02,1.503542E-02,8.684917E-03,4.804266E-03,2.519970E-03,1.240086E-03,5.644053E-04,2.335901E-04,8.589456E-05,2.722115E-05,7.172533E-06,1.513967E-06,2.473426E-07,3.028925E-08,2.615124E-09
-9.61787,38.60000,0.00000,4.517354E-01,3.922071E-01,3.339227E-01,2.781262E-01,2.259907E-01,1.786734E-01,1.371467E-01,9.411880E-02,6.199768E-02,3.965148E-02,2.462422E-02,1.481805E-02,8.587381E-03,4.744111E-03,2.469613E-03,1.199795E-03,5.369964E-04,2.182974E-04,7.916091E-05,2.494938E-05,6.598482E-06,1.407013E-06,2.328612E-07,2.889284E-08,2.530575E-09
-9.61787,38.70000,0.00000,4.416437E-01,3.834727E-01,3.268273E-01,2.726614E-01,2.219768E-01,1.758791E-01,1.320773E-01,9.013986E-02,5.976361E-02,3.847488E-02,2.401949E-02,1.450146E-02,8.415384E-03,4.645247E-03,2.407763E-03,1.158617E-03,5.124071E-04,2.056924E-04,7.393935E-05,2.324929E-05,6.167772E-06,1.322434E-06,2.200932E-07,2.743969E-08,2.416251E-09
-9.61787,38.80000,0.00000,4.315363E-01,3.746617E-01,3.194374E-01,2.665727E-01,2.169795E-01,1.718040E-01,1.260559E-01,8.651377E-02,5.772690E-02,3.740045E-02,2.348811E-02,1.425895E-02,8.313909E-03,4.603263E-03,2.387203E-03,1.145688E-03,5.058735E-04,2.030307E-04,7.311681E-05,2.306145E-05,6.136612E-06,1.318726E-06,2.198102E-07,2.743356E-08,2.417360E-09
-9.61787,38.90000,0.00000,4.213092E-01,3.654952E-01,3.113636E-01,2.594766E-01,2.107308E-01,1.663251E-01,1.206030E-01,8.321679E-02,5.585482E-02,3.640058E-02,2.298455E-02,1.401945E-02,8.209025E-03,4.564805E-03,2.377868E-03,1.145667E-03,5.068519E-04,2.036553E-04,7.332939E-05,2.311275E-05,6.146442E-06,1.320324E-06,1.939794E-07,1.953857E-08,1.309398E-09
