#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='quantile-0.05', investigation_time=1.0, imt='SA(0.35)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,6.033784E-01,5.324386E-01,4.570532E-01,3.805116E-01,3.061713E-01,2.372694E-01,1.765565E-01,1.258267E-01,8.567609E-02,5.559700E-02,3.413537E-02,1.884189E-02,9.851569E-03,4.944295E-03,2.379569E-03,1.091797E-03,4.735060E-04,1.908357E-04,6.966656E-05,2.225477E-05,5.966292E-06,1.285940E-06,2.142713E-07,2.667777E-08,2.390680E-09
-9.71787,38.70000,0.00000,5.950631E-01,5.239751E-01,4.491853E-01,3.737288E-01,3.006382E-01,2.329313E-01,1.732790E-01,1.234686E-01,8.410019E-02,5.465763E-02,3.284663E-02,1.802731E-02,9.489167E-03,4.797330E-03,2.318894E-03,1.060850E-03,4.539623E-04,1.790560E-04,6.348447E-05,1.964145E-05,5.121602E-06,1.084818E-06,1.798689E-07,2.251993E-08,2.041431E-09
-9.71787,38.80000,0.00000,5.865171E-01,5.151947E-01,4.407714E-01,3.660507E-01,2.938636E-01,2.271320E-01,1.685045E-01,1.197410E-01,8.138084E-02,5.283019E-02,3.132349E-02,1.727878E-02,9.164516E-03,4.675654E-03,2.278858E-03,1.047292E-03,4.477996E-04,1.762021E-04,6.239085E-05,1.933191E-05,5.059976E-06,1.076385E-06,1.791023E-07,2.248079E-08,2.042526E-09
-9.71787,38.90000,0.00000,5.773041E-01,5.059749E-01,4.320634E-01,3.580735E-01,2.866134E-01,2.205858E-01,1.627475E-01,1.149384E-01,7.765272E-02,5.016042E-02,2.992307E-02,1.660707E-02,8.883263E-03,4.576424E-03,2.251083E-03,1.041968E-03,4.475620E-04,1.764169E-04,6.251457E-05,1.936411E-05,5.065699E-06,1.077282E-06,1.792428E-07,2.249814E-08,2.044465E-09
-9.71787,39.00000,0.00000,5.683353E-01,4.967746E-01,4.230383E-01,3.494458E-01,2.785231E-01,2.131845E-01,1.562032E-01,1.093977E-01,7.320499E-02,4.680864E-02,2.827850E-02,1.592457E-02,8.587375E-03,4.465261E-03,2.218058E-03,1.037477E-03,4.506852E-04,1.794623E-04,6.399775E-05,1.976660E-05,5.096523E-06,1.057490E-06,1.706564E-07,2.073272E-08,1.820228E-09
-9.61787,38.50000,0.00000,6.105453E-01,5.401736E-01,4.648708E-01,3.881230E-01,3.134927E-01,2.442754E-01,1.831384E-01,1.317750E-01,9.076533E-02,5.967745E-02,3.682025E-02,2.009636E-02,1.040762E-02,5.152089E-03,2.438216E-03,1.096388E-03,4.635988E-04,1.810437E-04,6.381296E-05,1.973328E-05,5.168994E-06,1.102841E-06,1.842016E-07,2.320220E-08,2.115792E-09
-9.61787,38.60000,0.00000,6.023050E-01,5.317912E-01,4.572324E-01,3.818888E-01,3.089116E-01,2.412150E-01,1.812620E-01,1.307188E-01,9.023914E-02,5.948498E-02,3.519361E-02,1.921237E-02,1.001760E-02,4.998952E-03,2.377867E-03,1.066099E-03,4.442613E-04,1.698302E-04,5.835883E-05,1.764629E-05,4.563807E-06,9.737695E-07,1.644453E-07,2.107675E-08,1.960657E-09
-9.61787,38.70000,0.00000,5.940537E-01,5.234101E-01,4.494885E-01,3.752864E-01,3.036052E-01,2.371112E-01,1.781748E-01,1.284597E-01,8.864214E-02,5.777561E-02,3.347967E-02,1.834418E-02,9.620453E-03,4.832927E-03,2.310520E-03,1.035916E-03,4.282423E-04,1.613457E-04,5.452880E-05,1.626862E-05,4.186434E-06,8.964565E-07,1.526563E-07,1.974949E-08,1.852725E-09
-9.61787,38.80000,0.00000,5.853818E-01,5.146815E-01,4.413548E-01,3.680941E-01,2.974017E-01,2.318136E-01,1.737285E-01,1.248696E-01,8.591229E-02,5.548098E-02,3.193384E-02,1.758384E-02,9.292253E-03,4.714321E-03,2.276655E-03,1.027677E-03,4.252720E-04,1.595774E-04,5.379232E-05,1.604877E-05,4.141236E-06,8.900499E-07,1.520148E-07,1.971217E-08,1.852406E-09
-9.61787,38.90000,0.00000,5.766938E-01,5.058400E-01,4.328780E-01,3.602322E-01,2.902030E-01,2.252853E-01,1.679483E-01,1.199856E-01,8.205456E-02,5.284707E-02,3.052005E-02,1.690340E-02,9.003633E-03,4.609876E-03,2.246934E-03,1.022608E-03,4.257135E-04,1.600454E-04,5.401735E-05,1.610750E-05,4.151916E-06,8.915825E-07,1.521968E-07,1.972950E-08,1.674294E-09
