#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,8.731970E-02,1.933013E-01,1.345945E-01,3.130005E-01,1.979317E-01,4.569425E-01,2.025550E-01,4.582064E-01,1.786420E-01,3.974337E-01,1.520431E-01,3.355401E-01,1.293828E-01,2.824664E-01,1.144277E-01,2.481714E-01,1.019258E-01,2.196475E-01,8.490368E-02,1.814573E-01,7.228129E-02,1.527336E-01,5.923267E-02,1.239552E-01,4.373150E-02,9.013145E-02,2.088773E-02,4.217581E-02,1.413801E-02,2.973425E-02,1.140864E-02,2.486157E-02
-9.71787,38.70000,8.633125E-02,1.883999E-01,1.334003E-01,3.061493E-01,1.954940E-01,4.445689E-01,2.000715E-01,4.459644E-01,1.768197E-01,3.885982E-01,1.504334E-01,3.283484E-01,1.278647E-01,2.768904E-01,1.129610E-01,2.435149E-01,1.004550E-01,2.154590E-01,8.342244E-02,1.778066E-01,7.093288E-02,1.496870E-01,5.802136E-02,1.214074E-01,4.282565E-02,8.827734E-02,2.043817E-02,4.122251E-02,1.381608E-02,2.899076E-02,1.112551E-02,2.422289E-02
-9.71787,38.80000,8.582649E-02,1.872223E-01,1.327039E-01,3.043653E-01,1.943537E-01,4.414381E-01,1.989567E-01,4.427640E-01,1.759408E-01,3.861651E-01,1.495635E-01,3.263059E-01,1.269662E-01,2.753327E-01,1.120252E-01,2.421193E-01,9.946403E-02,2.141322E-01,8.233809E-02,1.764374E-01,6.989486E-02,1.483859E-01,5.703795E-02,1.201335E-01,4.206198E-02,8.720312E-02,2.003242E-02,4.048904E-02,1.352108E-02,2.836270E-02,1.086769E-02,2.367767E-02
-9.71787,38.90000,8.570667E-02,1.873544E-01,1.325037E-01,3.044378E-01,1.941089E-01,4.417452E-01,1.986599E-01,4.430948E-01,1.756164E-01,3.863434E-01,1.491367E-01,3.263829E-01,1.264128E-01,2.753490E-01,1.113834E-01,2.420856E-01,9.873231E-02,2.139916E-01,8.146901E-02,1.760267E-01,6.902178E-02,1.478697E-01,5.617282E-02,1.194217E-01,4.136332E-02,8.650292E-02,1.964499E-02,3.984058E-02,1.323856E-02,2.778178E-02,1.062147E-02,2.316773E-02
-9.71787,39.00000,8.558415E-02,1.887226E-01,1.320979E-01,3.058763E-01,1.938584E-01,4.451851E-01,1.983004E-01,4.466053E-01,1.750435E-01,3.885835E-01,1.484454E-01,3.280458E-01,1.256819E-01,2.764456E-01,1.106060E-01,2.429013E-01,9.790115E-02,2.145790E-01,8.054267E-02,1.762255E-01,6.792168E-02,1.477853E-01,5.501004E-02,1.189190E-01,4.045936E-02,8.590473E-02,1.925886E-02,3.925220E-02,1.295941E-02,2.723930E-02,1.038164E-02,2.269281E-02
-9.61787,38.50000,8.766755E-02,1.894093E-01,1.359244E-01,3.089346E-01,1.984248E-01,4.470939E-01,2.029630E-01,4.480600E-01,1.796361E-01,3.909037E-01,1.532715E-01,3.306734E-01,1.305785E-01,2.789919E-01,1.155971E-01,2.454863E-01,1.030801E-01,2.174564E-01,8.606601E-02,1.800104E-01,7.336091E-02,1.519290E-01,6.025377E-02,1.237297E-01,4.451255E-02,9.027609E-02,2.126738E-02,4.257262E-02,1.441394E-02,3.017217E-02,1.163390E-02,2.524126E-02
-9.61787,38.60000,8.664161E-02,1.851427E-01,1.347772E-01,3.034445E-01,1.958729E-01,4.358601E-01,2.003654E-01,4.364473E-01,1.778014E-01,3.825568E-01,1.517361E-01,3.238816E-01,1.291427E-01,2.737559E-01,1.141898E-01,2.410470E-01,1.016527E-01,2.134175E-01,8.460589E-02,1.764081E-01,7.202484E-02,1.488877E-01,5.904817E-02,1.211635E-01,4.360706E-02,8.840331E-02,2.080647E-02,4.160579E-02,1.408518E-02,2.941113E-02,1.134416E-02,2.458479E-02
-9.61787,38.70000,8.546979E-02,1.814409E-01,1.330926E-01,2.978158E-01,1.929156E-01,4.263176E-01,1.974042E-01,4.270294E-01,1.756184E-01,3.755953E-01,1.498377E-01,3.181519E-01,1.274677E-01,2.694362E-01,1.126311E-01,2.374578E-01,1.001320E-01,2.101911E-01,8.310677E-02,1.734495E-01,7.068408E-02,1.464145E-01,5.784664E-02,1.189882E-01,4.271388E-02,8.679228E-02,2.036332E-02,4.073884E-02,1.377236E-02,2.872627E-02,1.107069E-02,2.399429E-02
-9.61787,38.80000,8.508822E-02,1.805152E-01,1.325288E-01,2.962859E-01,1.920669E-01,4.238977E-01,1.966424E-01,4.247120E-01,1.750144E-01,3.739636E-01,1.492147E-01,3.168920E-01,1.267712E-01,2.685773E-01,1.118740E-01,2.367891E-01,9.930018E-02,2.095255E-01,8.215354E-02,1.726020E-01,6.975508E-02,1.455911E-01,5.694482E-02,1.180426E-01,4.200623E-02,8.599035E-02,1.997963E-02,4.007877E-02,1.348987E-02,2.814267E-02,1.082453E-02,2.348372E-02
-9.61787,38.90000,8.495107E-02,1.806741E-01,1.322871E-01,2.963584E-01,1.917148E-01,4.242091E-01,1.962306E-01,4.250781E-01,1.746199E-01,3.742331E-01,1.487345E-01,3.171572E-01,1.261720E-01,2.687302E-01,1.112034E-01,2.368947E-01,9.855376E-02,2.095112E-01,8.127896E-02,1.723385E-01,6.888714E-02,1.451608E-01,5.609166E-02,1.174396E-01,4.132278E-02,8.535992E-02,1.960189E-02,3.945986E-02,1.321262E-02,2.758611E-02,1.058349E-02,2.299435E-02
