#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.470417E-01,2.378072E-01,3.407014E-01,3.435330E-01,3.023847E-01,2.558341E-01,2.165965E-01,1.886371E-01,1.662923E-01,1.367029E-01,1.139983E-01,9.167401E-02,6.549870E-02,2.842785E-02,1.913771E-02,1.517891E-02,2.885471E-01,4.849665E-01,6.941366E-01,6.920387E-01,6.051041E-01,5.144526E-01,4.356810E-01,3.824314E-01,3.387271E-01,2.811927E-01,2.356841E-01,1.913290E-01,1.370960E-01,5.717687E-02,3.884465E-02,3.117883E-02
-9.71787,38.70000,1.511328E-01,2.451337E-01,3.487965E-01,3.503254E-01,3.085774E-01,2.604730E-01,2.203178E-01,1.914079E-01,1.684742E-01,1.381089E-01,1.148924E-01,9.215254E-02,6.563189E-02,2.824435E-02,1.894721E-02,1.496746E-02,2.973820E-01,5.045155E-01,7.144337E-01,7.081477E-01,6.185997E-01,5.248131E-01,4.442919E-01,3.890639E-01,3.442397E-01,2.854042E-01,2.386730E-01,1.935375E-01,1.383224E-01,5.707371E-02,3.854770E-02,3.075441E-02
-9.71787,38.80000,1.523161E-01,2.472665E-01,3.507783E-01,3.514826E-01,3.093258E-01,2.607698E-01,2.202671E-01,1.911338E-01,1.680476E-01,1.374936E-01,1.141739E-01,9.136088E-02,6.495202E-02,2.782978E-02,1.862719E-02,1.468190E-02,3.028063E-01,5.141034E-01,7.266657E-01,7.175601E-01,6.254510E-01,5.294703E-01,4.477724E-01,3.914796E-01,3.460396E-01,2.864043E-01,2.391130E-01,1.935194E-01,1.380040E-01,5.649801E-02,3.797365E-02,3.016671E-02
-9.71787,38.90000,1.478769E-01,2.398428E-01,3.408652E-01,3.418573E-01,3.000800E-01,2.532638E-01,2.135824E-01,1.855385E-01,1.631149E-01,1.333074E-01,1.108157E-01,8.859528E-02,6.305530E-02,2.706728E-02,1.811204E-02,1.426680E-02,2.948013E-01,5.002422E-01,7.067106E-01,6.993409E-01,6.101646E-01,5.172622E-01,4.366282E-01,3.821229E-01,3.376508E-01,2.791118E-01,2.331961E-01,1.884479E-01,1.344038E-01,5.500358E-02,3.690978E-02,2.929789E-02
-9.71787,39.00000,1.401302E-01,2.260744E-01,3.220167E-01,3.237053E-01,2.844988E-01,2.407880E-01,2.027253E-01,1.765373E-01,1.552445E-01,1.267323E-01,1.055970E-01,8.439867E-02,6.024093E-02,2.606420E-02,1.747712E-02,1.379099E-02,2.880756E-01,4.848836E-01,6.865716E-01,6.791980E-01,5.915025E-01,5.011829E-01,4.215369E-01,3.690349E-01,3.256949E-01,2.682551E-01,2.242217E-01,1.805409E-01,1.287441E-01,5.286420E-02,3.550777E-02,2.831260E-02
-9.61787,38.50000,1.645553E-01,2.672777E-01,3.773008E-01,3.770056E-01,3.335297E-01,2.799765E-01,2.368189E-01,2.052893E-01,1.805187E-01,1.473069E-01,1.226723E-01,9.813520E-02,6.973674E-02,2.978041E-02,1.997912E-02,1.578044E-02,3.196289E-01,5.431049E-01,7.678111E-01,7.583775E-01,6.629363E-01,5.598921E-01,4.759281E-01,4.153554E-01,3.676884E-01,3.042631E-01,2.548286E-01,2.065681E-01,1.476762E-01,6.054074E-02,4.093999E-02,3.245256E-02
-9.61787,38.60000,1.665449E-01,2.715538E-01,3.816032E-01,3.808589E-01,3.376571E-01,2.833159E-01,2.394462E-01,2.075909E-01,1.824417E-01,1.486536E-01,1.237137E-01,9.882820E-02,7.011227E-02,2.968431E-02,1.983639E-02,1.558714E-02,3.211793E-01,5.475091E-01,7.704352E-01,7.603473E-01,6.662084E-01,5.629212E-01,4.787638E-01,4.176448E-01,3.696739E-01,3.057733E-01,2.561388E-01,2.076128E-01,1.483998E-01,6.040546E-02,4.063921E-02,3.201765E-02
-9.61787,38.70000,1.623957E-01,2.649517E-01,3.727822E-01,3.728943E-01,3.307728E-01,2.781278E-01,2.354930E-01,2.040195E-01,1.793679E-01,1.463547E-01,1.217722E-01,9.739671E-02,6.908100E-02,2.922148E-02,1.950184E-02,1.528727E-02,3.098558E-01,5.294710E-01,7.462773E-01,7.385414E-01,6.470708E-01,5.486076E-01,4.662713E-01,4.075086E-01,3.607767E-01,2.991336E-01,2.504433E-01,2.034875E-01,1.454107E-01,5.926510E-02,3.981948E-02,3.134767E-02
-9.61787,38.80000,1.610916E-01,2.630106E-01,3.696187E-01,3.694121E-01,3.272950E-01,2.752202E-01,2.330009E-01,2.016009E-01,1.771382E-01,1.444735E-01,1.200375E-01,9.596750E-02,6.796215E-02,2.868328E-02,1.911238E-02,1.495317E-02,3.094110E-01,5.289828E-01,7.444504E-01,7.358220E-01,6.440519E-01,5.457717E-01,4.632641E-01,4.047121E-01,3.580586E-01,2.967066E-01,2.480856E-01,2.014591E-01,1.436951E-01,5.832082E-02,3.905475E-02,3.070547E-02
-9.61787,38.90000,1.545110E-01,2.520135E-01,3.549127E-01,3.555963E-01,3.143103E-01,2.649460E-01,2.240546E-01,1.941844E-01,1.706837E-01,1.395490E-01,1.158488E-01,9.268370E-02,6.571209E-02,2.785038E-02,1.857237E-02,1.453556E-02,2.934861E-01,5.017161E-01,7.064705E-01,7.018653E-01,6.168574E-01,5.249957E-01,4.449103E-01,3.897399E-01,3.449295E-01,2.864240E-01,2.394984E-01,1.945224E-01,1.388747E-01,5.655212E-02,3.786889E-02,2.978319E-02
