#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,6.140954E-01,5.543672E-01,4.868089E-01,4.147365E-01,3.422000E-01,2.732174E-01,2.109712E-01,1.573112E-01,1.129105E-01,7.768010E-02,5.103420E-02,3.195036E-02,1.905416E-02,1.081581E-02,5.820248E-03,2.940537E-03,1.373048E-03,5.813974E-04,2.187544E-04,7.147352E-05,1.968053E-05,4.402510E-06,7.727642E-07,9.414003E-08,5.546749E-09
-9.71787,38.70000,0.00000,6.010236E-01,5.417491E-01,4.753597E-01,4.049568E-01,3.342827E-01,2.671094E-01,2.064681E-01,1.541450E-01,1.107965E-01,7.635219E-02,5.025590E-02,3.152288E-02,1.882137E-02,1.067740E-02,5.725790E-03,2.871878E-03,1.325643E-03,5.520763E-04,2.029435E-04,6.421881E-05,1.692338E-05,3.576165E-06,5.893711E-07,7.100957E-08,4.509811E-09
-9.71787,38.80000,0.00000,5.776681E-01,5.200919E-01,4.561167E-01,3.885073E-01,3.206939E-01,2.562653E-01,1.981288E-01,1.479857E-01,1.064503E-01,7.343649E-02,4.839547E-02,3.039393E-02,1.816739E-02,1.031654E-02,5.538056E-03,2.781978E-03,1.287263E-03,5.380718E-04,1.987938E-04,6.327857E-05,1.679326E-05,3.568897E-06,5.846918E-07,6.956562E-08,4.365401E-09
-9.71787,38.90000,0.00000,5.564173E-01,5.006730E-01,4.389684E-01,3.737667E-01,3.082374E-01,2.458648E-01,1.896088E-01,1.412379E-01,1.013620E-01,6.981970E-02,4.597921E-02,2.886713E-02,1.724936E-02,9.791590E-03,5.255599E-03,2.641464E-03,1.223937E-03,5.127114E-04,1.899088E-04,6.059517E-05,1.610657E-05,3.424726E-06,5.587671E-07,6.642841E-08,4.109525E-09
-9.71787,39.00000,0.00000,5.328383E-01,4.795351E-01,4.203999E-01,3.577007E-01,2.945130E-01,2.343249E-01,1.801125E-01,1.336287E-01,9.547932E-02,6.549358E-02,4.299466E-02,2.694744E-02,1.610065E-02,9.151465E-03,4.925592E-03,2.487966E-03,1.163021E-03,4.938437E-04,1.862998E-04,6.073435E-05,1.650592E-05,3.554408E-06,5.669165E-07,6.225606E-08,2.798993E-09
-9.61787,38.50000,0.00000,6.349575E-01,5.746548E-01,5.058378E-01,4.319533E-01,3.573052E-01,2.861343E-01,2.217430E-01,1.660310E-01,1.197060E-01,8.272937E-02,5.457548E-02,3.427520E-02,2.047576E-02,1.162108E-02,6.237791E-03,3.134080E-03,1.449442E-03,6.042460E-04,2.220529E-04,7.017310E-05,1.844841E-05,3.889284E-06,6.455019E-07,7.602554E-08,4.733164E-09
-9.61787,38.60000,0.00000,6.166196E-01,5.571540E-01,4.901065E-01,4.187409E-01,3.469265E-01,2.784622E-01,2.163687E-01,1.624482E-01,1.174276E-01,8.134213E-02,5.376203E-02,3.379842E-02,2.017711E-02,1.141368E-02,6.087148E-03,3.029861E-03,1.384642E-03,5.689160E-04,2.054229E-04,6.360077E-05,1.637019E-05,3.393450E-06,5.665066E-07,7.114807E-08,4.861544E-09
-9.61787,38.70000,0.00000,6.038411E-01,5.447584E-01,4.788502E-01,4.091585E-01,3.392060E-01,2.725085E-01,2.119469E-01,1.592758E-01,1.152137E-01,7.982903E-02,5.274305E-02,3.312016E-02,1.972975E-02,1.112378E-02,5.905721E-03,2.920851E-03,1.322970E-03,5.371679E-04,1.912328E-04,5.835574E-05,1.484297E-05,3.078771E-06,5.243148E-07,6.790891E-08,4.749206E-09
-9.61787,38.80000,0.00000,5.808808E-01,5.236365E-01,4.602159E-01,3.933036E-01,3.260696E-01,2.618542E-01,2.035095E-01,1.528160E-01,1.104833E-01,7.653341E-02,5.055441E-02,3.172982E-02,1.888286E-02,1.063232E-02,5.636937E-03,2.785316E-03,1.261783E-03,5.133071E-04,1.834734E-04,5.634952E-05,1.448775E-05,3.037956E-06,5.197330E-07,6.722752E-08,4.712719E-09
-9.61787,38.90000,0.00000,5.607566E-01,5.050462E-01,4.436728E-01,3.790259E-01,3.140256E-01,2.518825E-01,1.954178E-01,1.464251E-01,1.056416E-01,7.307521E-02,4.824239E-02,3.027392E-02,1.800925E-02,1.013006E-02,5.363462E-03,2.646137E-03,1.196083E-03,4.845031E-04,1.717943E-04,5.207484E-05,1.314965E-05,2.709062E-06,4.656578E-07,6.263455E-08,4.426375E-09
-9.61787,39.00000,0.00000,5.347016E-01,4.819085E-01,4.236090E-01,3.618928E-01,2.994857E-01,2.395969E-01,1.851710E-01,1.381002E-01,9.913885E-02,6.825035E-02,4.488188E-02,2.808868E-02,1.668164E-02,9.374621E-03,4.962061E-03,2.452066E-03,1.115104E-03,4.574233E-04,1.654524E-04,5.144731E-05,1.334915E-05,2.788733E-06,4.639634E-07,5.942483E-08,4.189614E-09
-9.61787,39.10000,0.00000,5.241103E-01,4.716589E-01,4.138223E-01,3.526015E-01,2.907588E-01,2.315999E-01,1.780930E-01,1.320488E-01,9.411643E-02,6.421067E-02,4.177002E-02,2.582865E-02,1.515550E-02,8.420694E-03,4.408489E-03,2.152881E-03,9.664877E-04,3.917616E-04,1.408795E-04,4.413250E-05,1.176930E-05,2.604327E-06,4.689466E-07,6.129950E-08,4.005251E-09
-9.61787,39.20000,0.00000,5.051611E-01,4.543699E-01,3.981012E-01,3.383490E-01,2.780255E-01,2.205422E-01,1.688074E-01,1.245022E-01,8.819044E-02,5.975885E-02,3.860974E-02,2.373266E-02,1.386029E-02,7.672288E-03,4.003667E-03,1.951393E-03,8.770127E-04,3.576159E-04,1.300786E-04,4.137156E-05,1.120158E-05,2.488689E-06,4.387450E-07,5.500056E-08,3.499808E-09
-9.61787,39.30000,0.00000,4.969932E-01,4.458723E-01,3.892295E-01,3.292328E-01,2.690562E-01,2.122345E-01,1.615735E-01,1.185692E-01,8.362720E-02,5.649164E-02,3.643679E-02,2.238989E-02,1.308822E-02,7.260496E-03,3.802615E-03,1.863024E-03,8.424883E-04,3.458744E-04,1.265716E-04,4.042008E-05,1.093290E-05,2.407639E-06,4.142838E-07,4.899717E-08,2.353210E-09
-9.61787,39.40000,0.00000,4.685099E-01,4.204780E-01,3.666704E-01,3.093174E-01,2.516949E-01,1.974182E-01,1.493689E-01,1.090317E-01,7.665553E-02,5.173712E-02,3.339670E-02,2.055314E-02,1.203541E-02,6.691838E-03,3.517147E-03,1.733032E-03,7.906067E-04,3.286952E-04,1.222890E-04,3.980845E-05,1.098409E-05,2.452894E-06,4.184955E-07,4.841834E-08,2.342161E-09
-9.61787,39.50000,0.00000,4.569359E-01,4.089274E-01,3.550921E-01,2.978597E-01,2.407078E-01,1.873991E-01,1.408282E-01,1.022826E-01,7.168779E-02,4.829765E-02,3.115252E-02,1.918445E-02,1.127180E-02,6.314666E-03,3.361138E-03,1.686031E-03,7.874428E-04,3.370224E-04,1.298316E-04,4.404423E-05,1.276719E-05,3.020111E-06,5.456529E-07,6.509866E-08,3.335659E-09
-9.51787,38.50000,0.00000,6.356345E-01,5.757487E-01,5.074276E-01,4.341271E-01,3.600905E-01,2.894365E-01,2.253413E-01,1.696199E-01,1.229622E-01,8.540024E-02,5.654832E-02,3.557566E-02,2.123204E-02,1.200127E-02,6.395608E-03,3.180170E-03,1.450269E-03,5.932492E-04,2.126324E-04,6.515008E-05,1.655186E-05,3.390749E-06,5.660212E-07,7.148828E-08,4.928284E-09
-9.51787,38.60000,0.00000,6.159722E-01,5.571206E-01,4.909931E-01,4.207941E-01,3.501434E-01,2.825240E-01,2.207782E-01,1.667111E-01,1.211418E-01,8.425421E-02,5.580913E-02,3.508630E-02,2.090310E-02,1.178185E-02,6.253077E-03,3.092699E-03,1.401417E-03,5.695904E-04,2.031077E-04,6.210146E-05,1.584025E-05,3.286541E-06,5.568550E-07,7.181332E-08,4.999540E-09
-9.51787,38.70000,0.00000,6.024740E-01,5.437533E-01,4.786298E-01,4.100828E-01,3.413343E-01,2.755401E-01,2.153899E-01,1.626427E-01,1.181182E-01,8.203654E-02,5.421630E-02,3.398354E-02,2.017621E-02,1.132795E-02,5.985637E-03,2.944894E-03,1.326534E-03,5.359306E-04,1.901606E-04,5.800978E-05,1.484277E-05,3.113340E-06,5.344284E-07,6.970015E-08,4.906499E-09
-9.51787,38.80000,0.00000,5.858853E-01,5.285118E-01,4.652738E-01,3.988357E-01,3.320968E-01,2.680555E-01,2.094072E-01,1.579743E-01,1.146016E-01,7.950505E-02,5.248685E-02,3.286619E-02,1.949621E-02,1.094071E-02,5.781868E-03,2.847630E-03,1.285473E-03,5.210384E-04,1.856724E-04,5.695911E-05,1.468245E-05,3.106214E-06,5.366333E-07,6.985941E-08,4.965267E-09
-9.51787,38.90000,0.00000,5.637271E-01,5.082037E-01,4.472703E-01,3.832733E-01,3.188616E-01,2.569369E-01,2.002208E-01,1.505970E-01,1.089501E-01,7.544579E-02,4.976720E-02,3.115422E-02,1.847303E-02,1.036043E-02,5.474234E-03,2.698768E-03,1.221757E-03,4.975605E-04,1.784101E-04,5.512179E-05,1.431636E-05,3.053901E-06,5.295905E-07,6.870733E-08,4.895779E-09
-9.51787,39.00000,0.00000,5.357440E-01,4.833485E-01,4.258141E-01,3.651098E-01,3.036067E-01,2.441585E-01,1.896256E-01,1.420406E-01,1.023230E-01,7.057817E-02,4.640488E-02,2.897137E-02,1.713471E-02,9.583629E-03,5.050545E-03,2.486536E-03,1.127434E-03,4.616450E-04,1.670103E-04,5.216916E-05,1.369452E-05,2.927443E-06,4.987619E-07,6.474598E-08,4.582177E-09
-9.51787,39.10000,0.00000,5.256418E-01,4.736275E-01,4.165460E-01,3.562565E-01,2.951678E-01,2.362744E-01,1.825154E-01,1.358693E-01,9.714742E-02,6.638360E-02,4.315121E-02,2.658449E-02,1.549169E-02,8.523045E-03,4.406365E-03,2.119024E-03,9.335445E-04,3.696469E-04,1.292568E-04,3.931799E-05,1.024727E-05,2.262600E-06,4.198305E-07,5.745489E-08,4.163530E-09
-9.51787,39.20000,0.00000,5.079604E-01,4.573753E-01,4.016152E-01,3.425147E-01,2.826574E-01,2.252123E-01,1.730979E-01,1.281396E-01,9.102886E-02,6.175500E-02,3.983915E-02,2.435883E-02,1.408742E-02,7.685733E-03,3.934637E-03,1.871824E-03,8.161592E-04,3.206594E-04,1.117504E-04,3.406967E-05,8.957454E-06,1.994933E-06,3.683223E-07,5.037952E-08,3.568545E-09
-9.51787,39.30000,0.00000,4.916621E-01,4.420839E-01,3.871854E-01,3.288994E-01,2.700447E-01,2.139352E-01,1.634556E-01,1.203096E-01,8.505219E-02,5.750901E-02,3.703214E-02,2.262186E-02,1.307350E-02,7.127656E-03,3.648188E-03,1.737491E-03,7.596173E-04,2.995874E-04,1.048315E-04,3.206299E-05,8.441350E-06,1.884696E-06,3.502927E-07,4.873273E-08,3.511661E-09
-9.51787,39.40000,0.00000,4.688333E-01,4.214315E-01,3.683929E-01,3.118005E-01,2.547206E-01,2.006173E-01,1.523697E-01,1.115740E-01,7.860904E-02,5.307959E-02,3.418611E-02,2.090225E-02,1.209112E-02,6.597831E-03,3.381010E-03,1.613709E-03,7.080921E-04,2.807895E-04,9.890112E-05,3.042849E-05,8.029138E-06,1.777732E-06,3.220088E-07,4.245220E-08,2.360034E-09
-9.51787,39.50000,0.00000,4.563278E-01,4.091748E-01,3.562890E-01,2.999197E-01,2.432994E-01,1.900585E-01,1.431843E-01,1.041630E-01,7.305395E-02,4.916674E-02,3.158540E-02,1.927743E-02,1.114836E-02,6.096020E-03,3.138090E-03,1.507730E-03,6.672943E-04,2.673225E-04,9.525589E-05,2.967206E-05,7.909758E-06,1.755763E-06,3.159184E-07,4.094952E-08,2.347768E-09
-9.51787,39.60000,0.00000,4.470989E-01,3.992310E-01,3.456995E-01,2.890403E-01,2.327382E-01,1.805071E-01,1.351435E-01,9.778628E-02,6.822841E-02,4.568162E-02,2.920575E-02,1.776091E-02,1.025540E-02,5.612866E-03,2.900284E-03,1.403068E-03,6.274852E-04,2.550535E-04,9.257648E-05,2.938766E-05,7.938253E-06,1.757435E-06,3.064778E-07,3.728945E-08,1.876039E-09
-9.41787,38.20000,0.00000,6.945581E-01,6.341762E-01,5.622100E-01,4.820385E-01,3.988282E-01,3.183183E-01,2.452466E-01,1.823526E-01,1.304565E-01,8.932354E-02,5.823468E-02,3.605092E-02,2.119946E-02,1.185587E-02,6.293115E-03,3.141971E-03,1.449677E-03,6.039160E-04,2.215558E-04,6.967106E-05,1.815238E-05,3.786776E-06,6.255181E-07,7.711711E-08,4.880975E-09
-9.41787,38.30000,0.00000,6.773533E-01,6.166094E-01,5.454188E-01,4.672778E-01,3.870951E-01,3.100149E-01,2.401119E-01,1.797152E-01,1.295532E-01,8.946349E-02,5.885545E-02,3.676197E-02,2.178802E-02,1.225464E-02,6.521275E-03,3.251299E-03,1.491169E-03,6.143448E-04,2.217132E-04,6.823348E-05,1.732719E-05,3.522403E-06,5.785671E-07,7.275485E-08,4.865000E-09
-9.41787,38.40000,0.00000,6.607946E-01,5.998642E-01,5.296432E-01,4.536900E-01,3.765647E-01,3.027673E-01,2.357496E-01,1.774755E-01,1.286576E-01,8.931083E-02,5.905217E-02,3.706520E-02,2.206549E-02,1.245041E-02,6.630929E-03,3.297515E-03,1.503308E-03,6.139129E-04,2.192783E-04,6.680860E-05,1.684282E-05,3.427378E-06,5.691888E-07,7.212968E-08,4.919891E-09
-9.41787,38.50000,0.00000,6.365484E-01,5.768840E-01,5.090729E-01,4.365345E-01,3.633031E-01,2.932230E-01,2.292980E-01,1.733171E-01,1.260595E-01,8.772226E-02,5.810555E-02,3.651930E-02,2.175830E-02,1.227499E-02,6.527272E-03,3.237710E-03,1.472398E-03,6.006174E-04,2.148311E-04,6.577554E-05,1.674285E-05,3.446220E-06,5.754959E-07,7.300442E-08,5.002103E-09
-9.41787,38.60000,0.00000,6.219069E-01,5.625036E-01,4.957674E-01,4.250446E-01,3.541244E-01,2.864789E-01,2.246861E-01,1.702615E-01,1.239874E-01,8.626364E-02,5.708794E-02,3.585596E-02,2.136273E-02,1.205491E-02,6.409503E-03,3.176592E-03,1.442628E-03,5.878997E-04,2.103475E-04,6.456009E-05,1.652367E-05,3.426920E-06,5.776944E-07,7.367708E-08,5.139739E-09
-9.41787,38.70000,0.00000,6.024547E-01,5.439675E-01,4.792168E-01,4.112274E-01,3.431986E-01,2.781124E-01,2.183737E-01,1.655632E-01,1.205634E-01,8.383853E-02,5.543003E-02,3.477136E-02,2.068144E-02,1.164560E-02,6.177471E-03,3.054149E-03,1.384086E-03,5.633288E-04,2.015102E-04,6.192642E-05,1.591668E-05,3.327254E-06,5.649378E-07,7.270835E-08,5.174105E-09
-9.41787,38.80000,0.00000,5.873941E-01,5.301116E-01,4.671938E-01,4.013282E-01,3.352906E-01,2.718133E-01,2.133200E-01,1.615400E-01,1.174734E-01,8.159520E-02,5.390536E-02,3.379541E-02,2.009154E-02,1.131158E-02,6.004449E-03,2.974852E-03,1.353328E-03,5.537745E-04,1.993305E-04,6.168300E-05,1.596957E-05,3.365095E-06,5.764005E-07,7.421047E-08,5.357586E-09
-9.41787,38.90000,0.00000,5.621450E-01,5.071183E-01,4.469588E-01,3.839917E-01,3.206772E-01,2.596104E-01,2.032704E-01,1.534968E-01,1.113413E-01,7.721785E-02,5.099298E-02,3.197122E-02,1.900439E-02,1.069639E-02,5.680273E-03,2.821036E-03,1.290041E-03,5.318985E-04,1.932177E-04,6.036016E-05,1.576658E-05,3.348104E-06,5.754317E-07,7.389459E-08,5.348283E-09
-9.41787,39.00000,0.00000,5.378718E-01,4.854248E-01,4.280839E-01,3.678702E-01,3.070420E-01,2.481435E-01,1.937191E-01,1.457148E-01,1.052360E-01,7.267283E-02,4.780884E-02,2.987229E-02,1.769607E-02,9.922915E-03,5.250482E-03,2.601707E-03,1.190140E-03,4.924262E-04,1.799345E-04,5.661534E-05,1.488716E-05,3.164454E-06,5.389643E-07,6.912087E-08,5.085019E-09
-9.41787,39.10000,0.00000,5.208167E-01,4.697759E-01,4.138344E-01,3.548504E-01,2.951343E-01,2.374209E-01,1.843637E-01,1.378662E-01,9.890666E-02,6.775587E-02,4.413373E-02,2.724699E-02,1.591573E-02,8.782950E-03,4.562185E-03,2.211454E-03,9.863246E-04,3.973373E-04,1.418674E-04,4.411209E-05,1.168614E-05,2.576441E-06,4.633003E-07,5.727989E-08,2.533276E-09
-9.41787,39.20000,0.00000,5.138382E-01,4.626264E-01,4.065229E-01,3.473545E-01,2.875358E-01,2.299800E-01,1.774410E-01,1.317820E-01,9.385847E-02,6.380418E-02,4.122044E-02,2.522855E-02,1.460430E-02,7.983366E-03,4.105439E-03,1.969561E-03,8.699223E-04,3.477681E-04,1.237592E-04,3.860372E-05,1.036566E-05,2.344109E-06,4.366439E-07,5.880965E-08,4.038083E-09
-9.41787,39.30000,0.00000,4.901527E-01,4.412857E-01,3.872454E-01,3.298807E-01,2.718306E-01,2.162135E-01,1.658308E-01,1.224598E-01,8.681446E-02,5.884106E-02,3.796088E-02,2.321964E-02,1.343413E-02,7.339545E-03,3.775462E-03,1.816047E-03,8.070655E-04,3.256912E-04,1.171542E-04,3.681542E-05,9.876779E-06,2.193930E-06,3.937140E-07,5.170960E-08,3.627157E-09
-9.41787,39.40000,0.00000,4.719913E-01,4.244574E-01,3.715179E-01,3.151866E-01,2.583345E-01,2.042062E-01,1.556034E-01,1.142143E-01,8.058512E-02,5.445212E-02,3.507458E-02,2.143942E-02,1.239965E-02,6.772913E-03,3.485217E-03,1.679680E-03,7.492119E-04,3.037893E-04,1.097574E-04,3.457173E-05,9.272929E-06,2.053185E-06,3.668281E-07,5.031249E-08,3.541294E-09
-9.41787,39.50000,0.00000,4.557545E-01,4.092900E-01,3.572242E-01,3.016809E-01,2.456564E-01,1.925874E-01,1.454755E-01,1.059923E-01,7.437544E-02,5.003001E-02,3.207289E-02,1.949549E-02,1.120608E-02,6.083902E-03,3.112027E-03,1.489572E-03,6.587761E-04,2.645054E-04,9.465960E-05,2.967806E-05,7.990521E-06,1.794050E-06,3.266165E-07,4.317938E-08,2.371046E-09
-9.41787,39.60000,0.00000,4.476545E-01,4.002406E-01,3.472547E-01,2.911052E-01,2.350851E-01,1.827901E-01,1.370725E-01,9.923089E-02,6.918364E-02,4.620456E-02,2.938642E-02,1.771448E-02,1.009705E-02,5.432899E-03,2.749309E-03,1.297717E-03,5.640090E-04,2.218157E-04,7.768439E-05,2.387003E-05,6.323711E-06,1.408694E-06,2.553805E-07,3.305921E-08,1.880438E-09
