#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='mean', investigation_time=1.0, imt='SA(0.2)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,6.980231E-01,6.580068E-01,6.080477E-01,5.486054E-01,4.809096E-01,4.074363E-01,3.321675E-01,2.599336E-01,1.949783E-01,1.399273E-01,9.573326E-02,6.216102E-02,3.817309E-02,2.214834E-02,1.213639E-02,6.269322E-03,3.045626E-03,1.390844E-03,5.967556E-04,2.403631E-04,9.085303E-05,3.217394E-05,1.042445E-05,2.922160E-06,6.587546E-07
-9.71787,38.70000,0.00000,6.859114E-01,6.452863E-01,5.953153E-01,5.365639E-01,4.701743E-01,3.983614E-01,3.248533E-01,2.543259E-01,1.909031E-01,1.371263E-01,9.391813E-02,6.105598E-02,3.754074E-02,2.179668E-02,1.193292E-02,6.136494E-03,2.945521E-03,1.309674E-03,5.336578E-04,1.963778E-04,6.395374E-05,1.787189E-05,4.069978E-06,6.784714E-07,7.109317E-08
-9.71787,38.80000,0.00000,6.613830E-01,6.210819E-01,5.721504E-01,5.151978E-01,4.512098E-01,3.821322E-01,3.114907E-01,2.438106E-01,1.830398E-01,1.315578E-01,9.020705E-02,5.873273E-02,3.616732E-02,2.102329E-02,1.151857E-02,5.927449E-03,2.847923E-03,1.267904E-03,5.178474E-04,1.915202E-04,6.298626E-05,1.788980E-05,4.176373E-06,7.215231E-07,8.061713E-08
-9.71787,38.90000,0.00000,6.386636E-01,5.991238E-01,5.515333E-01,4.964453E-01,4.346361E-01,3.678169E-01,2.993605E-01,2.337513E-01,1.749929E-01,1.254692E-01,8.590733E-02,5.590832E-02,3.443496E-02,2.002646E-02,1.098161E-02,5.661320E-03,2.730363E-03,1.223334E-03,5.043806E-04,1.888996E-04,6.311783E-05,1.827116E-05,4.370887E-06,7.894565E-07,9.470642E-08
-9.71787,39.00000,0.00000,6.127270E-01,5.748773E-01,5.292965E-01,4.764000E-01,4.167936E-01,3.521470E-01,2.858791E-01,2.224791E-01,1.658958E-01,1.184511E-01,8.080160E-02,5.245881E-02,3.228867E-02,1.879948E-02,1.034035E-02,5.364292E-03,2.618512E-03,1.198780E-03,5.117211E-04,2.018627E-04,7.247549E-05,2.297421E-05,6.132927E-06,1.275655E-06,1.904434E-07
-9.61787,38.50000,0.00000,7.181601E-01,6.785284E-01,6.284972E-01,5.683787E-01,4.994017E-01,4.241438E-01,3.467616E-01,2.722709E-01,2.050387E-01,1.477593E-01,1.014778E-01,6.607319E-02,4.061887E-02,2.354417E-02,1.285705E-02,6.592924E-03,3.154099E-03,1.396447E-03,5.656705E-04,2.070008E-04,6.731108E-05,1.897246E-05,4.440419E-06,7.809711E-07,8.971551E-08
-9.61787,38.60000,0.00000,7.004345E-01,6.604066E-01,6.105656E-01,5.514654E-01,4.843686E-01,4.116459E-01,3.370526E-01,2.651855E-01,2.001455E-01,1.445403E-01,9.944998E-02,6.485011E-02,3.990236E-02,2.311835E-02,1.258500E-02,6.401825E-03,3.011739E-03,1.290947E-03,4.940688E-04,1.652543E-04,4.718150E-05,1.109796E-05,2.039824E-06,2.574417E-07,2.177400E-08
-9.61787,38.70000,0.00000,6.887873E-01,6.480489E-01,5.981151E-01,5.396573E-01,4.738560E-01,4.028121E-01,3.299860E-01,2.597638E-01,1.961361E-01,1.416775E-01,9.747069E-02,6.352317E-02,3.904237E-02,2.257640E-02,1.224592E-02,6.186205E-03,2.873199E-03,1.205486E-03,4.471384E-04,1.432163E-04,3.859661E-05,8.473938E-06,1.463377E-06,1.893032E-07,1.890245E-08
-9.61787,38.80000,0.00000,6.647984E-01,6.246269E-01,5.758912E-01,5.193104E-01,4.559042E-01,3.874591E-01,3.172041E-01,2.494614E-01,1.881794E-01,1.358441E-01,9.343997E-02,6.090089E-02,3.742604E-02,2.162722E-02,1.172030E-02,5.916984E-03,2.747765E-03,1.152930E-03,4.277989E-04,1.371907E-04,3.711356E-05,8.228605E-06,1.441024E-06,1.878767E-07,1.891154E-08
-9.61787,38.90000,0.00000,6.437361E-01,6.039430E-01,5.562109E-01,5.012180E-01,4.397892E-01,3.734947E-01,3.054202E-01,2.397843E-01,1.804885E-01,1.300123E-01,8.930229E-02,5.817950E-02,3.576310E-02,2.067365E-02,1.120333E-02,5.654699E-03,2.625963E-03,1.101818E-03,4.083429E-04,1.303573E-04,3.488420E-05,7.553046E-06,1.266819E-06,1.616609E-07,1.820546E-08
-9.61787,39.00000,0.00000,6.141255E-01,5.763606E-01,5.310690E-01,4.788037E-01,4.201624E-01,3.565328E-01,2.909263E-01,2.276044E-01,1.705635E-01,1.222974E-01,8.366434E-02,5.435523E-02,3.336381E-02,1.927875E-02,1.045365E-02,5.289357E-03,2.470987E-03,1.049514E-03,3.975297E-04,1.312723E-04,3.685022E-05,8.476221E-06,1.506509E-06,1.918394E-07,1.858416E-08
