#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.71787,38.60000,1.347142E-01,2.140846E-01,2.676115E-01,2.960493E-01,2.780892E-01,2.534087E-01,2.230341E-01,1.977720E-01,1.794626E-01,1.451600E-01,1.247635E-01,9.784446E-02,7.871371E-02,2.715098E-01,4.446725E-01,5.478386E-01,6.210914E-01,5.894760E-01,5.264845E-01,4.476593E-01,3.920504E-01,3.515563E-01,2.815213E-01,2.455389E-01,1.954074E-01,1.653606E-01
-9.71787,38.70000,1.329149E-01,2.115900E-01,2.646202E-01,2.893609E-01,2.720965E-01,2.484234E-01,2.191081E-01,1.949620E-01,1.773684E-01,1.438985E-01,1.235940E-01,9.690168E-02,7.768936E-02,2.656329E-01,4.359687E-01,5.385973E-01,5.879385E-01,5.563822E-01,5.020042E-01,4.318072E-01,3.832507E-01,3.461940E-01,2.783912E-01,2.431551E-01,1.934402E-01,1.635491E-01
-9.71787,38.80000,1.310014E-01,2.087753E-01,2.605878E-01,2.846229E-01,2.678506E-01,2.443484E-01,2.150623E-01,1.910707E-01,1.735006E-01,1.406496E-01,1.201486E-01,9.412073E-02,7.446424E-02,2.633104E-01,4.327408E-01,5.332800E-01,5.815324E-01,5.502608E-01,4.954926E-01,4.258705E-01,3.771362E-01,3.399333E-01,2.721919E-01,2.369367E-01,1.880749E-01,1.567079E-01
-9.71787,38.90000,1.278710E-01,2.039066E-01,2.540329E-01,2.786951E-01,2.628061E-01,2.392747E-01,2.095368E-01,1.854727E-01,1.678267E-01,1.355960E-01,1.151656E-01,8.980114E-02,7.021195E-02,2.587808E-01,4.256287E-01,5.233640E-01,5.747614E-01,5.452926E-01,4.890552E-01,4.184012E-01,3.683112E-01,3.304206E-01,2.627022E-01,2.275919E-01,1.800076E-01,1.470969E-01
-9.71787,39.00000,1.244277E-01,1.984009E-01,2.466046E-01,2.734851E-01,2.583463E-01,2.345055E-01,2.039644E-01,1.795153E-01,1.615825E-01,1.294697E-01,1.096249E-01,8.503800E-02,6.583484E-02,2.556153E-01,4.207047E-01,5.154405E-01,5.787405E-01,5.512144E-01,4.908503E-01,4.147825E-01,3.607179E-01,3.209092E-01,2.523481E-01,2.173453E-01,1.709819E-01,1.371865E-01
-9.61787,38.50000,1.385370E-01,2.207027E-01,2.757820E-01,2.994589E-01,2.807739E-01,2.565643E-01,2.276641E-01,2.032250E-01,1.854127E-01,1.505791E-01,1.303302E-01,1.022157E-01,8.273389E-02,2.744519E-01,4.507035E-01,5.566809E-01,6.032391E-01,5.685574E-01,5.137718E-01,4.449281E-01,3.964839E-01,3.594104E-01,2.911002E-01,2.550269E-01,2.037679E-01,1.732030E-01
-9.61787,38.60000,1.359974E-01,2.171077E-01,2.709855E-01,2.905701E-01,2.729666E-01,2.499762E-01,2.222607E-01,1.990190E-01,1.818416E-01,1.479450E-01,1.276263E-01,1.001040E-01,8.032893E-02,2.679550E-01,4.403723E-01,5.435264E-01,5.707864E-01,5.365348E-01,4.884045E-01,4.288183E-01,3.861107E-01,3.514656E-01,2.846068E-01,2.491292E-01,1.995639E-01,1.680101E-01
-9.61787,38.70000,1.334820E-01,2.127864E-01,2.658277E-01,2.831528E-01,2.662787E-01,2.446375E-01,2.180877E-01,1.960155E-01,1.794314E-01,1.462501E-01,1.260265E-01,9.885101E-02,7.913855E-02,2.621709E-01,4.296508E-01,5.305074E-01,5.509961E-01,5.173945E-01,4.720124E-01,4.186099E-01,3.794166E-01,3.464008E-01,2.804187E-01,2.457409E-01,1.967075E-01,1.659519E-01
-9.61787,38.80000,1.306140E-01,2.085023E-01,2.597692E-01,2.770346E-01,2.610804E-01,2.395415E-01,2.126320E-01,1.905362E-01,1.738578E-01,1.415602E-01,1.210714E-01,9.499274E-02,7.456960E-02,2.581080E-01,4.237219E-01,5.212278E-01,5.418701E-01,5.097511E-01,4.632132E-01,4.102163E-01,3.704031E-01,3.369870E-01,2.710742E-01,2.364748E-01,1.888520E-01,1.559266E-01
-9.61787,38.90000,1.275475E-01,2.034423E-01,2.534175E-01,2.710396E-01,2.559016E-01,2.347071E-01,2.076287E-01,1.858062E-01,1.692808E-01,1.378426E-01,1.173369E-01,9.181714E-02,7.156223E-02,2.527840E-01,4.144023E-01,5.098176E-01,5.320244E-01,5.018001E-01,4.547546E-01,4.023036E-01,3.625813E-01,3.292319E-01,2.638173E-01,2.296975E-01,1.829778E-01,1.495320E-01
