#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.05', investigation_time=1.0, imt='SA(0.25)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,5.578603E-01,5.349535E-01,4.941160E-01,4.128471E-01,3.327477E-01,2.637326E-01,2.008511E-01,1.488051E-01,1.059093E-01,7.447756E-02,4.953730E-02,3.091454E-02,1.821600E-02,1.040933E-02,5.549171E-03,2.800432E-03,1.270504E-03,5.197797E-04,1.753360E-04,4.886685E-05,9.544601E-06,1.287550E-06,1.048970E-07,2.624833E-09,0.000000E+00
-9.71787,38.70000,0.00000,5.498851E-01,5.220602E-01,4.780461E-01,3.969333E-01,3.218601E-01,2.599536E-01,1.960544E-01,1.430047E-01,1.045818E-01,7.368929E-02,4.849526E-02,3.060373E-02,1.799508E-02,1.023313E-02,5.447948E-03,2.692503E-03,1.238902E-03,4.931270E-04,1.678194E-04,4.482418E-05,9.144990E-06,1.154790E-06,7.249704E-08,1.265037E-09,0.000000E+00
-9.71787,38.80000,0.00000,5.475508E-01,5.190219E-01,4.473667E-01,3.723442E-01,3.072441E-01,2.436593E-01,1.865541E-01,1.393518E-01,1.017203E-01,7.024126E-02,4.624361E-02,2.951860E-02,1.724206E-02,1.006826E-02,5.401128E-03,2.665859E-03,1.241321E-03,4.983614E-04,1.659932E-04,4.319623E-05,8.772012E-06,1.059955E-06,7.124346E-08,1.246211E-09,0.000000E+00
-9.71787,38.90000,0.00000,5.296533E-01,4.965376E-01,4.249584E-01,3.562427E-01,2.981765E-01,2.342795E-01,1.770958E-01,1.337158E-01,9.719409E-02,6.716044E-02,4.434330E-02,2.808774E-02,1.683553E-02,9.668895E-03,5.203397E-03,2.625862E-03,1.210051E-03,4.803275E-04,1.551818E-04,3.975417E-05,7.928264E-06,9.188975E-07,6.260127E-08,1.329437E-09,0.000000E+00
-9.71787,39.00000,0.00000,4.831254E-01,4.616058E-01,4.076088E-01,3.423726E-01,2.870437E-01,2.252489E-01,1.708581E-01,1.258020E-01,9.068659E-02,6.280354E-02,4.180530E-02,2.648605E-02,1.633784E-02,9.413340E-03,5.039514E-03,2.547970E-03,1.172541E-03,4.480130E-04,1.519887E-04,4.077380E-05,7.642979E-06,9.691357E-07,7.959576E-08,1.991086E-09,0.000000E+00
-9.61787,38.50000,0.00000,5.813330E-01,5.527748E-01,5.102009E-01,4.406109E-01,3.569868E-01,2.817201E-01,2.146867E-01,1.568699E-01,1.119678E-01,7.900857E-02,5.290829E-02,3.320970E-02,1.978401E-02,1.097606E-02,5.832316E-03,2.850440E-03,1.273108E-03,5.088073E-04,1.754050E-04,5.045663E-05,9.484940E-06,1.271312E-06,8.425346E-08,1.557341E-09,0.000000E+00
-9.61787,38.60000,0.00000,5.604976E-01,5.381562E-01,4.993467E-01,4.192557E-01,3.394914E-01,2.683362E-01,2.059840E-01,1.530609E-01,1.111261E-01,7.815499E-02,5.097964E-02,3.180148E-02,1.902380E-02,1.075478E-02,5.736055E-03,2.810932E-03,1.249825E-03,4.945601E-04,1.620989E-04,4.402972E-05,8.286280E-06,9.228965E-07,4.969355E-08,5.133751E-10,0.000000E+00
-9.61787,38.70000,0.00000,5.544154E-01,5.260245E-01,4.838862E-01,4.021904E-01,3.284696E-01,2.632423E-01,2.012195E-01,1.483001E-01,1.094224E-01,7.519846E-02,4.891511E-02,3.042109E-02,1.829932E-02,1.053596E-02,5.618949E-03,2.711844E-03,1.190642E-03,4.689722E-04,1.582540E-04,4.168383E-05,7.492782E-06,7.027521E-07,2.635488E-08,8.662804E-11,0.000000E+00
-9.61787,38.80000,0.00000,5.314893E-01,5.068380E-01,4.584138E-01,3.822543E-01,3.118498E-01,2.508988E-01,1.935156E-01,1.437858E-01,1.051346E-01,7.169554E-02,4.694536E-02,2.929799E-02,1.784119E-02,1.038353E-02,5.509663E-03,2.674971E-03,1.175926E-03,4.610167E-04,1.588244E-04,3.964024E-05,7.102435E-06,6.591916E-07,2.636177E-08,1.071141E-10,0.000000E+00
-9.61787,38.90000,0.00000,5.264157E-01,4.999970E-01,4.325390E-01,3.614564E-01,3.011078E-01,2.397754E-01,1.829671E-01,1.391943E-01,1.004888E-01,6.840441E-02,4.509452E-02,2.833971E-02,1.742725E-02,1.013258E-02,5.454364E-03,2.665606E-03,1.165463E-03,4.633921E-04,1.520694E-04,3.908371E-05,7.074781E-06,5.389938E-07,1.899160E-08,6.849310E-11,0.000000E+00
-9.61787,39.00000,0.00000,4.842759E-01,4.640771E-01,4.118668E-01,3.461001E-01,2.903406E-01,2.298679E-01,1.752337E-01,1.308716E-01,9.521799E-02,6.593265E-02,4.363679E-02,2.762565E-02,1.698247E-02,9.671599E-03,5.124151E-03,2.556472E-03,1.150457E-03,4.636647E-04,1.401803E-04,3.881867E-05,6.479371E-06,6.090004E-07,2.535171E-08,2.658389E-10,0.000000E+00
-9.61787,39.10000,0.00000,4.835256E-01,4.596369E-01,3.974130E-01,3.352196E-01,2.795279E-01,2.227442E-01,1.678593E-01,1.244012E-01,8.940776E-02,6.164395E-02,4.086668E-02,2.614926E-02,1.556096E-02,8.981814E-03,4.776081E-03,2.394710E-03,1.085482E-03,3.831304E-04,1.165267E-04,2.652954E-05,4.513974E-06,4.793641E-07,2.962144E-08,5.566576E-10,0.000000E+00
-9.61787,39.20000,0.00000,4.671251E-01,4.412366E-01,3.797261E-01,3.208638E-01,2.653939E-01,2.126252E-01,1.598745E-01,1.177839E-01,8.492510E-02,5.825078E-02,3.901871E-02,2.498372E-02,1.489224E-02,8.320726E-03,4.461277E-03,2.127474E-03,9.049876E-04,3.058359E-04,9.239104E-05,2.100399E-05,3.982950E-06,4.511000E-07,3.023687E-08,4.525086E-10,0.000000E+00
-9.61787,39.30000,0.00000,4.619097E-01,4.295468E-01,3.692484E-01,3.115195E-01,2.568745E-01,2.033006E-01,1.542825E-01,1.136018E-01,8.065446E-02,5.604063E-02,3.748875E-02,2.341571E-02,1.401417E-02,7.974898E-03,4.266521E-03,1.944676E-03,8.392266E-04,2.839497E-04,8.725040E-05,2.007090E-05,3.977388E-06,4.026879E-07,2.847807E-08,4.104729E-10,0.000000E+00
-9.61787,39.40000,0.00000,4.327522E-01,4.028397E-01,3.496551E-01,2.980000E-01,2.410164E-01,1.914602E-01,1.456415E-01,1.063974E-01,7.606617E-02,5.201463E-02,3.441364E-02,2.213558E-02,1.301793E-02,7.547426E-03,3.869013E-03,1.809622E-03,7.568831E-04,2.680507E-04,8.449882E-05,2.018186E-05,3.986167E-06,4.898739E-07,3.709824E-08,7.307348E-10,0.000000E+00
-9.61787,39.50000,0.00000,4.252812E-01,3.891801E-01,3.373939E-01,2.867904E-01,2.316217E-01,1.820302E-01,1.378640E-01,1.006656E-01,7.149938E-02,4.897441E-02,3.274876E-02,2.037854E-02,1.234177E-02,7.151367E-03,3.559837E-03,1.709020E-03,6.989196E-04,2.610570E-04,8.455531E-05,2.158558E-05,4.325635E-06,7.197313E-07,6.090929E-08,1.529295E-09,0.000000E+00
-9.51787,38.50000,0.00000,5.690440E-01,5.432526E-01,5.067771E-01,4.480429E-01,3.622975E-01,2.860202E-01,2.184244E-01,1.601533E-01,1.154952E-01,8.234259E-02,5.343004E-02,3.312260E-02,1.970300E-02,1.107260E-02,5.766200E-03,2.747290E-03,1.198483E-03,4.707390E-04,1.616716E-04,4.271599E-05,7.988561E-06,7.793931E-07,3.028845E-08,2.412343E-10,0.000000E+00
-9.51787,38.60000,0.00000,5.601173E-01,5.350043E-01,4.981004E-01,4.242881E-01,3.452564E-01,2.743216E-01,2.106268E-01,1.568785E-01,1.153447E-01,7.946369E-02,5.122164E-02,3.210718E-02,1.886320E-02,1.044667E-02,5.535684E-03,2.698180E-03,1.206434E-03,4.636113E-04,1.542000E-04,4.033991E-05,7.897132E-06,6.888976E-07,2.234808E-08,0.000000E+00,0.000000E+00
-9.51787,38.70000,0.00000,5.599851E-01,5.314838E-01,4.841850E-01,4.038766E-01,3.310520E-01,2.666434E-01,2.054202E-01,1.538419E-01,1.118691E-01,7.524438E-02,4.864169E-02,3.061608E-02,1.792103E-02,9.998653E-03,5.328798E-03,2.599807E-03,1.163677E-03,4.514184E-04,1.479189E-04,4.054655E-05,6.598115E-06,5.164666E-07,1.071216E-08,0.000000E+00,0.000000E+00
-9.51787,38.80000,0.00000,5.340710E-01,5.064917E-01,4.669098E-01,3.890480E-01,3.192919E-01,2.586559E-01,1.996500E-01,1.490554E-01,1.080236E-01,7.261887E-02,4.740532E-02,2.958925E-02,1.735982E-02,9.826657E-03,5.228794E-03,2.545406E-03,1.141733E-03,4.489627E-04,1.470867E-04,3.952091E-05,6.404210E-06,5.040175E-07,1.105825E-08,0.000000E+00,0.000000E+00
-9.51787,38.90000,0.00000,5.069138E-01,4.858699E-01,4.431050E-01,3.707723E-01,3.039294E-01,2.447386E-01,1.894350E-01,1.430157E-01,1.027289E-01,6.940550E-02,4.582415E-02,2.869218E-02,1.686545E-02,9.660189E-03,5.196187E-03,2.550861E-03,1.148239E-03,4.495294E-04,1.503296E-04,3.802631E-05,6.173998E-06,5.029054E-07,1.219556E-08,1.350797E-11,0.000000E+00
-9.51787,39.00000,0.00000,4.873395E-01,4.665546E-01,4.154161E-01,3.496608E-01,2.920818E-01,2.338939E-01,1.789334E-01,1.358290E-01,9.802050E-02,6.653149E-02,4.442786E-02,2.792710E-02,1.647850E-02,9.533658E-03,5.157367E-03,2.529300E-03,1.120928E-03,4.369278E-04,1.422365E-04,3.656587E-05,5.627664E-06,4.753645E-07,1.520147E-08,6.159739E-12,0.000000E+00
-9.51787,39.10000,0.00000,4.854231E-01,4.641378E-01,4.012276E-01,3.404067E-01,2.844058E-01,2.259937E-01,1.717654E-01,1.288406E-01,9.332058E-02,6.391903E-02,4.209102E-02,2.658433E-02,1.597919E-02,8.991315E-03,4.724514E-03,2.308541E-03,1.031524E-03,3.841939E-04,1.154504E-04,2.373327E-05,3.692361E-06,2.283180E-07,6.558168E-09,0.000000E+00,0.000000E+00
