#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.95', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,7.525582E-01,6.928674E-01,6.179857E-01,5.455257E-01,4.542794E-01,3.653934E-01,2.834543E-01,2.160193E-01,1.569541E-01,1.102691E-01,7.373605E-02,4.729788E-02,2.805017E-02,1.584220E-02,8.482200E-03,4.292911E-03,2.018541E-03,8.740234E-04,3.716236E-04,1.377315E-04,4.035919E-05,1.108436E-05,2.372384E-06,3.530996E-07,2.846699E-08
-9.71787,38.70000,0.00000,7.378621E-01,6.755980E-01,6.047767E-01,5.319597E-01,4.410909E-01,3.536568E-01,2.769997E-01,2.124601E-01,1.565766E-01,1.101830E-01,7.380680E-02,4.711028E-02,2.824356E-02,1.605671E-02,8.584416E-03,4.285695E-03,1.973093E-03,8.093392E-04,3.316544E-04,1.243137E-04,3.417284E-05,8.137238E-06,1.804914E-06,3.027762E-07,2.717729E-08
-9.71787,38.80000,0.00000,7.018624E-01,6.458041E-01,5.725232E-01,4.917586E-01,4.108906E-01,3.401004E-01,2.715909E-01,2.085211E-01,1.533730E-01,1.077127E-01,7.212362E-02,4.606718E-02,2.762011E-02,1.575571E-02,8.433928E-03,4.204487E-03,1.943109E-03,7.971718E-04,3.244455E-04,1.215191E-04,3.339205E-05,7.852898E-06,1.800563E-06,3.027309E-07,2.720349E-08
-9.71787,38.90000,0.00000,6.693451E-01,6.106033E-01,5.407663E-01,4.724232E-01,4.030991E-01,3.325782E-01,2.645018E-01,2.021108E-01,1.478596E-01,1.032275E-01,6.901101E-02,4.392740E-02,2.618994E-02,1.490183E-02,8.040140E-03,4.026496E-03,1.839048E-03,7.914540E-04,3.251688E-04,1.177628E-04,3.035813E-05,7.817448E-06,1.795423E-06,3.029469E-07,2.722017E-08
-9.71787,39.00000,0.00000,6.432279E-01,5.864591E-01,5.203305E-01,4.600257E-01,3.914670E-01,3.218479E-01,2.547579E-01,1.934321E-01,1.403519E-01,9.704346E-02,6.440384E-02,4.053293E-02,2.422848E-02,1.350399E-02,7.252741E-03,3.667684E-03,1.793119E-03,8.041068E-04,3.324031E-04,1.119895E-04,3.127130E-05,7.596233E-06,1.652816E-06,2.615162E-07,1.865289E-08
-9.61787,38.50000,0.00000,7.777355E-01,7.200715E-01,6.451669E-01,5.622158E-01,4.762543E-01,3.852987E-01,3.016495E-01,2.275604E-01,1.669499E-01,1.158464E-01,7.927177E-02,5.099648E-02,3.090564E-02,1.765928E-02,9.525689E-03,4.818166E-03,2.233102E-03,9.277476E-04,3.381509E-04,1.240079E-04,4.047707E-05,9.953420E-06,2.136472E-06,3.357528E-07,2.830194E-08
-9.61787,38.60000,0.00000,7.563366E-01,6.973006E-01,6.229213E-01,5.488428E-01,4.573632E-01,3.684250E-01,2.903337E-01,2.219906E-01,1.653721E-01,1.178665E-01,8.076866E-02,5.166969E-02,3.103077E-02,1.761030E-02,9.396010E-03,4.690997E-03,2.133832E-03,9.044761E-04,3.201106E-04,1.082999E-04,3.513957E-05,9.609565E-06,2.078939E-06,3.270722E-07,2.831955E-08
-9.61787,38.70000,0.00000,7.417727E-01,6.801037E-01,6.081876E-01,5.350118E-01,4.441834E-01,3.578557E-01,2.834837E-01,2.201226E-01,1.640984E-01,1.169534E-01,7.998341E-02,5.110181E-02,3.032550E-02,1.713378E-02,9.170225E-03,4.584135E-03,2.095064E-03,8.521280E-04,3.051394E-04,9.897372E-05,3.188078E-05,8.701635E-06,1.887106E-06,3.056858E-07,2.717707E-08
-9.61787,38.80000,0.00000,7.064984E-01,6.545432E-01,5.886392E-01,5.037507E-01,4.189674E-01,3.461421E-01,2.787064E-01,2.161068E-01,1.607745E-01,1.142729E-01,7.790083E-02,4.962954E-02,2.943943E-02,1.661285E-02,8.810190E-03,4.358837E-03,1.957795E-03,8.347947E-04,2.922315E-04,9.690681E-05,3.119848E-05,8.563819E-06,1.875773E-06,3.056162E-07,2.719325E-08
-9.61787,38.90000,0.00000,6.833594E-01,6.243882E-01,5.512251E-01,4.758134E-01,4.083338E-01,3.392821E-01,2.721081E-01,2.099897E-01,1.553588E-01,1.097613E-01,7.485726E-02,4.723322E-02,2.814628E-02,1.583746E-02,8.372410E-03,4.105105E-03,1.870288E-03,7.659304E-04,2.723340E-04,9.658276E-05,3.125396E-05,8.578468E-06,1.875604E-06,3.059200E-07,2.721969E-08
