#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.71787,38.60000,9.550671E-02,2.123153E-01,1.238167E-01,2.679170E-01,1.528023E-01,3.298778E-01,2.119520E-01,4.551875E-01,2.021269E-01,4.215026E-01,1.816209E-01,3.723496E-01,1.586653E-01,3.195055E-01,1.410413E-01,2.785713E-01,1.246392E-01,2.457162E-01,1.015036E-01,2.041795E-01,8.261056E-02,1.666822E-01,6.251788E-02,1.222126E-01,4.446324E-02,9.090916E-02
-9.71787,38.70000,9.321190E-02,2.042097E-01,1.204754E-01,2.604673E-01,1.493710E-01,3.092304E-01,2.080558E-01,4.412892E-01,2.011236E-01,4.121641E-01,1.785755E-01,3.657026E-01,1.575217E-01,3.136280E-01,1.391197E-01,2.746533E-01,1.220370E-01,2.420062E-01,9.914272E-02,2.009204E-01,8.135867E-02,1.643081E-01,6.164863E-02,1.205425E-01,4.335863E-02,8.994326E-02
-9.71787,38.80000,9.249777E-02,2.027460E-01,1.205332E-01,2.630515E-01,1.487250E-01,3.059714E-01,2.080775E-01,4.422682E-01,1.984514E-01,4.109320E-01,1.780229E-01,3.665439E-01,1.576205E-01,3.150048E-01,1.374515E-01,2.730668E-01,1.202393E-01,2.400099E-01,9.762094E-02,1.962378E-01,7.980427E-02,1.623404E-01,6.090754E-02,1.198217E-01,4.218939E-02,8.839166E-02
-9.71787,38.90000,9.204865E-02,2.031422E-01,1.196817E-01,2.662403E-01,1.474225E-01,3.058310E-01,2.093554E-01,4.424773E-01,1.959690E-01,4.076869E-01,1.764138E-01,3.612687E-01,1.554007E-01,3.121979E-01,1.369418E-01,2.730410E-01,1.190824E-01,2.385615E-01,9.590920E-02,1.916519E-01,7.875236E-02,1.591331E-01,5.857535E-02,1.186682E-01,4.101723E-02,8.500095E-02
-9.71787,39.00000,9.232537E-02,2.057531E-01,1.196277E-01,2.610048E-01,1.451585E-01,3.104722E-01,2.081737E-01,4.376536E-01,1.953526E-01,4.061391E-01,1.737728E-01,3.533835E-01,1.511660E-01,3.056417E-01,1.336720E-01,2.660677E-01,1.172758E-01,2.329548E-01,9.473216E-02,1.901398E-01,7.761785E-02,1.564426E-01,5.744157E-02,1.166307E-01,3.990882E-02,8.211799E-02
-9.61787,38.50000,9.512011E-02,2.067733E-01,1.224054E-01,2.700913E-01,1.482809E-01,3.112795E-01,2.125043E-01,4.437062E-01,2.038211E-01,4.185988E-01,1.826656E-01,3.701693E-01,1.603698E-01,3.208296E-01,1.404799E-01,2.790970E-01,1.262295E-01,2.469597E-01,1.029143E-01,2.047162E-01,8.413884E-02,1.656015E-01,6.494767E-02,1.259358E-01,4.612437E-02,9.273072E-02
-9.61787,38.60000,9.158219E-02,1.975328E-01,1.205592E-01,2.629239E-01,1.422517E-01,2.926773E-01,2.098757E-01,4.326777E-01,2.016497E-01,4.060349E-01,1.813171E-01,3.651935E-01,1.571959E-01,3.142877E-01,1.377047E-01,2.747348E-01,1.225970E-01,2.418770E-01,1.005299E-01,2.004403E-01,8.284009E-02,1.627147E-01,6.355802E-02,1.223836E-01,4.489885E-02,9.050038E-02
-9.61787,38.70000,8.935579E-02,1.917762E-01,1.186401E-01,2.565439E-01,1.383347E-01,2.836102E-01,2.068941E-01,4.217652E-01,1.999135E-01,4.023612E-01,1.779346E-01,3.590729E-01,1.551082E-01,3.075366E-01,1.355649E-01,2.698058E-01,1.193755E-01,2.382894E-01,9.834968E-02,1.967780E-01,8.174486E-02,1.611573E-01,6.276125E-02,1.194866E-01,4.385626E-02,8.915530E-02
-9.61787,38.80000,8.892600E-02,1.907404E-01,1.182349E-01,2.569608E-01,1.381636E-01,2.793427E-01,2.043876E-01,4.228102E-01,1.976172E-01,4.017957E-01,1.768326E-01,3.572328E-01,1.527489E-01,3.063599E-01,1.345856E-01,2.681608E-01,1.181570E-01,2.369466E-01,9.656502E-02,1.940582E-01,7.999414E-02,1.600092E-01,6.209473E-02,1.189393E-01,4.285342E-02,8.699884E-02
-9.61787,38.90000,8.881537E-02,1.902755E-01,1.182840E-01,2.613733E-01,1.381921E-01,2.747854E-01,2.057614E-01,4.201543E-01,1.962364E-01,4.026396E-01,1.764155E-01,3.571243E-01,1.520523E-01,3.065386E-01,1.332386E-01,2.681800E-01,1.163268E-01,2.347832E-01,9.527469E-02,1.913944E-01,7.877263E-02,1.581510E-01,5.973268E-02,1.173632E-01,4.148188E-02,8.321960E-02
