#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.71787,38.60000,1.618035E-01,2.953655E-01,3.426776E-01,3.569771E-01,3.506690E-01,3.191201E-01,2.790343E-01,2.515563E-01,2.364879E-01,1.913772E-01,1.696744E-01,1.335479E-01,1.165567E-01,3.290087E-01,6.043025E-01,6.646625E-01,8.401886E-01,8.932543E-01,7.612625E-01,5.761476E-01,4.922529E-01,4.511490E-01,3.529822E-01,3.207684E-01,2.556940E-01,2.386995E-01
-9.71787,38.70000,1.601785E-01,2.857837E-01,3.409188E-01,3.556034E-01,3.376023E-01,3.069231E-01,2.751052E-01,2.501985E-01,2.342966E-01,1.906175E-01,1.677841E-01,1.333370E-01,1.150579E-01,3.146041E-01,5.829078E-01,6.398902E-01,7.086880E-01,7.424474E-01,6.467488E-01,5.294566E-01,4.816502E-01,4.481075E-01,3.516469E-01,3.186173E-01,2.540481E-01,2.356830E-01
-9.71787,38.80000,1.590069E-01,2.826845E-01,3.373692E-01,3.533578E-01,3.324318E-01,3.032607E-01,2.709261E-01,2.486222E-01,2.314105E-01,1.891745E-01,1.658076E-01,1.291481E-01,1.105860E-01,3.120186E-01,5.795063E-01,6.313488E-01,7.065349E-01,7.368751E-01,6.405448E-01,5.256179E-01,4.761509E-01,4.403795E-01,3.501194E-01,3.173248E-01,2.517041E-01,2.290522E-01
-9.71787,38.90000,1.550974E-01,2.826776E-01,3.242201E-01,3.420709E-01,3.296170E-01,2.986255E-01,2.644548E-01,2.388572E-01,2.222494E-01,1.813741E-01,1.581252E-01,1.240589E-01,1.034158E-01,3.120094E-01,5.738880E-01,6.205655E-01,7.138070E-01,7.470582E-01,6.441437E-01,5.175139E-01,4.621135E-01,4.229139E-01,3.376494E-01,3.039054E-01,2.401237E-01,2.145737E-01
-9.71787,39.00000,1.522162E-01,2.844608E-01,3.065546E-01,3.268180E-01,3.274564E-01,2.955143E-01,2.524311E-01,2.281609E-01,2.088885E-01,1.657605E-01,1.460444E-01,1.165427E-01,9.500992E-02,3.146456E-01,5.688852E-01,6.258292E-01,7.690114E-01,8.252977E-01,7.071558E-01,5.365124E-01,4.451142E-01,4.124053E-01,3.130034E-01,2.786728E-01,2.240485E-01,1.898856E-01
-9.61787,38.50000,1.691707E-01,2.884661E-01,3.583291E-01,3.745944E-01,3.498908E-01,3.210714E-01,2.886286E-01,2.643827E-01,2.454877E-01,2.006826E-01,1.769333E-01,1.402153E-01,1.210345E-01,3.197654E-01,5.978908E-01,6.641651E-01,7.350863E-01,7.629047E-01,6.654136E-01,5.530184E-01,5.067437E-01,4.671574E-01,3.718004E-01,3.372459E-01,2.689480E-01,2.472178E-01
-9.61787,38.60000,1.660476E-01,2.834893E-01,3.515877E-01,3.663014E-01,3.424261E-01,3.154606E-01,2.826135E-01,2.588022E-01,2.405910E-01,1.974518E-01,1.714965E-01,1.379315E-01,1.177965E-01,3.142739E-01,5.687702E-01,6.634073E-01,6.925858E-01,6.494709E-01,5.895419E-01,5.304577E-01,4.897167E-01,4.590269E-01,3.623999E-01,3.267012E-01,2.664597E-01,2.384912E-01
-9.61787,38.70000,1.647352E-01,2.800173E-01,3.477436E-01,3.592082E-01,3.355476E-01,3.107251E-01,2.797025E-01,2.564560E-01,2.395766E-01,1.958254E-01,1.704807E-01,1.365223E-01,1.169013E-01,3.087191E-01,5.495068E-01,6.450467E-01,6.592402E-01,6.142802E-01,5.711282E-01,5.205911E-01,4.833871E-01,4.571538E-01,3.592384E-01,3.230051E-01,2.639731E-01,2.369526E-01
-9.61787,38.80000,1.597639E-01,2.749816E-01,3.432348E-01,3.513298E-01,3.275721E-01,3.033188E-01,2.717258E-01,2.494494E-01,2.303037E-01,1.884624E-01,1.643200E-01,1.318359E-01,1.090391E-01,3.047967E-01,5.450800E-01,6.397800E-01,6.488087E-01,6.026685E-01,5.607536E-01,5.094102E-01,4.757052E-01,4.435062E-01,3.500949E-01,3.144844E-01,2.565989E-01,2.210477E-01
-9.61787,38.90000,1.563376E-01,2.689782E-01,3.325852E-01,3.421134E-01,3.193749E-01,2.964643E-01,2.664371E-01,2.444297E-01,2.264894E-01,1.852356E-01,1.615989E-01,1.275520E-01,1.052083E-01,2.968542E-01,5.443013E-01,6.132901E-01,6.340517E-01,5.912917E-01,5.496227E-01,4.995567E-01,4.635979E-01,4.327314E-01,3.438022E-01,3.068336E-01,2.472817E-01,2.151269E-01
