#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,8.697768E-01,8.318349E-01,7.766327E-01,7.039115E-01,6.175410E-01,5.240519E-01,4.295986E-01,3.383508E-01,2.534454E-01,1.785589E-01,1.175975E-01,7.259734E-02,4.241582E-02,2.366588E-02,1.261423E-02,6.352270E-03,2.966849E-03,1.262745E-03,4.855627E-04,1.692566E-04,5.399638E-05,1.580661E-05,4.184170E-06,9.717635E-07,1.909980E-07
-9.71787,38.70000,0.00000,8.617855E-01,8.223231E-01,7.655929E-01,6.918340E-01,6.052913E-01,5.124919E-01,4.193194E-01,3.296877E-01,2.466042E-01,1.736332E-01,1.144656E-01,7.088477E-02,4.162530E-02,2.336526E-02,1.252836E-02,6.343469E-03,2.977591E-03,1.272730E-03,4.904197E-04,1.705126E-04,5.391866E-05,1.557132E-05,4.065185E-06,9.344237E-07,1.825978E-07
-9.71787,38.80000,0.00000,8.559934E-01,8.153153E-01,7.573935E-01,6.828523E-01,5.961830E-01,5.038556E-01,4.115189E-01,3.229225E-01,2.410455E-01,1.694296E-01,1.116218E-01,6.918786E-02,4.072911E-02,2.294151E-02,1.234943E-02,6.279297E-03,2.961433E-03,1.272850E-03,4.935873E-04,1.727045E-04,5.485750E-05,1.585558E-05,4.127439E-06,9.441846E-07,1.836671E-07
-9.71787,38.90000,0.00000,8.500081E-01,8.080752E-01,7.489136E-01,6.735094E-01,5.865787E-01,4.945411E-01,4.028540E-01,3.151482E-01,2.344032E-01,1.641475E-01,1.077785E-01,6.662814E-02,3.913984E-02,2.200044E-02,1.181345E-02,5.989927E-03,2.817484E-03,1.208642E-03,4.683261E-04,1.639961E-04,5.224428E-05,1.518479E-05,3.984386E-06,9.197043E-07,1.804315E-07
-9.71787,39.00000,0.00000,8.318509E-01,7.881611E-01,7.274090E-01,6.511341E-01,5.643830E-01,4.735549E-01,3.838878E-01,2.987848E-01,2.210149E-01,1.538371E-01,1.003123E-01,6.149531E-02,3.574145E-02,1.982097E-02,1.047458E-02,5.220459E-03,2.414274E-03,1.019925E-03,3.905638E-04,1.361259E-04,4.368799E-05,1.298009E-05,3.518359E-06,8.407193E-07,1.699486E-07
-9.61787,38.50000,0.00000,8.744574E-01,8.379579E-01,7.844450E-01,7.132882E-01,6.279672E-01,5.348560E-01,4.401868E-01,3.482487E-01,2.622240E-01,1.858360E-01,1.231620E-01,7.651339E-02,4.497184E-02,2.522598E-02,1.350366E-02,6.819619E-03,3.187822E-03,1.353621E-03,5.165820E-04,1.774381E-04,5.542830E-05,1.587228E-05,4.133674E-06,9.527454E-07,1.871178E-07
-9.61787,38.60000,0.00000,8.695023E-01,8.316849E-01,7.767919E-01,7.046348E-01,6.190658E-01,5.264816E-01,4.328415E-01,3.421450E-01,2.574454E-01,1.824287E-01,1.210722E-01,7.550674E-02,4.468216E-02,2.529606E-02,1.368668E-02,6.991944E-03,3.310252E-03,1.427105E-03,5.545300E-04,1.939756E-04,6.132726E-05,1.754848E-05,4.505676E-06,1.016293E-06,1.953696E-07
-9.61787,38.70000,0.00000,8.645321E-01,8.257208E-01,7.698407E-01,6.970431E-01,6.114239E-01,5.193330E-01,4.264892E-01,3.367133E-01,2.530370E-01,1.791618E-01,1.189606E-01,7.436231E-02,4.417978E-02,2.512813E-02,1.365434E-02,6.999778E-03,3.322795E-03,1.434826E-03,5.573075E-04,1.941812E-04,6.088059E-05,1.721909E-05,4.369520E-06,9.768556E-07,1.868547E-07
-9.61787,38.80000,0.00000,8.561568E-01,8.156390E-01,7.580348E-01,6.840250E-01,5.980919E-01,5.065844E-01,4.149547E-01,3.267776E-01,2.449633E-01,1.731004E-01,1.148386E-01,7.184122E-02,4.277968E-02,2.440847E-02,1.330781E-02,6.845468E-03,3.262005E-03,1.415173E-03,5.526996E-04,1.936296E-04,6.094676E-05,1.725996E-05,4.375310E-06,9.762410E-07,1.864816E-07
-9.61787,38.90000,0.00000,8.479357E-01,8.060337E-01,7.470630E-01,6.721123E-01,5.859271E-01,4.948246E-01,4.040540E-01,3.170424E-01,2.366654E-01,1.664697E-01,1.099390E-01,6.849268E-02,4.063530E-02,2.310283E-02,1.255077E-02,6.434497E-03,3.059200E-03,1.326931E-03,5.195806E-04,1.830140E-04,5.804632E-05,1.658674E-05,4.244450E-06,9.555556E-07,1.839468E-07
-9.61787,39.00000,0.00000,8.305798E-01,7.871369E-01,7.268472E-01,6.512932E-01,5.654606E-01,4.755741E-01,3.866598E-01,3.019698E-01,2.242426E-01,1.568123E-01,1.028592E-01,6.354108E-02,3.727979E-02,2.089093E-02,1.115227E-02,5.606164E-03,2.609986E-03,1.108135E-03,4.256799E-04,1.482996E-04,4.728119E-05,1.386217E-05,3.695310E-06,8.693941E-07,1.736749E-07
-9.61787,39.10000,0.00000,8.214021E-01,7.764125E-01,7.146335E-01,6.380255E-01,5.517871E-01,4.621212E-01,3.739370E-01,2.904073E-01,2.142325E-01,1.486522E-01,9.663636E-02,5.908916E-02,3.426691E-02,1.895308E-02,9.973206E-03,4.936289E-03,2.260758E-03,9.444176E-04,3.582805E-04,1.245940E-04,4.036271E-05,1.223231E-05,3.392818E-06,8.262509E-07,1.691112E-07
