#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='mean', investigation_time=1.0, imt='SA(0.5)'"
lon,lat,depth,poe-0.0005000,poe-0.0007271,poe-0.0010574,poe-0.0015376,poe-0.0022361,poe-0.0032517,poe-0.0047287,poe-0.0068766,poe-0.0100000,poe-0.0145422,poe-0.0211474,poe-0.0307529,poe-0.0447214,poe-0.0650345,poe-0.0945742,poe-0.1375312,poe-0.2000000,poe-0.2908431,poe-0.4229485,poe-0.6150582,poe-0.8944272,poe-1.3006898,poe-1.8914832,poe-2.7506241,poe-4.0000000
-9.71787,38.60000,0.00000,9.090281E-01,8.955052E-01,8.706990E-01,8.292111E-01,7.664196E-01,6.819863E-01,5.821030E-01,4.767519E-01,3.742384E-01,2.790353E-01,1.941814E-01,1.237257E-01,7.142551E-02,3.754169E-02,1.827925E-02,8.374816E-03,3.601902E-03,1.421163E-03,4.995537E-04,1.535903E-04,4.134710E-05,9.894920E-06,2.129179E-06,4.067093E-07,6.631558E-08
-9.71787,38.70000,0.00000,9.032438E-01,8.890824E-01,8.632456E-01,8.203709E-01,7.561316E-01,6.707088E-01,5.707167E-01,4.661677E-01,3.651055E-01,2.717148E-01,1.888081E-01,1.201982E-01,6.939438E-02,3.652152E-02,1.782894E-02,8.199346E-03,3.542867E-03,1.405131E-03,4.964421E-04,1.531995E-04,4.124737E-05,9.817788E-06,2.090607E-06,3.945880E-07,6.369861E-08
-9.71787,38.80000,0.00000,8.994386E-01,8.848660E-01,8.583786E-01,8.146442E-01,7.495207E-01,6.635049E-01,5.634615E-01,4.594194E-01,3.592677E-01,2.670196E-01,1.853492E-01,1.179210E-01,6.808316E-02,3.586649E-02,1.754376E-02,8.091022E-03,3.508164E-03,1.396899E-03,4.957186E-04,1.536748E-04,4.153062E-05,9.899345E-06,2.104102E-06,3.954476E-07,6.354243E-08
-9.71787,38.90000,0.00000,8.955566E-01,8.805731E-01,8.534297E-01,8.088112E-01,7.427347E-01,6.559906E-01,5.556979E-01,4.519531E-01,3.525571E-01,2.614005E-01,1.810278E-01,1.149235E-01,6.622435E-02,3.482514E-02,1.700299E-02,7.825280E-03,3.385160E-03,1.344636E-03,4.758432E-04,1.469804E-04,3.953597E-05,9.378359E-06,1.987994E-06,3.742047E-07,6.047783E-08
-9.71787,39.00000,0.00000,8.797954E-01,8.636761E-01,8.347513E-01,7.878615E-01,7.196070E-01,6.316162E-01,5.315893E-01,4.296175E-01,3.331189E-01,2.455629E-01,1.690885E-01,1.067031E-01,6.106865E-02,3.183958E-02,1.537138E-02,6.975199E-03,2.969433E-03,1.160133E-03,4.039899E-04,1.229600E-04,3.270511E-05,7.725612E-06,1.645904E-06,3.133289E-07,5.121450E-08
-9.61787,38.50000,0.00000,9.116951E-01,8.985887E-01,8.744921E-01,8.340575E-01,7.725596E-01,6.893370E-01,5.901822E-01,4.848718E-01,3.817572E-01,2.854748E-01,1.992439E-01,1.273282E-01,7.372835E-02,3.887698E-02,1.899717E-02,8.737766E-03,3.772217E-03,1.492490E-03,5.248605E-04,1.607499E-04,4.282634E-05,1.007199E-05,2.123220E-06,3.986950E-07,6.435316E-08
-9.61787,38.60000,0.00000,9.087130E-01,8.951828E-01,8.703996E-01,8.290249E-01,7.665169E-01,6.825669E-01,5.832660E-01,4.784067E-01,3.761480E-01,2.809391E-01,1.958870E-01,1.251303E-01,7.250090E-02,3.830986E-02,1.878976E-02,8.687777E-03,3.776523E-03,1.508234E-03,5.374395E-04,1.675671E-04,4.558831E-05,1.092404E-05,2.323927E-06,4.347383E-07,6.927532E-08
-9.61787,38.70000,0.00000,9.053668E-01,8.915578E-01,8.663521E-01,8.244478E-01,7.614372E-01,6.772156E-01,5.780205E-01,4.736238E-01,3.720553E-01,2.776461E-01,1.934358E-01,1.234937E-01,7.155113E-02,3.784099E-02,1.859576E-02,8.622737E-03,3.760946E-03,1.507087E-03,5.384836E-04,1.680611E-04,4.562479E-05,1.086271E-05,2.287615E-06,4.231718E-07,6.677837E-08
-9.61787,38.80000,0.00000,8.995067E-01,8.849777E-01,8.585999E-01,8.151004E-01,7.503856E-01,6.649241E-01,5.654364E-01,4.617655E-01,3.616941E-01,2.692529E-01,1.872147E-01,1.193582E-01,6.911971E-02,3.657403E-02,1.800057E-02,8.366146E-03,3.659664E-03,1.471585E-03,5.279310E-04,1.654954E-04,4.510748E-05,1.076513E-05,2.267373E-06,4.188391E-07,6.599954E-08
-9.61787,38.90000,0.00000,8.934563E-01,8.783720E-01,8.511088E-01,8.064280E-01,7.404673E-01,6.540915E-01,5.543535E-01,4.511732E-01,3.522105E-01,2.613275E-01,1.811115E-01,1.150899E-01,6.642138E-02,3.501268E-02,1.715524E-02,7.933525E-03,3.453811E-03,1.383686E-03,4.953692E-04,1.552253E-04,4.235570E-05,1.013547E-05,2.144543E-06,3.988179E-07,6.338750E-08
-9.61787,39.00000,0.00000,8.782610E-01,8.621454E-01,8.332775E-01,7.865748E-01,7.187118E-01,6.313012E-01,5.318949E-01,4.303940E-01,3.341255E-01,2.465948E-01,1.700300E-01,1.075055E-01,6.171450E-02,3.232377E-02,1.570186E-02,7.176096E-03,3.076453E-03,1.209636E-03,4.237704E-04,1.297610E-04,3.471705E-05,8.244863E-06,1.766437E-06,3.389903E-07,5.609195E-08
-9.61787,39.10000,0.00000,8.716441E-01,8.548411E-01,8.248754E-01,7.767124E-01,7.073134E-01,6.187650E-01,5.189954E-01,4.179800E-01,3.228993E-01,2.370708E-01,1.625364E-01,1.021207E-01,5.821298E-02,3.025503E-02,1.457378E-02,6.599099E-03,2.799093E-03,1.086614E-03,3.749759E-04,1.130232E-04,2.989790E-05,7.109781E-06,1.552398E-06,3.073278E-07,5.252065E-08
-9.61787,39.20000,0.00000,8.649945E-01,8.475320E-01,8.165036E-01,7.668945E-01,6.958958E-01,6.060036E-01,5.055317E-01,4.046433E-01,3.105497E-01,2.265204E-01,1.543999E-01,9.656592E-02,5.486556E-02,2.843559E-02,1.365054E-02,6.153942E-03,2.598812E-03,1.005768E-03,3.466303E-04,1.044520E-04,2.760015E-05,6.535486E-06,1.415134E-06,2.772345E-07,4.691991E-08
-9.61787,39.30000,0.00000,8.569514E-01,8.387424E-01,8.065135E-01,7.552803E-01,6.825120E-01,5.911937E-01,4.900881E-01,3.895566E-01,2.967854E-01,2.149153E-01,1.455302E-01,9.053326E-02,5.122725E-02,2.645304E-02,1.264398E-02,5.670502E-03,2.383207E-03,9.200054E-04,3.173398E-04,9.603549E-05,2.554393E-05,6.083483E-06,1.317396E-06,2.559295E-07,4.264352E-08
