#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,1.909779E-01,3.631217E-01,2.985885E-01,6.063893E-01,4.703051E-01,9.400578E-01,4.762895E-01,9.309381E-01,4.118749E-01,7.999065E-01,3.803732E-01,7.231514E-01,3.444078E-01,6.352524E-01,3.166170E-01,5.783318E-01,3.005296E-01,5.428333E-01,2.482916E-01,4.524402E-01,2.222580E-01,4.134417E-01,1.688136E-01,3.169188E-01,1.601732E-01,3.120060E-01,1.035345E-01,2.327110E-01,1.366053E-01,3.323074E-01,1.004852E-01,2.527111E-01
-9.71787,38.70000,1.914122E-01,3.643080E-01,3.013123E-01,6.104684E-01,4.742986E-01,9.473727E-01,4.793340E-01,9.387971E-01,4.140466E-01,8.068780E-01,3.810683E-01,7.277233E-01,3.441666E-01,6.373150E-01,3.154053E-01,5.781006E-01,2.992254E-01,5.422177E-01,2.469347E-01,4.516365E-01,2.205687E-01,4.114492E-01,1.673342E-01,3.152464E-01,1.580419E-01,3.090297E-01,1.016016E-01,2.303849E-01,1.343187E-01,3.320940E-01,9.834347E-02,2.517720E-01
-9.71787,38.80000,1.911509E-01,3.652650E-01,3.021185E-01,6.147407E-01,4.744005E-01,9.522419E-01,4.779587E-01,9.411767E-01,4.125454E-01,8.082624E-01,3.793516E-01,7.277746E-01,3.428197E-01,6.371571E-01,3.142354E-01,5.778168E-01,2.984480E-01,5.423489E-01,2.461717E-01,4.515412E-01,2.196615E-01,4.106933E-01,1.663495E-01,3.141682E-01,1.573356E-01,3.083879E-01,1.014688E-01,2.310811E-01,1.357323E-01,3.376354E-01,9.879662E-02,2.546548E-01
-9.71787,38.90000,1.870522E-01,3.587149E-01,2.946747E-01,6.021641E-01,4.621799E-01,9.313177E-01,4.657147E-01,9.195770E-01,4.025950E-01,7.900636E-01,3.710593E-01,7.113937E-01,3.360352E-01,6.249112E-01,3.087020E-01,5.687832E-01,2.941937E-01,5.347507E-01,2.425007E-01,4.456000E-01,2.163613E-01,4.046870E-01,1.635278E-01,3.094238E-01,1.549917E-01,3.048255E-01,1.002032E-01,2.296974E-01,1.351083E-01,3.394472E-01,9.774420E-02,2.548316E-01
-9.71787,39.00000,1.748969E-01,3.365398E-01,2.713688E-01,5.575310E-01,4.280703E-01,8.643954E-01,4.359926E-01,8.589206E-01,3.794683E-01,7.410069E-01,3.512681E-01,6.680988E-01,3.172453E-01,5.896445E-01,2.912747E-01,5.384878E-01,2.778076E-01,5.059246E-01,2.293851E-01,4.229447E-01,2.044740E-01,3.818845E-01,1.543728E-01,2.935879E-01,1.445107E-01,2.868259E-01,9.110816E-02,2.133007E-01,1.190953E-01,3.129954E-01,8.561964E-02,2.349525E-01
-9.61787,38.50000,1.967945E-01,3.705070E-01,3.099134E-01,6.196702E-01,4.896298E-01,9.653701E-01,4.962959E-01,9.606684E-01,4.282952E-01,8.260770E-01,3.934196E-01,7.453232E-01,3.539287E-01,6.516072E-01,3.242645E-01,5.893050E-01,3.062523E-01,5.519650E-01,2.531313E-01,4.594705E-01,2.262599E-01,4.199188E-01,1.722403E-01,3.220545E-01,1.624085E-01,3.148666E-01,1.041835E-01,2.331487E-01,1.362776E-01,3.301007E-01,1.006209E-01,2.517605E-01
-9.61787,38.60000,2.006504E-01,3.802319E-01,3.205885E-01,6.454008E-01,5.045229E-01,1.003456E+00,5.079510E-01,9.937605E-01,4.375064E-01,8.522053E-01,3.994704E-01,7.638623E-01,3.576063E-01,6.649966E-01,3.263177E-01,5.969898E-01,3.074814E-01,5.580347E-01,2.538579E-01,4.635680E-01,2.262183E-01,4.221165E-01,1.720181E-01,3.233199E-01,1.612663E-01,3.137366E-01,1.027479E-01,2.314861E-01,1.346678E-01,3.307278E-01,9.896346E-02,2.514520E-01
-9.61787,38.70000,2.010536E-01,3.807302E-01,3.225607E-01,6.468453E-01,5.070280E-01,1.006591E+00,5.098149E-01,9.979381E-01,4.390151E-01,8.562126E-01,4.000559E-01,7.664415E-01,3.578050E-01,6.666380E-01,3.261535E-01,5.974851E-01,3.073839E-01,5.586788E-01,2.536515E-01,4.638941E-01,2.256727E-01,4.215918E-01,1.713791E-01,3.225829E-01,1.605077E-01,3.126394E-01,1.022318E-01,2.312303E-01,1.351494E-01,3.342348E-01,9.876177E-02,2.529756E-01
-9.61787,38.80000,1.996687E-01,3.798579E-01,3.213759E-01,6.472804E-01,5.047417E-01,1.006404E+00,5.067045E-01,9.964824E-01,4.359704E-01,8.546978E-01,3.968235E-01,7.640190E-01,3.547913E-01,6.637479E-01,3.228566E-01,5.941316E-01,3.045534E-01,5.554213E-01,2.510478E-01,4.611016E-01,2.230703E-01,4.179722E-01,1.691529E-01,3.197084E-01,1.580374E-01,3.091097E-01,1.003197E-01,2.286057E-01,1.329916E-01,3.334185E-01,9.665502E-02,2.513452E-01
-9.61787,38.90000,1.941750E-01,3.719996E-01,3.117026E-01,6.333129E-01,4.897834E-01,9.832860E-01,4.922131E-01,9.724106E-01,4.237132E-01,8.343554E-01,3.862808E-01,7.464374E-01,3.460502E-01,6.483290E-01,3.144266E-01,5.813355E-01,2.975671E-01,5.435715E-01,2.449428E-01,4.517120E-01,2.175206E-01,4.082392E-01,1.646609E-01,3.125692E-01,1.534268E-01,3.018048E-01,9.675326E-02,2.229346E-01,1.276785E-01,3.270649E-01,9.222810E-02,2.457643E-01
