#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='quantile-0.05', investigation_time=1.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,7.760093E-01,7.569967E-01,7.252924E-01,6.781559E-01,6.152633E-01,5.396350E-01,4.569817E-01,3.736021E-01,2.945063E-01,2.230253E-01,1.614217E-01,1.112146E-01,7.284635E-02,4.538551E-02,2.641230E-02,1.347668E-02,6.667867E-03,3.184213E-03,1.460615E-03,6.153404E-04,2.097451E-04,6.313741E-05,1.661654E-05,3.755388E-06,7.116680E-07
-9.71787,38.70000,0.00000,7.679134E-01,7.484643E-01,7.162317E-01,6.686651E-01,6.057206E-01,5.306325E-01,4.490806E-01,3.671045E-01,2.894320E-01,2.192585E-01,1.588317E-01,1.096549E-01,7.210251E-02,4.518230E-02,2.540415E-02,1.303306E-02,6.484266E-03,3.109573E-03,1.428915E-03,6.296403E-04,2.201816E-04,6.619527E-05,1.725178E-05,3.827424E-06,7.068148E-07
-9.71787,38.80000,0.00000,7.631055E-01,7.431045E-01,7.101956E-01,6.620059E-01,5.987464E-01,5.238302E-01,4.428973E-01,3.617564E-01,2.849231E-01,2.155382E-01,1.558985E-01,1.075174E-01,7.069883E-02,4.436190E-02,2.470491E-02,1.272009E-02,6.350510E-03,3.054401E-03,1.407376E-03,6.219823E-04,2.274926E-04,6.926402E-05,1.824769E-05,4.076788E-06,7.543184E-07
-9.71787,38.90000,0.00000,7.542348E-01,7.337849E-01,7.003479E-01,6.517303E-01,5.883736E-01,5.138341E-01,4.336870E-01,3.535383E-01,2.777302E-01,2.093568E-01,1.507383E-01,1.033923E-01,6.757136E-02,4.212445E-02,2.411621E-02,1.247821E-02,6.259919E-03,3.023259E-03,1.397657E-03,5.997735E-04,2.068645E-04,6.259685E-05,1.637165E-05,3.625586E-06,6.638793E-07
-9.71787,39.00000,0.00000,7.258920E-01,7.056254E-01,6.725580E-01,6.247181E-01,5.627535E-01,4.902432E-01,4.125628E-01,3.350720E-01,2.619688E-01,1.962801E-01,1.402310E-01,9.520856E-02,6.137235E-02,3.756343E-02,2.178433E-02,1.176261E-02,5.962355E-03,2.799592E-03,1.171091E-03,4.358040E-04,1.429501E-04,4.098345E-05,1.015086E-05,2.135267E-06,3.731705E-07
-9.61787,38.50000,0.00000,7.803458E-01,7.618220E-01,7.307743E-01,6.843585E-01,6.220769E-01,5.468037E-01,4.642410E-01,3.807901E-01,3.015295E-01,2.297455E-01,1.676010E-01,1.165871E-01,7.722034E-02,4.869933E-02,2.771767E-02,1.410674E-02,6.950303E-03,3.300381E-03,1.503121E-03,6.576046E-04,2.313499E-04,6.804373E-05,1.728033E-05,3.729292E-06,6.698468E-07
-9.61787,38.60000,0.00000,7.760162E-01,7.569586E-01,7.252321E-01,6.781687E-01,6.155631E-01,5.405620E-01,4.589066E-01,3.767503E-01,2.988201E-01,2.281669E-01,1.668911E-01,1.165081E-01,7.756469E-02,4.927766E-02,2.677727E-02,1.369391E-02,6.784716E-03,3.239286E-03,1.482369E-03,6.511207E-04,2.742424E-04,8.414404E-05,2.227642E-05,4.986759E-06,9.225209E-07
-9.61787,38.70000,0.00000,7.679365E-01,7.484230E-01,7.161387E-01,6.686062E-01,6.059111E-01,5.314283E-01,4.508793E-01,3.701476E-01,2.936579E-01,2.243112E-01,1.641968E-01,1.148276E-01,7.669396E-02,4.855559E-02,2.621527E-02,1.345454E-02,6.683234E-03,3.191465E-03,1.456690E-03,6.367699E-04,2.677235E-04,8.592162E-05,2.255132E-05,4.978219E-06,9.040375E-07
-9.61787,38.80000,0.00000,7.600242E-01,7.400011E-01,7.070826E-01,6.589629E-01,5.959878E-01,5.217361E-01,4.419309E-01,3.622636E-01,2.869333E-01,2.187334E-01,1.597504E-01,1.114904E-01,7.437428E-02,4.707297E-02,2.530531E-02,1.306073E-02,6.522148E-03,3.128144E-03,1.432927E-03,6.284959E-04,2.651448E-04,8.688551E-05,2.289621E-05,5.054672E-06,9.140044E-07
-9.61787,38.90000,0.00000,7.502868E-01,7.298157E-01,6.963740E-01,6.478449E-01,5.848092E-01,5.109846E-01,4.320162E-01,3.533776E-01,2.790880E-01,2.118940E-01,1.539222E-01,1.067051E-01,7.063775E-02,4.455093E-02,2.435309E-02,1.260891E-02,6.322159E-03,3.047276E-03,1.404129E-03,6.198387E-04,2.584792E-04,7.968199E-05,2.100758E-05,4.631722E-06,8.345116E-07
