#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='quantile-0.95', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,9.417518E-01,9.110467E-01,8.615687E-01,7.909128E-01,7.023796E-01,6.035064E-01,5.013843E-01,3.998768E-01,3.014493E-01,2.107508E-01,1.348419E-01,7.899608E-02,4.593900E-02,2.702827E-02,1.496192E-02,7.678754E-03,3.584459E-03,1.492584E-03,5.459014E-04,1.736343E-04,6.202325E-05,2.098819E-05,6.356010E-06,1.643727E-06,3.495034E-07
-9.71787,38.70000,0.00000,9.335942E-01,9.003940E-01,8.480754E-01,7.750263E-01,6.853064E-01,5.866454E-01,4.857959E-01,3.862100E-01,2.901564E-01,2.021795E-01,1.290478E-01,7.557440E-02,4.591667E-02,2.715290E-02,1.510543E-02,7.794258E-03,3.662515E-03,1.537217E-03,5.666378E-04,1.810610E-04,5.979469E-05,2.017734E-05,6.099780E-06,1.576265E-06,3.350696E-07
-9.71787,38.80000,0.00000,9.283776E-01,8.932879E-01,8.388364E-01,7.640300E-01,6.734753E-01,5.749738E-01,4.749554E-01,3.765697E-01,2.820243E-01,1.958912E-01,1.247625E-01,7.306303E-02,4.520910E-02,2.679941E-02,1.495638E-02,7.751253E-03,3.664572E-03,1.550840E-03,5.778015E-04,1.869955E-04,5.942559E-05,2.011251E-05,6.091035E-06,1.575703E-06,3.351651E-07
-9.71787,38.90000,0.00000,9.232284E-01,8.861991E-01,8.295750E-01,7.529666E-01,6.614894E-01,5.630045E-01,4.636683E-01,3.664076E-01,2.734268E-01,1.893046E-01,1.203699E-01,7.057841E-02,4.313517E-02,2.540782E-02,1.408306E-02,7.248470E-03,3.405020E-03,1.432939E-03,5.311450E-04,1.709430E-04,5.938575E-05,2.011858E-05,6.094150E-06,1.576644E-06,3.353763E-07
-9.71787,39.00000,0.00000,9.084212E-01,8.680177E-01,8.079630E-01,7.288700E-01,6.365464E-01,5.388724E-01,4.415946E-01,3.472602E-01,2.578729E-01,1.777634E-01,1.127425E-01,6.613828E-02,3.848500E-02,2.214510E-02,1.194493E-02,5.964508E-03,2.710588E-03,1.099458E-03,4.155037E-04,1.605177E-04,5.867188E-05,1.991150E-05,6.032961E-06,1.561181E-06,3.323443E-07
-9.61787,38.50000,0.00000,9.466450E-01,9.181126E-01,8.713714E-01,8.033767E-01,7.166367E-01,6.183058E-01,5.156313E-01,4.128093E-01,3.124810E-01,2.193848E-01,1.408639E-01,8.268076E-02,4.914279E-02,2.917979E-02,1.628375E-02,8.413459E-03,3.947662E-03,1.647945E-03,6.010212E-04,1.888228E-04,6.203054E-05,2.094392E-05,6.339995E-06,1.640210E-06,3.489344E-07
-9.61787,38.60000,0.00000,9.411457E-01,9.105633E-01,8.613360E-01,7.910582E-01,7.029526E-01,6.044409E-01,5.025327E-01,4.010689E-01,3.025416E-01,2.116516E-01,1.355210E-01,7.947408E-02,5.000456E-02,2.998240E-02,1.692364E-02,8.861585E-03,4.228018E-03,1.805270E-03,6.790337E-04,2.219574E-04,6.215239E-05,2.087136E-05,6.326090E-06,1.638739E-06,3.488909E-07
-9.61787,38.70000,0.00000,9.387652E-01,9.067942E-01,8.558693E-01,7.840438E-01,6.950317E-01,5.963709E-01,4.948165E-01,3.939570E-01,2.962817E-01,2.066115E-01,1.319882E-01,7.864603E-02,4.983170E-02,2.998790E-02,1.698091E-02,8.920510E-03,4.272874E-03,1.832651E-03,6.919681E-04,2.263898E-04,6.312354E-05,2.011288E-05,6.081807E-06,1.573323E-06,3.347255E-07
-9.61787,38.80000,0.00000,9.291938E-01,8.945079E-01,8.405960E-01,7.663752E-01,6.763078E-01,5.780646E-01,4.780255E-01,3.793685E-01,2.843837E-01,1.977448E-01,1.261377E-01,7.658038E-02,4.853277E-02,2.922417E-02,1.656640E-02,8.720916E-03,4.193011E-03,1.809012E-03,6.883258E-04,2.270777E-04,6.375468E-05,2.004012E-05,6.071549E-06,1.572321E-06,3.347210E-07
-9.61787,38.90000,0.00000,9.223365E-01,8.853788E-01,8.289361E-01,7.526190E-01,6.614760E-01,5.632765E-01,4.641126E-01,3.668979E-01,2.738646E-01,1.896405E-01,1.206070E-01,7.283336E-02,4.585872E-02,2.743256E-02,1.544798E-02,8.081041E-03,3.865327E-03,1.662376E-03,6.319977E-04,2.086508E-04,5.892524E-05,2.000059E-05,6.071256E-06,1.573271E-06,3.350137E-07
