#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='quantile-0.5', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,1.796025E-01,3.529152E-01,2.776898E-01,5.984212E-01,4.340982E-01,9.122491E-01,4.373127E-01,8.810647E-01,3.785574E-01,7.483104E-01,3.521667E-01,6.767303E-01,3.233296E-01,6.002449E-01,3.018948E-01,5.520768E-01,2.900517E-01,5.196021E-01,2.400815E-01,4.348722E-01,2.156331E-01,3.989424E-01,1.631448E-01,3.054544E-01,1.566617E-01,3.099693E-01,1.030414E-01,2.371942E-01,1.371281E-01,3.415785E-01,1.014159E-01,2.600991E-01
-9.71787,38.70000,1.804961E-01,3.492030E-01,2.813360E-01,5.922457E-01,4.408697E-01,9.030237E-01,4.426684E-01,8.729061E-01,3.824450E-01,7.419158E-01,3.540691E-01,6.722646E-01,3.222474E-01,5.976161E-01,2.999781E-01,5.517130E-01,2.861194E-01,5.201235E-01,2.377392E-01,4.354067E-01,2.128386E-01,3.983468E-01,1.611578E-01,3.046501E-01,1.543868E-01,3.079191E-01,1.019183E-01,2.359084E-01,1.364209E-01,3.434649E-01,1.002889E-01,2.603517E-01
-9.71787,38.80000,1.807318E-01,3.477034E-01,2.832219E-01,5.908844E-01,4.422812E-01,8.995416E-01,4.420292E-01,8.731790E-01,3.813624E-01,7.402481E-01,3.527677E-01,6.699145E-01,3.212116E-01,5.967039E-01,2.991409E-01,5.524177E-01,2.849161E-01,5.220241E-01,2.370756E-01,4.366809E-01,2.116579E-01,3.989795E-01,1.602149E-01,3.043990E-01,1.541495E-01,3.085739E-01,1.025841E-01,2.381947E-01,1.398000E-01,3.527411E-01,1.021045E-01,2.657640E-01
-9.71787,38.90000,1.753235E-01,3.474098E-01,2.734095E-01,5.902027E-01,4.254555E-01,8.987654E-01,4.256014E-01,8.673859E-01,3.684987E-01,7.375754E-01,3.443556E-01,6.654045E-01,3.161392E-01,5.904834E-01,2.953279E-01,5.432831E-01,2.843215E-01,5.120730E-01,2.353490E-01,4.281394E-01,2.105936E-01,3.900686E-01,1.588425E-01,2.977841E-01,1.524526E-01,3.024580E-01,9.945913E-02,2.337952E-01,1.358541E-01,3.497001E-01,9.860814E-02,2.623848E-01
-9.71787,39.00000,1.722509E-01,3.403369E-01,2.661682E-01,5.760496E-01,4.157607E-01,8.831024E-01,4.183224E-01,8.577783E-01,3.628673E-01,7.337662E-01,3.397254E-01,6.606830E-01,3.111876E-01,5.836851E-01,2.900387E-01,5.356124E-01,2.779724E-01,5.040817E-01,2.293195E-01,4.216422E-01,2.037056E-01,3.814221E-01,1.541529E-01,2.923827E-01,1.436555E-01,2.841160E-01,9.077890E-02,2.114573E-01,1.187908E-01,3.103547E-01,8.501650E-02,2.326982E-01
-9.61787,38.50000,1.862125E-01,3.545309E-01,2.903946E-01,6.017374E-01,4.573671E-01,9.188241E-01,4.610803E-01,8.951778E-01,3.978507E-01,7.609856E-01,3.672808E-01,6.871882E-01,3.332872E-01,6.103667E-01,3.085624E-01,5.627956E-01,2.922813E-01,5.301593E-01,2.433953E-01,4.433950E-01,2.179330E-01,4.072405E-01,1.657216E-01,3.118067E-01,1.584217E-01,3.140093E-01,1.044611E-01,2.386775E-01,1.378795E-01,3.407927E-01,1.023986E-01,2.602706E-01
-9.61787,38.60000,1.917533E-01,3.599160E-01,3.048610E-01,6.097083E-01,4.784142E-01,9.351625E-01,4.782417E-01,9.203018E-01,4.105070E-01,7.918412E-01,3.759512E-01,7.139525E-01,3.395984E-01,6.276525E-01,3.114242E-01,5.737093E-01,2.952231E-01,5.393360E-01,2.432799E-01,4.496411E-01,2.175990E-01,4.113275E-01,1.648275E-01,3.141618E-01,1.578999E-01,3.140575E-01,1.040230E-01,2.383663E-01,1.380433E-01,3.438956E-01,1.019158E-01,2.614413E-01
-9.61787,38.70000,1.924115E-01,3.608901E-01,3.078511E-01,6.091643E-01,4.829027E-01,9.331554E-01,4.818165E-01,9.291349E-01,4.131258E-01,7.995923E-01,3.770990E-01,7.194142E-01,3.399050E-01,6.306027E-01,3.108512E-01,5.743725E-01,2.945860E-01,5.397355E-01,2.428578E-01,4.496211E-01,2.163785E-01,4.100109E-01,1.640533E-01,3.128912E-01,1.565401E-01,3.116673E-01,1.028772E-01,2.370511E-01,1.372930E-01,3.456900E-01,1.007638E-01,2.616373E-01
-9.61787,38.80000,1.907018E-01,3.596890E-01,3.065198E-01,6.085569E-01,4.800694E-01,9.336492E-01,4.778518E-01,9.280926E-01,4.095372E-01,7.983431E-01,3.731839E-01,7.164863E-01,3.356346E-01,6.271138E-01,3.065428E-01,5.700516E-01,2.908864E-01,5.353413E-01,2.402321E-01,4.458959E-01,2.133842E-01,4.051183E-01,1.619035E-01,3.091629E-01,1.537158E-01,3.067730E-01,1.000297E-01,2.328051E-01,1.334039E-01,3.424561E-01,9.731415E-02,2.581613E-01
-9.61787,38.90000,1.838129E-01,3.497614E-01,2.942260E-01,5.969008E-01,4.601829E-01,9.168509E-01,4.583111E-01,8.965840E-01,3.937814E-01,7.718754E-01,3.598251E-01,6.917371E-01,3.236482E-01,6.078130E-01,2.977968E-01,5.545843E-01,2.828880E-01,5.210736E-01,2.350127E-01,4.347937E-01,2.095747E-01,3.936161E-01,1.581798E-01,3.008280E-01,1.503014E-01,2.984399E-01,9.569106E-02,2.260992E-01,1.270237E-01,3.350466E-01,9.208000E-02,2.516600E-01
