#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:22:33', checksum=102121100, kind='quantile-0.05', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.734285E-01,2.675279E-01,4.176527E-01,4.190325E-01,3.624145E-01,3.389439E-01,3.100159E-01,2.888555E-01,2.764683E-01,2.285415E-01,2.047429E-01,1.543457E-01,1.476671E-01,9.585226E-02,1.253389E-01,9.167261E-02,3.403248E-01,5.465323E-01,8.526939E-01,8.489475E-01,7.372458E-01,6.645567E-01,5.890976E-01,5.417193E-01,5.084013E-01,4.238767E-01,3.850884E-01,2.952764E-01,2.927297E-01,2.185270E-01,3.105058E-01,2.360354E-01
-9.71787,38.70000,1.710777E-01,2.645646E-01,4.129843E-01,4.141659E-01,3.582788E-01,3.342473E-01,3.053305E-01,2.839751E-01,2.716475E-01,2.245537E-01,2.008628E-01,1.512058E-01,1.440391E-01,9.299271E-02,1.214578E-01,8.853539E-02,3.434771E-01,5.551500E-01,8.630262E-01,8.503380E-01,7.299008E-01,6.563525E-01,5.815091E-01,5.343758E-01,5.013996E-01,4.176034E-01,3.787873E-01,2.904670E-01,2.875236E-01,2.150380E-01,3.080284E-01,2.338426E-01
-9.71787,38.80000,1.696410E-01,2.627364E-01,4.096150E-01,4.102907E-01,3.549741E-01,3.308485E-01,3.025363E-01,2.815499E-01,2.695911E-01,2.228589E-01,1.990315E-01,1.496200E-01,1.426063E-01,9.218463E-02,1.213831E-01,8.798370E-02,3.434817E-01,5.618205E-01,8.652439E-01,8.500427E-01,7.255067E-01,6.518295E-01,5.777544E-01,5.311380E-01,4.988023E-01,4.151671E-01,3.760683E-01,2.877706E-01,2.854442E-01,2.142308E-01,3.101317E-01,2.344106E-01
-9.71787,38.90000,1.690384E-01,2.622618E-01,4.078556E-01,4.075141E-01,3.524843E-01,3.284791E-01,3.010188E-01,2.806980E-01,2.692065E-01,2.225313E-01,1.985750E-01,1.490062E-01,1.425370E-01,9.275912E-02,1.239629E-01,8.933831E-02,3.355289E-01,5.445439E-01,8.462589E-01,8.367605E-01,7.229556E-01,6.492407E-01,5.762504E-01,5.306432E-01,4.991605E-01,4.154459E-01,3.759504E-01,2.870281E-01,2.859296E-01,2.162035E-01,3.174995E-01,2.386808E-01
-9.71787,39.00000,1.609733E-01,2.452207E-01,3.862202E-01,3.940141E-01,3.449068E-01,3.204026E-01,2.919435E-01,2.715042E-01,2.590133E-01,2.150261E-01,1.927602E-01,1.452142E-01,1.372300E-01,8.576775E-02,1.103694E-01,7.971650E-02,3.016734E-01,4.803555E-01,7.532979E-01,7.591465E-01,6.557567E-01,6.028233E-01,5.438610E-01,5.092199E-01,4.807708E-01,4.027625E-01,3.677896E-01,2.812328E-01,2.790220E-01,2.088714E-01,3.056705E-01,2.298855E-01
-9.61787,38.50000,1.753285E-01,2.710367E-01,4.242329E-01,4.265247E-01,3.688458E-01,3.442226E-01,3.137631E-01,2.913404E-01,2.783599E-01,2.300024E-01,2.060127E-01,1.555805E-01,1.482481E-01,9.566808E-02,1.239907E-01,9.096781E-02,3.493476E-01,5.636703E-01,8.777334E-01,8.698763E-01,7.438151E-01,6.700066E-01,5.924547E-01,5.434836E-01,5.094010E-01,4.246375E-01,3.859067E-01,2.962898E-01,2.928535E-01,2.176467E-01,3.066800E-01,2.337831E-01
-9.61787,38.60000,1.734227E-01,2.690358E-01,4.209240E-01,4.227146E-01,3.654629E-01,3.403739E-01,3.096360E-01,2.869599E-01,2.740414E-01,2.264098E-01,2.024286E-01,1.526520E-01,1.448458E-01,9.288684E-02,1.201551E-01,8.783966E-02,3.486107E-01,5.828213E-01,9.070515E-01,8.732406E-01,7.402808E-01,6.645380E-01,5.868160E-01,5.374391E-01,5.034843E-01,4.192504E-01,3.801882E-01,2.918886E-01,2.878288E-01,2.140769E-01,3.038975E-01,2.314096E-01
-9.61787,38.70000,1.722156E-01,2.673161E-01,4.175787E-01,4.187090E-01,3.620700E-01,3.372077E-01,3.074433E-01,2.855307E-01,2.731848E-01,2.257255E-01,2.017041E-01,1.518018E-01,1.445842E-01,9.333405E-02,1.225137E-01,8.907396E-02,3.459112E-01,5.817933E-01,8.977532E-01,8.635874E-01,7.324486E-01,6.576902E-01,5.820836E-01,5.345180E-01,5.017675E-01,4.177987E-01,3.786429E-01,2.901525E-01,2.875554E-01,2.156579E-01,3.105522E-01,2.352801E-01
-9.61787,38.80000,1.706610E-01,2.652335E-01,4.138731E-01,4.146235E-01,3.586242E-01,3.335949E-01,3.042611E-01,2.825805E-01,2.704265E-01,2.234391E-01,1.994356E-01,1.498881E-01,1.426508E-01,9.217030E-02,1.218550E-01,8.820888E-02,3.441181E-01,5.810898E-01,8.932562E-01,8.584664E-01,7.279914E-01,6.531420E-01,5.782068E-01,5.310778E-01,4.988115E-01,4.150578E-01,3.757004E-01,2.873504E-01,2.852342E-01,2.146927E-01,3.124582E-01,2.357612E-01
-9.61787,38.90000,1.683404E-01,2.622054E-01,4.091440E-01,4.099212E-01,3.547075E-01,3.291697E-01,2.999196E-01,2.780421E-01,2.660000E-01,2.197997E-01,1.954407E-01,1.469514E-01,1.391557E-01,8.910155E-02,1.172880E-01,8.440755E-02,3.416132E-01,5.719560E-01,8.855276E-01,8.540470E-01,7.242870E-01,6.484964E-01,5.731322E-01,5.252120E-01,4.929685E-01,4.096173E-01,3.700000E-01,2.825596E-01,2.797047E-01,2.098115E-01,3.069080E-01,2.309680E-01
-9.61787,39.00000,1.663554E-01,2.573946E-01,4.041707E-01,4.052017E-01,3.506927E-01,3.249058E-01,2.959951E-01,2.742203E-01,2.620786E-01,2.165633E-01,1.921325E-01,1.445034E-01,1.364699E-01,8.589208E-02,1.108795E-01,7.998599E-02,3.164569E-01,5.129997E-01,8.027693E-01,8.077829E-01,6.984127E-01,6.325148E-01,5.633996E-01,5.198295E-01,4.884064E-01,4.060191E-01,3.661876E-01,2.791522E-01,2.762933E-01,2.075018E-01,3.063057E-01,2.296881E-01
-9.61787,39.10000,1.555668E-01,2.358631E-01,3.715992E-01,3.805716E-01,3.337985E-01,3.111556E-01,2.849412E-01,2.656020E-01,2.535597E-01,2.098398E-01,1.849741E-01,1.394528E-01,1.301782E-01,8.050387E-02,1.048683E-01,7.434011E-02,2.899002E-01,4.556397E-01,7.157583E-01,7.233451E-01,6.246517E-01,5.782502E-01,5.263782E-01,4.969523E-01,4.713209E-01,3.937428E-01,3.560343E-01,2.710953E-01,2.662411E-01,1.975947E-01,2.914534E-01,2.181423E-01
