#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,8.156874E-01,7.545566E-01,6.767347E-01,5.872609E-01,4.928668E-01,3.990960E-01,3.095821E-01,2.275220E-01,1.568254E-01,1.010358E-01,6.117990E-02,3.518297E-02,1.934776E-02,1.013932E-02,4.992023E-03,2.265135E-03,9.327719E-04,3.469831E-04,1.173597E-04,3.641283E-05,1.033865E-05,2.631607E-06,5.808286E-07,1.072979E-07,1.606843E-08
-9.71787,38.70000,0.00000,8.056512E-01,7.430966E-01,6.644967E-01,5.751531E-01,4.816779E-01,3.893195E-01,3.014993E-01,2.213083E-01,1.525159E-01,9.842180E-02,5.982544E-02,3.459406E-02,1.914029E-02,1.008891E-02,4.993540E-03,2.276804E-03,9.411192E-04,3.503810E-04,1.179701E-04,3.621099E-05,1.013639E-05,2.546853E-06,5.571752E-07,1.024628E-07,1.531539E-08
-9.71787,38.80000,0.00000,7.982303E-01,7.345774E-01,6.553971E-01,5.661440E-01,4.732873E-01,3.818406E-01,2.951114E-01,2.161829E-01,1.487693E-01,9.598801E-02,5.843179E-02,3.388513E-02,1.881674E-02,9.958234E-03,4.950353E-03,2.268347E-03,9.431054E-04,3.534053E-04,1.197000E-04,3.686831E-05,1.031521E-05,2.582053E-06,5.620861E-07,1.029372E-07,1.534541E-08
-9.71787,38.90000,0.00000,7.905641E-01,7.257563E-01,6.458993E-01,5.565835E-01,4.641559E-01,3.734437E-01,2.876811E-01,2.099666E-01,1.439625E-01,9.259445E-02,5.622894E-02,3.254148E-02,1.803106E-02,9.517412E-03,4.717897E-03,2.156494E-03,8.951721E-04,3.353400E-04,1.137433E-04,3.516590E-05,9.902548E-06,2.499859E-06,5.491149E-07,1.013758E-07,1.520654E-08
-9.71787,39.00000,0.00000,7.700807E-01,7.038618E-01,6.234614E-01,5.346810E-01,4.437560E-01,3.552784E-01,2.722659E-01,1.975944E-01,1.346292E-01,8.596032E-02,5.173069E-02,2.959388E-02,1.616344E-02,8.391687E-03,4.088591E-03,1.838136E-03,7.520837E-04,2.789435E-04,9.449592E-05,2.957373E-05,8.549025E-06,2.233097E-06,5.072927E-07,9.628773E-08,1.474961E-08
-9.61787,38.50000,0.00000,8.223530E-01,7.629181E-01,6.865274E-01,5.978850E-01,5.036584E-01,4.095059E-01,3.191586E-01,2.358441E-01,1.635503E-01,1.060378E-01,6.461018E-02,3.737183E-02,2.065509E-02,1.086640E-02,5.362195E-03,2.433032E-03,9.981073E-04,3.676738E-04,1.222491E-04,3.709962E-05,1.031701E-05,2.590931E-06,5.689673E-07,1.051925E-07,1.578998E-08
-9.61787,38.60000,0.00000,8.156142E-01,7.548715E-01,6.776995E-01,5.890807E-01,4.955839E-01,4.025553E-01,3.134833E-01,2.315136E-01,1.605900E-01,1.043389E-01,6.388216E-02,3.723559E-02,2.078305E-02,1.105441E-02,5.519697E-03,2.538278E-03,1.058262E-03,3.971443E-04,1.343146E-04,4.110400E-05,1.136801E-05,2.805263E-06,6.024728E-07,1.091415E-07,1.612418E-08
-9.61787,38.70000,0.00000,8.093092E-01,7.476546E-01,6.700222E-01,5.815512E-01,4.886756E-01,3.964957E-01,3.083746E-01,2.274693E-01,1.577106E-01,1.025756E-01,6.298685E-02,3.687254E-02,2.067580E-02,1.104198E-02,5.531220E-03,2.549617E-03,1.064158E-03,3.988019E-04,1.341525E-04,4.065825E-05,1.110982E-05,2.711430E-06,5.779119E-07,1.042778E-07,1.538650E-08
-9.61787,38.80000,0.00000,7.986379E-01,7.353683E-01,6.567932E-01,5.683219E-01,4.762713E-01,3.854522E-01,2.990257E-01,2.200491E-01,1.523084E-01,9.902787E-02,6.088845E-02,3.573894E-02,2.010572E-02,1.077365E-02,5.415714E-03,2.506553E-03,1.051407E-03,3.962424E-04,1.339769E-04,4.073236E-05,1.113457E-05,2.713363E-06,5.772435E-07,1.040432E-07,1.535247E-08
-9.61787,38.90000,0.00000,7.885622E-01,7.240219E-01,6.447170E-01,5.562270E-01,4.647538E-01,3.749042E-01,2.897335E-01,2.122790E-01,1.462514E-01,9.466901E-02,5.797787E-02,3.390791E-02,1.900783E-02,1.014901E-02,5.085919E-03,2.349922E-03,9.863663E-04,3.730523E-04,1.269236E-04,3.890441E-05,1.073343E-05,2.640202E-06,5.665409E-07,1.028553E-07,1.525581E-08
