#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='mean', investigation_time=1.0, imt='SA(0.25)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,9.070203E-01,8.922701E-01,8.660297E-01,8.230599E-01,7.588050E-01,6.725406E-01,5.694700E-01,4.587637E-01,3.495219E-01,2.491860E-01,1.641931E-01,9.927225E-02,5.522675E-02,2.855699E-02,1.383847E-02,6.278159E-03,2.645206E-03,1.028806E-03,3.698065E-04,1.233138E-04,3.798009E-05,1.062000E-05,2.627079E-06,5.587405E-07,9.939593E-08
-9.71787,38.70000,0.00000,9.010354E-01,8.855055E-01,8.580595E-01,8.135276E-01,7.477117E-01,6.604716E-01,5.574582E-01,4.478452E-01,3.404212E-01,2.422800E-01,1.595263E-01,9.654103E-02,5.387415E-02,2.800219E-02,1.365990E-02,6.244026E-03,2.652692E-03,1.040509E-03,3.764840E-04,1.256865E-04,3.845427E-05,1.061130E-05,2.584209E-06,5.420744E-07,9.547344E-08
-9.71787,38.80000,0.00000,8.969691E-01,8.808284E-01,8.524579E-01,8.067421E-01,7.397442E-01,6.517414E-01,5.486873E-01,4.397381E-01,3.334744E-01,2.367966E-01,1.556268E-01,9.410209E-02,5.254661E-02,2.736789E-02,1.338952E-02,6.141652E-03,2.620471E-03,1.033880E-03,3.768814E-04,1.268060E-04,3.902764E-05,1.079428E-05,2.624960E-06,5.485004E-07,9.616683E-08
-9.71787,38.90000,0.00000,8.927940E-01,8.760225E-01,8.466979E-01,7.997537E-01,7.315004E-01,6.426143E-01,5.393462E-01,4.308693E-01,3.256176E-01,2.303492E-01,1.508150E-01,9.087963E-02,5.060003E-02,2.628241E-02,1.281712E-02,5.854827E-03,2.486210E-03,9.765325E-04,3.548860E-04,1.192919E-04,3.676481E-05,1.020674E-05,2.497663E-06,5.263135E-07,9.316515E-08
-9.71787,39.00000,0.00000,8.769966E-01,8.591281E-01,8.281591E-01,7.792351E-01,7.092443E-01,6.196178E-01,5.170721E-01,4.107254E-01,3.086345E-01,2.170822E-01,1.412877E-01,8.459520E-02,4.674912E-02,2.405493E-02,1.159253E-02,5.219608E-03,2.179217E-03,8.396535E-04,2.991432E-04,9.894436E-05,3.029786E-05,8.472201E-06,2.114602E-06,4.577860E-07,8.333109E-08
-9.61787,38.50000,0.00000,9.099287E-01,8.957909E-01,8.705497E-01,8.290177E-01,7.664904E-01,6.818229E-01,5.797272E-01,4.691355E-01,3.591933E-01,2.574956E-01,1.706997E-01,1.038692E-01,5.816451E-02,3.028085E-02,1.478136E-02,6.759161E-03,2.869744E-03,1.121547E-03,4.022814E-04,1.324543E-04,3.988538E-05,1.085941E-05,2.624414E-06,5.496810E-07,9.708716E-08
-9.61787,38.60000,0.00000,9.067093E-01,8.919570E-01,8.657568E-01,8.229465E-01,7.590765E-01,6.734769E-01,5.712622E-01,4.613822E-01,3.527079E-01,2.525582E-01,1.673794E-01,1.020010E-01,5.736116E-02,3.008464E-02,1.483614E-02,6.869165E-03,2.960179E-03,1.178154E-03,4.317997E-04,1.453370E-04,4.449485E-05,1.217931E-05,2.920811E-06,6.010527E-07,1.038559E-07
-9.61787,38.70000,0.00000,9.031366E-01,8.879168E-01,8.610101E-01,8.172913E-01,7.525075E-01,6.663247E-01,5.641165E-01,4.548180E-01,3.471121E-01,2.481605E-01,1.642839E-01,1.001219E-01,5.640757E-02,2.969016E-02,1.471025E-02,6.845980E-03,2.965834E-03,1.186295E-03,4.362067E-04,1.467336E-04,4.465987E-05,1.209767E-05,2.865402E-06,5.829307E-07,9.985470E-08
-9.61787,38.80000,0.00000,8.970352E-01,8.809322E-01,8.526608E-01,8.071714E-01,7.406008E-01,6.532453E-01,5.509553E-01,4.426799E-01,3.368021E-01,2.401381E-01,1.586591E-01,9.662580E-02,5.448780E-02,2.874698E-02,1.428841E-02,6.674089E-03,2.904105E-03,1.168086E-03,4.323209E-04,1.463290E-04,4.472278E-05,1.213007E-05,2.869695E-06,5.824840E-07,9.956866E-08
-9.61787,38.90000,0.00000,8.907432E-01,8.739151E-01,8.445427E-01,7.976463E-01,7.296659E-01,6.413689E-01,5.389529E-01,4.313862E-01,3.268722E-01,2.320323E-01,1.526091E-01,9.254090E-02,5.198110E-02,2.732392E-02,1.352882E-02,6.293043E-03,2.727495E-03,1.094161E-03,4.048949E-04,1.374230E-04,4.221730E-05,1.152828E-05,2.749018E-06,5.628804E-07,9.708936E-08
-9.61787,39.00000,0.00000,8.755183E-01,8.576956E-01,8.268493E-01,7.782134E-01,7.087675E-01,6.199487E-01,5.183246E-01,4.127722E-01,3.111514E-01,2.196884E-01,1.436739E-01,8.657721E-02,4.825802E-02,2.510659E-02,1.225814E-02,5.597822E-03,2.370022E-03,9.243677E-04,3.320141E-04,1.100034E-04,3.349212E-05,9.257961E-06,2.279055E-06,4.871968E-07,8.781865E-08
-9.61787,39.10000,0.00000,8.686048E-01,8.499070E-01,8.177571E-01,7.674932E-01,6.964484E-01,6.065505E-01,5.046999E-01,3.998027E-01,2.995777E-01,2.100741E-01,1.363288E-01,8.144932E-02,4.496492E-02,2.313069E-02,1.113653E-02,4.995406E-03,2.067554E-03,7.852332E-04,2.748966E-04,8.971826E-05,2.746068E-05,7.801284E-06,2.000516E-06,4.459729E-07,8.324078E-08
-9.61787,39.20000,0.00000,8.616274E-01,8.420585E-01,8.085986E-01,7.566510E-01,6.838388E-01,5.925395E-01,4.900615E-01,3.855509E-01,2.868074E-01,1.997195E-01,1.288286E-01,7.658485E-02,4.208271E-02,2.152957E-02,1.029292E-02,4.578988E-03,1.880007E-03,7.099573E-04,2.481753E-04,8.118976E-05,2.492047E-05,7.074646E-06,1.804605E-06,3.991328E-07,7.391278E-08
-9.61787,39.30000,0.00000,8.532428E-01,8.327197E-01,7.978296E-01,7.440591E-01,6.693644E-01,5.766286E-01,4.736217E-01,3.697613E-01,2.728956E-01,1.886569E-01,1.209780E-01,7.159521E-02,3.918479E-02,1.995540E-02,9.489054E-03,4.200735E-03,1.720971E-03,6.515618E-04,2.295451E-04,7.594724E-05,2.357804E-05,6.750612E-06,1.729945E-06,3.832462E-07,7.097031E-08
-9.61787,39.40000,0.00000,8.277220E-01,8.057299E-01,7.687805E-01,7.128017E-01,6.365778E-01,5.438358E-01,4.427537E-01,3.426679E-01,2.510082E-01,1.726598E-01,1.105364E-01,6.549316E-02,3.591761E-02,1.829986E-02,8.682839E-03,3.829604E-03,1.564515E-03,5.924370E-04,2.095364E-04,6.981890E-05,2.187823E-05,6.333839E-06,1.643368E-06,3.686595E-07,6.904442E-08
-9.61787,39.50000,0.00000,8.211436E-01,7.983170E-01,7.601926E-01,7.028424E-01,6.253808E-01,5.319301E-01,4.309298E-01,3.317431E-01,2.416424E-01,1.652481E-01,1.051516E-01,6.190750E-02,3.372170E-02,1.705966E-02,8.040579E-03,3.529714E-03,1.441464E-03,5.495424E-04,1.974544E-04,6.733049E-05,2.161743E-05,6.375772E-06,1.670479E-06,3.755751E-07,7.019466E-08
