#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.183924E-01,1.639072E-01,2.457951E-01,2.711254E-01,2.662824E-01,2.546552E-01,2.366560E-01,2.247698E-01,2.115065E-01,1.750504E-01,1.560699E-01,1.187190E-01,1.122042E-01,7.150848E-02,9.016010E-02,6.599413E-02,2.243578E-01,3.329030E-01,4.925824E-01,5.318066E-01,5.176116E-01,4.836873E-01,4.361060E-01,4.069865E-01,3.794525E-01,3.163173E-01,2.881343E-01,2.208868E-01,2.146385E-01,1.551439E-01,2.151482E-01,1.631209E-01
-9.71787,38.70000,1.186574E-01,1.653376E-01,2.477444E-01,2.727665E-01,2.676701E-01,2.551651E-01,2.365946E-01,2.241188E-01,2.107095E-01,1.741789E-01,1.549538E-01,1.177377E-01,1.108024E-01,7.030605E-02,8.882411E-02,6.473158E-02,2.251507E-01,3.353126E-01,4.966352E-01,5.361853E-01,5.221360E-01,4.868614E-01,4.378687E-01,4.073972E-01,3.794070E-01,3.159876E-01,2.869699E-01,2.198863E-01,2.127680E-01,1.537006E-01,2.150279E-01,1.625632E-01
-9.71787,38.80000,1.185005E-01,1.657565E-01,2.477922E-01,2.720221E-01,2.667091E-01,2.540326E-01,2.356839E-01,2.233050E-01,2.101647E-01,1.736446E-01,1.543232E-01,1.170529E-01,1.103214E-01,7.023336E-02,8.973056E-02,6.502969E-02,2.257885E-01,3.377905E-01,4.992961E-01,5.374932E-01,5.230302E-01,4.869611E-01,4.378637E-01,4.073177E-01,3.795424E-01,3.159475E-01,2.864836E-01,2.191731E-01,2.123530E-01,1.541445E-01,2.183781E-01,1.642951E-01
-9.71787,38.90000,1.160491E-01,1.618884E-01,2.418054E-01,2.653395E-01,2.603437E-01,2.484972E-01,2.312170E-01,2.193526E-01,2.071583E-01,1.710540E-01,1.520094E-01,1.150745E-01,1.087130E-01,6.942233E-02,8.941358E-02,6.442469E-02,2.214603E-01,3.306006E-01,4.879981E-01,5.255704E-01,5.113524E-01,4.760226E-01,4.293212E-01,4.006556E-01,3.740361E-01,3.116553E-01,2.822240E-01,2.158076E-01,2.098892E-01,1.532352E-01,2.194732E-01,1.643990E-01
-9.71787,39.00000,1.080488E-01,1.488770E-01,2.243110E-01,2.490495E-01,2.455449E-01,2.353379E-01,2.184896E-01,2.073420E-01,1.964706E-01,1.620121E-01,1.438400E-01,1.087773E-01,1.016664E-01,6.362925E-02,7.978982E-02,5.704038E-02,2.071907E-01,3.052315E-01,4.520007E-01,4.912993E-01,4.784496E-01,4.471405E-01,4.050763E-01,3.793053E-01,3.540900E-01,2.958982E-01,2.665186E-01,2.048573E-01,1.978874E-01,1.428620E-01,2.032416E-01,1.524867E-01
-9.61787,38.50000,1.218712E-01,1.697982E-01,2.552185E-01,2.819718E-01,2.767734E-01,2.633984E-01,2.433172E-01,2.304256E-01,2.156579E-01,1.785434E-01,1.589358E-01,1.211729E-01,1.137964E-01,7.196150E-02,8.993413E-02,6.606315E-02,2.292495E-01,3.405212E-01,5.058340E-01,5.482452E-01,5.344529E-01,4.992029E-01,4.477289E-01,4.154616E-01,3.863440E-01,3.215584E-01,2.926457E-01,2.246476E-01,2.167292E-01,1.554643E-01,2.138153E-01,1.625524E-01
-9.61787,38.60000,1.241636E-01,1.753035E-01,2.626759E-01,2.887337E-01,2.826566E-01,2.674933E-01,2.459959E-01,2.321448E-01,2.166908E-01,1.791628E-01,1.589958E-01,1.210881E-01,1.130936E-01,7.110681E-02,8.902327E-02,6.509914E-02,2.357281E-01,3.541380E-01,5.247132E-01,5.663701E-01,5.511850E-01,5.118652E-01,4.574833E-01,4.218676E-01,3.912169E-01,3.248296E-01,2.942932E-01,2.257943E-01,2.162060E-01,1.544972E-01,2.142088E-01,1.623757E-01
-9.61787,38.70000,1.244055E-01,1.763066E-01,2.639872E-01,2.898229E-01,2.836156E-01,2.679138E-01,2.461945E-01,2.321452E-01,2.166814E-01,1.790601E-01,1.586480E-01,1.206706E-01,1.126058E-01,7.080722E-02,8.936936E-02,6.500407E-02,2.360931E-01,3.549286E-01,5.262681E-01,5.686247E-01,5.537665E-01,5.136927E-01,4.588373E-01,4.225711E-01,3.918862E-01,3.251920E-01,2.940883E-01,2.253905E-01,2.155496E-01,1.543559E-01,2.163270E-01,1.632873E-01
-9.61787,38.80000,1.235808E-01,1.756937E-01,2.627552E-01,2.879693E-01,2.816719E-01,2.657830E-01,2.441746E-01,2.299166E-01,2.147509E-01,1.772699E-01,1.568608E-01,1.191402E-01,1.109428E-01,6.959929E-02,8.811020E-02,6.375975E-02,2.355227E-01,3.551715E-01,5.261756E-01,5.678105E-01,5.528026E-01,5.121460E-01,4.570164E-01,4.204654E-01,3.897827E-01,3.233387E-01,2.919754E-01,2.234727E-01,2.132441E-01,1.527103E-01,2.158462E-01,1.623144E-01
-9.61787,38.90000,1.203023E-01,1.707160E-01,2.552731E-01,2.797624E-01,2.738458E-01,2.587669E-01,2.382007E-01,2.240274E-01,2.099176E-01,1.730306E-01,1.530246E-01,1.160308E-01,1.078313E-01,6.734109E-02,8.497709E-02,6.113096E-02,2.302805E-01,3.478690E-01,5.148030E-01,5.546479E-01,5.397855E-01,5.003931E-01,4.463897E-01,4.113556E-01,3.814940E-01,3.167518E-01,2.853892E-01,2.185098E-01,2.083549E-01,1.491300E-01,2.120557E-01,1.589867E-01
-9.61787,39.00000,1.120061E-01,1.564119E-01,2.353593E-01,2.601140E-01,2.559544E-01,2.435722E-01,2.250109E-01,2.119920E-01,2.000899E-01,1.645979E-01,1.457153E-01,1.103177E-01,1.022327E-01,6.334171E-02,7.890686E-02,5.629101E-02,2.137931E-01,3.183571E-01,4.723738E-01,5.130136E-01,5.003105E-01,4.645455E-01,4.177195E-01,3.880412E-01,3.609027E-01,3.008553E-01,2.703513E-01,2.077867E-01,1.987394E-01,1.423118E-01,2.023088E-01,1.518183E-01
-9.61787,39.10000,1.048303E-01,1.438409E-01,2.174332E-01,2.431043E-01,2.402655E-01,2.302743E-01,2.135172E-01,2.024546E-01,1.917495E-01,1.582237E-01,1.403240E-01,1.060128E-01,9.853014E-02,6.098193E-02,7.608892E-02,5.398285E-02,2.008852E-01,2.947111E-01,4.368513E-01,4.756747E-01,4.638318E-01,4.343418E-01,3.942814E-01,3.699180E-01,3.455907E-01,2.889456E-01,2.597049E-01,1.998861E-01,1.929604E-01,1.394979E-01,1.998703E-01,1.497682E-01
