#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,8.429524E-01,7.897731E-01,7.212853E-01,6.401826E-01,5.343974E-01,4.266018E-01,3.244279E-01,2.314063E-01,1.530698E-01,9.835854E-02,6.156537E-02,3.481428E-02,1.793125E-02,8.937627E-03,4.320085E-03,1.951495E-03,8.172974E-04,3.253250E-04,1.218104E-04,4.187828E-05,9.529586E-06,1.793585E-06,2.715461E-07,3.192737E-08,2.749346E-09
-9.71787,38.70000,0.00000,8.362520E-01,7.825293E-01,7.138975E-01,6.248313E-01,5.176029E-01,4.117966E-01,3.121782E-01,2.219408E-01,1.463966E-01,9.601399E-02,6.107260E-02,3.342824E-02,1.729663E-02,8.669666E-03,4.373071E-03,1.986900E-03,7.958107E-04,3.158649E-04,1.178600E-04,4.206574E-05,9.749513E-06,1.785451E-06,2.612001E-07,2.946478E-08,2.382186E-09
-9.71787,38.80000,0.00000,8.308471E-01,7.765819E-01,7.076887E-01,6.129941E-01,5.065490E-01,4.021388E-01,3.041952E-01,2.156947E-01,1.419569E-01,9.424029E-02,5.912687E-02,3.244893E-02,1.686854E-02,8.599683E-03,4.359848E-03,1.993958E-03,8.042153E-04,3.124900E-04,1.178059E-04,4.184435E-05,1.036150E-05,1.902322E-06,2.769995E-07,3.088479E-08,2.450473E-09
-9.71787,38.90000,0.00000,8.256074E-01,7.707327E-01,7.014323E-01,6.015463E-01,4.958418E-01,3.927619E-01,2.964509E-01,2.097112E-01,1.377880E-01,9.067024E-02,5.725853E-02,3.155714E-02,1.651415E-02,8.363572E-03,4.050830E-03,1.844092E-03,7.831776E-04,3.120169E-04,1.164619E-04,4.145789E-05,9.241203E-06,1.675504E-06,2.405568E-07,2.639145E-08,2.034868E-09
-9.71787,39.00000,0.00000,8.102028E-01,7.542750E-01,6.784644E-01,5.771646E-01,4.734474E-01,3.735049E-01,2.808693E-01,1.980656E-01,1.298529E-01,8.423125E-02,5.188443E-02,2.974261E-02,1.569856E-02,7.993753E-03,3.887681E-03,1.780760E-03,7.384627E-04,2.979839E-04,1.054181E-04,2.671551E-05,5.651923E-06,9.772561E-07,1.345321E-07,1.415811E-08,1.034409E-09
-9.61787,38.50000,0.00000,8.468279E-01,7.944530E-01,7.267783E-01,6.465015E-01,5.489097E-01,4.398219E-01,3.356995E-01,2.403043E-01,1.595416E-01,1.035810E-01,6.557421E-02,3.640170E-02,1.868745E-02,9.394029E-03,4.733993E-03,2.142680E-03,8.504360E-04,3.284921E-04,1.223377E-04,4.364573E-05,9.505864E-06,1.689433E-06,2.400544E-07,2.626558E-08,1.993421E-09
-9.61787,38.60000,0.00000,8.433255E-01,7.905976E-01,7.229952E-01,6.431281E-01,5.352302E-01,4.275742E-01,3.253947E-01,2.322132E-01,1.537124E-01,1.026795E-01,6.419857E-02,3.509251E-02,1.808511E-02,9.767146E-03,4.986141E-03,2.294679E-03,9.322573E-04,3.291965E-04,1.220649E-04,4.334856E-05,1.258868E-05,2.314264E-06,3.371331E-07,3.761446E-08,2.940665E-09
-9.61787,38.70000,0.00000,8.372992E-01,7.839898E-01,7.161971E-01,6.351226E-01,5.275387E-01,4.206631E-01,3.194710E-01,2.273943E-01,1.507150E-01,1.016388E-01,6.388655E-02,3.431569E-02,1.776699E-02,9.780346E-03,5.007049E-03,2.312405E-03,9.431872E-04,3.340720E-04,1.186566E-04,4.185308E-05,1.259978E-05,2.270285E-06,3.226231E-07,3.487722E-08,2.599233E-09
-9.61787,38.80000,0.00000,8.315767E-01,7.774792E-01,7.091477E-01,6.161163E-01,5.098420E-01,4.053102E-01,3.069890E-01,2.179493E-01,1.469049E-01,9.890840E-02,6.118980E-02,3.304424E-02,1.723037E-02,9.504876E-03,4.878639E-03,2.262885E-03,9.288855E-04,3.316508E-04,1.177664E-04,4.161543E-05,1.278200E-05,2.292536E-06,3.224654E-07,3.428477E-08,2.491312E-09
-9.61787,38.90000,0.00000,8.239278E-01,7.691329E-01,7.003417E-01,6.015562E-01,4.961171E-01,3.931940E-01,2.968724E-01,2.100911E-01,1.411590E-01,9.435575E-02,5.849223E-02,3.168368E-02,1.659056E-02,8.789193E-03,4.489589E-03,2.075633E-03,8.509054E-04,3.101990E-04,1.168265E-04,4.143768E-05,1.171889E-05,2.092112E-06,2.920910E-07,3.074866E-08,2.179680E-09
-9.61787,39.00000,0.00000,8.087825E-01,7.533294E-01,6.795128E-01,5.786101E-01,4.751214E-01,3.752145E-01,2.823414E-01,1.993086E-01,1.319979E-01,8.694326E-02,5.446696E-02,3.009693E-02,1.594345E-02,8.140439E-03,3.962462E-03,1.811064E-03,7.711172E-04,2.996162E-04,1.142781E-04,3.329541E-05,7.109048E-06,1.227820E-06,1.670883E-07,1.716692E-08,1.186709E-09
-9.61787,39.10000,0.00000,8.020886E-01,7.457476E-01,6.613920E-01,5.606627E-01,4.584765E-01,3.605957E-01,2.701590E-01,1.897716E-01,1.251700E-01,8.127546E-02,5.051573E-02,2.801271E-02,1.485148E-02,7.617115E-03,3.729819E-03,1.716184E-03,6.962064E-04,2.873401E-04,8.626997E-05,2.124417E-05,4.416043E-06,7.598248E-07,1.052008E-07,1.120729E-08,8.557356E-10
-9.61787,39.20000,0.00000,7.958634E-01,7.374008E-01,6.452376E-01,5.442946E-01,4.427734E-01,3.461767E-01,2.577476E-01,1.805251E-01,1.178924E-01,7.574966E-02,4.630985E-02,2.654626E-02,1.427151E-02,7.307033E-03,3.508860E-03,1.547217E-03,6.578790E-04,2.662236E-04,7.831617E-05,1.984137E-05,4.252644E-06,7.536511E-07,1.073392E-07,1.180853E-08,9.150004E-10
-9.61787,39.30000,0.00000,7.888678E-01,7.194213E-01,6.257607E-01,5.245603E-01,4.239590E-01,3.293379E-01,2.438229E-01,1.701218E-01,1.109694E-01,7.092199E-02,4.259504E-02,2.438941E-02,1.313710E-02,6.628693E-03,3.159988E-03,1.433407E-03,6.294416E-04,2.394841E-04,7.118249E-05,1.824811E-05,3.959719E-06,7.103568E-07,1.023441E-07,1.137940E-08,9.017405E-10
-9.61787,39.40000,0.00000,7.571424E-01,6.771403E-01,5.835841E-01,4.848996E-01,3.887757E-01,3.000590E-01,2.213176E-01,1.544728E-01,1.020495E-01,6.483670E-02,3.860257E-02,2.184540E-02,1.177176E-02,6.080191E-03,2.926627E-03,1.387849E-03,5.919037E-04,1.978788E-04,5.747517E-05,1.426114E-05,2.970132E-06,5.086100E-07,6.967906E-08,7.310870E-09,5.391250E-10
