#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='quantile-0.5', investigation_time=1.0, imt='SA(4.0)'"
lon,lat,depth,poe-0.0005000,poe-0.0006863,poe-0.0009420,poe-0.0012930,poe-0.0017748,poe-0.0024360,poe-0.0033437,poe-0.0045896,poe-0.0062996,poe-0.0086468,poe-0.0118686,poe-0.0162908,poe-0.0223607,poe-0.0306922,poe-0.0421280,poe-0.0578247,poe-0.0793701,poe-0.1089431,poe-0.1495349,poe-0.2052511,poe-0.2817269,poe-0.3866974,poe-0.5307795,poe-0.7285462,poe-1.0000000
-9.71787,38.60000,0.00000,2.866165E-01,2.400650E-01,1.961394E-01,1.555002E-01,1.194781E-01,8.924867E-02,6.229745E-02,4.253963E-02,2.894512E-02,2.002141E-02,1.461739E-02,1.032536E-02,7.435503E-03,5.150923E-03,3.621129E-03,2.534923E-03,1.661645E-03,9.955658E-04,5.323670E-04,2.485802E-04,9.945342E-05,3.356244E-05,9.433024E-06,2.185444E-06,4.135710E-07
-9.71787,38.70000,0.00000,2.817537E-01,2.357932E-01,1.924982E-01,1.525011E-01,1.170885E-01,8.563685E-02,5.926093E-02,4.030976E-02,2.733075E-02,1.933417E-02,1.428686E-02,9.930613E-03,7.063006E-03,4.985463E-03,3.559547E-03,2.498451E-03,1.643868E-03,9.896531E-04,5.322760E-04,2.501935E-04,1.008352E-04,3.429702E-05,9.719122E-06,2.270928E-06,4.335158E-07
-9.71787,38.80000,0.00000,2.780077E-01,2.325457E-01,1.897565E-01,1.502579E-01,1.153131E-01,8.428156E-02,5.830168E-02,3.963828E-02,2.686758E-02,1.916474E-02,1.419057E-02,9.889506E-03,6.987635E-03,5.040291E-03,3.612278E-03,2.547083E-03,1.685670E-03,1.022198E-03,5.545841E-04,2.633218E-04,1.073357E-04,3.696375E-05,1.061520E-05,2.515490E-06,4.873831E-07
-9.71787,38.90000,0.00000,2.735727E-01,2.286746E-01,1.864453E-01,1.474803E-01,1.130214E-01,8.322825E-02,5.766094E-02,3.928449E-02,2.670127E-02,1.855400E-02,1.367678E-02,9.673664E-03,7.034546E-03,4.894614E-03,3.469673E-03,2.442398E-03,1.621702E-03,9.874202E-04,5.382873E-04,2.569701E-04,1.053678E-04,3.651535E-05,1.055569E-05,2.518442E-06,4.913803E-07
-9.71787,39.00000,0.00000,2.578266E-01,2.148050E-01,1.744925E-01,1.374071E-01,1.046948E-01,7.737548E-02,5.355226E-02,3.635602E-02,2.464201E-02,1.686304E-02,1.195390E-02,8.432068E-03,6.087526E-03,4.321174E-03,3.035415E-03,2.047293E-03,1.323606E-03,7.782810E-04,4.125854E-04,1.931206E-04,7.831003E-05,2.707319E-05,7.874180E-06,1.905010E-06,3.795880E-07
-9.61787,38.50000,0.00000,2.900918E-01,2.429863E-01,1.985690E-01,1.575044E-01,1.211185E-01,9.057692E-02,6.315840E-02,4.305020E-02,2.922033E-02,2.015337E-02,1.488157E-02,1.036834E-02,7.412403E-03,5.164361E-03,3.676089E-03,2.567397E-03,1.678270E-03,1.002241E-03,5.339268E-04,2.482752E-04,9.889270E-05,3.322114E-05,9.294324E-06,2.143583E-06,4.038538E-07
-9.61787,38.60000,0.00000,2.893558E-01,2.423422E-01,1.980285E-01,1.570777E-01,1.207987E-01,8.822174E-02,6.102203E-02,4.145125E-02,2.802891E-02,1.999553E-02,1.460655E-02,1.026791E-02,7.080339E-03,5.113664E-03,3.642620E-03,2.550159E-03,1.673047E-03,1.003933E-03,5.379876E-04,2.518745E-04,1.010875E-04,3.423524E-05,9.659979E-06,2.247599E-06,4.273006E-07
-9.61787,38.70000,0.00000,2.846429E-01,2.381354E-01,1.943804E-01,1.540143E-01,1.183043E-01,8.807158E-02,6.095202E-02,4.143643E-02,2.805233E-02,1.948123E-02,1.437537E-02,9.973766E-03,7.159727E-03,5.020333E-03,3.580008E-03,2.512871E-03,1.654632E-03,9.975606E-04,5.376057E-04,2.533321E-04,1.024008E-04,3.494549E-05,9.939231E-06,2.331590E-06,4.469995E-07
-9.61787,38.80000,0.00000,2.800519E-01,2.340765E-01,1.908666E-01,1.510430E-01,1.158471E-01,8.428109E-02,5.824325E-02,3.954740E-02,2.676881E-02,1.882403E-02,1.385688E-02,9.609226E-03,6.976370E-03,4.840410E-03,3.431381E-03,2.409184E-03,1.590987E-03,9.627962E-04,5.212007E-04,2.468542E-04,1.003392E-04,3.444538E-05,9.857727E-06,2.327241E-06,4.490956E-07
-9.61787,38.90000,0.00000,2.732615E-01,2.281798E-01,1.858559E-01,1.468780E-01,1.124527E-01,8.156985E-02,5.623670E-02,3.807329E-02,2.568619E-02,1.792046E-02,1.314584E-02,9.143412E-03,6.633897E-03,4.588266E-03,3.255889E-03,2.256085E-03,1.493498E-03,9.065800E-04,4.925433E-04,2.342282E-04,9.562673E-05,3.298109E-05,9.484696E-06,2.250461E-06,4.365462E-07
-9.61787,39.00000,0.00000,2.574948E-01,2.143705E-01,1.740502E-01,1.370282E-01,1.044086E-01,7.679449E-02,5.287177E-02,3.577341E-02,2.415687E-02,1.665611E-02,1.165798E-02,8.325730E-03,5.994111E-03,4.187258E-03,2.954454E-03,2.004164E-03,1.287422E-03,7.617723E-04,4.082748E-04,1.929079E-04,7.818142E-05,2.678454E-05,7.837349E-06,1.908450E-06,3.828845E-07
-9.61787,39.10000,0.00000,2.509078E-01,2.086884E-01,1.692453E-01,1.330483E-01,1.011834E-01,7.234468E-02,4.936661E-02,3.304187E-02,2.210748E-02,1.536810E-02,1.118407E-02,7.676239E-03,5.583321E-03,3.911521E-03,2.775920E-03,1.922119E-03,1.277560E-03,7.790045E-04,4.252632E-04,2.032184E-04,8.335758E-05,2.887419E-05,8.335024E-06,1.983801E-06,3.857311E-07
-9.61787,39.20000,0.00000,2.450708E-01,2.035645E-01,1.647879E-01,1.292125E-01,9.690840E-02,6.873116E-02,4.728293E-02,3.197689E-02,2.157485E-02,1.490541E-02,1.032736E-02,7.475336E-03,5.327281E-03,3.749172E-03,2.660837E-03,1.808793E-03,1.172240E-03,7.002706E-04,3.803019E-04,1.819257E-04,7.471302E-05,2.590446E-05,7.595002E-06,1.867154E-06,3.780539E-07
-9.61787,39.30000,0.00000,2.394545E-01,1.986824E-01,1.595382E-01,1.222308E-01,9.002560E-02,6.394774E-02,4.417340E-02,3.002344E-02,2.032950E-02,1.385606E-02,9.611052E-03,6.830557E-03,4.912545E-03,3.497447E-03,2.447017E-03,1.679054E-03,1.083309E-03,6.504760E-04,3.507269E-04,1.667978E-04,6.877495E-05,2.417549E-05,7.156371E-06,1.761654E-06,3.569516E-07
-9.61787,39.40000,0.00000,2.145969E-01,1.749972E-01,1.385006E-01,1.058294E-01,7.802036E-02,5.574483E-02,3.893465E-02,2.686560E-02,1.850046E-02,1.281605E-02,8.977927E-03,6.396184E-03,4.578334E-03,3.300046E-03,2.309770E-03,1.576208E-03,1.027581E-03,6.171413E-04,3.327799E-04,1.575980E-04,6.515827E-05,2.283227E-05,6.685854E-06,1.618015E-06,3.206469E-07
-9.61787,39.50000,0.00000,2.086894E-01,1.701073E-01,1.345411E-01,1.026884E-01,7.557222E-02,5.386595E-02,3.751234E-02,2.580056E-02,1.770828E-02,1.222891E-02,8.544769E-03,6.072390E-03,4.353028E-03,3.137281E-03,2.177241E-03,1.488595E-03,9.716210E-04,5.849024E-04,3.164661E-04,1.503697E-04,6.258968E-05,2.209936E-05,6.525250E-06,1.593344E-06,3.188024E-07
-9.51787,38.50000,0.00000,2.926742E-01,2.451101E-01,2.002954E-01,1.589015E-01,1.222414E-01,8.991064E-02,6.218091E-02,4.221600E-02,2.851801E-02,2.013879E-02,1.479213E-02,1.030030E-02,7.151301E-03,5.085262E-03,3.609521E-03,2.518173E-03,1.645276E-03,9.824290E-04,5.234292E-04,2.434452E-04,9.699132E-05,3.258892E-05,9.118617E-06,2.103121E-06,3.961952E-07
-9.51787,38.60000,0.00000,2.870339E-01,2.400623E-01,1.959256E-01,1.552536E-01,1.192955E-01,8.914093E-02,6.172992E-02,4.192349E-02,2.833298E-02,1.956128E-02,1.440277E-02,9.964156E-03,7.143432E-03,4.990578E-03,3.545366E-03,2.479368E-03,1.625507E-03,9.749418E-04,5.222230E-04,2.443712E-04,9.801464E-05,3.316829E-05,9.349748E-06,2.172836E-06,4.125022E-07
-9.51787,38.70000,0.00000,2.873537E-01,2.403700E-01,1.962183E-01,1.555271E-01,1.195445E-01,8.792721E-02,6.081852E-02,4.131338E-02,2.794472E-02,1.966136E-02,1.449020E-02,1.003676E-02,7.159601E-03,5.048481E-03,3.598376E-03,2.527081E-03,1.665909E-03,1.006107E-03,5.434458E-04,2.567930E-04,1.041333E-04,3.566517E-05,1.018422E-05,2.399324E-06,4.621086E-07
-9.51787,38.80000,0.00000,2.792097E-01,2.331897E-01,1.900503E-01,1.503761E-01,1.153561E-01,8.511886E-02,5.883411E-02,3.994815E-02,2.703313E-02,1.876386E-02,1.380142E-02,9.699740E-03,7.048917E-03,4.875648E-03,3.464221E-03,2.422848E-03,1.601631E-03,9.707617E-04,5.266159E-04,2.500632E-04,1.019502E-04,3.511750E-05,1.008769E-05,2.391169E-06,4.634364E-07
-9.51787,38.90000,0.00000,2.701344E-01,2.251796E-01,1.831128E-01,1.444796E-01,1.104229E-01,8.194444E-02,5.663979E-02,3.833080E-02,2.584907E-02,1.783503E-02,1.240914E-02,9.034622E-03,6.326850E-03,4.534346E-03,3.088929E-03,2.127778E-03,1.367974E-03,8.210199E-04,4.439500E-04,2.099625E-04,8.518027E-05,2.916942E-05,8.322474E-06,1.957721E-06,3.762217E-07
-9.51787,39.00000,0.00000,2.602203E-01,2.165647E-01,1.757926E-01,1.383935E-01,1.054601E-01,7.795837E-02,5.357679E-02,3.615525E-02,2.433113E-02,1.676329E-02,1.164693E-02,8.355464E-03,5.950200E-03,4.177525E-03,2.928327E-03,1.994907E-03,1.281037E-03,7.618858E-04,4.120959E-04,1.951290E-04,7.928309E-05,2.727147E-05,8.018047E-06,1.961726E-06,3.954613E-07
-9.51787,39.10000,0.00000,2.541838E-01,2.114053E-01,1.714710E-01,1.348449E-01,1.026047E-01,7.314280E-02,4.999061E-02,3.350033E-02,2.236526E-02,1.552738E-02,1.128445E-02,7.730519E-03,5.616688E-03,3.926494E-03,2.788448E-03,1.931328E-03,1.284818E-03,7.844896E-04,4.290266E-04,2.054685E-04,8.449725E-05,2.935383E-05,8.500539E-06,2.030196E-06,3.962227E-07
-9.51787,39.20000,0.00000,2.464349E-01,2.046218E-01,1.656104E-01,1.292125E-01,9.522241E-02,6.756886E-02,4.656976E-02,3.157901E-02,2.136348E-02,1.468735E-02,1.033836E-02,7.476836E-03,5.320461E-03,3.749273E-03,2.671723E-03,1.815521E-03,1.180375E-03,7.072244E-04,3.836319E-04,1.836507E-04,7.558645E-05,2.627368E-05,7.772515E-06,1.917099E-06,3.895156E-07
-9.51787,39.30000,0.00000,2.399518E-01,1.971493E-01,1.562168E-01,1.193019E-01,8.770301E-02,6.231831E-02,4.317470E-02,2.949218E-02,2.008191E-02,1.374867E-02,9.516854E-03,6.795828E-03,4.884179E-03,3.482299E-03,2.435123E-03,1.673009E-03,1.079748E-03,6.504994E-04,3.506370E-04,1.671095E-04,6.907378E-05,2.434922E-05,7.228291E-06,1.784855E-06,3.628105E-07
-9.51787,39.40000,0.00000,2.126416E-01,1.731931E-01,1.368655E-01,1.043726E-01,7.674075E-02,5.463463E-02,3.798374E-02,2.606354E-02,1.783573E-02,1.227520E-02,8.546305E-03,6.056717E-03,4.364993E-03,3.154109E-03,2.253938E-03,1.549727E-03,1.013144E-03,6.132150E-04,3.351643E-04,1.602855E-04,6.644997E-05,2.336080E-05,6.866584E-06,1.668984E-06,3.323888E-07
-9.51787,39.50000,0.00000,2.079329E-01,1.691711E-01,1.335150E-01,1.016554E-01,7.459616E-02,5.298338E-02,3.673477E-02,2.512374E-02,1.712175E-02,1.172253E-02,8.111295E-03,5.707083E-03,4.075273E-03,2.908087E-03,2.071844E-03,1.426904E-03,9.271289E-04,5.608256E-04,3.048823E-04,1.459769E-04,6.068001E-05,2.137524E-05,6.289666E-06,1.528578E-06,3.039641E-07
-9.51787,39.60000,0.00000,2.032153E-01,1.654666E-01,1.307078E-01,9.960371E-02,7.315417E-02,5.202463E-02,3.616003E-02,2.485367E-02,1.700803E-02,1.168579E-02,8.118042E-03,5.690670E-03,4.015950E-03,2.810395E-03,1.940678E-03,1.308116E-03,8.495857E-04,5.146536E-04,2.803948E-04,1.346376E-04,5.622528E-05,1.990859E-05,5.890696E-06,1.439995E-06,2.881035E-07
-9.41787,38.20000,0.00000,2.961028E-01,2.481835E-01,2.028701E-01,1.608882E-01,1.236482E-01,9.238919E-02,6.542813E-02,4.439350E-02,2.994067E-02,2.049553E-02,1.496523E-02,1.040228E-02,7.329416E-03,5.077577E-03,3.594555E-03,2.489055E-03,1.608672E-03,9.470955E-04,4.960420E-04,2.262060E-04,8.817641E-05,2.893881E-05,7.899271E-06,1.775672E-06,3.257262E-07
-9.41787,38.30000,0.00000,2.976475E-01,2.494308E-01,2.038891E-01,1.617484E-01,1.243945E-01,9.303709E-02,6.528662E-02,4.434699E-02,2.995033E-02,2.053554E-02,1.505936E-02,1.045867E-02,7.390739E-03,5.110554E-03,3.618729E-03,2.511948E-03,1.629910E-03,9.647553E-04,5.086438E-04,2.337461E-04,9.190418E-05,3.044598E-05,8.393829E-06,1.906636E-06,3.535888E-07
