#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.71787,38.60000,1.070862E-01,2.083878E-01,1.465908E-01,2.989278E-01,2.185072E-01,4.456259E-01,2.394504E-01,4.872226E-01,2.344410E-01,4.736713E-01,2.264187E-01,4.439795E-01,2.127417E-01,4.029884E-01,2.043619E-01,3.789245E-01,1.946002E-01,3.537855E-01,1.608538E-01,2.951196E-01,1.435382E-01,2.672939E-01,1.083549E-01,2.049161E-01,1.033605E-01,2.007678E-01,6.627496E-02,1.456464E-01,8.322501E-02,2.009475E-01,6.056963E-02,1.528030E-01
-9.71787,38.70000,1.055428E-01,2.090798E-01,1.449352E-01,3.029655E-01,2.160415E-01,4.503626E-01,2.367617E-01,4.917373E-01,2.317859E-01,4.713574E-01,2.233259E-01,4.385828E-01,2.096187E-01,3.979353E-01,2.010717E-01,3.739626E-01,1.913282E-01,3.490490E-01,1.581183E-01,2.911643E-01,1.408763E-01,2.630094E-01,1.062003E-01,2.016587E-01,1.009127E-01,1.972847E-01,6.443381E-02,1.434012E-01,8.087537E-02,1.991468E-01,5.867840E-02,1.514772E-01
-9.71787,38.80000,1.046001E-01,2.097605E-01,1.439069E-01,3.057354E-01,2.142476E-01,4.536169E-01,2.346018E-01,4.888191E-01,2.295592E-01,4.685340E-01,2.210810E-01,4.356275E-01,2.077366E-01,3.954522E-01,1.994070E-01,3.717886E-01,1.899195E-01,3.472949E-01,1.569497E-01,2.895463E-01,1.396747E-01,2.611707E-01,1.051062E-01,2.000276E-01,9.994623E-02,1.959097E-01,6.392622E-02,1.428995E-01,8.088488E-02,2.006813E-01,5.837100E-02,1.518298E-01
-9.71787,38.90000,1.042014E-01,2.055217E-01,1.436418E-01,2.977772E-01,2.133149E-01,4.415604E-01,2.330581E-01,4.804024E-01,2.278812E-01,4.665489E-01,2.195010E-01,4.339297E-01,2.066766E-01,3.944199E-01,1.987526E-01,3.713690E-01,1.896047E-01,3.474520E-01,1.566897E-01,2.896812E-01,1.393614E-01,2.610526E-01,1.046598E-01,1.995016E-01,9.987663E-02,1.962011E-01,6.429300E-02,1.441431E-01,8.250182E-02,2.058686E-01,5.921346E-02,1.544008E-01
-9.71787,39.00000,9.898164E-02,1.863502E-01,1.338546E-01,2.621705E-01,2.017997E-01,3.921272E-01,2.254902E-01,4.317257E-01,2.223608E-01,4.235133E-01,2.142887E-01,4.034064E-01,2.008326E-01,3.726296E-01,1.925402E-01,3.564290E-01,1.827506E-01,3.351926E-01,1.515554E-01,2.816805E-01,1.357924E-01,2.560618E-01,1.020144E-01,1.956556E-01,9.625144E-02,1.916755E-01,5.949120E-02,1.401799E-01,7.361825E-02,1.982547E-01,5.290429E-02,1.496946E-01
-9.61787,38.50000,1.083311E-01,2.131823E-01,1.485617E-01,3.074949E-01,2.220155E-01,4.599817E-01,2.436499E-01,5.014706E-01,2.385918E-01,4.810042E-01,2.301020E-01,4.476404E-01,2.153791E-01,4.053944E-01,2.062453E-01,3.803647E-01,1.960188E-01,3.546352E-01,1.619334E-01,2.957518E-01,1.444699E-01,2.679283E-01,1.092533E-01,2.056701E-01,1.037995E-01,2.008934E-01,6.617557E-02,1.450869E-01,8.238342E-02,1.982052E-01,6.013516E-02,1.514475E-01
-9.61787,38.60000,1.070813E-01,2.153227E-01,1.474412E-01,3.254708E-01,2.202620E-01,4.750144E-01,2.415349E-01,4.991733E-01,2.364251E-01,4.781920E-01,2.274315E-01,4.440891E-01,2.126451E-01,4.017203E-01,2.033273E-01,3.764057E-01,1.931148E-01,3.507144E-01,1.594890E-01,2.923432E-01,1.420276E-01,2.640763E-01,1.072545E-01,2.026899E-01,1.015219E-01,1.975630E-01,6.440868E-02,1.428093E-01,8.008184E-02,1.961942E-01,5.825593E-02,1.500128E-01
-9.61787,38.70000,1.062864E-01,2.133081E-01,1.464818E-01,3.236462E-01,2.184968E-01,4.696150E-01,2.393239E-01,4.935270E-01,2.342571E-01,4.729946E-01,2.253206E-01,4.395363E-01,2.111308E-01,3.984402E-01,2.022801E-01,3.742121E-01,1.924830E-01,3.493921E-01,1.589861E-01,2.913500E-01,1.415026E-01,2.629543E-01,1.066471E-01,2.015086E-01,1.013254E-01,1.973281E-01,6.469475E-02,1.437897E-01,8.156393E-02,2.009708E-01,5.902317E-02,1.523458E-01
-9.61787,38.80000,1.052636E-01,2.121105E-01,1.453108E-01,3.223473E-01,2.165250E-01,4.672323E-01,2.370564E-01,4.905329E-01,2.320459E-01,4.701271E-01,2.229281E-01,4.365594E-01,2.089708E-01,3.958614E-01,2.002181E-01,3.718687E-01,1.905533E-01,3.473525E-01,1.573793E-01,2.895106E-01,1.399498E-01,2.609371E-01,1.053095E-01,1.997759E-01,9.998863E-02,1.957565E-01,6.391836E-02,1.431582E-01,8.116256E-02,2.023347E-01,5.850172E-02,1.526367E-01
-9.61787,38.90000,1.037456E-01,2.105174E-01,1.436070E-01,3.173592E-01,2.140032E-01,4.649584E-01,2.344321E-01,4.879757E-01,2.293936E-01,4.677344E-01,2.200312E-01,4.335718E-01,2.061064E-01,3.926365E-01,1.972179E-01,3.681728E-01,1.876047E-01,3.436033E-01,1.549262E-01,2.859595E-01,1.374852E-01,2.571785E-01,1.033206E-01,1.966196E-01,9.767230E-02,1.921718E-01,6.186917E-02,1.401106E-01,7.833662E-02,1.983952E-01,5.599885E-02,1.497690E-01
