#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='quantile-0.5', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.109979E-01,1.521794E-01,2.278883E-01,2.501000E-01,2.451093E-01,2.357618E-01,2.221618E-01,2.141547E-01,2.043266E-01,1.693296E-01,1.514098E-01,1.147854E-01,1.099448E-01,7.105589E-02,9.025060E-02,6.647164E-02,2.178446E-01,3.285154E-01,4.772079E-01,5.034141E-01,4.835732E-01,4.522744E-01,4.111112E-01,3.871064E-01,3.621479E-01,3.028450E-01,2.770201E-01,2.120228E-01,2.122714E-01,1.580872E-01,2.209056E-01,1.677161E-01
-9.71787,38.70000,1.118903E-01,1.548786E-01,2.316038E-01,2.527559E-01,2.475400E-01,2.371250E-01,2.212643E-01,2.121472E-01,2.019486E-01,1.674229E-01,1.496417E-01,1.132491E-01,1.080170E-01,7.038729E-02,8.988439E-02,6.582864E-02,2.153943E-01,3.248632E-01,4.723453E-01,4.989051E-01,4.803678E-01,4.497072E-01,4.093635E-01,3.861774E-01,3.619832E-01,3.033055E-01,2.768336E-01,2.116333E-01,2.110303E-01,1.573222E-01,2.220554E-01,1.678734E-01
-9.71787,38.80000,1.120493E-01,1.559830E-01,2.323316E-01,2.524056E-01,2.468386E-01,2.362560E-01,2.205721E-01,2.116486E-01,2.009844E-01,1.670149E-01,1.488907E-01,1.126302E-01,1.076799E-01,7.081032E-02,9.195272E-02,6.693203E-02,2.149749E-01,3.239716E-01,4.713913E-01,4.968776E-01,4.787865E-01,4.483089E-01,4.087872E-01,3.864668E-01,3.632972E-01,3.041881E-01,2.772747E-01,2.114700E-01,2.114638E-01,1.587121E-01,2.276172E-01,1.710975E-01
-9.71787,38.90000,1.081043E-01,1.498824E-01,2.231651E-01,2.437715E-01,2.385239E-01,2.303374E-01,2.173534E-01,2.097160E-01,2.007181E-01,1.660813E-01,1.480450E-01,1.118304E-01,1.070891E-01,6.879420E-02,8.964293E-02,6.487044E-02,2.142727E-01,3.240578E-01,4.700993E-01,4.956597E-01,4.764040E-01,4.449178E-01,4.047739E-01,3.814878E-01,3.575167E-01,2.983738E-01,2.712035E-01,2.068742E-01,2.073187E-01,1.558445E-01,2.258152E-01,1.690922E-01
-9.71787,39.00000,1.063133E-01,1.458161E-01,2.174980E-01,2.391044E-01,2.347720E-01,2.271417E-01,2.140741E-01,2.061881E-01,1.968829E-01,1.621083E-01,1.434317E-01,1.086545E-01,1.010194E-01,6.330632E-02,7.963744E-02,5.654650E-02,2.100693E-01,3.195707E-01,4.630205E-01,4.893617E-01,4.738401E-01,4.418845E-01,4.003289E-01,3.767272E-01,3.528479E-01,2.946985E-01,2.658881E-01,2.038154E-01,1.966182E-01,1.416881E-01,2.009975E-01,1.508525E-01
-9.61787,38.50000,1.157010E-01,1.599513E-01,2.395997E-01,2.626889E-01,2.573767E-01,2.459343E-01,2.288191E-01,2.182195E-01,2.060315E-01,1.713893E-01,1.532085E-01,1.164305E-01,1.105371E-01,7.202470E-02,9.067553E-02,6.704398E-02,2.192399E-01,3.301273E-01,4.812283E-01,5.079241E-01,4.899310E-01,4.594580E-01,4.180370E-01,3.939269E-01,3.691442E-01,3.089949E-01,2.830638E-01,2.166413E-01,2.151499E-01,1.590898E-01,2.204235E-01,1.678147E-01
-9.61787,38.60000,1.189579E-01,1.672562E-01,2.496461E-01,2.719558E-01,2.654322E-01,2.517631E-01,2.331900E-01,2.206256E-01,2.071622E-01,1.716437E-01,1.524719E-01,1.160032E-01,1.102723E-01,7.183231E-02,9.083951E-02,6.679028E-02,2.208995E-01,3.309614E-01,4.851886E-01,5.272334E-01,5.127679E-01,4.775348E-01,4.306180E-01,4.027587E-01,3.762589E-01,3.138022E-01,2.862644E-01,2.185553E-01,2.154210E-01,1.590324E-01,2.223067E-01,1.685206E-01
-9.61787,38.70000,1.193468E-01,1.687705E-01,2.517753E-01,2.738739E-01,2.670987E-01,2.525673E-01,2.334743E-01,2.203972E-01,2.068251E-01,1.713651E-01,1.517326E-01,1.154638E-01,1.093944E-01,7.104635E-02,9.044708E-02,6.613223E-02,2.219901E-01,3.285215E-01,4.897570E-01,5.311618E-01,5.177548E-01,4.812944E-01,4.329810E-01,4.037831E-01,3.769027E-01,3.140074E-01,2.855513E-01,2.178226E-01,2.139343E-01,1.582423E-01,2.233999E-01,1.686438E-01
-9.61787,38.80000,1.183318E-01,1.680965E-01,2.504250E-01,2.717496E-01,2.648091E-01,2.499855E-01,2.308136E-01,2.176863E-01,2.043287E-01,1.695099E-01,1.502355E-01,1.139439E-01,1.078453E-01,6.927677E-02,8.817302E-02,6.409951E-02,2.213084E-01,3.283604E-01,4.900576E-01,5.305976E-01,5.169686E-01,4.794350E-01,4.308011E-01,4.010945E-01,3.740885E-01,3.115496E-01,2.822987E-01,2.153330E-01,2.107444E-01,1.555523E-01,2.214825E-01,1.665798E-01
-9.61787,38.90000,1.141426E-01,1.618624E-01,2.409268E-01,2.612155E-01,2.547564E-01,2.410820E-01,2.226319E-01,2.113328E-01,2.000421E-01,1.657535E-01,1.475029E-01,1.113726E-01,1.058378E-01,6.667125E-02,8.438870E-02,6.098536E-02,2.157465E-01,3.257620E-01,4.749368E-01,5.142117E-01,5.000569E-01,4.629384E-01,4.174166E-01,3.899262E-01,3.639981E-01,3.036899E-01,2.742614E-01,2.094914E-01,2.051227E-01,1.512348E-01,2.170630E-01,1.627095E-01
