#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,6.664280E-01,5.931761E-01,5.141864E-01,4.322619E-01,3.507821E-01,2.740373E-01,2.061809E-01,1.495952E-01,1.045700E-01,7.016820E-02,4.503329E-02,2.764290E-02,1.629542E-02,9.259944E-03,5.053051E-03,2.609065E-03,1.249954E-03,5.461781E-04,2.140366E-04,7.375210E-05,2.165937E-05,5.179644E-06,9.427102E-07,1.141689E-07,7.400861E-09
-9.71787,38.70000,0.00000,6.530838E-01,5.800527E-01,5.021605E-01,4.218470E-01,3.422063E-01,2.673920E-01,2.013682E-01,1.463049E-01,1.023983E-01,6.877281E-02,4.416122E-02,2.710046E-02,1.594052E-02,9.005630E-03,4.858842E-03,2.462006E-03,1.145828E-03,4.795465E-04,1.768047E-04,5.607647E-05,1.478394E-05,3.089410E-06,4.765511E-07,4.900549E-08,3.261973E-09
-9.71787,38.80000,0.00000,6.414610E-01,5.684872E-01,4.913336E-01,4.120889E-01,3.336884E-01,2.603289E-01,1.958489E-01,1.421961E-01,9.946376E-02,6.675189E-02,4.283998E-02,2.629723E-02,1.549269E-02,8.779546E-03,4.756788E-03,2.421318E-03,1.130928E-03,4.740243E-04,1.746006E-04,5.517008E-05,1.443581E-05,2.970694E-06,4.409017E-07,4.206279E-08,2.442306E-09
-9.71787,38.90000,0.00000,6.276416E-01,5.552966E-01,4.793223E-01,4.014807E-01,3.244990E-01,2.525180E-01,1.894283E-01,1.371553E-01,9.573098E-02,6.418199E-02,4.120778E-02,2.533958E-02,1.497129E-02,8.514985E-03,4.632583E-03,2.367621E-03,1.109062E-03,4.649232E-04,1.704633E-04,5.319901E-05,1.358952E-05,2.669751E-06,3.609844E-07,2.769121E-08,1.037700E-09
-9.71787,39.00000,0.00000,6.123533E-01,5.407450E-01,4.659018E-01,3.894055E-01,3.139591E-01,2.436393E-01,1.821774E-01,1.313952E-01,9.132595E-02,6.102865E-02,3.915106E-02,2.413907E-02,1.434700E-02,8.226387E-03,4.516879E-03,2.332232E-03,1.105310E-03,4.694973E-04,1.746921E-04,5.543167E-05,1.442220E-05,2.893692E-06,3.981606E-07,3.070492E-08,5.645309E-10
-9.61787,38.50000,0.00000,6.799012E-01,6.073633E-01,5.282369E-01,4.456127E-01,3.631298E-01,2.851275E-01,2.157193E-01,1.574001E-01,1.106334E-01,7.460508E-02,4.802296E-02,2.944803E-02,1.724921E-02,9.685882E-03,5.197943E-03,2.628364E-03,1.226472E-03,5.173428E-04,1.933728E-04,6.253877E-05,1.689043E-05,3.616382E-06,5.661480E-07,5.701703E-08,3.448739E-09
-9.61787,38.60000,0.00000,6.673261E-01,5.947255E-01,5.165598E-01,4.356951E-01,3.553519E-01,2.794883E-01,2.119569E-01,1.550602E-01,1.092128E-01,7.370701E-02,4.741585E-02,2.901775E-02,1.693367E-02,9.450329E-03,5.027127E-03,2.514552E-03,1.157720E-03,4.795825E-04,1.749627E-04,5.504181E-05,1.458680E-05,3.155760E-06,5.269030E-07,6.324772E-08,4.229118E-09
-9.61787,38.70000,0.00000,6.553033E-01,5.827733E-01,5.055804E-01,4.262323E-01,3.475812E-01,2.733798E-01,2.073954E-01,1.518100E-01,1.069394E-01,7.212068E-02,4.632008E-02,2.828258E-02,1.646068E-02,9.164292E-03,4.869813E-03,2.436361E-03,1.121171E-03,4.629202E-04,1.678657E-04,5.258744E-05,1.401017E-05,3.094291E-06,5.376213E-07,6.614800E-08,4.527154E-09
-9.61787,38.80000,0.00000,6.422042E-01,5.699707E-01,4.938494E-01,4.159531E-01,3.388601E-01,2.662846E-01,2.018743E-01,1.476698E-01,1.039401E-01,7.002473E-02,4.493672E-02,2.743815E-02,1.599004E-02,8.926710E-03,4.761559E-03,2.391882E-03,1.104381E-03,4.566091E-04,1.653582E-04,5.150689E-05,1.357208E-05,2.950093E-06,5.017977E-07,6.106396E-08,4.239223E-09
-9.61787,38.90000,0.00000,6.291327E-01,5.572239E-01,4.820273E-01,4.053497E-01,3.295886E-01,2.583987E-01,1.953769E-01,1.425023E-01,1.000444E-01,6.730148E-02,4.318677E-02,2.639480E-02,1.540390E-02,8.614042E-03,4.604898E-03,2.318800E-03,1.071989E-03,4.422416E-04,1.586294E-04,4.835603E-05,1.226392E-05,2.512442E-06,3.936489E-07,4.350277E-08,2.722282E-09
-9.61787,39.00000,0.00000,6.141211E-01,5.429462E-01,4.689353E-01,3.936215E-01,3.192738E-01,2.494856E-01,1.878403E-01,1.363172E-01,9.519323E-02,6.376290E-02,4.083150E-02,2.497142E-02,1.460830E-02,8.189516E-03,4.383642E-03,2.207460E-03,1.018990E-03,4.183252E-04,1.482524E-04,4.401473E-05,1.063600E-05,2.015051E-06,2.812384E-07,2.722483E-08,1.415198E-09
-9.61787,39.10000,0.00000,6.008080E-01,5.299488E-01,4.565639E-01,3.820310E-01,3.086794E-01,2.401679E-01,1.799525E-01,1.298277E-01,9.000099E-02,5.979595E-02,3.801543E-02,2.315607E-02,1.355615E-02,7.635365E-03,4.110303E-03,2.076274E-03,9.577533E-04,3.920846E-04,1.383757E-04,4.074797E-05,9.595198E-06,1.688667E-06,1.969924E-07,1.235012E-08,5.068054E-10
-9.61787,39.20000,0.00000,5.857006E-01,5.155779E-01,4.432113E-01,3.697718E-01,2.976612E-01,2.305730E-01,1.718407E-01,1.231830E-01,8.480320E-02,5.598801E-02,3.545951E-02,2.159623E-02,1.267882E-02,7.165043E-03,3.861126E-03,1.945917E-03,8.933708E-04,3.633077E-04,1.270902E-04,3.690633E-05,8.462586E-06,1.420292E-06,1.489322E-07,6.887190E-09,2.275492E-10
-9.61787,39.30000,0.00000,5.711436E-01,5.014964E-01,4.297617E-01,3.570492E-01,2.859737E-01,2.203557E-01,1.633802E-01,1.165521E-01,7.993506E-02,5.267732E-02,3.337932E-02,2.037177E-02,1.199051E-02,6.790486E-03,3.661911E-03,1.841549E-03,8.405267E-04,3.388258E-04,1.172055E-04,3.363220E-05,7.607674E-06,1.251803E-06,1.260834E-07,4.503223E-09,1.244698E-10
-9.61787,39.40000,0.00000,5.525262E-01,4.842757E-01,4.140510E-01,3.428921E-01,2.734162E-01,2.094650E-01,1.543348E-01,1.095364E-01,7.491950E-02,4.935636E-02,3.131194E-02,1.915549E-02,1.131946E-02,6.445368E-03,3.495437E-03,1.765560E-03,8.084680E-04,3.274900E-04,1.146403E-04,3.373956E-05,7.982931E-06,1.404125E-06,1.567098E-07,6.567832E-09,6.896027E-11
-9.61787,39.50000,0.00000,5.403166E-01,4.721765E-01,4.019118E-01,3.307820E-01,2.617095E-01,1.987749E-01,1.453003E-01,1.025143E-01,6.984992E-02,4.593725E-02,2.915949E-02,1.790411E-02,1.065718E-02,6.132173E-03,3.371375E-03,1.737909E-03,8.235794E-04,3.532498E-04,1.354727E-04,4.595104E-05,1.353406E-05,3.337436E-06,6.428593E-07,8.503576E-08,5.124021E-09
-9.51787,38.50000,0.00000,6.803612E-01,6.084511E-01,5.300264E-01,4.482447E-01,3.667015E-01,2.895008E-01,2.204917E-01,1.620192E-01,1.145912E-01,7.759569E-02,4.999841E-02,3.057290E-02,1.778226E-02,9.877608E-03,5.233622E-03,2.613637E-03,1.204933E-03,5.013580E-04,1.843050E-04,5.865997E-05,1.580409E-05,3.480290E-06,5.911332E-07,7.010786E-08,4.558038E-09
-9.51787,38.60000,0.00000,6.684400E-01,5.964568E-01,5.191224E-01,4.393823E-01,3.602071E-01,2.851027E-01,2.176755E-01,1.602640E-01,1.134340E-01,7.674360E-02,4.934682E-02,3.011764E-02,1.751332E-02,9.747630E-03,5.184303E-03,2.601910E-03,1.206151E-03,5.047048E-04,1.867525E-04,5.993828E-05,1.631193E-05,3.631562E-06,6.214507E-07,7.378989E-08,4.955654E-09
-9.51787,38.70000,0.00000,6.565369E-01,5.845430E-01,5.081641E-01,4.299986E-01,3.525611E-01,2.791146E-01,2.132056E-01,1.570290E-01,1.110808E-01,7.501170E-02,4.811686E-02,2.932238E-02,1.705742E-02,9.516218E-03,5.081676E-03,2.564603E-03,1.196539E-03,5.040438E-04,1.876829E-04,6.054489E-05,1.653058E-05,3.689816E-06,6.345842E-07,7.558479E-08,5.323226E-09
-9.51787,38.80000,0.00000,6.437274E-01,5.719531E-01,4.966276E-01,4.199540E-01,3.440937E-01,2.721718E-01,2.076671E-01,1.527513E-01,1.078971E-01,7.276037E-02,4.663769E-02,2.843193E-02,1.656500E-02,9.265723E-03,4.967024E-03,2.519917E-03,1.183170E-03,5.012993E-04,1.873398E-04,6.044455E-05,1.644735E-05,3.652637E-06,6.280786E-07,7.525266E-08,5.555320E-09
-9.51787,38.90000,0.00000,6.298248E-01,5.584626E-01,4.841284E-01,4.087102E-01,3.342227E-01,2.637724E-01,2.007431E-01,1.472370E-01,1.037453E-01,6.986708E-02,4.477946E-02,2.731758E-02,1.593251E-02,8.925444E-03,4.796380E-03,2.441727E-03,1.150133E-03,4.878005E-04,1.817077E-04,5.807784E-05,1.555900E-05,3.385124E-06,5.703499E-07,6.778201E-08,5.101537E-09
-9.51787,39.00000,0.00000,6.155262E-01,5.447798E-01,4.715344E-01,3.973852E-01,3.241789E-01,2.549594E-01,1.931479E-01,1.408975E-01,9.872044E-02,6.617053E-02,4.227955E-02,2.574731E-02,1.499707E-02,8.389490E-03,4.501136E-03,2.286999E-03,1.073580E-03,4.519640E-04,1.659695E-04,5.180804E-05,1.341216E-05,2.788985E-06,4.431657E-07,4.926712E-08,3.433055E-09
-9.51787,39.10000,0.00000,6.024733E-01,5.319882E-01,4.594163E-01,3.860458E-01,3.137017E-01,2.455507E-01,1.850146E-01,1.341050E-01,9.324302E-02,6.196982E-02,3.927348E-02,2.375907E-02,1.376624E-02,7.658561E-03,4.078739E-03,2.050857E-03,9.487427E-04,3.912204E-04,1.393541E-04,4.156748E-05,1.007882E-05,1.911635E-06,2.677781E-07,2.565983E-08,1.322065E-09
-9.51787,39.20000,0.00000,5.870917E-01,5.173172E-01,4.457939E-01,3.735165E-01,3.023430E-01,2.355563E-01,1.765205E-01,1.271407E-01,8.778616E-02,5.795762E-02,3.654464E-02,2.203598E-02,1.273506E-02,7.059895E-03,3.738335E-03,1.862913E-03,8.503657E-04,3.438479E-04,1.190717E-04,3.416110E-05,7.865990E-06,1.394220E-06,1.795395E-07,1.543640E-08,5.676469E-10
-9.51787,39.30000,0.00000,5.707442E-01,5.017218E-01,4.311891E-01,3.600047E-01,2.901102E-01,2.248295E-01,1.674723E-01,1.199075E-01,8.241645E-02,5.427941E-02,3.420160E-02,2.062177E-02,1.191515E-02,6.598860E-03,3.484574E-03,1.725521E-03,7.783948E-04,3.089091E-04,1.041248E-04,2.879946E-05,6.317793E-06,1.054955E-06,1.243392E-07,9.127882E-09,2.715458E-10
-9.51787,39.40000,0.00000,5.537126E-01,4.859473E-01,4.164447E-01,3.461291E-01,2.773202E-01,2.135677E-01,1.581196E-01,1.126493E-01,7.719690E-02,5.079450E-02,3.202383E-02,1.933717E-02,1.119408E-02,6.208521E-03,3.275264E-03,1.612513E-03,7.189252E-04,2.803246E-04,9.223667E-05,2.468064E-05,5.162726E-06,8.028742E-07,8.606048E-08,5.552652E-09,1.452791E-10
-9.51787,39.50000,0.00000,5.420451E-01,4.743005E-01,4.047150E-01,3.343499E-01,2.657420E-01,2.027021E-01,1.486563E-01,1.051002E-01,7.164009E-02,4.699067E-02,2.959065E-02,1.788679E-02,1.038810E-02,5.781493E-03,3.050735E-03,1.494270E-03,6.595613E-04,2.539167E-04,8.233813E-05,2.162630E-05,4.383279E-06,6.419446E-07,6.121941E-08,3.697657E-09,8.543925E-11
-9.51787,39.60000,0.00000,5.292264E-01,4.616543E-01,3.920397E-01,3.217879E-01,2.538194E-01,1.920966E-01,1.398535E-01,9.823367E-02,6.658147E-02,4.348678E-02,2.733801E-02,1.656113E-02,9.674490E-03,5.425018E-03,2.880613E-03,1.415196E-03,6.253793E-04,2.420378E-04,7.980362E-05,2.171917E-05,4.656694E-06,7.264844E-07,7.123249E-08,2.672282E-09,6.354291E-11
-9.41787,38.20000,0.00000,7.146248E-01,6.452075E-01,5.660262E-01,4.803493E-01,3.926674E-01,3.083474E-01,2.326093E-01,1.688945E-01,1.181026E-01,7.931919E-02,5.086954E-02,3.099118E-02,1.790964E-02,9.833952E-03,5.124840E-03,2.514001E-03,1.143638E-03,4.738581E-04,1.751954E-04,5.631709E-05,1.519794E-05,3.281311E-06,5.327471E-07,5.849074E-08,3.838565E-09
-9.41787,38.30000,0.00000,7.042546E-01,6.340060E-01,5.550988E-01,4.708178E-01,3.853927E-01,3.037177E-01,2.304445E-01,1.685548E-01,1.187688E-01,8.026291E-02,5.166705E-02,3.153557E-02,1.826107E-02,1.006403E-02,5.274124E-03,2.603152E-03,1.189059E-03,4.927038E-04,1.815049E-04,5.808270E-05,1.569941E-05,3.447180E-06,5.769991E-07,6.740370E-08,4.322743E-09
-9.41787,38.40000,0.00000,6.929160E-01,6.220815E-01,5.437447E-01,4.611616E-01,3.781461E-01,2.990679E-01,2.280770E-01,1.677921E-01,1.188243E-01,8.053958E-02,5.189067E-02,3.167494E-02,1.836363E-02,1.015880E-02,5.359754E-03,2.667396E-03,1.228156E-03,5.120368E-04,1.893600E-04,6.082863E-05,1.655078E-05,3.665504E-06,6.199584E-07,7.236292E-08,4.589829E-09
-9.41787,38.50000,0.00000,6.809783E-01,6.097425E-01,5.321836E-01,4.514813E-01,3.709522E-01,2.943094E-01,2.252905E-01,1.663115E-01,1.180113E-01,8.000749E-02,5.151480E-02,3.145741E-02,1.829170E-02,1.017614E-02,5.410359E-03,2.718716E-03,1.265904E-03,5.341799E-04,1.998784E-04,6.482057E-05,1.771991E-05,3.922029E-06,6.588840E-07,7.644041E-08,4.983710E-09
-9.41787,38.60000,0.00000,6.693762E-01,5.977276E-01,5.206497E-01,4.412061E-01,3.625121E-01,2.879914E-01,2.209419E-01,1.633954E-01,1.159584E-01,7.849105E-02,5.046124E-02,3.082937E-02,1.797931E-02,1.005075E-02,5.379496E-03,2.728496E-03,1.286410E-03,5.507593E-04,2.089909E-04,6.848521E-05,1.880619E-05,4.160830E-06,7.004107E-07,8.039346E-08,5.648261E-09
