#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0005000,poe-0.0007339,poe-0.0010772,poe-0.0015811,poe-0.0023208,poe-0.0034065,poe-0.0050000,poe-0.0073390,poe-0.0107722,poe-0.0158114,poe-0.0232079,poe-0.0340646,poe-0.0500000,poe-0.0733900,poe-0.1077217,poe-0.1581139,poe-0.2320794,poe-0.3406460,poe-0.5000000,poe-0.7338996,poe-1.0772173,poe-1.5811388,poe-2.3207944,poe-3.4064603,poe-5.0000000
-9.71787,38.60000,0.00000,6.695468E-01,5.926207E-01,5.092429E-01,4.227656E-01,3.372628E-01,2.578251E-01,1.890318E-01,1.330176E-01,8.961164E-02,5.752382E-02,3.509323E-02,2.039861E-02,1.135582E-02,6.050561E-03,3.043424E-03,1.413059E-03,5.927755E-04,2.202758E-04,7.086567E-05,1.903809E-05,4.041584E-06,6.222772E-07,5.929231E-08,2.025723E-09,3.713321E-12
-9.71787,38.70000,0.00000,6.564240E-01,5.796576E-01,4.974203E-01,4.126670E-01,3.291326E-01,2.517296E-01,1.847755E-01,1.302077E-01,8.782941E-02,5.643831E-02,3.445162E-02,2.000679E-02,1.109009E-02,5.852769E-03,2.895172E-03,1.308668E-03,5.266840E-04,1.841173E-04,5.434221E-05,1.299530E-05,2.372783E-06,2.999121E-07,2.332829E-08,9.383569E-10,5.545672E-12
-9.71787,38.80000,0.00000,6.449711E-01,5.682045E-01,4.867463E-01,4.031366E-01,3.209408E-01,2.450867E-01,1.797195E-01,1.265493E-01,8.530001E-02,5.477776E-02,3.343809E-02,1.944278E-02,1.080726E-02,5.727193E-03,2.846678E-03,1.292019E-03,5.209481E-04,1.819498E-04,5.347362E-05,1.268041E-05,2.274670E-06,2.750874E-07,1.923795E-08,6.737320E-10,3.344624E-12
-9.71787,38.90000,0.00000,6.313245E-01,5.551561E-01,4.749420E-01,3.928336E-01,3.121298E-01,2.377048E-01,1.737557E-01,1.219848E-01,8.205216E-02,5.266425E-02,3.218341E-02,1.875776E-02,1.046162E-02,5.566669E-03,2.778687E-03,1.265206E-03,5.104280E-04,1.774610E-04,5.148007E-05,1.189445E-05,2.027691E-06,2.191866E-07,1.169529E-08,2.396462E-10,9.751400E-14
-9.71787,39.00000,0.00000,6.162777E-01,5.408205E-01,4.617982E-01,3.811290E-01,3.020418E-01,2.293197E-01,1.670084E-01,1.167225E-01,7.815624E-02,5.001955E-02,3.058267E-02,1.790443E-02,1.006020E-02,5.400542E-03,2.722326E-03,1.253751E-03,5.123686E-04,1.807922E-04,5.336864E-05,1.258870E-05,2.200594E-06,2.436098E-07,1.287608E-08,1.135628E-10,0.000000E+00
-9.61787,38.50000,0.00000,6.828340E-01,6.067473E-01,5.232527E-01,4.360294E-01,3.494534E-01,2.686571E-01,1.981909E-01,1.403480E-01,9.514762E-02,6.139547E-02,3.752789E-02,2.173763E-02,1.198410E-02,6.288269E-03,3.100863E-03,1.403883E-03,5.691063E-04,2.016932E-04,6.073543E-05,1.489267E-05,2.786428E-06,3.563952E-07,2.644462E-08,9.760399E-10,5.009162E-12
-9.61787,38.60000,0.00000,6.704744E-01,5.942452E-01,5.117489E-01,4.264221E-01,3.421359E-01,2.635681E-01,1.949735E-01,1.384537E-01,9.403811E-02,6.071157E-02,3.707576E-02,2.142029E-02,1.175023E-02,6.118380E-03,2.987649E-03,1.336318E-03,5.325628E-04,1.841666E-04,5.384493E-05,1.292685E-05,2.447533E-06,3.377370E-07,3.089883E-08,1.208362E-09,6.038357E-12
-9.61787,38.70000,0.00000,6.586405E-01,5.824129E-01,5.009250E-01,4.172228E-01,3.347308E-01,2.579055E-01,1.908782E-01,1.356250E-01,9.211417E-02,5.941076E-02,3.621462E-02,2.087112E-02,1.142089E-02,5.939372E-03,2.901528E-03,1.297996E-03,5.158220E-04,1.772778E-04,5.157535E-05,1.244571E-05,2.409392E-06,3.476310E-07,3.256576E-08,1.302119E-09,6.195238E-12
-9.61787,38.80000,0.00000,6.457467E-01,5.697507E-01,4.893830E-01,4.072314E-01,3.264091E-01,2.512878E-01,1.858445E-01,1.319342E-01,8.951499E-02,5.767795E-02,3.514725E-02,2.027426E-02,1.112015E-02,5.804009E-03,2.847428E-03,1.278598E-03,5.090566E-04,1.747416E-04,5.052951E-05,1.204784E-05,2.291118E-06,3.239845E-07,3.012477E-08,1.232986E-09,5.822270E-12
-9.61787,38.90000,0.00000,6.328618E-01,5.571403E-01,4.777478E-01,3.969042E-01,3.174968E-01,2.438155E-01,1.797833E-01,1.272194E-01,8.609981E-02,5.542275E-02,3.378952E-02,1.951488E-02,1.071990E-02,5.605895E-03,2.757272E-03,1.240314E-03,4.929726E-04,1.676758E-04,4.741561E-05,1.085176E-05,1.934156E-06,2.496041E-07,2.102674E-08,7.529105E-10,2.283570E-12
-9.61787,39.00000,0.00000,6.180812E-01,5.430626E-01,4.649157E-01,3.855308E-01,3.076039E-01,2.353476E-01,1.726986E-01,1.215052E-01,8.176027E-02,5.241559E-02,3.191903E-02,1.846234E-02,1.016570E-02,5.324188E-03,2.619058E-03,1.176602E-03,4.656369E-04,1.565106E-04,4.307769E-05,9.365055E-06,1.532788E-06,1.737585E-07,1.274828E-08,3.545160E-10,2.834632E-13
-9.61787,39.10000,0.00000,6.048869E-01,5.301701E-01,4.527134E-01,3.741912E-01,2.973419E-01,2.264350E-01,1.652472E-01,1.154636E-01,7.703653E-02,4.894350E-02,2.959656E-02,1.707819E-02,9.429885E-03,4.964341E-03,2.449588E-03,1.099271E-03,4.334218E-04,1.449825E-04,3.955934E-05,8.367959E-06,1.263700E-06,1.154742E-07,5.553833E-09,9.848653E-11,0.000000E+00
-9.61787,39.20000,0.00000,5.899247E-01,5.159831E-01,4.396326E-01,3.622577E-01,2.866784E-01,2.172179E-01,1.575499E-01,1.092884E-01,7.236048E-02,4.568645E-02,2.755091E-02,1.591760E-02,8.816105E-03,4.648250E-03,2.288943E-03,1.022089E-03,4.001600E-04,1.326135E-04,3.566812E-05,7.339876E-06,1.051156E-06,8.404938E-08,3.032158E-09,3.751971E-11,0.000000E+00
-9.61787,39.30000,0.00000,5.755729E-01,5.021346E-01,4.264616E-01,3.498359E-01,2.753417E-01,2.074337E-01,1.495971E-01,1.032193E-01,6.808723E-02,4.293565E-02,2.592269E-02,1.501195E-02,8.333609E-03,4.399018E-03,2.163026E-03,9.604801E-04,3.725968E-04,1.220352E-04,3.241243E-05,6.576016E-06,9.227621E-07,7.060262E-08,1.981309E-09,1.554724E-11,0.000000E+00
-9.61787,39.40000,0.00000,5.571563E-01,4.851831E-01,4.110976E-01,3.360663E-01,2.631837E-01,1.969715E-01,1.410699E-01,9.683771E-02,6.373468E-02,4.020103E-02,2.431334E-02,1.412610E-02,7.881669E-03,4.184912E-03,2.067266E-03,9.205253E-04,3.584735E-04,1.187173E-04,3.237163E-05,6.901264E-06,1.045095E-06,9.052296E-08,2.290543E-09,1.238514E-11,0.000000E+00
-9.61787,39.50000,0.00000,5.450647E-01,4.732358E-01,3.991108E-01,3.240979E-01,2.516515E-01,1.865781E-01,1.325137E-01,9.042927E-02,5.931447E-02,3.737637E-02,2.264881E-02,1.323546E-02,7.456533E-03,4.010996E-03,2.018685E-03,9.277454E-04,3.815758E-04,1.383768E-04,4.373515E-05,1.181792E-05,2.616390E-06,4.329951E-07,4.546238E-08,1.437862E-09,0.000000E+00
