#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.71787,38.60000,1.277141E-01,2.665819E-01,1.318693E-01,2.741717E-01,1.295359E-01,2.692690E-01,3.097803E-01,7.958644E-01,3.308199E-01,8.589047E-01,3.045586E-01,7.444454E-01,2.592024E-01,5.778149E-01,2.226891E-01,4.736128E-01,1.952452E-01,4.080881E-01,1.438683E-01,2.838502E-01,1.227371E-01,2.409254E-01,1.008555E-01,1.999226E-01,7.771091E-02,1.556543E-01
-9.71787,38.70000,1.237539E-01,2.524681E-01,1.278441E-01,2.599294E-01,1.256620E-01,2.556752E-01,2.848126E-01,6.496450E-01,3.029130E-01,7.023893E-01,2.818712E-01,6.258094E-01,2.453205E-01,5.182337E-01,2.138527E-01,4.419411E-01,1.903692E-01,3.929082E-01,1.430089E-01,2.803460E-01,1.228031E-01,2.409422E-01,1.012347E-01,2.014030E-01,7.802459E-02,1.574362E-01
-9.71787,38.80000,1.228186E-01,2.513940E-01,1.268954E-01,2.588725E-01,1.247344E-01,2.546349E-01,2.787853E-01,6.404734E-01,2.958847E-01,6.908846E-01,2.765227E-01,6.171181E-01,2.421833E-01,5.132073E-01,2.116343E-01,4.384715E-01,1.887617E-01,3.906383E-01,1.421513E-01,2.788314E-01,1.220614E-01,2.400727E-01,1.006623E-01,2.009941E-01,7.744955E-02,1.571226E-01
-9.71787,38.90000,1.215402E-01,2.495731E-01,1.254798E-01,2.568589E-01,1.233458E-01,2.526533E-01,2.789068E-01,6.478404E-01,2.964138E-01,6.999451E-01,2.763096E-01,6.223637E-01,2.410286E-01,5.137413E-01,2.097545E-01,4.362819E-01,1.865002E-01,3.870491E-01,1.400691E-01,2.748031E-01,1.199036E-01,2.362669E-01,9.890696E-02,1.974312E-01,7.587875E-02,1.541395E-01
-9.71787,39.00000,1.207609E-01,2.506598E-01,1.244846E-01,2.576555E-01,1.223444E-01,2.533123E-01,2.889502E-01,7.087665E-01,3.083612E-01,7.655291E-01,2.845347E-01,6.688320E-01,2.440550E-01,5.327713E-01,2.097276E-01,4.423926E-01,1.844742E-01,3.858622E-01,1.370041E-01,2.693336E-01,1.165238E-01,2.301166E-01,9.606558E-02,1.908934E-01,7.336217E-02,1.488510E-01
-9.61787,38.50000,1.276951E-01,2.598479E-01,1.322401E-01,2.679123E-01,1.299494E-01,2.634455E-01,2.845319E-01,6.509764E-01,3.009035E-01,7.006196E-01,2.821024E-01,6.274084E-01,2.484566E-01,5.244274E-01,2.189186E-01,4.514920E-01,1.963206E-01,4.043320E-01,1.479952E-01,2.907820E-01,1.280285E-01,2.505504E-01,1.056533E-01,2.095234E-01,8.182503E-02,1.649750E-01
-9.61787,38.60000,1.248522E-01,2.523105E-01,1.294717E-01,2.605667E-01,1.273038E-01,2.564494E-01,2.597440E-01,5.361937E-01,2.726283E-01,5.689957E-01,2.596369E-01,5.365708E-01,2.354609E-01,4.792590E-01,2.116139E-01,4.305571E-01,1.932358E-01,3.959360E-01,1.483846E-01,2.900712E-01,1.293140E-01,2.527496E-01,1.069925E-01,2.128219E-01,8.282969E-02,1.681398E-01
-9.61787,38.70000,1.230173E-01,2.490508E-01,1.276452E-01,2.573718E-01,1.255437E-01,2.533767E-01,2.457728E-01,4.915843E-01,2.566755E-01,5.181206E-01,2.470150E-01,5.006604E-01,2.275643E-01,4.588788E-01,2.071844E-01,4.209509E-01,1.908491E-01,3.914748E-01,1.478914E-01,2.884123E-01,1.293126E-01,2.527294E-01,1.071749E-01,2.136820E-01,8.296766E-02,1.692153E-01
-9.61787,38.80000,1.219947E-01,2.478181E-01,1.265825E-01,2.561202E-01,1.245058E-01,2.521539E-01,2.417128E-01,4.830801E-01,2.519997E-01,5.091594E-01,2.431785E-01,4.923757E-01,2.245741E-01,4.537316E-01,2.050332E-01,4.177411E-01,1.891567E-01,3.892696E-01,1.469029E-01,2.865062E-01,1.284543E-01,2.514545E-01,1.065197E-01,2.129245E-01,8.243759E-02,1.687547E-01
-9.61787,38.90000,1.202409E-01,2.449328E-01,1.246694E-01,2.529970E-01,1.226357E-01,2.491136E-01,2.401587E-01,4.816609E-01,2.506523E-01,5.086735E-01,2.414132E-01,4.904903E-01,2.220007E-01,4.501252E-01,2.022648E-01,4.134111E-01,1.862524E-01,3.844869E-01,1.445825E-01,2.819472E-01,1.261221E-01,2.474053E-01,1.046586E-01,2.096514E-01,8.101092E-02,1.662025E-01
