#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,4.904351E-01,4.311797E-01,3.732426E-01,3.164943E-01,2.608986E-01,2.077125E-01,1.591399E-01,1.171107E-01,8.260201E-02,5.490263E-02,3.395072E-02,2.009101E-02,1.146215E-02,6.346005E-03,3.394326E-03,1.717139E-03,8.103695E-04,3.464762E-04,1.317183E-04,4.032766E-05,1.010203E-05,1.891831E-06,2.119072E-07,2.278248E-09,0.000000E+00
-9.71787,38.70000,0.00000,4.798353E-01,4.223796E-01,3.664847E-01,3.114893E-01,2.571326E-01,2.048075E-01,1.569154E-01,1.154906E-01,8.145845E-02,5.289728E-02,3.262341E-02,1.925319E-02,1.091406E-02,5.963671E-03,3.121853E-03,1.532517E-03,6.989710E-04,2.873756E-04,1.034630E-04,2.866604E-05,6.163388E-06,9.732065E-07,8.645447E-08,0.000000E+00,0.000000E+00
-9.71787,38.80000,0.00000,4.716683E-01,4.154338E-01,3.608008E-01,3.066851E-01,2.527885E-01,2.007966E-01,1.533618E-01,1.125620E-01,7.855172E-02,5.096272E-02,3.140355E-02,1.853808E-02,1.053725E-02,5.789606E-03,3.052320E-03,1.508571E-03,6.894320E-04,2.847627E-04,1.026059E-04,2.879941E-05,6.166752E-06,9.759144E-07,8.698039E-08,0.000000E+00,0.000000E+00
-9.71787,38.90000,0.00000,4.594654E-01,4.053558E-01,3.526548E-01,2.999061E-01,2.466980E-01,1.950264E-01,1.480458E-01,1.080535E-01,7.576159E-02,4.918173E-02,3.039737E-02,1.803639E-02,1.031946E-02,5.710338E-03,3.031375E-03,1.507705E-03,6.915781E-04,2.799665E-04,9.936134E-05,2.909363E-05,6.174707E-06,9.694452E-07,8.760885E-08,0.000000E+00,0.000000E+00
-9.71787,39.00000,0.00000,4.475771E-01,3.952413E-01,3.438578E-01,2.918551E-01,2.391074E-01,1.879898E-01,1.417884E-01,1.027426E-01,7.154205E-02,4.706799E-02,2.940270E-02,1.761688E-02,1.022272E-02,5.745548E-03,3.052223E-03,1.545717E-03,7.112548E-04,2.876600E-04,1.035736E-04,3.146492E-05,6.686882E-06,1.023360E-06,8.130282E-08,0.000000E+00,0.000000E+00
-9.61787,38.50000,0.00000,4.995031E-01,4.391202E-01,3.799420E-01,3.223896E-01,2.666333E-01,2.136334E-01,1.650932E-01,1.226748E-01,8.738089E-02,5.867650E-02,3.614957E-02,2.117673E-02,1.184203E-02,6.352721E-03,3.259041E-03,1.571428E-03,7.043071E-04,2.841747E-04,1.009417E-04,2.777518E-05,6.041498E-06,9.708671E-07,8.777034E-08,0.000000E+00,0.000000E+00
-9.61787,38.60000,0.00000,4.891838E-01,4.304851E-01,3.734966E-01,3.181571E-01,2.641948E-01,2.124032E-01,1.645881E-01,1.225620E-01,8.702127E-02,5.642508E-02,3.457595E-02,2.012135E-02,1.114378E-02,5.894706E-03,2.967240E-03,1.395977E-03,6.071037E-04,2.366282E-04,7.940758E-05,1.989214E-05,3.470503E-06,4.138722E-07,2.300401E-08,0.000000E+00,0.000000E+00
-9.61787,38.70000,0.00000,4.790621E-01,4.220733E-01,3.671013E-01,3.135622E-01,2.608920E-01,2.099447E-01,1.627221E-01,1.211633E-01,8.434163E-02,5.415394E-02,3.308611E-02,1.917220E-02,1.055538E-02,5.546057E-03,2.778170E-03,1.304171E-03,5.625026E-04,2.181213E-04,7.202581E-05,1.793188E-05,2.818738E-06,2.876548E-07,1.804377E-08,0.000000E+00,0.000000E+00
-9.61787,38.80000,0.00000,4.693352E-01,4.139656E-01,3.607522E-01,3.086043E-01,2.567091E-01,2.061284E-01,1.592430E-01,1.181971E-01,8.130107E-02,5.216447E-02,3.184496E-02,1.846149E-02,1.019365E-02,5.387229E-03,2.720370E-03,1.288416E-03,5.574728E-04,2.183606E-04,7.327284E-05,1.888053E-05,2.953101E-06,2.920719E-07,1.795794E-08,0.000000E+00,0.000000E+00
-9.61787,38.90000,0.00000,4.595572E-01,4.056885E-01,3.538567E-01,3.026257E-01,2.511600E-01,2.007967E-01,1.542383E-01,1.137955E-01,7.824105E-02,5.027331E-02,3.077671E-02,1.791933E-02,9.947682E-03,5.289195E-03,2.689869E-03,1.284553E-03,5.585112E-04,2.205540E-04,7.458422E-05,1.950583E-05,3.024183E-06,2.895240E-07,1.798220E-08,0.000000E+00,0.000000E+00
-9.61787,39.00000,0.00000,4.478106E-01,3.957777E-01,3.454274E-01,2.950593E-01,2.439021E-01,1.936840E-01,1.475169E-01,1.078360E-01,7.476847E-02,4.843421E-02,2.979635E-02,1.749586E-02,9.819983E-03,5.279813E-03,2.710894E-03,1.305589E-03,5.721438E-04,2.276735E-04,7.737499E-05,2.031158E-05,3.153956E-06,2.952489E-07,1.645082E-08,0.000000E+00,0.000000E+00
-9.61787,39.10000,0.00000,4.399137E-01,3.887879E-01,3.388739E-01,2.883642E-01,2.368601E-01,1.865744E-01,1.407800E-01,1.017983E-01,7.046520E-02,4.623700E-02,2.863739E-02,1.702115E-02,9.636412E-03,5.278992E-03,2.785040E-03,1.384120E-03,6.190205E-04,2.497743E-04,8.438966E-05,2.338253E-05,5.137143E-06,8.324478E-07,6.614096E-08,0.000000E+00,0.000000E+00
