#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0, imt='SA(1.0)'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,3.913019E-01,3.312121E-01,2.723657E-01,2.170574E-01,1.676001E-01,1.254989E-01,9.120771E-02,6.427681E-02,4.377563E-02,2.865209E-02,1.741309E-02,9.536413E-03,4.889577E-03,2.370211E-03,1.066133E-03,4.381683E-04,1.600748E-04,5.019883E-05,1.221113E-05,2.364354E-06,3.219193E-07,1.944035E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.70000,0.00000,3.842279E-01,3.255141E-01,2.677286E-01,2.132859E-01,1.645943E-01,1.231741E-01,8.945954E-02,6.299242E-02,4.284989E-02,2.800906E-02,1.667295E-02,9.053789E-03,4.686907E-03,2.310283E-03,1.062199E-03,4.434062E-04,1.650817E-04,5.221123E-05,1.281904E-05,2.424592E-06,3.292221E-07,1.972254E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.80000,0.00000,3.784616E-01,3.203268E-01,2.629899E-01,2.090355E-01,1.609331E-01,1.201690E-01,8.707985E-02,6.116239E-02,4.148165E-02,2.702981E-02,1.580094E-02,8.612097E-03,4.498630E-03,2.249679E-03,1.052687E-03,4.442387E-04,1.675158E-04,5.314299E-05,1.307322E-05,2.415982E-06,3.273032E-07,1.965591E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.90000,0.00000,3.693857E-01,3.123291E-01,2.557158E-01,2.024873E-01,1.553235E-01,1.156481E-01,8.363223E-02,5.862840E-02,3.966423E-02,2.575513E-02,1.498635E-02,8.202677E-03,4.320445E-03,2.184927E-03,1.034669E-03,4.390705E-04,1.666351E-04,5.296019E-05,1.301202E-05,2.365609E-06,3.174491E-07,1.968217E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,39.00000,0.00000,3.600145E-01,3.036316E-01,2.476403E-01,1.951871E-01,1.489813E-01,1.104115E-01,7.953764E-02,5.557240E-02,3.745902E-02,2.421212E-02,1.418847E-02,7.795136E-03,4.130738E-03,2.102393E-03,1.000179E-03,4.246650E-04,1.608688E-04,5.085941E-05,1.236979E-05,2.171790E-06,2.666608E-07,1.109618E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.50000,0.00000,3.984388E-01,3.380205E-01,2.791333E-01,2.237476E-01,1.739197E-01,1.311044E-01,9.587098E-02,6.795172E-02,4.656273E-02,3.070504E-02,1.912420E-02,1.054576E-02,5.420400E-03,2.624969E-03,1.178574E-03,4.841303E-04,1.766221E-04,5.525989E-05,1.352027E-05,2.554661E-06,3.412472E-07,2.036307E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.60000,0.00000,3.918621E-01,3.332091E-01,2.757415E-01,2.213646E-01,1.722037E-01,1.298308E-01,9.490424E-02,6.722286E-02,4.603448E-02,3.034590E-02,1.834216E-02,1.001690E-02,5.196763E-03,2.562575E-03,1.179852E-03,4.938195E-04,1.847681E-04,5.846751E-05,1.464321E-05,2.662319E-06,3.532136E-07,2.112486E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.70000,0.00000,3.852716E-01,3.280246E-01,2.716166E-01,2.180365E-01,1.695153E-01,1.276708E-01,9.319199E-02,6.590144E-02,4.505437E-02,2.965480E-02,1.738719E-02,9.522500E-03,4.985045E-03,2.496777E-03,1.174417E-03,4.988540E-04,1.904940E-04,6.117658E-05,1.558050E-05,2.699425E-06,3.506500E-07,2.043434E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.80000,0.00000,3.785330E-01,3.222841E-01,2.665314E-01,2.134989E-01,1.655949E-01,1.244490E-01,9.066775E-02,6.400116E-02,4.366603E-02,2.828465E-02,1.649622E-02,9.069057E-03,4.790390E-03,2.433702E-03,1.166237E-03,5.047992E-04,1.944051E-04,6.306523E-05,1.622067E-05,2.704125E-06,3.477928E-07,2.036946E-08,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.90000,0.00000,3.713172E-01,3.157116E-01,2.603588E-01,2.077408E-01,1.604649E-01,1.201622E-01,8.729632E-02,6.146074E-02,4.180660E-02,2.687140E-02,1.566894E-02,8.652488E-03,4.607293E-03,2.366043E-03,1.147889E-03,5.024576E-04,1.941257E-04,6.334628E-05,1.642879E-05,2.681582E-06,3.430402E-07,2.039828E-08,0.000000E+00,0.000000E+00,0.000000E+00
