#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.71787,38.60000,1.031021E-01,1.064251E-01,1.043995E-01,2.442109E-01,2.573417E-01,2.422482E-01,2.135414E-01,1.838070E-01,1.562175E-01,1.137727E-01,9.572063E-02,7.699481E-02,5.872865E-02,2.221786E-01,2.284419E-01,2.238804E-01,6.433422E-01,6.913421E-01,6.124365E-01,4.983055E-01,3.991176E-01,3.348170E-01,2.320434E-01,1.928537E-01,1.541612E-01,1.183061E-01
-9.71787,38.70000,9.774370E-02,1.009759E-01,9.914615E-02,2.325818E-01,2.439838E-01,2.310561E-01,2.044298E-01,1.738087E-01,1.500544E-01,1.116639E-01,9.472090E-02,7.633390E-02,5.811940E-02,2.064576E-01,2.124615E-01,2.085858E-01,5.453007E-01,5.822549E-01,5.304558E-01,4.479543E-01,3.684966E-01,3.190109E-01,2.269720E-01,1.914779E-01,1.544795E-01,1.188895E-01
-9.71787,38.80000,9.680452E-02,1.000391E-01,9.822629E-02,2.265824E-01,2.376675E-01,2.253141E-01,2.005019E-01,1.714435E-01,1.486388E-01,1.109320E-01,9.408110E-02,7.569497E-02,5.744436E-02,2.055371E-01,2.115770E-01,2.077242E-01,5.351450E-01,5.704308E-01,5.216205E-01,4.416680E-01,3.655674E-01,3.172995E-01,2.264023E-01,1.915561E-01,1.547646E-01,1.190255E-01
-9.71787,38.90000,9.662595E-02,9.984420E-02,9.802374E-02,2.246115E-01,2.361237E-01,2.231392E-01,1.980906E-01,1.709903E-01,1.482287E-01,1.104204E-01,9.339328E-02,7.493963E-02,5.666527E-02,2.047939E-01,2.117015E-01,2.077311E-01,5.418981E-01,5.790487E-01,5.258523E-01,4.404175E-01,3.668308E-01,3.140044E-01,2.264479E-01,1.914149E-01,1.545390E-01,1.185333E-01
-9.71787,39.00000,9.746749E-02,1.006801E-01,9.881791E-02,2.252589E-01,2.376760E-01,2.237054E-01,1.967940E-01,1.728617E-01,1.484262E-01,1.100294E-01,9.245640E-02,7.383800E-02,5.561344E-02,2.070608E-01,2.129674E-01,2.089901E-01,5.932823E-01,6.379251E-01,5.643783E-01,4.565913E-01,3.766857E-01,3.186242E-01,2.269898E-01,1.907486E-01,1.532145E-01,1.170590E-01
-9.61787,38.50000,9.936338E-02,1.027976E-01,1.009587E-01,2.374790E-01,2.476232E-01,2.356739E-01,2.042454E-01,1.751341E-01,1.527963E-01,1.147574E-01,9.810186E-02,8.002550E-02,6.149882E-02,2.061285E-01,2.123538E-01,2.085081E-01,5.559788E-01,5.908848E-01,5.412937E-01,4.425926E-01,3.704744E-01,3.187458E-01,2.289510E-01,1.947244E-01,1.581627E-01,1.226204E-01
-9.61787,38.60000,9.431200E-02,9.771337E-02,9.604894E-02,2.132361E-01,2.280765E-01,2.136316E-01,1.871248E-01,1.649604E-01,1.466835E-01,1.127450E-01,9.721088E-02,7.951419E-02,6.100857E-02,1.931017E-01,1.992746E-01,1.959535E-01,4.585594E-01,4.973717E-01,4.550244E-01,3.924537E-01,3.430689E-01,3.042421E-01,2.244700E-01,1.939474E-01,1.590675E-01,1.237264E-01
-9.61787,38.70000,9.133849E-02,9.470792E-02,9.313636E-02,1.962480E-01,2.088204E-01,1.978003E-01,1.770331E-01,1.588871E-01,1.428472E-01,1.112172E-01,9.634617E-02,7.887711E-02,6.040795E-02,1.873862E-01,1.936021E-01,1.904850E-01,4.048076E-01,4.302792E-01,4.116094E-01,3.667348E-01,3.283767E-01,2.972207E-01,2.220964E-01,1.935547E-01,1.597950E-01,1.243946E-01
-9.61787,38.80000,9.055465E-02,9.392043E-02,9.236153E-02,1.923186E-01,2.042224E-01,1.942211E-01,1.747675E-01,1.572937E-01,1.416802E-01,1.106253E-01,9.583738E-02,7.830561E-02,5.977495E-02,1.869909E-01,1.932610E-01,1.901533E-01,3.974050E-01,4.198020E-01,4.035250E-01,3.630925E-01,3.264819E-01,2.965995E-01,2.223550E-01,1.941046E-01,1.605784E-01,1.250438E-01
-9.61787,38.90000,9.018074E-02,9.352347E-02,9.196188E-02,1.929468E-01,2.043214E-01,1.942305E-01,1.745108E-01,1.566577E-01,1.409404E-01,1.099834E-01,9.515662E-02,7.753507E-02,5.900820E-02,1.873308E-01,1.936195E-01,1.904703E-01,3.976882E-01,4.230787E-01,4.018298E-01,3.647612E-01,3.276117E-01,2.971488E-01,2.226050E-01,1.940079E-01,1.604847E-01,1.248581E-01
