#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-04T09:01:17', checksum=3746912572, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.71787,38.60000,1.031020E-01,2.221786E-01,5.872865E-02,1.183061E-01
-9.71787,38.70000,9.774370E-02,2.064576E-01,5.811940E-02,1.188895E-01
-9.71787,38.80000,9.680452E-02,2.055371E-01,5.744436E-02,1.190256E-01
-9.71787,38.90000,9.662595E-02,2.047939E-01,5.666526E-02,1.185333E-01
-9.71787,39.00000,9.746750E-02,2.070608E-01,5.561344E-02,1.170590E-01
-9.61787,38.50000,9.936337E-02,2.061285E-01,6.149883E-02,1.226204E-01
-9.61787,38.60000,9.431200E-02,1.931017E-01,6.100857E-02,1.237264E-01
-9.61787,38.70000,9.133848E-02,1.873862E-01,6.040796E-02,1.243946E-01
-9.61787,38.80000,9.055465E-02,1.869909E-01,5.977495E-02,1.250438E-01
-9.61787,38.90000,9.018073E-02,1.873308E-01,5.900818E-02,1.248581E-01
-9.61787,39.00000,9.065586E-02,1.893149E-01,5.800643E-02,1.235395E-01
-9.61787,39.10000,9.245301E-02,1.957736E-01,5.672946E-02,1.202992E-01
-9.61787,39.20000,8.758023E-02,1.850433E-01,5.441644E-02,1.176053E-01
-9.61787,39.30000,8.402698E-02,1.789011E-01,5.299879E-02,1.140135E-01
-9.61787,39.40000,8.153879E-02,1.775717E-01,5.092598E-02,1.072728E-01
-9.61787,39.50000,7.969056E-02,1.861280E-01,4.766286E-02,1.007775E-01
-9.51787,38.50000,9.387854E-02,1.890430E-01,6.355662E-02,1.274205E-01
-9.51787,38.60000,9.206367E-02,1.871918E-01,6.312142E-02,1.288407E-01
-9.51787,38.70000,9.068746E-02,1.866311E-01,6.256464E-02,1.301876E-01
-9.51787,38.80000,8.993214E-02,1.872515E-01,6.195524E-02,1.311677E-01
-9.51787,38.90000,8.957969E-02,1.880806E-01,6.122558E-02,1.314443E-01
-9.51787,39.00000,8.910337E-02,1.877867E-01,6.021168E-02,1.300874E-01
-9.51787,39.10000,8.845505E-02,1.853689E-01,5.892294E-02,1.262776E-01
-9.51787,39.20000,8.668640E-02,1.820651E-01,5.700855E-02,1.230833E-01
-9.51787,39.30000,8.294875E-02,1.738948E-01,5.499965E-02,1.194547E-01
-9.51787,39.40000,7.945263E-02,1.679316E-01,5.337705E-02,1.132326E-01
-9.51787,39.50000,7.485881E-02,1.604732E-01,4.941291E-02,1.046843E-01
-9.51787,39.60000,7.074388E-02,1.531474E-01,4.614532E-02,9.798281E-02
-9.41787,38.20000,1.043595E-01,2.100878E-01,6.761651E-02,1.291239E-01
-9.41787,38.30000,9.896340E-02,1.964621E-01,6.655876E-02,1.293405E-01
-9.41787,38.40000,9.538729E-02,1.900557E-01,6.597576E-02,1.306297E-01
-9.41787,38.50000,9.379353E-02,1.892297E-01,6.555329E-02,1.321860E-01
-9.41787,38.60000,9.288140E-02,1.903958E-01,6.515836E-02,1.343081E-01
-9.41787,38.70000,9.211048E-02,1.924277E-01,6.467150E-02,1.363960E-01
-9.41787,38.80000,9.168722E-02,1.948559E-01,6.417868E-02,1.382943E-01
-9.41787,38.90000,9.113237E-02,1.961416E-01,6.346197E-02,1.394894E-01
-9.41787,39.00000,9.016017E-02,1.948648E-01,6.242770E-02,1.382921E-01
-9.41787,39.10000,8.915076E-02,1.896832E-01,6.115273E-02,1.336886E-01
-9.41787,39.20000,8.673741E-02,1.851974E-01,5.926464E-02,1.293845E-01
-9.41787,39.30000,8.427378E-02,1.810843E-01,5.680554E-02,1.255853E-01
-9.41787,39.40000,8.165162E-02,1.732652E-01,5.527462E-02,1.196869E-01
-9.41787,39.50000,7.491198E-02,1.598844E-01,5.143277E-02,1.096840E-01
-9.41787,39.60000,6.889065E-02,1.470909E-01,4.748467E-02,1.009587E-01
-9.31787,38.20000,9.946740E-02,1.940161E-01,6.924011E-02,1.330077E-01
-9.31787,38.30000,9.755024E-02,1.923902E-01,6.839556E-02,1.337913E-01
-9.31787,38.40000,9.614582E-02,1.923875E-01,6.780757E-02,1.350500E-01
-9.31787,38.50000,9.535256E-02,1.939760E-01,6.737302E-02,1.369336E-01
-9.31787,38.60000,9.500430E-02,1.975255E-01,6.714261E-02,1.400229E-01
-9.31787,38.70000,9.461771E-02,2.015263E-01,6.677216E-02,1.434332E-01
-9.31787,38.80000,9.417173E-02,2.051964E-01,6.626272E-02,1.471469E-01
-9.31787,38.90000,9.351414E-02,2.086615E-01,6.552289E-02,1.500501E-01
-9.31787,39.00000,9.257530E-02,2.082824E-01,6.455199E-02,1.478070E-01
-9.31787,39.10000,9.101945E-02,2.017214E-01,6.319041E-02,1.424004E-01
-9.31787,39.20000,8.881859E-02,1.939634E-01,6.135773E-02,1.369713E-01
-9.31787,39.30000,8.600207E-02,1.880932E-01,5.924098E-02,1.317786E-01
-9.31787,39.40000,8.304346E-02,1.817167E-01,5.675868E-02,1.260280E-01
-9.31787,39.50000,7.756691E-02,1.663270E-01,5.359510E-02,1.153457E-01
-9.31787,39.60000,6.994747E-02,1.495259E-01,4.900971E-02,1.047654E-01
-9.31787,39.70000,6.410359E-02,1.369483E-01,4.523671E-02,9.627859E-02
-9.31787,39.80000,5.967946E-02,1.270586E-01,4.222942E-02,8.900309E-02
-9.21787,36.90000,1.255752E-01,2.245512E-01,1.099445E-01,2.189555E-01
-9.21787,37.00000,1.208814E-01,2.142584E-01,1.038393E-01,2.056013E-01
-9.21787,37.10000,1.159551E-01,2.038519E-01,9.782375E-02,1.921296E-01
-9.21787,37.20000,1.092517E-01,1.914975E-01,9.170424E-02,1.782205E-01
