#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,5.829521E-01,5.216364E-01,4.553187E-01,3.868331E-01,3.191111E-01,2.551062E-01,1.974571E-01,1.479104E-01,1.071487E-01,7.493628E-02,5.044736E-02,3.255529E-02,2.005175E-02,1.173117E-02,6.479437E-03,3.349304E-03,1.601373E-03,6.981413E-04,2.730946E-04,9.418267E-05,2.801684E-05,6.972723E-06,1.379871E-06,1.960834E-07,1.321444E-08
-9.71787,38.70000,0.00000,5.669702E-01,5.065471E-01,4.420940E-01,3.760178E-01,3.107479E-01,2.489430E-01,1.931353E-01,1.450781E-01,1.054395E-01,7.399379E-02,4.995645E-02,3.229800E-02,1.989677E-02,1.161454E-02,6.379416E-03,3.267290E-03,1.543422E-03,6.637839E-04,2.558812E-04,8.682575E-05,2.535842E-05,6.163817E-06,1.181276E-06,1.650544E-07,1.248207E-08
-9.71787,38.80000,0.00000,5.453459E-01,4.872630E-01,4.257572E-01,3.626747E-01,3.001264E-01,2.407087E-01,1.869446E-01,1.405895E-01,1.023306E-01,7.195248E-02,4.867074E-02,3.151586E-02,1.943474E-02,1.135363E-02,6.242519E-03,3.202253E-03,1.515419E-03,6.527629E-04,2.519224E-04,8.550470E-05,2.499021E-05,6.082065E-06,1.170292E-06,1.645648E-07,1.249093E-08
-9.71787,38.90000,0.00000,5.242847E-01,4.688424E-01,4.102895E-01,3.499987E-01,2.898122E-01,2.322843E-01,1.800969E-01,1.351713E-01,9.826055E-02,6.908733E-02,4.679170E-02,3.035604E-02,1.875664E-02,1.097762E-02,6.045856E-03,3.107066E-03,1.473458E-03,6.359712E-04,2.458109E-04,8.348979E-05,2.439739E-05,5.936238E-06,1.145271E-06,1.634198E-07,1.249631E-08
-9.71787,39.00000,0.00000,5.008005E-01,4.490916E-01,3.939376E-01,3.365062E-01,2.786799E-01,2.231787E-01,1.727832E-01,1.293920E-01,9.376156E-02,6.568530E-02,4.436437E-02,2.876676E-02,1.782071E-02,1.048260E-02,5.808454E-03,3.002430E-03,1.432065E-03,6.224691E-04,2.429985E-04,8.357527E-05,2.473149E-05,6.043783E-06,1.139303E-06,1.475796E-07,8.563182E-09
-9.61787,38.50000,0.00000,6.042356E-01,5.415756E-01,4.732525E-01,4.023862E-01,3.322415E-01,2.659788E-01,2.063193E-01,1.549979E-01,1.126608E-01,7.906566E-02,5.338753E-02,3.451195E-02,2.124735E-02,1.239097E-02,6.802555E-03,3.486754E-03,1.649894E-03,7.102462E-04,2.733977E-04,9.229065E-05,2.671939E-05,6.433677E-06,1.233739E-06,1.741086E-07,1.307955E-08
-9.61787,38.60000,0.00000,5.848880E-01,5.234997E-01,4.575864E-01,3.898955E-01,3.230694E-01,2.597844E-01,2.025003E-01,1.529003E-01,1.116801E-01,7.870255E-02,5.329585E-02,3.448544E-02,2.120020E-02,1.231199E-02,6.712255E-03,3.407194E-03,1.592700E-03,6.758056E-04,2.557745E-04,8.464431E-05,2.400060E-05,5.654673E-06,1.068042E-06,1.548127E-07,1.302414E-08
-9.61787,38.70000,0.00000,5.689530E-01,5.084172E-01,4.444055E-01,3.792075E-01,3.149150E-01,2.538655E-01,1.984024E-01,1.502039E-01,1.099760E-01,7.762703E-02,5.257380E-02,3.396176E-02,2.081133E-02,1.203594E-02,6.531156E-03,3.296219E-03,1.529338E-03,6.422522E-04,2.398198E-04,7.813427E-05,2.180247E-05,5.081700E-06,9.616614E-07,1.440829E-07,1.248845E-08
-9.61787,38.80000,0.00000,5.458882E-01,4.882102E-01,4.276272E-01,3.658248E-01,3.044487E-01,2.457069E-01,1.920831E-01,1.454620E-01,1.066134E-01,7.539745E-02,5.116131E-02,3.308924E-02,2.028330E-02,1.173235E-02,6.370142E-03,3.218956E-03,1.495036E-03,6.281150E-04,2.345276E-04,7.637357E-05,2.136049E-05,5.012019E-06,9.608931E-07,1.448258E-07,1.251472E-08
-9.61787,38.90000,0.00000,5.259318E-01,4.706183E-01,4.127736E-01,3.536014E-01,2.945207E-01,2.377078E-01,1.856820E-01,1.403803E-01,1.026798E-01,7.251295E-02,4.919617E-02,3.184345E-02,1.953752E-02,1.130383E-02,6.135307E-03,3.098756E-03,1.438610E-03,6.038768E-04,2.249170E-04,7.290634E-05,2.025373E-05,4.721020E-06,9.114915E-07,1.413581E-07,1.249394E-08
