#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='mean', investigation_time=1.0, imt='SA(2.0)'"
lon,lat,depth,poe-0.0005000,poe-0.0007064,poe-0.0009980,poe-0.0014100,poe-0.0019921,poe-0.0028145,poe-0.0039764,poe-0.0056179,poe-0.0079370,poe-0.0112135,poe-0.0158427,poe-0.0223828,poe-0.0316228,poe-0.0446772,poe-0.0631207,poe-0.0891780,poe-0.1259921,poe-0.1780038,poe-0.2514867,poe-0.3553046,poe-0.5019803,poe-0.7092062,poe-1.0019783,poe-1.4156118,poe-2.0000000
-9.71787,38.60000,0.00000,1.943755E-01,1.459808E-01,1.068320E-01,7.633062E-02,5.332046E-02,3.645132E-02,2.441320E-02,1.605042E-02,1.039791E-02,6.672282E-03,4.255203E-03,2.684796E-03,1.648036E-03,9.550833E-04,5.022488E-04,2.295429E-04,8.731640E-05,2.635336E-05,5.824362E-06,7.671967E-07,3.674255E-08,3.769731E-10,8.031532E-12,0.000000E+00,0.000000E+00
-9.71787,38.70000,0.00000,1.887387E-01,1.416084E-01,1.036019E-01,7.404941E-02,5.176305E-02,3.539659E-02,2.368420E-02,1.552748E-02,1.000963E-02,6.378817E-03,4.033243E-03,2.519284E-03,1.527968E-03,8.723201E-04,4.500063E-04,2.007207E-04,7.407617E-05,2.149995E-05,4.480524E-06,5.257671E-07,1.972466E-08,2.365793E-10,2.926324E-12,0.000000E+00,0.000000E+00
-9.71787,38.80000,0.00000,1.800154E-01,1.349287E-01,9.856567E-02,7.027874E-02,4.893825E-02,3.327415E-02,2.208356E-02,1.431856E-02,9.096622E-03,5.693446E-03,3.526502E-03,2.155655E-03,1.279628E-03,7.151062E-04,3.609259E-04,1.572687E-04,5.656960E-05,1.593113E-05,3.184974E-06,3.524396E-07,1.268547E-08,2.228985E-10,2.870127E-12,0.000000E+00,0.000000E+00
-9.71787,38.90000,0.00000,1.706598E-01,1.275189E-01,9.286538E-02,6.597444E-02,4.570122E-02,3.082618E-02,2.022702E-02,1.291755E-02,8.050677E-03,4.922915E-03,2.969806E-03,1.765904E-03,1.020837E-03,5.570124E-04,2.752088E-04,1.175803E-04,4.148477E-05,1.144163E-05,2.226644E-06,2.362841E-07,9.276637E-09,2.407941E-10,3.199262E-12,0.000000E+00,0.000000E+00
-9.71787,39.00000,0.00000,1.601211E-01,1.192567E-01,8.663663E-02,6.141189E-02,4.239535E-02,2.842349E-02,1.847201E-02,1.163775E-02,7.126596E-03,4.266087E-03,2.511975E-03,1.456272E-03,8.221416E-04,4.400528E-04,2.144886E-04,9.085361E-05,3.187803E-05,8.755973E-06,1.695884E-06,1.708980E-07,7.360167E-09,3.126100E-10,5.361670E-12,0.000000E+00,0.000000E+00
-9.61787,38.50000,0.00000,2.060200E-01,1.553158E-01,1.139526E-01,8.149613E-02,5.692053E-02,3.890294E-02,2.607464E-02,1.718165E-02,1.117217E-02,7.205073E-03,4.624511E-03,2.941228E-03,1.822661E-03,1.067581E-03,5.679874E-04,2.630310E-04,1.016412E-04,3.130754E-05,7.133604E-06,1.006374E-06,5.419087E-08,4.013830E-10,3.014469E-12,0.000000E+00,0.000000E+00
-9.61787,38.60000,0.00000,1.989346E-01,1.497249E-01,1.096432E-01,7.827293E-02,5.456252E-02,3.717880E-02,2.478187E-02,1.617970E-02,1.037853E-02,6.577725E-03,4.141415E-03,2.585461E-03,1.575927E-03,9.094202E-04,4.766827E-04,2.170360E-04,8.212374E-05,2.459583E-05,5.367034E-06,6.882657E-07,3.053648E-08,1.108366E-10,7.997300E-13,0.000000E+00,0.000000E+00
-9.61787,38.70000,0.00000,1.931395E-01,1.451423E-01,1.061932E-01,7.580695E-02,5.287205E-02,3.604129E-02,2.400692E-02,1.563299E-02,9.978707E-03,6.279336E-03,3.918661E-03,2.421730E-03,1.458839E-03,8.297109E-04,4.269065E-04,1.897818E-04,6.970467E-05,2.007984E-05,4.129419E-06,4.704744E-07,1.556196E-08,6.329110E-11,2.060832E-13,0.000000E+00,0.000000E+00
-9.61787,38.80000,0.00000,1.834102E-01,1.374092E-01,1.001748E-01,7.118591E-02,4.934137E-02,3.333865E-02,2.193408E-02,1.404523E-02,8.769440E-03,5.369172E-03,3.248084E-03,1.945545E-03,1.139622E-03,6.333037E-04,3.197352E-04,1.397894E-04,5.050316E-05,1.427898E-05,2.863429E-06,3.109757E-07,9.705135E-09,5.422277E-11,1.689778E-13,0.000000E+00,0.000000E+00
-9.61787,38.90000,0.00000,1.747805E-01,1.307124E-01,9.515721E-02,6.751299E-02,4.667283E-02,3.139048E-02,2.050620E-02,1.300259E-02,8.014530E-03,4.827346E-03,2.863294E-03,1.677417E-03,9.598333E-04,5.206944E-04,2.563465E-04,1.090868E-04,3.825682E-05,1.044361E-05,1.992602E-06,2.008405E-07,6.363893E-09,6.114284E-11,2.053907E-13,0.000000E+00,0.000000E+00
