#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.443439E-01,2.808480E-01,2.922977E-01,2.620748E-01,2.371095E-01,2.075477E-01,1.801824E-01,1.581287E-01,1.385131E-01,1.111594E-01,9.513699E-02,7.161941E-02,5.421414E-02,2.659104E-02,1.850143E-02,1.394967E-02,2.930250E-01,5.708166E-01,5.834217E-01,5.184633E-01,4.588928E-01,3.977142E-01,3.453441E-01,2.973770E-01,2.584834E-01,2.076308E-01,1.755507E-01,1.349963E-01,1.078808E-01,6.948587E-02,5.637468E-02,4.651674E-02
-9.71787,38.70000,1.421019E-01,2.758916E-01,2.875514E-01,2.587820E-01,2.349699E-01,2.059053E-01,1.789368E-01,1.569902E-01,1.375941E-01,1.100081E-01,9.379355E-02,7.028855E-02,5.261476E-02,2.534188E-02,1.753946E-02,1.319048E-02,2.865244E-01,5.564029E-01,5.701942E-01,5.095973E-01,4.524219E-01,3.935565E-01,3.424585E-01,2.948241E-01,2.563297E-01,2.053428E-01,1.725131E-01,1.313639E-01,1.034277E-01,6.610288E-02,5.336187E-02,4.437168E-02
-9.71787,38.80000,1.407962E-01,2.731212E-01,2.847322E-01,2.565233E-01,2.331538E-01,2.041847E-01,1.774715E-01,1.554927E-01,1.361335E-01,1.084672E-01,9.183934E-02,6.837564E-02,5.005899E-02,2.273826E-02,1.518026E-02,1.118874E-02,2.847688E-01,5.523510E-01,5.660082E-01,5.063406E-01,4.495049E-01,3.912941E-01,3.406589E-01,2.930453E-01,2.546583E-01,2.035034E-01,1.699191E-01,1.278262E-01,9.827261E-02,5.962448E-02,4.728102E-02,3.903114E-02
-9.71787,38.90000,1.388263E-01,2.695818E-01,2.808883E-01,2.529961E-01,2.295934E-01,2.009916E-01,1.747684E-01,1.528033E-01,1.336517E-01,1.063270E-01,8.943339E-02,6.621674E-02,4.736839E-02,1.991590E-02,1.268281E-02,9.068513E-03,2.820343E-01,5.476437E-01,5.611012E-01,5.018559E-01,4.447947E-01,3.872983E-01,3.367905E-01,2.898539E-01,2.517844E-01,2.011347E-01,1.672177E-01,1.245478E-01,9.357043E-02,5.229426E-02,4.040047E-02,3.261994E-02
-9.71787,39.00000,1.367183E-01,2.662188E-01,2.769946E-01,2.490466E-01,2.251033E-01,1.969823E-01,1.713251E-01,1.493796E-01,1.305416E-01,1.038638E-01,8.691338E-02,6.401019E-02,4.506247E-02,1.772096E-02,1.079735E-02,7.499740E-03,2.802242E-01,5.458367E-01,5.585212E-01,4.979098E-01,4.400361E-01,3.828003E-01,3.321737E-01,2.860201E-01,2.483153E-01,1.983205E-01,1.647180E-01,1.219454E-01,9.014608E-02,4.655197E-02,3.405567E-02,2.672901E-02
-9.61787,38.50000,1.467191E-01,2.835891E-01,2.956434E-01,2.661393E-01,2.416575E-01,2.125167E-01,1.845253E-01,1.619790E-01,1.420491E-01,1.141967E-01,9.769028E-02,7.377542E-02,5.627731E-02,2.849904E-02,2.030173E-02,1.557010E-02,2.938961E-01,5.682884E-01,5.822178E-01,5.204962E-01,4.635874E-01,4.027335E-01,3.500147E-01,3.020187E-01,2.627882E-01,2.105181E-01,1.781386E-01,1.375148E-01,1.107727E-01,7.355151E-02,6.038743E-02,5.015273E-02
-9.61787,38.60000,1.445458E-01,2.785086E-01,2.909840E-01,2.632315E-01,2.401377E-01,2.116175E-01,1.839233E-01,1.615372E-01,1.415886E-01,1.132367E-01,9.642142E-02,7.211123E-02,5.390923E-02,2.583698E-02,1.794933E-02,1.355353E-02,2.874218E-01,5.535263E-01,5.684679E-01,5.114230E-01,4.571261E-01,3.987424E-01,3.473042E-01,2.996078E-01,2.607398E-01,2.080409E-01,1.745716E-01,1.329542E-01,1.046840E-01,6.787813E-02,5.533619E-02,4.589464E-02
-9.61787,38.70000,1.419862E-01,2.731630E-01,2.858593E-01,2.595106E-01,2.375720E-01,2.095038E-01,1.822797E-01,1.602253E-01,1.403961E-01,1.118762E-01,9.505948E-02,7.070743E-02,5.229212E-02,2.462750E-02,1.701691E-02,1.281690E-02,2.813460E-01,5.410424E-01,5.565650E-01,5.028964E-01,4.502068E-01,3.939464E-01,3.437732E-01,2.963348E-01,2.579400E-01,2.053936E-01,1.712854E-01,1.292448E-01,1.003785E-01,6.462221E-02,5.242957E-02,4.382000E-02
-9.61787,38.80000,1.404434E-01,2.700459E-01,2.826853E-01,2.569330E-01,2.354849E-01,2.075351E-01,1.806320E-01,1.588058E-01,1.390273E-01,1.102567E-01,9.305703E-02,6.862067E-02,4.933296E-02,2.122493E-02,1.383212E-02,1.007301E-02,2.790485E-01,5.362772E-01,5.517516E-01,4.989727E-01,4.467954E-01,3.913524E-01,3.417437E-01,2.943598E-01,2.561413E-01,2.035792E-01,1.687392E-01,1.256674E-01,9.480934E-02,5.607934E-02,4.460715E-02,3.657950E-02
-9.61787,38.90000,1.379261E-01,2.654761E-01,2.778243E-01,2.526255E-01,2.316248E-01,2.038549E-01,1.775866E-01,1.559282E-01,1.365822E-01,1.080812E-01,9.073372E-02,6.673011E-02,4.721022E-02,1.932779E-02,1.221255E-02,8.721664E-03,2.749346E-01,5.290101E-01,5.443950E-01,4.915316E-01,4.404661E-01,3.862469E-01,3.370718E-01,2.904455E-01,2.527135E-01,2.009316E-01,1.658807E-01,1.225274E-01,9.082087E-02,5.056253E-02,3.936811E-02,3.203230E-02
-9.61787,39.00000,1.346469E-01,2.597663E-01,2.714835E-01,2.466723E-01,2.252263E-01,1.984226E-01,1.730820E-01,1.515291E-01,1.326996E-01,1.051895E-01,8.786914E-02,6.444532E-02,4.486950E-02,1.719295E-02,1.036623E-02,7.179277E-03,2.708803E-01,5.222980E-01,5.371090E-01,4.831503E-01,4.327046E-01,3.796140E-01,3.305405E-01,2.852414E-01,2.481621E-01,1.973229E-01,1.629031E-01,1.196615E-01,8.731746E-02,4.469648E-02,3.292075E-02,2.595568E-02
-9.61787,39.10000,1.289205E-01,2.499809E-01,2.612270E-01,2.374061E-01,2.156606E-01,1.903788E-01,1.664452E-01,1.451839E-01,1.271940E-01,1.012880E-01,8.438035E-02,6.182474E-02,4.319362E-02,1.652393E-02,9.942215E-03,6.871678E-03,2.614950E-01,5.079699E-01,5.217440E-01,4.661336E-01,4.173418E-01,3.667660E-01,3.181569E-01,2.753895E-01,2.397059E-01,1.906411E-01,1.581139E-01,1.161675E-01,8.495202E-02,4.301136E-02,3.153486E-02,2.469523E-02
-9.61787,39.20000,1.246142E-01,2.426103E-01,2.532839E-01,2.296846E-01,2.078369E-01,1.836686E-01,1.608205E-01,1.397798E-01,1.224474E-01,9.780206E-02,8.117875E-02,5.924350E-02,4.123925E-02,1.530311E-02,9.022186E-03,6.149658E-03,2.553599E-01,4.983843E-01,5.115319E-01,4.545896E-01,4.063769E-01,3.571676E-01,3.089214E-01,2.678793E-01,2.331598E-01,1.854381E-01,1.541968E-01,1.130070E-01,8.201926E-02,3.912941E-02,2.767796E-02,2.125075E-02
-9.61787,39.30000,1.217352E-01,2.376823E-01,2.478320E-01,2.236126E-01,2.020471E-01,1.785262E-01,1.561563E-01,1.355405E-01,1.186883E-01,9.505858E-02,7.878812E-02,5.748670E-02,4.014713E-02,1.492546E-02,8.806077E-03,5.997252E-03,2.518901E-01,4.919904E-01,5.055151E-01,4.477015E-01,3.994693E-01,3.508637E-01,3.028168E-01,2.627645E-01,2.286190E-01,1.819100E-01,1.515892E-01,1.111045E-01,8.068959E-02,3.823103E-02,2.693278E-02,2.062846E-02
-9.61787,39.40000,1.189851E-01,2.328269E-01,2.423517E-01,2.174740E-01,1.960904E-01,1.731468E-01,1.508579E-01,1.310657E-01,1.146600E-01,9.153241E-02,7.573292E-02,5.472429E-02,3.739740E-02,1.275165E-02,7.118782E-03,4.680356E-03,2.492767E-01,4.871171E-01,5.007964E-01,4.419126E-01,3.932742E-01,3.449262E-01,2.969432E-01,2.577097E-01,2.240372E-01,1.781851E-01,1.485083E-01,1.080960E-01,7.620047E-02,3.067148E-02,1.910883E-02,1.346268E-02
-9.61787,39.50000,1.167438E-01,2.285375E-01,2.377735E-01,2.120440E-01,1.904989E-01,1.678875E-01,1.456553E-01,1.266127E-01,1.106707E-01,8.821610E-02,7.320652E-02,5.292669E-02,3.620625E-02,1.241448E-02,6.933034E-03,4.555408E-03,2.486768E-01,4.872260E-01,4.999484E-01,4.390788E-01,3.889000E-01,3.399090E-01,2.917993E-01,2.530516E-01,2.196719E-01,1.746551E-01,1.458339E-01,1.062146E-01,7.494912E-02,3.019612E-02,1.877825E-02,1.320801E-02
-9.51787,38.50000,1.471717E-01,2.820435E-01,2.949971E-01,2.674674E-01,2.444499E-01,2.161164E-01,1.877195E-01,1.647996E-01,1.445217E-01,1.156753E-01,9.836655E-02,7.363085E-02,5.518114E-02,2.662982E-02,1.866243E-02,1.418548E-02,2.906943E-01,5.569363E-01,5.722056E-01,5.161571E-01,4.630729E-01,4.039750E-01,3.517399E-01,3.038354E-01,2.644907E-01,2.104158E-01,1.766528E-01,1.348455E-01,1.066115E-01,7.030872E-02,5.791431E-02,4.788024E-02
-9.51787,38.60000,1.457213E-01,2.786512E-01,2.919476E-01,2.656434E-01,2.436237E-01,2.157273E-01,1.874671E-01,1.646071E-01,1.442682E-01,1.149449E-01,9.736855E-02,7.234026E-02,5.338923E-02,2.494705E-02,1.725923E-02,1.302917E-02,2.869264E-01,5.487694E-01,5.642188E-01,5.106588E-01,4.589994E-01,4.014201E-01,3.499204E-01,3.021311E-01,2.629683E-01,2.084094E-01,1.736589E-01,1.310196E-01,1.017200E-01,6.618559E-02,5.409164E-02,4.507486E-02
-9.51787,38.70000,1.437352E-01,2.746296E-01,2.881047E-01,2.628101E-01,2.416372E-01,2.140305E-01,1.861019E-01,1.634704E-01,1.431745E-01,1.135233E-01,9.578314E-02,7.047015E-02,5.081221E-02,2.224479E-02,1.478366E-02,1.092604E-02,2.826880E-01,5.406731E-01,5.564047E-01,5.049348E-01,4.542624E-01,3.981262E-01,3.474550E-01,2.998036E-01,2.609167E-01,2.062707E-01,1.706737E-01,1.270709E-01,9.612799E-02,5.919049E-02,4.766994E-02,3.963087E-02
-9.51787,38.80000,1.421444E-01,2.714514E-01,2.848214E-01,2.600981E-01,2.394071E-01,2.119212E-01,1.843678E-01,1.620075E-01,1.418286E-01,1.121282E-01,9.440693E-02,6.909354E-02,4.915647E-02,2.064545E-02,1.337815E-02,9.740944E-03,2.805843E-01,5.364843E-01,5.522013E-01,5.016120E-01,4.512138E-01,3.958068E-01,3.456158E-01,2.980113E-01,2.592889E-01,2.047019E-01,1.686344E-01,1.245176E-01,9.268820E-02,5.459671E-02,4.384675E-02,3.604006E-02
-9.51787,38.90000,1.399341E-01,2.673467E-01,2.804087E-01,2.561667E-01,2.359093E-01,2.084922E-01,1.815432E-01,1.596306E-01,1.396757E-01,1.100528E-01,9.208617E-02,6.709012E-02,4.664744E-02,1.801989E-02,1.101743E-02,7.730845E-03,2.779568E-01,5.314823E-01,5.470957E-01,4.966451E-01,4.466985E-01,3.921338E-01,3.426666E-01,2.951648E-01,2.567692E-01,2.027169E-01,1.663168E-01,1.216027E-01,8.828517E-02,4.692647E-02,3.591944E-02,2.908033E-02
-9.51787,39.00000,1.354539E-01,2.592548E-01,2.717217E-01,2.484112E-01,2.285409E-01,2.019015E-01,1.762082E-01,1.547530E-01,1.355978E-01,1.068938E-01,8.909620E-02,6.499846E-02,4.470056E-02,1.659169E-02,9.843916E-03,6.768764E-03,2.713532E-01,5.194929E-01,5.348610E-01,4.839638E-01,4.358819E-01,3.833948E-01,3.346574E-01,2.885862E-01,2.511393E-01,1.986866E-01,1.628657E-01,1.186185E-01,8.526684E-02,4.244714E-02,3.147267E-02,2.482605E-02
-9.51787,39.10000,1.278104E-01,2.457711E-01,2.577437E-01,2.362453E-01,2.163742E-01,1.919823E-01,1.682112E-01,1.471918E-01,1.291528E-01,1.024617E-01,8.520046E-02,6.217425E-02,4.301797E-02,1.605537E-02,9.553368E-03,6.577488E-03,2.559116E-01,4.921045E-01,5.085504E-01,4.577369E-01,4.141617E-01,3.662922E-01,3.185143E-01,2.760540E-01,2.405937E-01,1.904402E-01,1.570367E-01,1.144781E-01,8.267470E-02,4.111066E-02,3.047838E-02,2.399454E-02
-9.51787,39.20000,1.220681E-01,2.356263E-01,2.470378E-01,2.258379E-01,2.066094E-01,1.838631E-01,1.615535E-01,1.408579E-01,1.236716E-01,9.857150E-02,8.166969E-02,5.939698E-02,4.100454E-02,1.484052E-02,8.651728E-03,5.869287E-03,2.455764E-01,4.718370E-01,4.890737E-01,4.396405E-01,3.986012E-01,3.535845E-01,3.065123E-01,2.665638E-01,2.325032E-01,1.840663E-01,1.523548E-01,1.108298E-01,7.945865E-02,3.719460E-02,2.647425E-02,2.043632E-02
-9.51787,39.30000,1.181326E-01,2.280424E-01,2.393009E-01,2.176049E-01,1.990588E-01,1.773605E-01,1.557784E-01,1.356543E-01,1.191051E-01,9.524756E-02,7.866077E-02,5.701523E-02,3.924476E-02,1.378176E-02,7.877733E-03,5.269287E-03,2.400792E-01,4.606347E-01,4.771694E-01,4.287175E-01,3.884956E-01,3.448330E-01,2.981537E-01,2.597422E-01,2.265505E-01,1.793486E-01,1.487910E-01,1.079466E-01,7.637503E-02,3.374177E-02,2.304096E-02,1.727789E-02
