#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='quantile-0.05', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
-9.71787,38.60000,0.00000,4.446297E-01,3.980714E-01,3.491223E-01,2.990215E-01,2.489131E-01,2.004500E-01,1.557209E-01,1.165366E-01,8.389562E-02,5.794976E-02,3.823556E-02,2.394969E-02,1.415689E-02,7.855995E-03,4.070580E-03,1.952502E-03,8.547311E-04,3.340963E-04,1.132199E-04,3.197340E-05,7.109895E-06,1.128482E-06,1.049944E-07,2.181689E-09,0.000000E+00
-9.71787,38.70000,0.00000,4.342054E-01,3.891332E-01,3.422503E-01,2.941764E-01,2.455981E-01,1.981310E-01,1.540798E-01,1.154502E-01,8.327977E-02,5.767192E-02,3.813842E-02,2.392041E-02,1.413664E-02,7.834367E-03,4.053287E-03,1.943998E-03,8.531437E-04,3.353211E-04,1.145073E-04,3.261344E-05,7.299072E-06,1.157520E-06,1.038562E-07,1.773816E-09,0.000000E+00
-9.71787,38.80000,0.00000,4.254559E-01,3.813538E-01,3.357365E-01,2.887002E-01,2.408317E-01,1.939730E-01,1.505925E-01,1.126861E-01,8.122650E-02,5.624392E-02,3.718892E-02,2.331428E-02,1.377148E-02,7.631067E-03,3.951657E-03,1.900916E-03,8.385965E-04,3.320814E-04,1.145737E-04,3.303963E-05,7.519421E-06,1.222299E-06,1.137182E-07,2.097428E-09,0.000000E+00
-9.71787,38.90000,0.00000,4.117740E-01,3.702187E-01,3.269600E-01,2.816028E-01,2.346200E-01,1.881481E-01,1.451406E-01,1.079167E-01,7.743487E-02,5.349747E-02,3.535234E-02,2.214688E-02,1.305528E-02,7.211027E-03,3.721964E-03,1.787119E-03,7.887870E-04,3.130118E-04,1.081675E-04,3.117917E-05,7.041965E-06,1.121169E-06,7.247023E-08,5.532081E-10,0.000000E+00
-9.71787,39.00000,0.00000,3.901026E-01,3.533031E-01,3.135011E-01,2.703277E-01,2.247709E-01,1.795468E-01,1.378419E-01,1.019029E-01,7.260935E-02,4.979130E-02,3.269309E-02,2.040284E-02,1.201473E-02,6.633264E-03,3.415725E-03,1.631290E-03,7.154368E-04,2.828917E-04,9.817816E-05,2.872568E-05,6.684224E-06,1.116605E-06,8.681033E-08,1.114994E-09,0.000000E+00
-9.61787,38.50000,0.00000,4.603390E-01,4.112048E-01,3.597652E-01,3.076558E-01,2.562413E-01,2.070445E-01,1.618213E-01,1.220652E-01,8.865104E-02,6.177474E-02,4.109949E-02,2.594242E-02,1.544499E-02,8.634888E-03,4.514939E-03,2.192505E-03,9.755548E-04,3.890593E-04,1.349129E-04,3.909698E-05,8.956953E-06,1.479987E-06,1.515857E-07,6.161636E-09,0.000000E+00
-9.61787,38.60000,0.00000,4.445625E-01,3.980661E-01,3.498305E-01,3.009964E-01,2.523592E-01,2.051550E-01,1.611698E-01,1.221059E-01,8.902094E-02,6.223012E-02,4.149948E-02,2.621819E-02,1.559710E-02,8.703270E-03,4.541980E-03,2.202959E-03,9.795156E-04,3.899510E-04,1.344752E-04,3.846770E-05,8.590077E-06,1.343198E-06,1.210273E-07,3.240809E-09,0.000000E+00
-9.61787,38.70000,0.00000,4.343615E-01,3.892485E-01,3.431020E-01,2.963896E-01,2.493715E-01,2.031880E-01,1.598300E-01,1.212109E-01,8.736780E-02,6.085914E-02,4.099268E-02,2.596809E-02,1.538066E-02,8.544933E-03,4.445244E-03,2.150514E-03,9.526773E-04,3.763917E-04,1.280113E-04,3.583701E-05,7.741869E-06,1.152178E-06,9.723664E-08,2.186828E-09,0.000000E+00
-9.61787,38.80000,0.00000,4.183945E-01,3.764526E-01,3.334779E-01,2.893143E-01,2.439396E-01,1.986854E-01,1.559619E-01,1.162450E-01,8.362232E-02,5.862228E-02,3.972202E-02,2.521243E-02,1.491436E-02,8.272857E-03,4.298296E-03,2.079816E-03,9.228678E-04,3.658039E-04,1.250271E-04,3.522487E-05,7.687319E-06,1.167116E-06,1.038635E-07,3.176088E-09,0.000000E+00
-9.61787,38.90000,0.00000,4.097691E-01,3.690460E-01,3.273161E-01,2.839702E-01,2.389463E-01,1.938370E-01,1.505760E-01,1.114799E-01,8.050159E-02,5.661207E-02,3.814642E-02,2.396498E-02,1.412889E-02,7.795711E-03,4.024892E-03,1.936344E-03,8.556731E-04,3.378616E-04,1.145718E-04,3.172486E-05,6.643671E-06,9.056034E-07,5.794386E-08,9.554924E-11,0.000000E+00
