#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='quantile-0.05', investigation_time=1.0, imt='SA(4.0)'"
lon,lat,depth,poe-0.0005000,poe-0.0006863,poe-0.0009420,poe-0.0012930,poe-0.0017748,poe-0.0024360,poe-0.0033437,poe-0.0045896,poe-0.0062996,poe-0.0086468,poe-0.0118686,poe-0.0162908,poe-0.0223607,poe-0.0306922,poe-0.0421280,poe-0.0578247,poe-0.0793701,poe-0.1089431,poe-0.1495349,poe-0.2052511,poe-0.2817269,poe-0.3866974,poe-0.5307795,poe-0.7285462,poe-1.0000000
-9.71787,38.60000,0.00000,3.859730E-02,2.830392E-02,2.068645E-02,1.515176E-02,1.117859E-02,8.333457E-03,6.278805E-03,4.765940E-03,3.623554E-03,2.740279E-03,2.044500E-03,1.488056E-03,1.033926E-03,6.788826E-04,4.081655E-04,2.171016E-04,9.866088E-05,3.699255E-05,1.088936E-05,2.271895E-06,2.154577E-07,2.428777E-09,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.70000,0.00000,3.806276E-02,2.790217E-02,2.037269E-02,1.489684E-02,1.096471E-02,8.150558E-03,6.121535E-03,4.630761E-03,3.507925E-03,2.641859E-03,1.961400E-03,1.414853E-03,9.749464E-04,6.330012E-04,3.748710E-04,1.955171E-04,8.672680E-05,3.153271E-05,8.934361E-06,1.722476E-06,1.429297E-07,1.658673E-13,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.80000,0.00000,3.726042E-02,2.731082E-02,1.993634E-02,1.457207E-02,1.071822E-02,7.958735E-03,5.967547E-03,4.503728E-03,3.401302E-03,2.446886E-03,1.772518E-03,1.258198E-03,8.655544E-04,5.679685E-04,3.445068E-04,1.762656E-04,7.629898E-05,2.689661E-05,7.316394E-06,1.300213E-06,8.706829E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,38.90000,0.00000,3.468702E-02,2.521140E-02,1.821988E-02,1.317039E-02,9.573547E-03,7.020816E-03,5.195498E-03,3.663277E-03,2.567143E-03,1.803726E-03,1.255764E-03,8.591736E-04,5.791345E-04,3.745897E-04,2.249208E-04,1.212534E-04,5.678118E-05,2.038342E-05,5.420743E-06,9.308550E-07,4.743298E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-9.71787,39.00000,0.00000,3.016362E-02,2.151858E-02,1.520242E-02,1.070542E-02,7.559379E-03,5.372851E-03,3.844904E-03,2.760984E-03,1.979431E-03,1.409172E-03,9.905247E-04,6.736142E-04,4.416774E-04,2.763822E-04,1.590937E-04,8.093335E-05,3.494992E-05,1.230445E-05,3.317178E-06,5.873430E-07,2.180658E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.50000,0.00000,4.176647E-02,3.076755E-02,2.260211E-02,1.664434E-02,1.234858E-02,9.262392E-03,7.029328E-03,5.382434E-03,4.134282E-03,3.160996E-03,2.384198E-03,1.751865E-03,1.230115E-03,8.140468E-04,4.925463E-04,2.636636E-04,1.208149E-04,4.580298E-05,1.372034E-05,2.950082E-06,3.199245E-07,8.246239E-09,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.60000,0.00000,3.975371E-02,2.904157E-02,2.110353E-02,1.533448E-02,1.120406E-02,8.269212E-03,6.177966E-03,4.663499E-03,3.537352E-03,2.675287E-03,1.999021E-03,1.452315E-03,1.012642E-03,6.664402E-04,4.010421E-04,2.132221E-04,9.675260E-05,3.618615E-05,1.060719E-05,2.196695E-06,2.067943E-07,2.176034E-09,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.70000,0.00000,3.913740E-02,2.857762E-02,2.074295E-02,1.504455E-02,1.096441E-02,8.069067E-03,6.011225E-03,4.524871E-03,3.421732E-03,2.578394E-03,1.917696E-03,1.380862E-03,9.550636E-04,6.216301E-04,3.685278E-04,1.921580E-04,8.512142E-05,3.087895E-05,8.711866E-06,1.667192E-06,1.365639E-07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.80000,0.00000,3.663832E-02,2.652591E-02,1.904905E-02,1.364257E-02,9.803018E-03,7.106071E-03,5.212446E-03,3.863868E-03,2.879014E-03,2.139407E-03,1.570984E-03,1.114209E-03,7.623862E-04,4.919359E-04,2.893685E-04,1.495768E-04,6.558729E-05,2.346047E-05,6.497916E-06,1.190814E-06,8.331434E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-9.61787,38.90000,0.00000,3.553232E-02,2.572364E-02,1.847349E-02,1.323594E-02,9.519684E-03,6.908009E-03,5.048052E-03,3.502487E-03,2.442419E-03,1.712538E-03,1.191171E-03,8.177368E-04,5.538322E-04,3.598635E-04,2.167978E-04,1.170650E-04,5.480759E-05,2.003472E-05,5.313133E-06,9.069149E-07,4.488647E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
