#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:05:47', checksum=1124866527, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.71787,38.60000,1.627270E-01,3.181229E-01,3.362906E-01,3.036902E-01,2.763169E-01,2.452171E-01,2.130822E-01,1.853206E-01,1.620543E-01,1.295457E-01,1.081079E-01,7.986356E-02,5.829196E-02,2.955883E-02,2.101292E-02,1.608445E-02,3.304496E-01,6.355045E-01,6.386784E-01,5.595822E-01,4.971474E-01,4.324462E-01,3.760384E-01,3.260585E-01,2.836193E-01,2.241598E-01,1.877021E-01,1.413270E-01,1.150762E-01,7.478486E-02,6.105158E-02,5.067473E-02
-9.71787,38.70000,1.626318E-01,3.169527E-01,3.350858E-01,3.030826E-01,2.760927E-01,2.451402E-01,2.130357E-01,1.852467E-01,1.619146E-01,1.291010E-01,1.074675E-01,7.904406E-02,5.720560E-02,2.773941E-02,1.958713E-02,1.494136E-02,3.161593E-01,6.064721E-01,6.208323E-01,5.532237E-01,4.972702E-01,4.325385E-01,3.748539E-01,3.260362E-01,2.834376E-01,2.228972E-01,1.860451E-01,1.386488E-01,1.093433E-01,7.064053E-02,5.802006E-02,4.804293E-02
-9.71787,38.80000,1.613519E-01,3.141248E-01,3.319197E-01,3.003064E-01,2.736171E-01,2.430065E-01,2.109522E-01,1.834925E-01,1.603184E-01,1.275746E-01,1.061245E-01,7.782630E-02,5.610596E-02,2.482981E-02,1.718644E-02,1.294459E-02,3.139235E-01,6.015550E-01,6.166365E-01,5.503458E-01,4.949287E-01,4.303967E-01,3.729987E-01,3.241102E-01,2.816064E-01,2.212354E-01,1.840586E-01,1.364389E-01,1.027806E-01,6.347656E-02,4.976439E-02,4.108678E-02
-9.71787,38.90000,1.570570E-01,3.061937E-01,3.233885E-01,2.927239E-01,2.668805E-01,2.373357E-01,2.055923E-01,1.791467E-01,1.565504E-01,1.244005E-01,1.035864E-01,7.567874E-02,5.395807E-02,2.267305E-02,1.519527E-02,1.124550E-02,3.147005E-01,6.034357E-01,6.119225E-01,5.426711E-01,4.852089E-01,4.224081E-01,3.675799E-01,3.179288E-01,2.762500E-01,2.181150E-01,1.807167E-01,1.333883E-01,9.925179E-02,5.828048E-02,4.512224E-02,3.655355E-02
-9.71787,39.00000,1.535031E-01,2.988685E-01,3.112229E-01,2.819006E-01,2.573495E-01,2.289353E-01,1.981504E-01,1.731172E-01,1.513663E-01,1.201310E-01,1.001709E-01,7.277691E-02,5.084504E-02,1.956145E-02,1.197112E-02,8.490116E-03,3.201952E-01,6.156738E-01,6.213716E-01,5.452793E-01,4.815657E-01,4.173558E-01,3.592748E-01,3.108519E-01,2.690194E-01,2.140332E-01,1.775364E-01,1.299803E-01,9.500983E-02,5.010203E-02,3.686402E-02,2.902295E-02
-9.61787,38.50000,1.714521E-01,3.343179E-01,3.513775E-01,3.186470E-01,2.893299E-01,2.558332E-01,2.231197E-01,1.932562E-01,1.687880E-01,1.347994E-01,1.118735E-01,8.263535E-02,6.031663E-02,3.136207E-02,2.262722E-02,1.742507E-02,3.190034E-01,6.184989E-01,6.357844E-01,5.715073E-01,5.168997E-01,4.504060E-01,3.887309E-01,3.391219E-01,2.938805E-01,2.300107E-01,1.926340E-01,1.441785E-01,1.171657E-01,7.854769E-02,6.441262E-02,5.389388E-02
-9.61787,38.60000,1.718559E-01,3.341456E-01,3.513878E-01,3.193352E-01,2.904734E-01,2.570232E-01,2.243494E-01,1.942063E-01,1.695275E-01,1.349098E-01,1.114218E-01,8.161188E-02,5.844587E-02,2.864805E-02,2.038579E-02,1.563693E-02,3.149694E-01,6.112527E-01,6.329240E-01,5.698867E-01,5.163042E-01,4.500920E-01,3.884665E-01,3.389147E-01,2.935983E-01,2.287339E-01,1.903617E-01,1.408551E-01,1.104529E-01,7.282154E-02,5.998248E-02,4.987391E-02
-9.61787,38.70000,1.700551E-01,3.298019E-01,3.476643E-01,3.159614E-01,2.879016E-01,2.550842E-01,2.225439E-01,1.927180E-01,1.681973E-01,1.335411E-01,1.101250E-01,8.035139E-02,5.722151E-02,2.692215E-02,1.901460E-02,1.453432E-02,3.102640E-01,6.020976E-01,6.235639E-01,5.626070E-01,5.108585E-01,4.451023E-01,3.845519E-01,3.352212E-01,2.909500E-01,2.259976E-01,1.872565E-01,1.379484E-01,1.051897E-01,6.887234E-02,5.692134E-02,4.735193E-02
-9.61787,38.80000,1.679797E-01,3.249940E-01,3.432349E-01,3.115070E-01,2.840916E-01,2.519579E-01,2.195272E-01,1.902846E-01,1.660540E-01,1.315491E-01,1.083902E-01,7.866213E-02,5.541741E-02,2.261029E-02,1.507271E-02,1.115932E-02,3.076602E-01,5.966851E-01,6.178073E-01,5.576879E-01,5.065989E-01,4.408407E-01,3.811056E-01,3.317778E-01,2.879065E-01,2.236361E-01,1.846540E-01,1.351186E-01,9.927607E-02,5.870196E-02,4.642361E-02,3.818858E-02
-9.61787,38.90000,1.629193E-01,3.148445E-01,3.329431E-01,3.022494E-01,2.761549E-01,2.454989E-01,2.133912E-01,1.853996E-01,1.618723E-01,1.281075E-01,1.058062E-01,7.671626E-02,5.391687E-02,2.205299E-02,1.465843E-02,1.084979E-02,3.002537E-01,5.811622E-01,6.022590E-01,5.446270E-01,4.947479E-01,4.303001E-01,3.728230E-01,3.238348E-01,2.811340E-01,2.191801E-01,1.806368E-01,1.319121E-01,9.665746E-02,5.638956E-02,4.421823E-02,3.591002E-02
